<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ANTO.L,D,19880701,000000,268.8550,268.8550,268.8550,268.8550,0,0
ANTO.L,D,19880704,000000,267.8600,267.8600,267.8600,267.8600,0,0
ANTO.L,D,19880705,000000,265.8800,265.8800,265.8800,265.8800,0,0
ANTO.L,D,19880706,000000,267.8600,267.8600,267.8600,267.8600,0,0
ANTO.L,D,19880707,000000,265.8800,265.8800,265.8800,265.8800,0,0
ANTO.L,D,19880708,000000,265.8800,265.8800,265.8800,265.8800,0,0
ANTO.L,D,19880711,000000,268.8550,268.8550,268.8550,268.8550,0,0
ANTO.L,D,19880712,000000,268.8550,268.8550,268.8550,268.8550,0,0
ANTO.L,D,19880713,000000,269.8450,269.8450,269.8450,269.8450,0,0
ANTO.L,D,19880714,000000,270.8400,270.8400,270.8400,270.8400,0,0
ANTO.L,D,19880715,000000,268.8550,268.8550,268.8550,268.8550,0,0
ANTO.L,D,19880718,000000,268.8550,268.8550,268.8550,268.8550,0,0
ANTO.L,D,19880719,000000,268.8550,268.8550,268.8550,268.8550,0,0
ANTO.L,D,19880720,000000,270.8400,270.8400,270.8400,270.8400,0,0
ANTO.L,D,19880721,000000,268.8550,268.8550,268.8550,268.8550,0,0
ANTO.L,D,19880722,000000,268.8550,268.8550,268.8550,268.8550,0,0
ANTO.L,D,19880725,000000,268.8550,268.8550,268.8550,268.8550,0,0
ANTO.L,D,19880726,000000,272.8250,272.8250,272.8250,272.8250,0,0
ANTO.L,D,19880727,000000,273.8150,273.8150,273.8150,273.8150,0,0
ANTO.L,D,19880728,000000,273.8150,273.8150,273.8150,273.8150,0,0
ANTO.L,D,19880729,000000,273.8150,273.8150,273.8150,273.8150,0,0
ANTO.L,D,19880801,000000,273.8150,273.8150,273.8150,273.8150,0,0
ANTO.L,D,19880802,000000,273.8150,273.8150,273.8150,273.8150,0,0
ANTO.L,D,19880803,000000,275.8000,275.8000,275.8000,275.8000,0,0
ANTO.L,D,19880804,000000,283.7350,283.7350,283.7350,283.7350,0,0
ANTO.L,D,19880805,000000,294.6500,294.6500,294.6500,294.6500,0,0
ANTO.L,D,19880808,000000,300.6000,300.6000,300.6000,300.6000,0,0
ANTO.L,D,19880809,000000,300.6000,300.6000,300.6000,300.6000,0,0
ANTO.L,D,19880810,000000,297.6250,297.6250,297.6250,297.6250,0,0
ANTO.L,D,19880811,000000,298.6150,298.6150,298.6150,298.6150,0,0
ANTO.L,D,19880812,000000,311.5150,311.5150,311.5150,311.5150,0,0
ANTO.L,D,19880815,000000,310.5200,310.5200,310.5200,310.5200,0,0
ANTO.L,D,19880816,000000,309.5300,309.5300,309.5300,309.5300,0,0
ANTO.L,D,19880817,000000,310.5200,310.5200,310.5200,310.5200,0,0
ANTO.L,D,19880818,000000,308.5400,308.5400,308.5400,308.5400,0,0
ANTO.L,D,19880819,000000,312.5050,312.5050,312.5050,312.5050,0,0
ANTO.L,D,19880822,000000,313.5000,313.5000,313.5000,313.5000,0,0
ANTO.L,D,19880823,000000,310.5200,310.5200,310.5200,310.5200,0,0
ANTO.L,D,19880824,000000,310.5200,310.5200,310.5200,310.5200,0,0
ANTO.L,D,19880825,000000,310.5200,310.5200,310.5200,310.5200,0,0
ANTO.L,D,19880826,000000,307.5450,307.5450,307.5450,307.5450,0,0
ANTO.L,D,19880829,000000,307.5450,307.5450,307.5450,307.5450,0,0
ANTO.L,D,19880830,000000,305.5600,305.5600,305.5600,305.5600,0,0
ANTO.L,D,19880831,000000,305.5600,305.5600,305.5600,305.5600,0,0
ANTO.L,D,19880901,000000,305.5600,305.5600,305.5600,305.5600,0,0
ANTO.L,D,19880902,000000,302.5850,302.5850,302.5850,302.5850,0,0
ANTO.L,D,19880905,000000,303.5750,303.5750,303.5750,303.5750,0,0
ANTO.L,D,19880906,000000,302.5850,302.5850,302.5850,302.5850,0,0
ANTO.L,D,19880907,000000,303.5750,303.5750,303.5750,303.5750,0,0
ANTO.L,D,19880908,000000,303.5750,303.5750,303.5750,303.5750,0,0
ANTO.L,D,19880909,000000,302.5850,302.5850,302.5850,302.5850,0,0
ANTO.L,D,19880912,000000,302.5850,302.5850,302.5850,302.5850,0,0
ANTO.L,D,19880913,000000,302.5850,302.5850,302.5850,302.5850,0,0
ANTO.L,D,19880914,000000,300.6000,300.6000,300.6000,300.6000,0,0
ANTO.L,D,19880915,000000,299.6100,299.6100,299.6100,299.6100,0,0
ANTO.L,D,19880916,000000,300.6000,300.6000,300.6000,300.6000,0,0
ANTO.L,D,19880919,000000,300.6000,300.6000,300.6000,300.6000,0,0
ANTO.L,D,19880920,000000,300.6000,300.6000,300.6000,300.6000,0,0
ANTO.L,D,19880921,000000,300.6000,300.6000,300.6000,300.6000,0,0
ANTO.L,D,19880922,000000,303.5750,303.5750,303.5750,303.5750,0,0
ANTO.L,D,19880923,000000,302.5850,302.5850,302.5850,302.5850,0,0
ANTO.L,D,19880926,000000,304.5700,304.5700,304.5700,304.5700,0,0
ANTO.L,D,19880927,000000,304.5700,304.5700,304.5700,304.5700,0,0
ANTO.L,D,19880928,000000,305.5600,305.5600,305.5600,305.5600,0,0
ANTO.L,D,19880929,000000,302.5850,302.5850,302.5850,302.5850,0,0
ANTO.L,D,19880930,000000,302.5850,302.5850,302.5850,302.5850,0,0
ANTO.L,D,19881003,000000,300.6000,300.6000,300.6000,300.6000,0,0
ANTO.L,D,19881004,000000,302.5850,302.5850,302.5850,302.5850,0,0
ANTO.L,D,19881005,000000,301.5950,301.5950,301.5950,301.5950,0,0
ANTO.L,D,19881006,000000,297.6250,297.6250,297.6250,297.6250,0,0
ANTO.L,D,19881007,000000,299.6100,299.6100,299.6100,299.6100,0,0
ANTO.L,D,19881010,000000,294.6500,294.6500,294.6500,294.6500,0,0
ANTO.L,D,19881011,000000,294.6500,294.6500,294.6500,294.6500,0,0
ANTO.L,D,19881012,000000,294.6500,294.6500,294.6500,294.6500,0,0
ANTO.L,D,19881013,000000,294.6500,294.6500,294.6500,294.6500,0,0
ANTO.L,D,19881014,000000,295.6400,295.6400,295.6400,295.6400,0,0
ANTO.L,D,19881017,000000,295.6400,295.6400,295.6400,295.6400,0,0
ANTO.L,D,19881018,000000,296.6350,296.6350,296.6350,296.6350,0,0
ANTO.L,D,19881019,000000,296.6350,296.6350,296.6350,296.6350,0,0
ANTO.L,D,19881020,000000,294.6500,294.6500,294.6500,294.6500,0,0
ANTO.L,D,19881021,000000,293.6550,293.6550,293.6550,293.6550,0,0
ANTO.L,D,19881024,000000,292.6650,292.6650,292.6650,292.6650,0,0
ANTO.L,D,19881025,000000,293.6550,293.6550,293.6550,293.6550,0,0
ANTO.L,D,19881026,000000,292.6650,292.6650,292.6650,292.6650,0,0
ANTO.L,D,19881027,000000,293.6550,293.6550,293.6550,293.6550,0,0
ANTO.L,D,19881028,000000,292.6650,292.6650,292.6650,292.6650,0,0
ANTO.L,D,19881031,000000,290.6800,290.6800,290.6800,290.6800,0,0
ANTO.L,D,19881101,000000,290.6800,290.6800,290.6800,290.6800,0,0
ANTO.L,D,19881102,000000,288.6950,288.6950,288.6950,288.6950,0,0
ANTO.L,D,19881103,000000,285.7200,285.7200,285.7200,285.7200,0,0
ANTO.L,D,19881104,000000,285.7200,285.7200,285.7200,285.7200,0,0
ANTO.L,D,19881107,000000,285.7200,285.7200,285.7200,285.7200,0,0
ANTO.L,D,19881108,000000,283.7350,283.7350,283.7350,283.7350,0,0
ANTO.L,D,19881109,000000,283.7350,283.7350,283.7350,283.7350,0,0
ANTO.L,D,19881110,000000,283.7350,283.7350,283.7350,283.7350,0,0
ANTO.L,D,19881111,000000,283.7350,283.7350,283.7350,283.7350,0,0
ANTO.L,D,19881114,000000,283.7350,283.7350,283.7350,283.7350,0,0
ANTO.L,D,19881115,000000,283.7350,283.7350,283.7350,283.7350,0,0
ANTO.L,D,19881116,000000,282.7450,282.7450,282.7450,282.7450,0,0
ANTO.L,D,19881117,000000,282.7450,282.7450,282.7450,282.7450,0,0
ANTO.L,D,19881118,000000,281.7500,281.7500,281.7500,281.7500,0,0
ANTO.L,D,19881121,000000,280.7600,280.7600,280.7600,280.7600,0,0
ANTO.L,D,19881122,000000,280.7600,280.7600,280.7600,280.7600,0,0
ANTO.L,D,19881123,000000,280.7600,280.7600,280.7600,280.7600,0,0
ANTO.L,D,19881124,000000,280.7600,280.7600,280.7600,280.7600,0,0
ANTO.L,D,19881125,000000,278.7750,278.7750,278.7750,278.7750,0,0
ANTO.L,D,19881128,000000,277.7850,277.7850,277.7850,277.7850,0,0
ANTO.L,D,19881129,000000,277.7850,277.7850,277.7850,277.7850,0,0
ANTO.L,D,19881130,000000,275.8000,275.8000,275.8000,275.8000,0,0
ANTO.L,D,19881201,000000,273.8150,273.8150,273.8150,273.8150,0,0
ANTO.L,D,19881202,000000,272.8250,272.8250,272.8250,272.8250,0,0
ANTO.L,D,19881205,000000,272.8250,272.8250,272.8250,272.8250,0,0
ANTO.L,D,19881206,000000,272.8250,272.8250,272.8250,272.8250,0,0
ANTO.L,D,19881207,000000,272.8250,272.8250,272.8250,272.8250,0,0
ANTO.L,D,19881208,000000,270.8400,270.8400,270.8400,270.8400,0,0
ANTO.L,D,19881209,000000,270.8400,270.8400,270.8400,270.8400,0,0
ANTO.L,D,19881212,000000,270.8400,270.8400,270.8400,270.8400,0,0
ANTO.L,D,19881213,000000,268.8550,268.8550,268.8550,268.8550,0,0
ANTO.L,D,19881214,000000,266.8700,266.8700,266.8700,266.8700,0,0
ANTO.L,D,19881215,000000,266.8700,266.8700,266.8700,266.8700,0,0
ANTO.L,D,19881216,000000,266.8700,266.8700,266.8700,266.8700,0,0
ANTO.L,D,19881219,000000,267.8600,267.8600,267.8600,267.8600,0,0
ANTO.L,D,19881220,000000,266.8700,266.8700,266.8700,266.8700,0,0
ANTO.L,D,19881221,000000,266.8700,266.8700,266.8700,266.8700,0,0
ANTO.L,D,19881222,000000,266.8700,266.8700,266.8700,266.8700,0,0
ANTO.L,D,19881223,000000,266.8700,266.8700,266.8700,266.8700,0,0
ANTO.L,D,19881226,000000,266.8700,266.8700,266.8700,266.8700,0,0
ANTO.L,D,19881227,000000,266.8700,266.8700,266.8700,266.8700,0,0
ANTO.L,D,19881228,000000,271.8300,271.8300,271.8300,271.8300,0,0
ANTO.L,D,19881229,000000,270.8400,270.8400,270.8400,270.8400,0,0
ANTO.L,D,19881230,000000,272.8250,272.8250,272.8250,272.8250,0,0
ANTO.L,D,19890102,000000,272.8250,272.8250,272.8250,272.8250,0,0
ANTO.L,D,19890103,000000,270.8400,270.8400,270.8400,270.8400,0,0
ANTO.L,D,19890104,000000,275.8000,275.8000,275.8000,275.8000,0,0
ANTO.L,D,19890105,000000,285.7200,285.7200,285.7200,285.7200,0,0
ANTO.L,D,19890106,000000,288.6950,288.6950,288.6950,288.6950,0,0
ANTO.L,D,19890109,000000,287.7050,287.7050,287.7050,287.7050,0,0
ANTO.L,D,19890110,000000,285.7200,285.7200,285.7200,285.7200,0,0
ANTO.L,D,19890111,000000,284.7300,284.7300,284.7300,284.7300,0,0
ANTO.L,D,19890112,000000,285.7200,285.7200,285.7200,285.7200,0,0
ANTO.L,D,19890113,000000,285.7200,285.7200,285.7200,285.7200,0,0
ANTO.L,D,19890116,000000,290.6800,290.6800,290.6800,290.6800,0,0
ANTO.L,D,19890117,000000,290.6800,290.6800,290.6800,290.6800,0,0
ANTO.L,D,19890118,000000,290.6800,290.6800,290.6800,290.6800,0,0
ANTO.L,D,19890119,000000,295.6400,295.6400,295.6400,295.6400,0,0
ANTO.L,D,19890120,000000,295.6400,295.6400,295.6400,295.6400,0,0
ANTO.L,D,19890123,000000,299.6100,299.6100,299.6100,299.6100,0,0
ANTO.L,D,19890124,000000,298.6150,298.6150,298.6150,298.6150,0,0
ANTO.L,D,19890125,000000,300.6000,300.6000,300.6000,300.6000,0,0
ANTO.L,D,19890126,000000,300.6000,300.6000,300.6000,300.6000,0,0
ANTO.L,D,19890127,000000,303.5750,303.5750,303.5750,303.5750,0,0
ANTO.L,D,19890130,000000,315.4800,315.4800,315.4800,315.4800,0,0
ANTO.L,D,19890131,000000,315.4800,315.4800,315.4800,315.4800,0,0
ANTO.L,D,19890201,000000,316.4750,316.4750,316.4750,316.4750,0,0
ANTO.L,D,19890202,000000,330.3650,330.3650,330.3650,330.3650,0,0
ANTO.L,D,19890203,000000,341.2750,341.2750,341.2750,341.2750,0,0
ANTO.L,D,19890206,000000,342.2700,342.2700,342.2700,342.2700,0,0
ANTO.L,D,19890207,000000,341.2750,341.2750,341.2750,341.2750,0,0
ANTO.L,D,19890208,000000,344.2550,344.2550,344.2550,344.2550,0,0
ANTO.L,D,19890209,000000,352.1900,352.1900,352.1900,352.1900,0,0
ANTO.L,D,19890210,000000,354.1750,354.1750,354.1750,354.1750,0,0
ANTO.L,D,19890213,000000,355.1650,355.1650,355.1650,355.1650,0,0
ANTO.L,D,19890214,000000,356.1600,356.1600,356.1600,356.1600,0,0
ANTO.L,D,19890215,000000,356.1600,356.1600,356.1600,356.1600,0,0
ANTO.L,D,19890216,000000,356.1600,356.1600,356.1600,356.1600,0,0
ANTO.L,D,19890217,000000,356.1600,356.1600,356.1600,356.1600,0,0
ANTO.L,D,19890220,000000,354.1750,354.1750,354.1750,354.1750,0,0
ANTO.L,D,19890221,000000,356.1600,356.1600,356.1600,356.1600,0,0
ANTO.L,D,19890222,000000,351.1950,351.1950,351.1950,351.1950,0,0
ANTO.L,D,19890223,000000,349.2150,349.2150,349.2150,349.2150,0,0
ANTO.L,D,19890224,000000,353.1800,353.1800,353.1800,353.1800,0,0
ANTO.L,D,19890227,000000,351.1950,351.1950,351.1950,351.1950,0,0
ANTO.L,D,19890228,000000,349.2150,349.2150,349.2150,349.2150,0,0
ANTO.L,D,19890301,000000,351.1950,351.1950,351.1950,351.1950,0,0
ANTO.L,D,19890302,000000,351.1950,351.1950,351.1950,351.1950,0,0
ANTO.L,D,19890303,000000,349.2150,349.2150,349.2150,349.2150,0,0
ANTO.L,D,19890306,000000,351.1950,351.1950,351.1950,351.1950,0,0
ANTO.L,D,19890307,000000,349.2150,349.2150,349.2150,349.2150,0,0
ANTO.L,D,19890308,000000,353.1800,353.1800,353.1800,353.1800,0,0
ANTO.L,D,19890309,000000,361.1200,361.1200,361.1200,361.1200,0,0
ANTO.L,D,19890310,000000,380.9600,380.9600,380.9600,380.9600,0,0
ANTO.L,D,19890313,000000,406.7550,406.7550,406.7550,406.7550,0,0
ANTO.L,D,19890314,000000,423.6200,423.6200,423.6200,423.6200,0,0
ANTO.L,D,19890315,000000,419.6500,419.6500,419.6500,419.6500,0,0
ANTO.L,D,19890316,000000,419.6500,419.6500,419.6500,419.6500,0,0
ANTO.L,D,19890317,000000,412.7050,412.7050,412.7050,412.7050,0,0
ANTO.L,D,19890320,000000,408.7400,408.7400,408.7400,408.7400,0,0
ANTO.L,D,19890321,000000,411.7150,411.7150,411.7150,411.7150,0,0
ANTO.L,D,19890322,000000,410.7200,410.7200,410.7200,410.7200,0,0
ANTO.L,D,19890323,000000,410.7200,410.7200,410.7200,410.7200,0,0
ANTO.L,D,19890324,000000,410.7200,410.7200,410.7200,410.7200,0,0
ANTO.L,D,19890327,000000,410.7200,410.7200,410.7200,410.7200,0,0
ANTO.L,D,19890328,000000,410.7200,410.7200,410.7200,410.7200,0,0
ANTO.L,D,19890329,000000,410.7200,410.7200,410.7200,410.7200,0,0
ANTO.L,D,19890330,000000,407.7450,407.7450,407.7450,407.7450,0,0
ANTO.L,D,19890331,000000,404.7700,404.7700,404.7700,404.7700,0,0
ANTO.L,D,19890403,000000,400.8000,400.8000,400.8000,400.8000,0,0
ANTO.L,D,19890404,000000,395.8400,395.8400,395.8400,395.8400,0,0
ANTO.L,D,19890405,000000,395.8400,395.8400,395.8400,395.8400,0,0
ANTO.L,D,19890406,000000,388.8950,388.8950,388.8950,388.8950,0,0
ANTO.L,D,19890407,000000,388.8950,388.8950,388.8950,388.8950,0,0
ANTO.L,D,19890410,000000,383.9350,383.9350,383.9350,383.9350,0,0
ANTO.L,D,19890411,000000,383.9350,383.9350,383.9350,383.9350,0,0
ANTO.L,D,19890412,000000,383.9350,383.9350,383.9350,383.9350,0,0
ANTO.L,D,19890413,000000,384.9300,384.9300,384.9300,384.9300,0,0
ANTO.L,D,19890414,000000,385.9200,385.9200,385.9200,385.9200,0,0
ANTO.L,D,19890417,000000,378.9750,378.9750,378.9750,378.9750,0,0
ANTO.L,D,19890418,000000,379.9700,379.9700,379.9700,379.9700,0,0
ANTO.L,D,19890419,000000,375.0050,375.0050,375.0050,375.0050,0,0
ANTO.L,D,19890420,000000,371.0400,371.0400,371.0400,371.0400,0,0
ANTO.L,D,19890421,000000,367.0700,367.0700,367.0700,367.0700,0,0
ANTO.L,D,19890424,000000,367.0700,367.0700,367.0700,367.0700,0,0
ANTO.L,D,19890425,000000,368.0650,368.0650,368.0650,368.0650,0,0
ANTO.L,D,19890426,000000,374.0150,374.0150,374.0150,374.0150,0,0
ANTO.L,D,19890427,000000,374.0150,374.0150,374.0150,374.0150,0,0
ANTO.L,D,19890428,000000,377.9850,377.9850,377.9850,377.9850,0,0
ANTO.L,D,19890501,000000,377.9850,377.9850,377.9850,377.9850,0,0
ANTO.L,D,19890502,000000,378.9750,378.9750,378.9750,378.9750,0,0
ANTO.L,D,19890503,000000,378.9750,378.9750,378.9750,378.9750,0,0
ANTO.L,D,19890504,000000,379.9700,379.9700,379.9700,379.9700,0,0
ANTO.L,D,19890505,000000,380.9600,380.9600,380.9600,380.9600,0,0
ANTO.L,D,19890508,000000,380.9600,380.9600,380.9600,380.9600,0,0
ANTO.L,D,19890509,000000,382.9450,382.9450,382.9450,382.9450,0,0
ANTO.L,D,19890510,000000,382.9450,382.9450,382.9450,382.9450,0,0
ANTO.L,D,19890511,000000,383.9350,383.9350,383.9350,383.9350,0,0
ANTO.L,D,19890512,000000,385.9200,385.9200,385.9200,385.9200,0,0
ANTO.L,D,19890515,000000,384.9300,384.9300,384.9300,384.9300,0,0
ANTO.L,D,19890516,000000,385.9200,385.9200,385.9200,385.9200,0,0
ANTO.L,D,19890517,000000,385.9200,385.9200,385.9200,385.9200,0,0
ANTO.L,D,19890518,000000,385.9200,385.9200,385.9200,385.9200,0,0
ANTO.L,D,19890519,000000,385.9200,385.9200,385.9200,385.9200,0,0
ANTO.L,D,19890522,000000,383.9350,383.9350,383.9350,383.9350,0,0
ANTO.L,D,19890523,000000,385.9200,385.9200,385.9200,385.9200,0,0
ANTO.L,D,19890524,000000,384.9300,384.9300,384.9300,384.9300,0,0
ANTO.L,D,19890525,000000,384.9300,384.9300,384.9300,384.9300,0,0
ANTO.L,D,19890526,000000,384.9300,384.9300,384.9300,384.9300,0,0
ANTO.L,D,19890529,000000,384.9300,384.9300,384.9300,384.9300,0,0
ANTO.L,D,19890530,000000,383.9350,383.9350,383.9350,383.9350,0,0
ANTO.L,D,19890531,000000,384.9300,384.9300,384.9300,384.9300,0,0
ANTO.L,D,19890601,000000,384.9300,384.9300,384.9300,384.9300,0,0
