<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ARM.L,D,19980417,000000,2.0600,2.0600,2.0600,2.0600,1245541632,0
ARM.L,D,19980420,000000,2.1600,2.1600,2.1600,2.1600,504120000,0
ARM.L,D,19980421,000000,2.1800,2.1800,2.1800,2.1800,188148800,0
ARM.L,D,19980422,000000,2.0800,2.0800,2.0800,2.0800,111868800,0
ARM.L,D,19980423,000000,2.0800,2.0800,2.0800,2.0800,114201600,0
ARM.L,D,19980424,000000,2.0800,2.0800,2.0800,2.0800,138479200,0
ARM.L,D,19980427,000000,2.0400,2.0400,2.0400,2.0400,79574800,0
ARM.L,D,19980428,000000,2.1200,2.1200,2.1200,2.1200,46809200,0
ARM.L,D,19980429,000000,2.1200,2.1200,2.1200,2.1200,58996400,0
ARM.L,D,19980430,000000,2.0600,2.0600,2.0600,2.0600,60912400,0
ARM.L,D,19980501,000000,2.0600,2.0600,2.0600,2.0600,6239600,0
ARM.L,D,19980504,000000,2.0600,2.0600,2.0600,2.0600,0,0
ARM.L,D,19980505,000000,2.0600,2.0600,2.0600,2.0600,58722800,0
ARM.L,D,19980506,000000,2.0600,2.0600,2.0600,2.0600,31260000,0
ARM.L,D,19980507,000000,2.0400,2.0400,2.0400,2.0400,42163200,0
ARM.L,D,19980508,000000,2.0400,2.0400,2.0400,2.0400,46162400,0
ARM.L,D,19980511,000000,1.9800,1.9800,1.9800,1.9800,27240000,0
ARM.L,D,19980512,000000,1.8800,1.8800,1.8800,1.8800,84120000,0
ARM.L,D,19980513,000000,1.9400,1.9400,1.9400,1.9400,61611600,0
ARM.L,D,19980514,000000,2.0600,2.0600,2.0600,2.0600,37334000,0
ARM.L,D,19980515,000000,2.0400,2.0400,2.0400,2.0400,29934000,0
ARM.L,D,19980518,000000,2.0400,2.0400,2.0400,2.0400,18244000,0
ARM.L,D,19980519,000000,2.0200,2.0200,2.0200,2.0200,45901600,0
ARM.L,D,19980520,000000,2.0200,2.0200,2.0200,2.0200,57648000,0
ARM.L,D,19980521,000000,2.0600,2.0600,2.0600,2.0600,17940000,0
ARM.L,D,19980522,000000,2.0200,2.0200,2.0200,2.0200,44190400,0
ARM.L,D,19980525,000000,2.0200,2.0200,2.0200,2.0200,0,0
ARM.L,D,19980526,000000,1.9600,1.9600,1.9600,1.9600,33854400,0
ARM.L,D,19980527,000000,1.9200,1.9200,1.9200,1.9200,2796800,0
ARM.L,D,19980528,000000,1.9200,1.9200,1.9200,1.9200,6610400,0
ARM.L,D,19980529,000000,1.9200,1.9200,1.9200,1.9200,31524000,0
ARM.L,D,19980601,000000,1.9000,1.9000,1.9000,1.9000,7311200,0
ARM.L,D,19980602,000000,1.9200,1.9200,1.9200,1.9200,76061600,0
ARM.L,D,19980603,000000,1.9200,1.9200,1.9200,1.9200,7629200,0
ARM.L,D,19980604,000000,1.9200,1.9200,1.9200,1.9200,21899600,0
ARM.L,D,19980605,000000,1.9600,1.9600,1.9600,1.9600,1478000,0
ARM.L,D,19980608,000000,312000.0000,318000.0000,312000.0000,318000.0000,200,0
ARM.L,D,19980609,000000,337000.0000,352000.0000,337000.0000,352000.0000,5900,0
ARM.L,D,19980610,000000,350000.0000,350000.0000,346000.0000,350000.0000,8200,0
ARM.L,D,19980611,000000,350000.0000,350000.0000,350000.0000,350000.0000,0,0
ARM.L,D,19980612,000000,348000.0000,348000.0000,347000.0000,347000.0000,0,0
ARM.L,D,19980615,000000,347000.0000,348000.0000,343000.0000,344000.0000,5700,0
ARM.L,D,19980616,000000,328000.0000,332000.0000,325000.0000,330000.0000,12500,0
ARM.L,D,19980617,000000,330000.0000,344000.0000,330000.0000,344000.0000,4500,0
ARM.L,D,19980618,000000,344000.0000,344000.0000,344000.0000,344000.0000,8200,0
ARM.L,D,19980619,000000,2.4000,2.4000,2.4000,2.4000,37146400,0
ARM.L,D,19980622,000000,370000.0000,370000.0000,358000.0000,362000.0000,11800,0
ARM.L,D,19980623,000000,2.2400,2.2400,2.2400,2.2400,43551200,0
ARM.L,D,19980624,000000,362000.0000,362000.0000,362000.0000,362000.0000,16900,0
ARM.L,D,19980625,000000,357000.0000,357000.0000,357000.0000,357000.0000,22400,0
ARM.L,D,19980626,000000,392000.0000,494000.0000,392000.0000,432000.0000,8400,0
ARM.L,D,19980629,000000,432000.0000,450000.0000,432000.0000,442000.0000,17400,0
ARM.L,D,19980630,000000,450000.0000,492000.0000,450000.0000,492000.0000,10200,0
ARM.L,D,19980701,000000,484000.0000,484000.0000,480000.0000,480000.0000,7200,0
ARM.L,D,19980702,000000,480000.0000,480000.0000,480000.0000,480000.0000,1700,0
ARM.L,D,19980703,000000,472000.0000,472000.0000,462000.0000,466000.0000,5000,0
ARM.L,D,19980706,000000,468000.0000,470000.0000,468000.0000,470000.0000,300,0
ARM.L,D,19980707,000000,470000.0000,470000.0000,470000.0000,470000.0000,1700,0
ARM.L,D,19980708,000000,470000.0000,470000.0000,470000.0000,470000.0000,2800,0
ARM.L,D,19980709,000000,470000.0000,470000.0000,470000.0000,470000.0000,5700,0
ARM.L,D,19980710,000000,470000.0000,470000.0000,468000.0000,468000.0000,13300,0
ARM.L,D,19980713,000000,468000.0000,468000.0000,468000.0000,468000.0000,3900,0
ARM.L,D,19980714,000000,468000.0000,468000.0000,468000.0000,468000.0000,5200,0
ARM.L,D,19980715,000000,468000.0000,472000.0000,468000.0000,470000.0000,4600,0
ARM.L,D,19980716,000000,470000.0000,470000.0000,470000.0000,470000.0000,2200,0
ARM.L,D,19980717,000000,472000.0000,474000.0000,470000.0000,474000.0000,6500,0
ARM.L,D,19980720,000000,474000.0000,477000.0000,474000.0000,477000.0000,300,0
ARM.L,D,19980721,000000,477000.0000,490000.0000,476000.0000,490000.0000,800,0
ARM.L,D,19980722,000000,490000.0000,490000.0000,490000.0000,490000.0000,21800,0
ARM.L,D,19980723,000000,3.0600,3.0600,3.0600,3.0600,996400,0
ARM.L,D,19980724,000000,490000.0000,490000.0000,490000.0000,490000.0000,5200,0
ARM.L,D,19980727,000000,490000.0000,506000.0000,490000.0000,506000.0000,1600,0
ARM.L,D,19980728,000000,512000.0000,526000.0000,512000.0000,516000.0000,5500,0
ARM.L,D,19980729,000000,516000.0000,516000.0000,510000.0000,510000.0000,3100,0
ARM.L,D,19980730,000000,508000.0000,525000.0000,508000.0000,525000.0000,10700,0
ARM.L,D,19980731,000000,523000.0000,523000.0000,506000.0000,510000.0000,5500,0
ARM.L,D,19980803,000000,508000.0000,508000.0000,480000.0000,481000.0000,17300,0
ARM.L,D,19980804,000000,480000.0000,480000.0000,462000.0000,465000.0000,4600,0
ARM.L,D,19980805,000000,442000.0000,442000.0000,418000.0000,418000.0000,4100,0
ARM.L,D,19980806,000000,420000.0000,420000.0000,414000.0000,414000.0000,300,0
ARM.L,D,19980807,000000,420000.0000,420000.0000,420000.0000,420000.0000,3200,0
ARM.L,D,19980810,000000,434000.0000,466000.0000,434000.0000,450000.0000,4100,0
ARM.L,D,19980811,000000,450000.0000,450000.0000,406000.0000,406000.0000,900,0
ARM.L,D,19980812,000000,413000.0000,426000.0000,413000.0000,426000.0000,11100,0
ARM.L,D,19980813,000000,422000.0000,422000.0000,416000.0000,416000.0000,5100,0
ARM.L,D,19980814,000000,416000.0000,421000.0000,416000.0000,421000.0000,1300,0
ARM.L,D,19980817,000000,1029.4800,1052.5000,1029.4800,1052.5000,0,0
ARM.L,D,19980818,000000,423000.0000,460000.0000,423000.0000,460000.0000,100,0
ARM.L,D,19980819,000000,1150.0000,1180.0000,1150.0000,1180.0000,0,0
ARM.L,D,19980820,000000,474000.0000,484000.0000,474000.0000,484000.0000,5500,0
ARM.L,D,19980821,000000,488000.0000,488000.0000,488000.0000,488000.0000,2500,0
ARM.L,D,19980824,000000,1213.0000,1242.5000,1210.0000,1242.5000,0,0
ARM.L,D,19980825,000000,1240.0000,1250.0000,1220.0000,1250.0000,0,0
ARM.L,D,19980826,000000,500000.0000,500000.0000,498000.0000,498000.0000,1600,0
ARM.L,D,19980827,000000,498000.0000,498000.0000,492000.0000,492000.0000,8800,0
ARM.L,D,19980828,000000,478000.0000,478000.0000,457000.0000,457000.0000,1600,0
ARM.L,D,19980831,000000,2.8600,2.8600,2.8600,2.8600,0,0
ARM.L,D,19980901,000000,2.4200,2.4200,2.4200,2.4200,0,0
ARM.L,D,19980902,000000,399000.0000,442000.0000,399000.0000,442000.0000,0,0
ARM.L,D,19980903,000000,1020.0000,1095.0000,1020.0000,1095.0000,0,0
ARM.L,D,19980904,000000,1100.0000,1120.0000,1070.0000,1095.0000,0,0
ARM.L,D,19980907,000000,1070.0000,1120.0000,1070.0000,1105.0000,0,0
ARM.L,D,19980908,000000,444000.0000,448000.0000,438000.0000,448000.0000,500,0
ARM.L,D,19980909,000000,448000.0000,448000.0000,448000.0000,448000.0000,2800,0
ARM.L,D,19980910,000000,448000.0000,448000.0000,410000.0000,410000.0000,1000,0
ARM.L,D,19980911,000000,1000.0000,1000.0000,970.0000,970.0000,0,0
ARM.L,D,19980914,000000,388000.0000,388000.0000,388000.0000,388000.0000,1500,0
ARM.L,D,19980915,000000,386000.0000,386000.0000,386000.0000,386000.0000,1500,0
ARM.L,D,19980916,000000,386000.0000,394000.0000,386000.0000,394000.0000,1500,0
ARM.L,D,19980917,000000,980.0000,990.0000,935.0000,935.0000,0,0
ARM.L,D,19980918,000000,970.0000,970.0000,910.0000,935.0000,0,0
ARM.L,D,19980921,000000,955.0000,960.0000,910.0000,930.0000,0,0
ARM.L,D,19980922,000000,374000.0000,380000.0000,374000.0000,380000.0000,500,0
ARM.L,D,19980923,000000,960.0000,960.0000,920.0000,945.0000,0,0
ARM.L,D,19980924,000000,957.0000,967.5000,957.0000,967.5000,0,0
ARM.L,D,19980925,000000,967.5000,967.5000,887.5000,887.5000,0,0
ARM.L,D,19980928,000000,910.0000,910.0000,875.0000,892.5000,0,0
ARM.L,D,19980929,000000,898.0000,900.0000,875.0000,875.0000,0,0
ARM.L,D,19980930,000000,895.0000,900.0000,873.7000,880.0000,0,0
ARM.L,D,19981001,000000,880.0000,880.0000,845.0000,845.0000,0,0
ARM.L,D,19981002,000000,334000.0000,334000.0000,299800.0000,322000.0000,7700,0
ARM.L,D,19981005,000000,324000.0000,324000.0000,324000.0000,324000.0000,200,0
ARM.L,D,19981006,000000,780.0000,832.5000,780.0000,832.5000,0,0
ARM.L,D,19981007,000000,830.0000,868.0000,830.0000,855.0000,0,0
ARM.L,D,19981008,000000,865.0000,880.0000,835.0000,855.0000,0,0
ARM.L,D,19981009,000000,830.0000,880.0000,830.0000,850.0000,0,0
ARM.L,D,19981012,000000,370000.0000,370000.0000,354000.0000,370000.0000,500,0
ARM.L,D,19981013,000000,900.0000,945.0000,900.0000,910.0000,0,0
ARM.L,D,19981014,000000,364000.0000,365000.0000,338000.0000,338000.0000,400,0
ARM.L,D,19981015,000000,325332.0000,336000.0000,316000.0000,324000.0000,5300,0
ARM.L,D,19981016,000000,820.0000,850.0000,790.0000,820.0000,0,0
ARM.L,D,19981019,000000,330000.0000,330000.0000,328000.0000,328000.0000,200,0
ARM.L,D,19981020,000000,840.0000,840.0000,800.0000,835.0000,0,0
ARM.L,D,19981021,000000,330000.0000,338000.0000,330000.0000,338000.0000,12200,0
ARM.L,D,19981022,000000,845.0000,860.0000,820.0000,845.0000,0,0
ARM.L,D,19981023,000000,342000.0000,348000.0000,338000.0000,348000.0000,2600,0
ARM.L,D,19981026,000000,850.0000,890.0000,845.0000,877.5000,0,0
ARM.L,D,19981027,000000,354000.0000,362000.0000,352000.0000,362000.0000,500,0
ARM.L,D,19981028,000000,358000.0000,362000.0000,356000.0000,356000.0000,1400,0
ARM.L,D,19981029,000000,354000.0000,356000.0000,354000.0000,356000.0000,1400,0
ARM.L,D,19981030,000000,910.0000,910.0000,870.0000,895.0000,0,0
ARM.L,D,19981102,000000,354000.0000,358000.0000,354000.0000,358000.0000,3100,0
ARM.L,D,19981103,000000,362000.0000,362000.0000,358000.0000,358000.0000,100,0
ARM.L,D,19981104,000000,362000.0000,362000.0000,358000.0000,359000.0000,1600,0
ARM.L,D,19981105,000000,362000.0000,362000.0000,358000.0000,360000.0000,1100,0
ARM.L,D,19981106,000000,908.0000,915.0000,887.0000,902.5000,0,0
ARM.L,D,19981109,000000,362000.0000,363000.0000,361000.0000,361000.0000,1100,0
ARM.L,D,19981110,000000,880.0000,930.0000,880.0000,902.5000,0,0
ARM.L,D,19981111,000000,362000.0000,362000.0000,359000.0000,361000.0000,9100,0
ARM.L,D,19981112,000000,358000.0000,363000.0000,358000.0000,363000.0000,9100,0
ARM.L,D,19981113,000000,900.0000,920.0000,895.0000,910.0000,0,0
ARM.L,D,19981116,000000,370000.0000,371000.0000,364000.0000,371000.0000,900,0
ARM.L,D,19981117,000000,372000.0000,372000.0000,371000.0000,372000.0000,2400,0
ARM.L,D,19981118,000000,378000.0000,390000.0000,376000.0000,390000.0000,4600,0
ARM.L,D,19981119,000000,424668.0000,440000.0000,394000.0000,440000.0000,2600,0
ARM.L,D,19981120,000000,438000.0000,440000.0000,438000.0000,440000.0000,3600,0
ARM.L,D,19981123,000000,438000.0000,440000.0000,438000.0000,440000.0000,1000,0
ARM.L,D,19981124,000000,440000.0000,442000.0000,438000.0000,440000.0000,3200,0
ARM.L,D,19981125,000000,434000.0000,438000.0000,434000.0000,436000.0000,3900,0
ARM.L,D,19981126,000000,434000.0000,438000.0000,434000.0000,436000.0000,9000,0
ARM.L,D,19981127,000000,430000.0000,440000.0000,430000.0000,440000.0000,4800,0
ARM.L,D,19981130,000000,442000.0000,442000.0000,440000.0000,440000.0000,4500,0
ARM.L,D,19981201,000000,438000.0000,440000.0000,438000.0000,438000.0000,10400,0
ARM.L,D,19981202,000000,442000.0000,442000.0000,436000.0000,436000.0000,800,0
ARM.L,D,19981203,000000,434000.0000,438000.0000,434000.0000,436000.0000,1800,0
ARM.L,D,19981204,000000,434000.0000,436000.0000,432000.0000,436000.0000,1400,0
ARM.L,D,19981207,000000,442000.0000,442000.0000,436000.0000,436000.0000,100,0
ARM.L,D,19981208,000000,430000.0000,478000.0000,430000.0000,478000.0000,15300,0
