<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ASHM.L,D,20061012,000000,185.0000,202.0000,170.2550,192.0000,42724400,0
ASHM.L,D,20061013,000000,192.0000,194.9990,189.0000,193.7500,6080700,0
ASHM.L,D,20061016,000000,195.0000,203.0000,170.0000,199.0000,11461000,0
ASHM.L,D,20061017,000000,200.0000,208.0000,200.0000,206.0000,11843900,0
ASHM.L,D,20061018,000000,203.0000,208.0000,202.9990,207.0000,2685900,0
ASHM.L,D,20061019,000000,206.0000,207.0000,205.9990,206.2500,3757500,0
ASHM.L,D,20061020,000000,206.0000,206.0000,198.0000,198.0000,1500900,0
ASHM.L,D,20061023,000000,198.0000,199.9990,195.0000,198.7500,1059400,0
ASHM.L,D,20061024,000000,197.5000,203.0000,192.0000,197.5000,2232700,0
ASHM.L,D,20061025,000000,195.0000,199.9990,192.8070,197.0000,2871900,0
ASHM.L,D,20061026,000000,198.0000,202.9990,198.0000,201.0000,564100,0
ASHM.L,D,20061027,000000,196.2500,200.0000,196.2500,198.7500,50500,0
ASHM.L,D,20061030,000000,196.2500,198.0000,196.0000,196.7500,672300,0
ASHM.L,D,20061031,000000,196.0000,196.0000,193.0000,194.7500,655200,0
ASHM.L,D,20061101,000000,195.0000,196.0000,192.0000,192.2500,943600,0
ASHM.L,D,20061102,000000,196.0000,196.0000,192.0000,193.2500,1763500,0
ASHM.L,D,20061103,000000,195.0000,195.0000,190.0000,192.0000,253100,0
ASHM.L,D,20061106,000000,190.0000,195.0000,190.0000,193.5000,4633900,0
ASHM.L,D,20061107,000000,193.0000,193.0000,191.2500,191.2500,120100,0
ASHM.L,D,20061108,000000,190.0000,194.9990,189.0000,189.0000,163800,0
ASHM.L,D,20061109,000000,195.0000,195.0000,189.6700,194.0000,1378900,0
ASHM.L,D,20061110,000000,195.0000,197.0000,195.0000,196.0000,681300,0
ASHM.L,D,20061113,000000,198.0000,198.0000,194.0000,194.0000,3011200,0
ASHM.L,D,20061114,000000,195.0000,195.0000,194.9990,195.0000,91300,0
ASHM.L,D,20061115,000000,195.0000,195.0000,193.7500,193.7500,200000,0
ASHM.L,D,20061116,000000,195.0000,196.5000,195.0000,196.5000,1427300,0
ASHM.L,D,20061117,000000,197.9990,197.9990,197.7500,197.7500,5000,0
ASHM.L,D,20061120,000000,198.0000,202.4990,196.5000,200.2500,1374100,0
ASHM.L,D,20061121,000000,203.5000,205.7500,199.6000,205.7500,513100,0
ASHM.L,D,20061122,000000,207.9990,207.9990,207.0000,207.0000,1400,0
ASHM.L,D,20061123,000000,205.0000,207.0000,204.0000,204.0000,62000,0
ASHM.L,D,20061124,000000,202.0000,208.7500,202.0000,208.7500,710100,0
ASHM.L,D,20061127,000000,209.5000,217.7490,207.5000,211.0000,2464500,0
ASHM.L,D,20061128,000000,208.0000,211.5000,207.0010,211.5000,856000,0
ASHM.L,D,20061129,000000,214.0000,214.4990,210.0000,212.0000,123100,0
ASHM.L,D,20061130,000000,215.0000,223.7500,215.0000,223.7500,1174400,0
ASHM.L,D,20061201,000000,220.0000,222.0000,218.0000,219.0000,56800,0
ASHM.L,D,20061204,000000,226.7500,230.0000,218.7810,229.5000,934600,0
ASHM.L,D,20061205,000000,230.0000,234.7490,227.0010,231.5000,1450300,0
ASHM.L,D,20061206,000000,231.5000,243.0000,231.5000,237.0000,396200,0
ASHM.L,D,20061207,000000,237.0000,241.0000,231.0000,241.0000,3521500,0
ASHM.L,D,20061208,000000,243.0000,258.0000,242.5000,258.0000,3330500,0
ASHM.L,D,20061211,000000,256.0000,261.0000,253.0000,256.0000,5559600,0
ASHM.L,D,20061212,000000,254.2500,267.0000,254.2500,267.0000,13063800,0
ASHM.L,D,20061213,000000,258.0000,273.2500,258.0000,264.5000,3930900,0
ASHM.L,D,20061214,000000,260.0000,265.0000,260.0000,260.0000,4692400,0
ASHM.L,D,20061215,000000,259.5000,260.0000,242.2500,242.2500,6831100,0
ASHM.L,D,20061218,000000,246.0000,246.0000,230.0000,230.0000,2800500,0
ASHM.L,D,20061219,000000,230.0000,235.0000,230.0000,234.7500,1398900,0
ASHM.L,D,20061220,000000,235.0000,239.7500,230.0000,230.0000,605700,0
ASHM.L,D,20061221,000000,235.0000,247.0000,232.0000,243.0000,333700,0
ASHM.L,D,20061222,000000,245.0000,253.0000,243.0000,253.0000,50800,0
ASHM.L,D,20061225,000000,253.0000,253.0000,253.0000,253.0000,0,0
ASHM.L,D,20061226,000000,253.0000,253.0000,253.0000,253.0000,0,0
ASHM.L,D,20061227,000000,252.0000,259.0000,251.0000,258.7500,331900,0
ASHM.L,D,20061228,000000,259.5000,262.7500,247.5000,247.5000,359700,0
ASHM.L,D,20061229,000000,250.0000,258.7500,250.0000,258.7500,72400,0
ASHM.L,D,20070101,000000,258.7500,258.7500,258.7500,258.7500,0,0
ASHM.L,D,20070102,000000,259.7500,260.9850,257.7500,258.7500,1589900,0
ASHM.L,D,20070103,000000,258.7500,264.9990,258.7490,262.0000,7367800,0
ASHM.L,D,20070104,000000,260.0000,260.0000,245.0000,250.0000,3372200,0
