<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AZN.L,D,19930521,000000,602.5010,602.5010,602.5010,602.5010,0,0
AZN.L,D,19930524,000000,599.6090,599.6090,599.6090,599.6090,0,0
AZN.L,D,19930525,000000,607.3210,607.3210,607.3210,607.3210,0,0
AZN.L,D,19930526,000000,616.4790,616.4790,616.4790,616.4790,0,0
AZN.L,D,19930527,000000,616.9610,616.9610,616.9610,616.9610,0,0
AZN.L,D,19930528,000000,609.2490,609.2490,609.2490,609.2490,0,0
AZN.L,D,19930531,000000,609.2490,609.2490,609.2490,609.2490,0,0
AZN.L,D,19930601,000000,614.7320,614.7320,614.7320,614.7320,0,0
AZN.L,D,19930602,000000,618.6350,618.6350,618.6350,618.6350,0,0
AZN.L,D,19930603,000000,610.8290,610.8290,610.8290,610.8290,0,0
AZN.L,D,19930604,000000,605.9500,605.9500,605.9500,605.9500,0,0
AZN.L,D,19930607,000000,602.5350,602.5350,602.5350,602.5350,0,0
AZN.L,D,19930608,000000,597.1680,597.1680,597.1680,597.1680,0,0
AZN.L,D,19930609,000000,604.9750,604.9750,604.9750,604.9750,0,0
AZN.L,D,19930610,000000,602.0470,602.0470,602.0470,602.0470,0,0
AZN.L,D,19930611,000000,601.0720,601.0720,601.0720,601.0720,0,0
AZN.L,D,19930614,000000,602.0470,602.0470,602.0470,602.0470,0,0
AZN.L,D,19930615,000000,601.0720,601.0720,601.0720,601.0720,0,0
AZN.L,D,19930616,000000,607.9020,607.9020,607.9020,607.9020,0,0
AZN.L,D,19930617,000000,605.9500,605.9500,605.9500,605.9500,0,0
AZN.L,D,19930618,000000,606.9260,606.9260,606.9260,606.9260,0,0
AZN.L,D,19930621,000000,606.9260,606.9260,606.9260,606.9260,0,0
AZN.L,D,19930622,000000,610.8290,610.8290,610.8290,610.8290,0,0
AZN.L,D,19930623,000000,610.8290,610.8290,610.8290,610.8290,0,0
AZN.L,D,19930624,000000,608.8780,608.8780,608.8780,608.8780,0,0
AZN.L,D,19930625,000000,608.8780,608.8780,608.8780,608.8780,0,0
AZN.L,D,19930628,000000,608.8780,608.8780,608.8780,608.8780,0,0
AZN.L,D,19930629,000000,606.9260,606.9260,606.9260,606.9260,0,0
AZN.L,D,19930630,000000,609.8530,609.8530,609.8530,609.8530,0,0
AZN.L,D,19930701,000000,608.8780,608.8780,608.8780,608.8780,0,0
AZN.L,D,19930702,000000,609.8530,609.8530,609.8530,609.8530,0,0
AZN.L,D,19930705,000000,603.9990,603.9990,603.9990,603.9990,0,0
AZN.L,D,19930706,000000,603.9990,603.9990,603.9990,603.9990,0,0
AZN.L,D,19930707,000000,602.0470,602.0470,602.0470,602.0470,0,0
AZN.L,D,19930708,000000,600.0960,600.0960,600.0960,600.0960,0,0
AZN.L,D,19930709,000000,598.1440,598.1440,598.1440,598.1440,0,0
