<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BAB.L,D,19890811,000000,1.4920,1.4920,1.4920,1.4920,0,0
BAB.L,D,19890814,000000,1.6750,1.6750,1.6750,1.6750,0,0
BAB.L,D,19890815,000000,1.6750,1.6750,1.6750,1.6750,0,0
BAB.L,D,19890816,000000,1.7140,1.7140,1.7140,1.7140,0,0
BAB.L,D,19890817,000000,1.7140,1.7140,1.7140,1.7140,0,0
BAB.L,D,19890818,000000,1.7400,1.7400,1.7400,1.7400,0,0
BAB.L,D,19890821,000000,1.7140,1.7140,1.7140,1.7140,0,0
BAB.L,D,19890822,000000,1.7010,1.7010,1.7010,1.7010,0,0
BAB.L,D,19890823,000000,1.6880,1.6880,1.6880,1.6880,0,0
BAB.L,D,19890824,000000,1.6880,1.6880,1.6880,1.6880,0,0
BAB.L,D,19890825,000000,1.7010,1.7010,1.7010,1.7010,0,0
BAB.L,D,19890828,000000,1.7010,1.7010,1.7010,1.7010,0,0
BAB.L,D,19890829,000000,1.7010,1.7010,1.7010,1.7010,0,0
BAB.L,D,19890830,000000,1.6880,1.6880,1.6880,1.6880,0,0
BAB.L,D,19890831,000000,1.6880,1.6880,1.6880,1.6880,0,0
BAB.L,D,19890901,000000,1.6880,1.6880,1.6880,1.6880,0,0
BAB.L,D,19890904,000000,1.6810,1.6810,1.6810,1.6810,0,0
BAB.L,D,19890905,000000,1.6490,1.6490,1.6490,1.6490,0,0
BAB.L,D,19890906,000000,1.6620,1.6620,1.6620,1.6620,0,0
BAB.L,D,19890907,000000,1.6620,1.6620,1.6620,1.6620,0,0
BAB.L,D,19890908,000000,1.6620,1.6620,1.6620,1.6620,0,0
BAB.L,D,19890911,000000,1.6360,1.6360,1.6360,1.6360,0,0
BAB.L,D,19890912,000000,1.5830,1.5830,1.5830,1.5830,0,0
BAB.L,D,19890913,000000,1.5830,1.5830,1.5830,1.5830,0,0
BAB.L,D,19890914,000000,1.5700,1.5700,1.5700,1.5700,0,0
BAB.L,D,19890915,000000,1.5570,1.5570,1.5570,1.5570,0,0
BAB.L,D,19890918,000000,1.5570,1.5570,1.5570,1.5570,0,0
BAB.L,D,19890919,000000,1.5570,1.5570,1.5570,1.5570,0,0
BAB.L,D,19890920,000000,1.5570,1.5570,1.5570,1.5570,0,0
BAB.L,D,19890921,000000,1.5640,1.5640,1.5640,1.5640,0,0
BAB.L,D,19890922,000000,1.5570,1.5570,1.5570,1.5570,0,0
BAB.L,D,19890925,000000,1.5570,1.5570,1.5570,1.5570,0,0
BAB.L,D,19890926,000000,1.5370,1.5370,1.5370,1.5370,0,0
BAB.L,D,19890927,000000,1.5310,1.5310,1.5310,1.5310,0,0
BAB.L,D,19890928,000000,1.5050,1.5050,1.5050,1.5050,0,0
BAB.L,D,19890929,000000,1.5240,1.5240,1.5240,1.5240,0,0
BAB.L,D,19891002,000000,1.5050,1.5050,1.5050,1.5050,0,0
BAB.L,D,19891003,000000,1.5110,1.5110,1.5110,1.5110,0,0
BAB.L,D,19891004,000000,1.5050,1.5050,1.5050,1.5050,0,0
BAB.L,D,19891005,000000,1.4850,1.4850,1.4850,1.4850,0,0
BAB.L,D,19891006,000000,1.4650,1.4650,1.4650,1.4650,0,0
BAB.L,D,19891009,000000,1.4390,1.4390,1.4390,1.4390,0,0
BAB.L,D,19891010,000000,1.4000,1.4000,1.4000,1.4000,0,0
BAB.L,D,19891011,000000,1.4070,1.4070,1.4070,1.4070,0,0
BAB.L,D,19891012,000000,1.4260,1.4260,1.4260,1.4260,0,0
BAB.L,D,19891013,000000,1.4260,1.4260,1.4260,1.4260,0,0
BAB.L,D,19891016,000000,1.3740,1.3740,1.3740,1.3740,0,0
BAB.L,D,19891017,000000,1.3540,1.3540,1.3540,1.3540,0,0
BAB.L,D,19891018,000000,1.3480,1.3480,1.3480,1.3480,0,0
BAB.L,D,19891019,000000,1.4260,1.4260,1.4260,1.4260,0,0
BAB.L,D,19891020,000000,1.4260,1.4260,1.4260,1.4260,0,0
BAB.L,D,19891023,000000,1.4590,1.4590,1.4590,1.4590,0,0
BAB.L,D,19891024,000000,1.4520,1.4520,1.4520,1.4520,0,0
BAB.L,D,19891025,000000,1.4390,1.4390,1.4390,1.4390,0,0
BAB.L,D,19891026,000000,1.3870,1.3870,1.3870,1.3870,0,0
BAB.L,D,19891027,000000,1.3480,1.3480,1.3480,1.3480,0,0
BAB.L,D,19891030,000000,1.3480,1.3480,1.3480,1.3480,0,0
BAB.L,D,19891031,000000,1.3670,1.3670,1.3670,1.3670,0,0
BAB.L,D,19891101,000000,1.3740,1.3740,1.3740,1.3740,0,0
BAB.L,D,19891102,000000,1.3480,1.3480,1.3480,1.3480,0,0
BAB.L,D,19891103,000000,1.3800,1.3800,1.3800,1.3800,0,0
BAB.L,D,19891106,000000,1.4000,1.4000,1.4000,1.4000,0,0
BAB.L,D,19891107,000000,1.3740,1.3740,1.3740,1.3740,0,0
BAB.L,D,19891108,000000,1.3740,1.3740,1.3740,1.3740,0,0
BAB.L,D,19891109,000000,1.4000,1.4000,1.4000,1.4000,0,0
BAB.L,D,19891110,000000,1.3870,1.3870,1.3870,1.3870,0,0
BAB.L,D,19891113,000000,1.3740,1.3740,1.3740,1.3740,0,0
BAB.L,D,19891114,000000,1.3610,1.3610,1.3610,1.3610,0,0
BAB.L,D,19891115,000000,1.3480,1.3480,1.3480,1.3480,0,0
BAB.L,D,19891116,000000,1.3350,1.3350,1.3350,1.3350,0,0
BAB.L,D,19891117,000000,1.3220,1.3220,1.3220,1.3220,0,0
BAB.L,D,19891120,000000,1.2950,1.2950,1.2950,1.2950,0,0
BAB.L,D,19891121,000000,1.3410,1.3410,1.3410,1.3410,0,0
BAB.L,D,19891122,000000,1.3350,1.3350,1.3350,1.3350,0,0
BAB.L,D,19891123,000000,1.3480,1.3480,1.3480,1.3480,0,0
BAB.L,D,19891124,000000,1.3740,1.3740,1.3740,1.3740,0,0
BAB.L,D,19891127,000000,1.3740,1.3740,1.3740,1.3740,0,0
BAB.L,D,19891128,000000,1.3800,1.3800,1.3800,1.3800,0,0
BAB.L,D,19891129,000000,1.3610,1.3610,1.3610,1.3610,0,0
BAB.L,D,19891130,000000,1.3800,1.3800,1.3800,1.3800,0,0
BAB.L,D,19891201,000000,1.3740,1.3740,1.3740,1.3740,0,0
BAB.L,D,19891204,000000,1.3740,1.3740,1.3740,1.3740,0,0
BAB.L,D,19891205,000000,1.3740,1.3740,1.3740,1.3740,0,0
BAB.L,D,19891206,000000,1.3740,1.3740,1.3740,1.3740,0,0
BAB.L,D,19891207,000000,1.3800,1.3800,1.3800,1.3800,0,0
BAB.L,D,19891208,000000,1.3800,1.3800,1.3800,1.3800,0,0
BAB.L,D,19891211,000000,1.3540,1.3540,1.3540,1.3540,0,0
BAB.L,D,19891212,000000,1.3540,1.3540,1.3540,1.3540,0,0
BAB.L,D,19891213,000000,1.3480,1.3480,1.3480,1.3480,0,0
BAB.L,D,19891214,000000,1.3480,1.3480,1.3480,1.3480,0,0
BAB.L,D,19891215,000000,1.3740,1.3740,1.3740,1.3740,0,0
BAB.L,D,19891218,000000,1.3670,1.3670,1.3670,1.3670,0,0
BAB.L,D,19891219,000000,1.3610,1.3610,1.3610,1.3610,0,0
BAB.L,D,19891220,000000,1.3610,1.3610,1.3610,1.3610,0,0
BAB.L,D,19891221,000000,1.3610,1.3610,1.3610,1.3610,0,0
BAB.L,D,19891222,000000,1.3540,1.3540,1.3540,1.3540,0,0
BAB.L,D,19891225,000000,1.3540,1.3540,1.3540,1.3540,0,0
BAB.L,D,19891226,000000,1.3540,1.3540,1.3540,1.3540,0,0
BAB.L,D,19891227,000000,1.3610,1.3610,1.3610,1.3610,0,0
BAB.L,D,19891228,000000,1.3480,1.3480,1.3480,1.3480,0,0
BAB.L,D,19891229,000000,1.3480,1.3480,1.3480,1.3480,0,0
BAB.L,D,19900101,000000,1.3480,1.3480,1.3480,1.3480,0,0
BAB.L,D,19900102,000000,1.3480,1.3480,1.3480,1.3480,0,0
BAB.L,D,19900103,000000,1.4070,1.4070,1.4070,1.4070,0,0
BAB.L,D,19900104,000000,1.4260,1.4260,1.4260,1.4260,0,0
BAB.L,D,19900105,000000,1.4260,1.4260,1.4260,1.4260,0,0
BAB.L,D,19900108,000000,1.4130,1.4130,1.4130,1.4130,0,0
BAB.L,D,19900109,000000,1.4000,1.4000,1.4000,1.4000,0,0
