<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BARC.L,D,19880701,000000,6000.6240,6000.6240,6000.6240,6000.6240,0,0
BARC.L,D,19880704,000000,5926.7598,5926.7598,5926.7598,5926.7598,0,0
BARC.L,D,19880705,000000,6000.6240,6000.6240,6000.6240,6000.6240,0,0
BARC.L,D,19880706,000000,6133.6802,6133.6802,6133.6802,6133.6802,0,0
BARC.L,D,19880707,000000,6059.7598,6059.7598,6059.7598,6059.7598,0,0
BARC.L,D,19880708,000000,6059.7598,6059.7598,6059.7598,6059.7598,0,0
BARC.L,D,19880711,000000,6059.7598,6059.7598,6059.7598,6059.7598,0,0
BARC.L,D,19880712,000000,6133.6802,6133.6802,6133.6802,6133.6802,0,0
BARC.L,D,19880713,000000,6237.1118,6237.1118,6237.1118,6237.1118,0,0
BARC.L,D,19880714,000000,6163.2480,6163.2480,6163.2480,6163.2480,0,0
BARC.L,D,19880715,000000,6104.1118,6104.1118,6104.1118,6104.1118,0,0
BARC.L,D,19880718,000000,6133.6802,6133.6802,6133.6802,6133.6802,0,0
BARC.L,D,19880719,000000,6177.9761,6177.9761,6177.9761,6177.9761,0,0
BARC.L,D,19880720,000000,6177.9761,6177.9761,6177.9761,6177.9761,0,0
BARC.L,D,19880721,000000,6251.8960,6251.8960,6251.8960,6251.8960,0,0
BARC.L,D,19880722,000000,6177.9761,6177.9761,6177.9761,6177.9761,0,0
BARC.L,D,19880725,000000,6133.6802,6133.6802,6133.6802,6133.6802,0,0
BARC.L,D,19880726,000000,6133.6802,6133.6802,6133.6802,6133.6802,0,0
BARC.L,D,19880727,000000,6059.7598,6059.7598,6059.7598,6059.7598,0,0
BARC.L,D,19880728,000000,5956.3281,5956.3281,5956.3281,5956.3281,0,0
BARC.L,D,19880729,000000,5985.8960,5985.8960,5985.8960,5985.8960,0,0
BARC.L,D,19880801,000000,5926.7598,5926.7598,5926.7598,5926.7598,0,0
BARC.L,D,19880802,000000,5882.4082,5882.4082,5882.4082,5882.4082,0,0
