<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BA.L,D,19880701,000000,6608.0000,6608.0000,6608.0000,6608.0000,0,0
BA.L,D,19880704,000000,6608.0000,6608.0000,6608.0000,6608.0000,0,0
BA.L,D,19880705,000000,6704.0000,6704.0000,6704.0000,6704.0000,0,0
BA.L,D,19880706,000000,6592.0000,6592.0000,6592.0000,6592.0000,0,0
BA.L,D,19880707,000000,6480.0000,6480.0000,6480.0000,6480.0000,0,0
BA.L,D,19880708,000000,7136.0000,7136.0000,7136.0000,7136.0000,0,0
BA.L,D,19880711,000000,7472.0000,7472.0000,7472.0000,7472.0000,0,0
BA.L,D,19880712,000000,7440.0000,7440.0000,7440.0000,7440.0000,0,0
BA.L,D,19880713,000000,7520.0000,7520.0000,7520.0000,7520.0000,0,0
BA.L,D,19880714,000000,7520.0000,7520.0000,7520.0000,7520.0000,0,0
BA.L,D,19880715,000000,7840.0000,7840.0000,7840.0000,7840.0000,0,0
BA.L,D,19880718,000000,7952.0000,7952.0000,7952.0000,7952.0000,0,0
BA.L,D,19880719,000000,7824.0000,7824.0000,7824.0000,7824.0000,0,0
BA.L,D,19880720,000000,7840.0000,7840.0000,7840.0000,7840.0000,0,0
BA.L,D,19880721,000000,7696.0000,7696.0000,7696.0000,7696.0000,0,0
BA.L,D,19880722,000000,7600.0000,7600.0000,7600.0000,7600.0000,0,0
BA.L,D,19880725,000000,7552.0000,7552.0000,7552.0000,7552.0000,0,0
BA.L,D,19880726,000000,7440.0000,7440.0000,7440.0000,7440.0000,0,0
BA.L,D,19880727,000000,7520.0000,7520.0000,7520.0000,7520.0000,0,0
BA.L,D,19880728,000000,7584.0000,7584.0000,7584.0000,7584.0000,0,0
BA.L,D,19880729,000000,7520.0000,7520.0000,7520.0000,7520.0000,0,0
BA.L,D,19880801,000000,7568.0000,7568.0000,7568.0000,7568.0000,0,0
BA.L,D,19880802,000000,7584.0000,7584.0000,7584.0000,7584.0000,0,0
BA.L,D,19880803,000000,7728.0000,7728.0000,7728.0000,7728.0000,0,0
BA.L,D,19880804,000000,7872.0000,7872.0000,7872.0000,7872.0000,0,0
BA.L,D,19880805,000000,7872.0000,7872.0000,7872.0000,7872.0000,0,0
BA.L,D,19880808,000000,8096.0000,8096.0000,8096.0000,8096.0000,0,0
BA.L,D,19880809,000000,7960.0000,7960.0000,7960.0000,7960.0000,0,0
BA.L,D,19880810,000000,7856.0000,7856.0000,7856.0000,7856.0000,0,0
BA.L,D,19880811,000000,7872.0000,7872.0000,7872.0000,7872.0000,0,0
BA.L,D,19880812,000000,7984.0000,7984.0000,7984.0000,7984.0000,0,0
BA.L,D,19880815,000000,7904.0000,7904.0000,7904.0000,7904.0000,0,0
BA.L,D,19880816,000000,8040.0000,8040.0000,8040.0000,8040.0000,0,0
BA.L,D,19880817,000000,8064.0000,8064.0000,8064.0000,8064.0000,0,0
BA.L,D,19880818,000000,8064.0000,8064.0000,8064.0000,8064.0000,0,0
BA.L,D,19880819,000000,8272.0000,8272.0000,8272.0000,8272.0000,0,0
BA.L,D,19880822,000000,8240.0000,8240.0000,8240.0000,8240.0000,0,0
BA.L,D,19880823,000000,8160.0000,8160.0000,8160.0000,8160.0000,0,0
BA.L,D,19880824,000000,8240.0000,8240.0000,8240.0000,8240.0000,0,0
BA.L,D,19880825,000000,7984.0000,7984.0000,7984.0000,7984.0000,0,0
BA.L,D,19880826,000000,7888.0000,7888.0000,7888.0000,7888.0000,0,0
BA.L,D,19880829,000000,7888.0000,7888.0000,7888.0000,7888.0000,0,0
BA.L,D,19880830,000000,7792.0000,7792.0000,7792.0000,7792.0000,0,0
BA.L,D,19880831,000000,7776.0000,7776.0000,7776.0000,7776.0000,0,0
BA.L,D,19880901,000000,7680.0000,7680.0000,7680.0000,7680.0000,0,0
BA.L,D,19880902,000000,7696.0000,7696.0000,7696.0000,7696.0000,0,0
BA.L,D,19880905,000000,7840.0000,7840.0000,7840.0000,7840.0000,0,0
BA.L,D,19880906,000000,7872.0000,7872.0000,7872.0000,7872.0000,0,0
BA.L,D,19880907,000000,7824.0000,7824.0000,7824.0000,7824.0000,0,0
