<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BDEV.L,D,19880701,000000,180.0440,180.0440,180.0440,180.0440,0,0
BDEV.L,D,19880704,000000,175.3060,175.3060,175.3060,175.3060,0,0
BDEV.L,D,19880705,000000,173.4100,173.4100,173.4100,173.4100,0,0
BDEV.L,D,19880706,000000,171.5150,171.5150,171.5150,171.5150,0,0
BDEV.L,D,19880707,000000,171.5150,171.5150,171.5150,171.5150,0,0
BDEV.L,D,19880708,000000,171.5150,171.5150,171.5150,171.5150,0,0
BDEV.L,D,19880711,000000,170.5680,170.5680,170.5680,170.5680,0,0
BDEV.L,D,19880712,000000,168.6720,168.6720,168.6720,168.6720,0,0
BDEV.L,D,19880713,000000,167.7250,167.7250,167.7250,167.7250,0,0
BDEV.L,D,19880714,000000,168.6720,168.6720,168.6720,168.6720,0,0
BDEV.L,D,19880715,000000,165.8300,165.8300,165.8300,165.8300,0,0
BDEV.L,D,19880718,000000,164.8820,164.8820,164.8820,164.8820,0,0
BDEV.L,D,19880719,000000,168.6720,168.6720,168.6720,168.6720,0,0
BDEV.L,D,19880720,000000,167.7250,167.7250,167.7250,167.7250,0,0
BDEV.L,D,19880721,000000,165.8300,165.8300,165.8300,165.8300,0,0
BDEV.L,D,19880722,000000,164.8820,164.8820,164.8820,164.8820,0,0
BDEV.L,D,19880725,000000,162.0390,162.0390,162.0390,162.0390,0,0
BDEV.L,D,19880726,000000,162.9870,162.9870,162.9870,162.9870,0,0
BDEV.L,D,19880727,000000,165.8300,165.8300,165.8300,165.8300,0,0
BDEV.L,D,19880728,000000,165.8300,165.8300,165.8300,165.8300,0,0
BDEV.L,D,19880729,000000,165.8300,165.8300,165.8300,165.8300,0,0
BDEV.L,D,19880801,000000,167.7250,167.7250,167.7250,167.7250,0,0
BDEV.L,D,19880802,000000,168.6720,168.6720,168.6720,168.6720,0,0
BDEV.L,D,19880803,000000,174.3580,174.3580,174.3580,174.3580,0,0
BDEV.L,D,19880804,000000,175.3060,175.3060,175.3060,175.3060,0,0
BDEV.L,D,19880805,000000,172.4630,172.4630,172.4630,172.4630,0,0
BDEV.L,D,19880808,000000,168.6720,168.6720,168.6720,168.6720,0,0
BDEV.L,D,19880809,000000,168.6720,168.6720,168.6720,168.6720,0,0
BDEV.L,D,19880810,000000,165.8300,165.8300,165.8300,165.8300,0,0
BDEV.L,D,19880811,000000,165.8300,165.8300,165.8300,165.8300,0,0
BDEV.L,D,19880812,000000,168.6720,168.6720,168.6720,168.6720,0,0
BDEV.L,D,19880815,000000,165.8300,165.8300,165.8300,165.8300,0,0
BDEV.L,D,19880816,000000,167.7250,167.7250,167.7250,167.7250,0,0
BDEV.L,D,19880817,000000,166.7770,166.7770,166.7770,166.7770,0,0
BDEV.L,D,19880818,000000,173.4100,173.4100,173.4100,173.4100,0,0
BDEV.L,D,19880819,000000,175.3060,175.3060,175.3060,175.3060,0,0
BDEV.L,D,19880822,000000,174.3580,174.3580,174.3580,174.3580,0,0
BDEV.L,D,19880823,000000,172.4630,172.4630,172.4630,172.4630,0,0
BDEV.L,D,19880824,000000,173.4100,173.4100,173.4100,173.4100,0,0
BDEV.L,D,19880825,000000,168.6720,168.6720,168.6720,168.6720,0,0
BDEV.L,D,19880826,000000,165.8300,165.8300,165.8300,165.8300,0,0
BDEV.L,D,19880829,000000,165.8300,165.8300,165.8300,165.8300,0,0
BDEV.L,D,19880830,000000,160.1440,160.1440,160.1440,160.1440,0,0
BDEV.L,D,19880831,000000,162.9870,162.9870,162.9870,162.9870,0,0
BDEV.L,D,19880901,000000,156.3540,156.3540,156.3540,156.3540,0,0
BDEV.L,D,19880902,000000,158.2490,158.2490,158.2490,158.2490,0,0
BDEV.L,D,19880905,000000,161.0920,161.0920,161.0920,161.0920,0,0
BDEV.L,D,19880906,000000,164.8820,164.8820,164.8820,164.8820,0,0
BDEV.L,D,19880907,000000,163.9340,163.9340,163.9340,163.9340,0,0
BDEV.L,D,19880908,000000,156.3540,156.3540,156.3540,156.3540,0,0
BDEV.L,D,19880909,000000,155.4060,155.4060,155.4060,155.4060,0,0
BDEV.L,D,19880912,000000,155.8800,155.8800,155.8800,155.8800,0,0
BDEV.L,D,19880913,000000,156.3540,156.3540,156.3540,156.3540,0,0
BDEV.L,D,19880914,000000,154.4580,154.4580,154.4580,154.4580,0,0
BDEV.L,D,19880915,000000,152.5630,152.5630,152.5630,152.5630,0,0
BDEV.L,D,19880916,000000,156.3540,156.3540,156.3540,156.3540,0,0
BDEV.L,D,19880919,000000,156.3540,156.3540,156.3540,156.3540,0,0
BDEV.L,D,19880920,000000,157.3010,157.3010,157.3010,157.3010,0,0
BDEV.L,D,19880921,000000,169.6200,169.6200,169.6200,169.6200,0,0
BDEV.L,D,19880922,000000,169.6200,169.6200,169.6200,169.6200,0,0
BDEV.L,D,19880923,000000,169.6200,169.6200,169.6200,169.6200,0,0
BDEV.L,D,19880926,000000,169.6200,169.6200,169.6200,169.6200,0,0
BDEV.L,D,19880927,000000,170.5680,170.5680,170.5680,170.5680,0,0
BDEV.L,D,19880928,000000,169.6200,169.6200,169.6200,169.6200,0,0
BDEV.L,D,19880929,000000,168.6720,168.6720,168.6720,168.6720,0,0
BDEV.L,D,19880930,000000,173.4100,173.4100,173.4100,173.4100,0,0
BDEV.L,D,19881003,000000,158.7230,158.7230,158.7230,158.7230,0,0
BDEV.L,D,19881004,000000,159.1960,159.1960,159.1960,159.1960,0,0
BDEV.L,D,19881005,000000,159.1960,159.1960,159.1960,159.1960,0,0
BDEV.L,D,19881006,000000,161.0920,161.0920,161.0920,161.0920,0,0
BDEV.L,D,19881007,000000,166.7770,166.7770,166.7770,166.7770,0,0
BDEV.L,D,19881010,000000,165.8300,165.8300,165.8300,165.8300,0,0
BDEV.L,D,19881011,000000,164.8820,164.8820,164.8820,164.8820,0,0
BDEV.L,D,19881012,000000,162.0390,162.0390,162.0390,162.0390,0,0
BDEV.L,D,19881013,000000,163.4610,163.4610,163.4610,163.4610,0,0
BDEV.L,D,19881014,000000,163.9340,163.9340,163.9340,163.9340,0,0
BDEV.L,D,19881017,000000,162.9870,162.9870,162.9870,162.9870,0,0
BDEV.L,D,19881018,000000,162.9870,162.9870,162.9870,162.9870,0,0
BDEV.L,D,19881019,000000,167.7250,167.7250,167.7250,167.7250,0,0
BDEV.L,D,19881020,000000,165.8300,165.8300,165.8300,165.8300,0,0
BDEV.L,D,19881021,000000,164.8820,164.8820,164.8820,164.8820,0,0
BDEV.L,D,19881024,000000,166.7770,166.7770,166.7770,166.7770,0,0
BDEV.L,D,19881025,000000,166.7770,166.7770,166.7770,166.7770,0,0
BDEV.L,D,19881026,000000,166.7770,166.7770,166.7770,166.7770,0,0
BDEV.L,D,19881027,000000,168.6720,168.6720,168.6720,168.6720,0,0
BDEV.L,D,19881028,000000,177.2010,177.2010,177.2010,177.2010,0,0
BDEV.L,D,19881031,000000,175.3060,175.3060,175.3060,175.3060,0,0
BDEV.L,D,19881101,000000,174.3580,174.3580,174.3580,174.3580,0,0
BDEV.L,D,19881102,000000,168.6720,168.6720,168.6720,168.6720,0,0
BDEV.L,D,19881103,000000,168.6720,168.6720,168.6720,168.6720,0,0
BDEV.L,D,19881104,000000,170.5680,170.5680,170.5680,170.5680,0,0
BDEV.L,D,19881107,000000,169.6200,169.6200,169.6200,169.6200,0,0
BDEV.L,D,19881108,000000,171.5150,171.5150,171.5150,171.5150,0,0
BDEV.L,D,19881109,000000,171.5150,171.5150,171.5150,171.5150,0,0
BDEV.L,D,19881110,000000,172.9370,172.9370,172.9370,172.9370,0,0
BDEV.L,D,19881111,000000,170.5680,170.5680,170.5680,170.5680,0,0
BDEV.L,D,19881114,000000,168.6720,168.6720,168.6720,168.6720,0,0
BDEV.L,D,19881115,000000,169.6200,169.6200,169.6200,169.6200,0,0
BDEV.L,D,19881116,000000,168.6720,168.6720,168.6720,168.6720,0,0
BDEV.L,D,19881117,000000,171.5150,171.5150,171.5150,171.5150,0,0
BDEV.L,D,19881118,000000,171.0410,171.0410,171.0410,171.0410,0,0
BDEV.L,D,19881121,000000,170.5680,170.5680,170.5680,170.5680,0,0
BDEV.L,D,19881122,000000,171.5150,171.5150,171.5150,171.5150,0,0
BDEV.L,D,19881123,000000,172.4630,172.4630,172.4630,172.4630,0,0
BDEV.L,D,19881124,000000,173.4100,173.4100,173.4100,173.4100,0,0
BDEV.L,D,19881125,000000,162.9870,162.9870,162.9870,162.9870,0,0
BDEV.L,D,19881128,000000,158.2490,158.2490,158.2490,158.2490,0,0
BDEV.L,D,19881129,000000,160.1440,160.1440,160.1440,160.1440,0,0
BDEV.L,D,19881130,000000,160.1440,160.1440,160.1440,160.1440,0,0
BDEV.L,D,19881201,000000,155.4060,155.4060,155.4060,155.4060,0,0
BDEV.L,D,19881202,000000,150.6680,150.6680,150.6680,150.6680,0,0
BDEV.L,D,19881205,000000,147.8250,147.8250,147.8250,147.8250,0,0
BDEV.L,D,19881206,000000,148.7730,148.7730,148.7730,148.7730,0,0
BDEV.L,D,19881207,000000,151.1420,151.1420,151.1420,151.1420,0,0
BDEV.L,D,19881208,000000,149.7200,149.7200,149.7200,149.7200,0,0
BDEV.L,D,19881209,000000,149.7200,149.7200,149.7200,149.7200,0,0
BDEV.L,D,19881212,000000,150.1940,150.1940,150.1940,150.1940,0,0
BDEV.L,D,19881213,000000,153.0370,153.0370,153.0370,153.0370,0,0
BDEV.L,D,19881214,000000,156.3540,156.3540,156.3540,156.3540,0,0
BDEV.L,D,19881215,000000,162.0390,162.0390,162.0390,162.0390,0,0
BDEV.L,D,19881216,000000,163.9340,163.9340,163.9340,163.9340,0,0
BDEV.L,D,19881219,000000,166.7770,166.7770,166.7770,166.7770,0,0
BDEV.L,D,19881220,000000,167.7250,167.7250,167.7250,167.7250,0,0
BDEV.L,D,19881221,000000,166.7770,166.7770,166.7770,166.7770,0,0
BDEV.L,D,19881222,000000,163.9340,163.9340,163.9340,163.9340,0,0
BDEV.L,D,19881223,000000,165.8300,165.8300,165.8300,165.8300,0,0
BDEV.L,D,19881226,000000,165.8300,165.8300,165.8300,165.8300,0,0
BDEV.L,D,19881227,000000,165.8300,165.8300,165.8300,165.8300,0,0
BDEV.L,D,19881228,000000,168.6720,168.6720,168.6720,168.6720,0,0
BDEV.L,D,19881229,000000,168.6720,168.6720,168.6720,168.6720,0,0
BDEV.L,D,19881230,000000,165.8300,165.8300,165.8300,165.8300,0,0
BDEV.L,D,19890102,000000,165.8300,165.8300,165.8300,165.8300,0,0
BDEV.L,D,19890103,000000,160.1440,160.1440,160.1440,160.1440,0,0
BDEV.L,D,19890104,000000,159.1960,159.1960,159.1960,159.1960,0,0
BDEV.L,D,19890105,000000,157.7750,157.7750,157.7750,157.7750,0,0
BDEV.L,D,19890106,000000,158.2490,158.2490,158.2490,158.2490,0,0
BDEV.L,D,19890109,000000,158.2490,158.2490,158.2490,158.2490,0,0
BDEV.L,D,19890110,000000,157.3010,157.3010,157.3010,157.3010,0,0
BDEV.L,D,19890111,000000,164.8820,164.8820,164.8820,164.8820,0,0
BDEV.L,D,19890112,000000,164.8820,164.8820,164.8820,164.8820,0,0
BDEV.L,D,19890113,000000,167.7250,167.7250,167.7250,167.7250,0,0
BDEV.L,D,19890116,000000,171.5150,171.5150,171.5150,171.5150,0,0
BDEV.L,D,19890117,000000,170.5680,170.5680,170.5680,170.5680,0,0
BDEV.L,D,19890118,000000,168.6720,168.6720,168.6720,168.6720,0,0
BDEV.L,D,19890119,000000,167.7250,167.7250,167.7250,167.7250,0,0
BDEV.L,D,19890120,000000,167.7250,167.7250,167.7250,167.7250,0,0
BDEV.L,D,19890123,000000,169.6200,169.6200,169.6200,169.6200,0,0
BDEV.L,D,19890124,000000,175.3060,175.3060,175.3060,175.3060,0,0
BDEV.L,D,19890125,000000,171.5150,171.5150,171.5150,171.5150,0,0
BDEV.L,D,19890126,000000,173.4100,173.4100,173.4100,173.4100,0,0
BDEV.L,D,19890127,000000,175.3060,175.3060,175.3060,175.3060,0,0
BDEV.L,D,19890130,000000,183.3600,183.3600,183.3600,183.3600,0,0
BDEV.L,D,19890131,000000,182.8860,182.8860,182.8860,182.8860,0,0
BDEV.L,D,19890201,000000,180.0440,180.0440,180.0440,180.0440,0,0
BDEV.L,D,19890202,000000,182.8860,182.8860,182.8860,182.8860,0,0
BDEV.L,D,19890203,000000,187.6240,187.6240,187.6240,187.6240,0,0
BDEV.L,D,19890206,000000,180.5170,180.5170,180.5170,180.5170,0,0
BDEV.L,D,19890207,000000,178.1480,178.1480,178.1480,178.1480,0,0
BDEV.L,D,19890208,000000,180.9910,180.9910,180.9910,180.9910,0,0
BDEV.L,D,19890209,000000,177.2010,177.2010,177.2010,177.2010,0,0
BDEV.L,D,19890210,000000,176.2530,176.2530,176.2530,176.2530,0,0
BDEV.L,D,19890213,000000,173.4100,173.4100,173.4100,173.4100,0,0
BDEV.L,D,19890214,000000,176.2530,176.2530,176.2530,176.2530,0,0
BDEV.L,D,19890215,000000,177.2010,177.2010,177.2010,177.2010,0,0
BDEV.L,D,19890216,000000,177.2010,177.2010,177.2010,177.2010,0,0
BDEV.L,D,19890217,000000,179.0960,179.0960,179.0960,179.0960,0,0
BDEV.L,D,19890220,000000,185.7290,185.7290,185.7290,185.7290,0,0
BDEV.L,D,19890221,000000,186.6770,186.6770,186.6770,186.6770,0,0
BDEV.L,D,19890222,000000,183.8340,183.8340,183.8340,183.8340,0,0
BDEV.L,D,19890223,000000,184.7820,184.7820,184.7820,184.7820,0,0
BDEV.L,D,19890224,000000,184.7820,184.7820,184.7820,184.7820,0,0
BDEV.L,D,19890227,000000,182.8860,182.8860,182.8860,182.8860,0,0
BDEV.L,D,19890228,000000,182.8860,182.8860,182.8860,182.8860,0,0
BDEV.L,D,19890301,000000,181.9390,181.9390,181.9390,181.9390,0,0
BDEV.L,D,19890302,000000,182.8860,182.8860,182.8860,182.8860,0,0
BDEV.L,D,19890303,000000,183.8340,183.8340,183.8340,183.8340,0,0
BDEV.L,D,19890306,000000,184.7820,184.7820,184.7820,184.7820,0,0
BDEV.L,D,19890307,000000,186.6770,186.6770,186.6770,186.6770,0,0
BDEV.L,D,19890308,000000,188.5720,188.5720,188.5720,188.5720,0,0
BDEV.L,D,19890309,000000,188.5720,188.5720,188.5720,188.5720,0,0
BDEV.L,D,19890310,000000,194.2580,194.2580,194.2580,194.2580,0,0
BDEV.L,D,19890313,000000,194.2580,194.2580,194.2580,194.2580,0,0
BDEV.L,D,19890314,000000,198.0480,198.0480,198.0480,198.0480,0,0
BDEV.L,D,19890315,000000,195.2050,195.2050,195.2050,195.2050,0,0
BDEV.L,D,19890316,000000,195.2050,195.2050,195.2050,195.2050,0,0
BDEV.L,D,19890317,000000,191.4150,191.4150,191.4150,191.4150,0,0
BDEV.L,D,19890320,000000,190.4670,190.4670,190.4670,190.4670,0,0
BDEV.L,D,19890321,000000,192.8360,192.8360,192.8360,192.8360,0,0
BDEV.L,D,19890322,000000,189.5200,189.5200,189.5200,189.5200,0,0
BDEV.L,D,19890323,000000,190.4670,190.4670,190.4670,190.4670,0,0
BDEV.L,D,19890324,000000,190.4670,190.4670,190.4670,190.4670,0,0
BDEV.L,D,19890327,000000,190.4670,190.4670,190.4670,190.4670,0,0
BDEV.L,D,19890328,000000,191.4150,191.4150,191.4150,191.4150,0,0
BDEV.L,D,19890329,000000,192.3620,192.3620,192.3620,192.3620,0,0
BDEV.L,D,19890330,000000,190.4670,190.4670,190.4670,190.4670,0,0
BDEV.L,D,19890331,000000,190.4670,190.4670,190.4670,190.4670,0,0
BDEV.L,D,19890403,000000,187.6240,187.6240,187.6240,187.6240,0,0
BDEV.L,D,19890404,000000,191.4150,191.4150,191.4150,191.4150,0,0
BDEV.L,D,19890405,000000,192.3620,192.3620,192.3620,192.3620,0,0
BDEV.L,D,19890406,000000,185.7290,185.7290,185.7290,185.7290,0,0
BDEV.L,D,19890407,000000,180.9910,180.9910,180.9910,180.9910,0,0
BDEV.L,D,19890410,000000,175.3060,175.3060,175.3060,175.3060,0,0
BDEV.L,D,19890411,000000,177.2010,177.2010,177.2010,177.2010,0,0
BDEV.L,D,19890412,000000,179.0960,179.0960,179.0960,179.0960,0,0
BDEV.L,D,19890413,000000,177.2010,177.2010,177.2010,177.2010,0,0
BDEV.L,D,19890414,000000,178.1480,178.1480,178.1480,178.1480,0,0
BDEV.L,D,19890417,000000,180.9910,180.9910,180.9910,180.9910,0,0
BDEV.L,D,19890418,000000,183.8340,183.8340,183.8340,183.8340,0,0
BDEV.L,D,19890419,000000,188.5720,188.5720,188.5720,188.5720,0,0
BDEV.L,D,19890420,000000,183.8340,183.8340,183.8340,183.8340,0,0
BDEV.L,D,19890421,000000,183.8340,183.8340,183.8340,183.8340,0,0
BDEV.L,D,19890424,000000,185.7290,185.7290,185.7290,185.7290,0,0
BDEV.L,D,19890425,000000,188.5720,188.5720,188.5720,188.5720,0,0
BDEV.L,D,19890426,000000,190.4670,190.4670,190.4670,190.4670,0,0
BDEV.L,D,19890427,000000,190.4670,190.4670,190.4670,190.4670,0,0
BDEV.L,D,19890428,000000,191.4150,191.4150,191.4150,191.4150,0,0
BDEV.L,D,19890501,000000,191.4150,191.4150,191.4150,191.4150,0,0
BDEV.L,D,19890502,000000,190.4670,190.4670,190.4670,190.4670,0,0
BDEV.L,D,19890503,000000,186.6770,186.6770,186.6770,186.6770,0,0
BDEV.L,D,19890504,000000,187.6240,187.6240,187.6240,187.6240,0,0
BDEV.L,D,19890505,000000,186.6770,186.6770,186.6770,186.6770,0,0
BDEV.L,D,19890508,000000,183.8340,183.8340,183.8340,183.8340,0,0
BDEV.L,D,19890509,000000,180.9910,180.9910,180.9910,180.9910,0,0
BDEV.L,D,19890510,000000,180.0440,180.0440,180.0440,180.0440,0,0
BDEV.L,D,19890511,000000,175.3060,175.3060,175.3060,175.3060,0,0
