<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BG.L,D,19880701,000000,34.7010,34.7010,34.7010,34.7010,0,0
BG.L,D,19880704,000000,34.3200,34.3200,34.3200,34.3200,0,0
BG.L,D,19880705,000000,34.7010,34.7010,34.7010,34.7010,0,0
BG.L,D,19880706,000000,34.7010,34.7010,34.7010,34.7010,0,0
BG.L,D,19880707,000000,34.3200,34.3200,34.3200,34.3200,0,0
BG.L,D,19880708,000000,35.2730,35.2730,35.2730,35.2730,0,0
BG.L,D,19880711,000000,34.8920,34.8920,34.8920,34.8920,0,0
BG.L,D,19880712,000000,34.7010,34.7010,34.7010,34.7010,0,0
BG.L,D,19880713,000000,35.0820,35.0820,35.0820,35.0820,0,0
BG.L,D,19880714,000000,34.8920,34.8920,34.8920,34.8920,0,0
BG.L,D,19880715,000000,34.9870,34.9870,34.9870,34.9870,0,0
BG.L,D,19880718,000000,34.7010,34.7010,34.7010,34.7010,0,0
BG.L,D,19880719,000000,34.6060,34.6060,34.6060,34.6060,0,0
BG.L,D,19880720,000000,35.0820,35.0820,35.0820,35.0820,0,0
BG.L,D,19880721,000000,35.1770,35.1770,35.1770,35.1770,0,0
BG.L,D,19880722,000000,34.8920,34.8920,34.8920,34.8920,0,0
BG.L,D,19880725,000000,34.8920,34.8920,34.8920,34.8920,0,0
BG.L,D,19880726,000000,34.8920,34.8920,34.8920,34.8920,0,0
BG.L,D,19880727,000000,34.8920,34.8920,34.8920,34.8920,0,0
BG.L,D,19880728,000000,35.0820,35.0820,35.0820,35.0820,0,0
BG.L,D,19880729,000000,35.8450,35.8450,35.8450,35.8450,0,0
BG.L,D,19880801,000000,34.5110,34.5110,34.5110,34.5110,0,0
BG.L,D,19880802,000000,34.5110,34.5110,34.5110,34.5110,0,0
BG.L,D,19880803,000000,34.4150,34.4150,34.4150,34.4150,0,0
BG.L,D,19880804,000000,34.6060,34.6060,34.6060,34.6060,0,0
BG.L,D,19880805,000000,34.9870,34.9870,34.9870,34.9870,0,0
BG.L,D,19880808,000000,34.8920,34.8920,34.8920,34.8920,0,0
BG.L,D,19880809,000000,35.1770,35.1770,35.1770,35.1770,0,0
BG.L,D,19880810,000000,34.9870,34.9870,34.9870,34.9870,0,0
BG.L,D,19880811,000000,35.0820,35.0820,35.0820,35.0820,0,0
BG.L,D,19880812,000000,35.2730,35.2730,35.2730,35.2730,0,0
BG.L,D,19880815,000000,34.7960,34.7960,34.7960,34.7960,0,0
BG.L,D,19880816,000000,35.0820,35.0820,35.0820,35.0820,0,0
BG.L,D,19880817,000000,35.0820,35.0820,35.0820,35.0820,0,0
BG.L,D,19880818,000000,35.1770,35.1770,35.1770,35.1770,0,0
BG.L,D,19880819,000000,35.3690,35.3690,35.3690,35.3690,0,0
BG.L,D,19880822,000000,35.0820,35.0820,35.0820,35.0820,0,0
BG.L,D,19880823,000000,34.7010,34.7010,34.7010,34.7010,0,0
BG.L,D,19880824,000000,34.5110,34.5110,34.5110,34.5110,0,0
BG.L,D,19880825,000000,33.4620,33.4620,33.4620,33.4620,0,0
BG.L,D,19880826,000000,33.5570,33.5570,33.5570,33.5570,0,0
BG.L,D,19880829,000000,33.5570,33.5570,33.5570,33.5570,0,0
BG.L,D,19880830,000000,33.0800,33.0800,33.0800,33.0800,0,0
BG.L,D,19880831,000000,32.8890,32.8890,32.8890,32.8890,0,0
BG.L,D,19880901,000000,32.6040,32.6040,32.6040,32.6040,0,0
BG.L,D,19880902,000000,33.0800,33.0800,33.0800,33.0800,0,0
BG.L,D,19880905,000000,33.6530,33.6530,33.6530,33.6530,0,0
BG.L,D,19880906,000000,33.4620,33.4620,33.4620,33.4620,0,0
BG.L,D,19880907,000000,33.0800,33.0800,33.0800,33.0800,0,0
BG.L,D,19880908,000000,32.8890,32.8890,32.8890,32.8890,0,0
BG.L,D,19880909,000000,32.8890,32.8890,32.8890,32.8890,0,0
BG.L,D,19880912,000000,33.0800,33.0800,33.0800,33.0800,0,0
BG.L,D,19880913,000000,32.6990,32.6990,32.6990,32.6990,0,0
BG.L,D,19880914,000000,32.3180,32.3180,32.3180,32.3180,0,0
BG.L,D,19880915,000000,32.0310,32.0310,32.0310,32.0310,0,0
BG.L,D,19880916,000000,31.6500,31.6500,31.6500,31.6500,0,0
BG.L,D,19880919,000000,31.3650,31.3650,31.3650,31.3650,0,0
BG.L,D,19880920,000000,31.4600,31.4600,31.4600,31.4600,0,0
BG.L,D,19880921,000000,31.7460,31.7460,31.7460,31.7460,0,0
BG.L,D,19880922,000000,31.7460,31.7460,31.7460,31.7460,0,0
BG.L,D,19880923,000000,31.5550,31.5550,31.5550,31.5550,0,0
BG.L,D,19880926,000000,31.7460,31.7460,31.7460,31.7460,0,0
BG.L,D,19880927,000000,32.4130,32.4130,32.4130,32.4130,0,0
BG.L,D,19880928,000000,32.1270,32.1270,32.1270,32.1270,0,0
BG.L,D,19880929,000000,32.7950,32.7950,32.7950,32.7950,0,0
BG.L,D,19880930,000000,32.7950,32.7950,32.7950,32.7950,0,0
BG.L,D,19881003,000000,32.5080,32.5080,32.5080,32.5080,0,0
BG.L,D,19881004,000000,33.0800,33.0800,33.0800,33.0800,0,0
BG.L,D,19881005,000000,32.9850,32.9850,32.9850,32.9850,0,0
BG.L,D,19881006,000000,32.8890,32.8890,32.8890,32.8890,0,0
BG.L,D,19881007,000000,32.9850,32.9850,32.9850,32.9850,0,0
BG.L,D,19881010,000000,32.6990,32.6990,32.6990,32.6990,0,0
BG.L,D,19881011,000000,32.6990,32.6990,32.6990,32.6990,0,0
BG.L,D,19881012,000000,32.6040,32.6040,32.6040,32.6040,0,0
BG.L,D,19881013,000000,32.6040,32.6040,32.6040,32.6040,0,0
BG.L,D,19881014,000000,32.8890,32.8890,32.8890,32.8890,0,0
BG.L,D,19881017,000000,33.2710,33.2710,33.2710,33.2710,0,0
BG.L,D,19881018,000000,33.1760,33.1760,33.1760,33.1760,0,0
BG.L,D,19881019,000000,32.3180,32.3180,32.3180,32.3180,0,0
BG.L,D,19881020,000000,31.6500,31.6500,31.6500,31.6500,0,0
BG.L,D,19881021,000000,31.2690,31.2690,31.2690,31.2690,0,0
BG.L,D,19881024,000000,30.7920,30.7920,30.7920,30.7920,0,0
BG.L,D,19881025,000000,31.0780,31.0780,31.0780,31.0780,0,0
BG.L,D,19881026,000000,31.3650,31.3650,31.3650,31.3650,0,0
BG.L,D,19881027,000000,31.4600,31.4600,31.4600,31.4600,0,0
BG.L,D,19881028,000000,31.7460,31.7460,31.7460,31.7460,0,0
BG.L,D,19881031,000000,31.5550,31.5550,31.5550,31.5550,0,0
BG.L,D,19881101,000000,31.6500,31.6500,31.6500,31.6500,0,0
BG.L,D,19881102,000000,31.2690,31.2690,31.2690,31.2690,0,0
BG.L,D,19881103,000000,31.1730,31.1730,31.1730,31.1730,0,0
BG.L,D,19881104,000000,31.3650,31.3650,31.3650,31.3650,0,0
BG.L,D,19881107,000000,31.1730,31.1730,31.1730,31.1730,0,0
BG.L,D,19881108,000000,31.4600,31.4600,31.4600,31.4600,0,0
BG.L,D,19881109,000000,31.2690,31.2690,31.2690,31.2690,0,0
BG.L,D,19881110,000000,31.1730,31.1730,31.1730,31.1730,0,0
BG.L,D,19881111,000000,30.8880,30.8880,30.8880,30.8880,0,0
BG.L,D,19881114,000000,30.9830,30.9830,30.9830,30.9830,0,0
BG.L,D,19881115,000000,30.9830,30.9830,30.9830,30.9830,0,0
BG.L,D,19881116,000000,30.9830,30.9830,30.9830,30.9830,0,0
BG.L,D,19881117,000000,31.1730,31.1730,31.1730,31.1730,0,0
BG.L,D,19881118,000000,30.7920,30.7920,30.7920,30.7920,0,0
BG.L,D,19881121,000000,30.6020,30.6020,30.6020,30.6020,0,0
BG.L,D,19881122,000000,30.7920,30.7920,30.7920,30.7920,0,0
BG.L,D,19881123,000000,30.9830,30.9830,30.9830,30.9830,0,0
BG.L,D,19881124,000000,30.6970,30.6970,30.6970,30.6970,0,0
BG.L,D,19881125,000000,29.8390,29.8390,29.8390,29.8390,0,0
BG.L,D,19881128,000000,29.8390,29.8390,29.8390,29.8390,0,0
BG.L,D,19881129,000000,29.9340,29.9340,29.9340,29.9340,0,0
BG.L,D,19881130,000000,29.9340,29.9340,29.9340,29.9340,0,0
BG.L,D,19881201,000000,29.8390,29.8390,29.8390,29.8390,0,0
BG.L,D,19881202,000000,29.8390,29.8390,29.8390,29.8390,0,0
BG.L,D,19881205,000000,29.9340,29.9340,29.9340,29.9340,0,0
BG.L,D,19881206,000000,30.0300,30.0300,30.0300,30.0300,0,0
BG.L,D,19881207,000000,30.2200,30.2200,30.2200,30.2200,0,0
BG.L,D,19881208,000000,30.0300,30.0300,30.0300,30.0300,0,0
BG.L,D,19881209,000000,30.0300,30.0300,30.0300,30.0300,0,0
BG.L,D,19881212,000000,30.3160,30.3160,30.3160,30.3160,0,0
BG.L,D,19881213,000000,30.4110,30.4110,30.4110,30.4110,0,0
BG.L,D,19881214,000000,30.5070,30.5070,30.5070,30.5070,0,0
BG.L,D,19881215,000000,30.3160,30.3160,30.3160,30.3160,0,0
