<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BP.L,D,19880701,000000,252.0000,252.0000,252.0000,252.0000,0,0
BP.L,D,19880704,000000,252.0000,252.0000,252.0000,252.0000,0,0
BP.L,D,19880705,000000,256.0000,256.0000,256.0000,256.0000,0,0
BP.L,D,19880706,000000,263.0000,263.0000,263.0000,263.0000,0,0
BP.L,D,19880707,000000,261.0000,261.0000,261.0000,261.0000,0,0
BP.L,D,19880708,000000,265.0000,265.0000,265.0000,265.0000,0,0
BP.L,D,19880711,000000,265.0000,265.0000,265.0000,265.0000,0,0
BP.L,D,19880712,000000,260.0000,260.0000,260.0000,260.0000,0,0
BP.L,D,19880713,000000,260.0000,260.0000,260.0000,260.0000,0,0
BP.L,D,19880714,000000,258.0000,258.0000,258.0000,258.0000,0,0
BP.L,D,19880715,000000,258.0000,258.0000,258.0000,258.0000,0,0
BP.L,D,19880718,000000,260.0000,260.0000,260.0000,260.0000,0,0
BP.L,D,19880719,000000,258.0000,258.0000,258.0000,258.0000,0,0
BP.L,D,19880720,000000,265.0000,265.0000,265.0000,265.0000,0,0
BP.L,D,19880721,000000,262.0000,262.0000,262.0000,262.0000,0,0
BP.L,D,19880722,000000,257.0000,257.0000,257.0000,257.0000,0,0
BP.L,D,19880725,000000,258.0000,258.0000,258.0000,258.0000,0,0
BP.L,D,19880726,000000,257.0000,257.0000,257.0000,257.0000,0,0
BP.L,D,19880727,000000,258.0000,258.0000,258.0000,258.0000,0,0
BP.L,D,19880728,000000,257.5000,257.5000,257.5000,257.5000,0,0
BP.L,D,19880729,000000,259.5000,259.5000,259.5000,259.5000,0,0
BP.L,D,19880801,000000,260.0000,260.0000,260.0000,260.0000,0,0
BP.L,D,19880802,000000,259.0000,259.0000,259.0000,259.0000,0,0
BP.L,D,19880803,000000,259.5000,259.5000,259.5000,259.5000,0,0
BP.L,D,19880804,000000,259.0000,259.0000,259.0000,259.0000,0,0
BP.L,D,19880805,000000,258.0000,258.0000,258.0000,258.0000,0,0
BP.L,D,19880808,000000,257.0000,257.0000,257.0000,257.0000,0,0
BP.L,D,19880809,000000,260.0000,260.0000,260.0000,260.0000,0,0
BP.L,D,19880810,000000,255.5000,255.5000,255.5000,255.5000,0,0
BP.L,D,19880811,000000,259.0000,259.0000,259.0000,259.0000,0,0
BP.L,D,19880812,000000,259.0000,259.0000,259.0000,259.0000,0,0
BP.L,D,19880815,000000,247.0000,247.0000,247.0000,247.0000,0,0
BP.L,D,19880816,000000,247.0000,247.0000,247.0000,247.0000,0,0
BP.L,D,19880817,000000,247.0000,247.0000,247.0000,247.0000,0,0
BP.L,D,19880818,000000,247.0000,247.0000,247.0000,247.0000,0,0
BP.L,D,19880819,000000,250.0000,250.0000,250.0000,250.0000,0,0
BP.L,D,19880822,000000,249.5000,249.5000,249.5000,249.5000,0,0
BP.L,D,19880823,000000,248.0000,248.0000,248.0000,248.0000,0,0
BP.L,D,19880824,000000,246.0000,246.0000,246.0000,246.0000,0,0
BP.L,D,19880825,000000,240.5000,240.5000,240.5000,240.5000,0,0
BP.L,D,19880826,000000,239.0000,239.0000,239.0000,239.0000,0,0
BP.L,D,19880829,000000,239.0000,239.0000,239.0000,239.0000,0,0
BP.L,D,19880830,000000,238.5000,238.5000,238.5000,238.5000,0,0
BP.L,D,19880831,000000,238.5000,238.5000,238.5000,238.5000,0,0
BP.L,D,19880901,000000,238.0000,238.0000,238.0000,238.0000,0,0
BP.L,D,19880902,000000,242.5000,242.5000,242.5000,242.5000,0,0
BP.L,D,19880905,000000,245.5000,245.5000,245.5000,245.5000,0,0
BP.L,D,19880906,000000,245.5000,245.5000,245.5000,245.5000,0,0
BP.L,D,19880907,000000,239.0000,239.0000,239.0000,239.0000,0,0
BP.L,D,19880908,000000,237.5000,237.5000,237.5000,237.5000,0,0
BP.L,D,19880909,000000,236.5000,236.5000,236.5000,236.5000,0,0
BP.L,D,19880912,000000,238.5000,238.5000,238.5000,238.5000,0,0
