<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BVIC.L,D,20051209,000000,230.0000,236.7500,235.0000,235.0000,68474800,0
BVIC.L,D,20051212,000000,234.0000,240.0000,230.3850,240.0000,13947900,0
BVIC.L,D,20051213,000000,237.0000,241.7500,237.0000,240.0000,4282900,0
BVIC.L,D,20051214,000000,241.0000,247.0000,239.5000,245.0000,5301700,0
BVIC.L,D,20051215,000000,244.0000,245.0000,240.5000,242.0000,1535700,0
BVIC.L,D,20051216,000000,242.0000,242.8200,240.0000,240.0000,3245200,0
BVIC.L,D,20051219,000000,242.0000,244.2500,241.3800,244.2500,5225600,0
BVIC.L,D,20051220,000000,244.2500,245.0000,243.4700,245.0000,8028000,0
BVIC.L,D,20051221,000000,245.0000,247.5000,244.0800,247.0000,3891500,0
BVIC.L,D,20051222,000000,247.0000,248.0000,245.0000,245.2500,2519200,0
BVIC.L,D,20051223,000000,246.0000,247.0000,246.0000,246.5000,213800,0
BVIC.L,D,20051226,000000,246.5000,246.5000,246.5000,246.5000,0,0
BVIC.L,D,20051227,000000,246.5000,246.5000,246.5000,246.5000,0,0
BVIC.L,D,20051228,000000,247.0000,247.0000,245.6310,246.0000,1282700,0
BVIC.L,D,20051229,000000,246.0000,248.0000,246.0000,246.5000,412600,0
BVIC.L,D,20051230,000000,246.5000,246.9800,246.0200,246.5000,65400,0
BVIC.L,D,20060102,000000,246.5000,246.5000,246.5000,246.5000,0,0
BVIC.L,D,20060103,000000,246.0000,247.9800,242.0000,247.0000,5319900,0
BVIC.L,D,20060104,000000,246.0000,246.0000,243.9800,244.0000,4643500,0
BVIC.L,D,20060105,000000,244.0000,246.0000,239.1300,242.0000,3031000,0
BVIC.L,D,20060106,000000,239.0000,244.0000,238.0000,242.0000,8250000,0
BVIC.L,D,20060109,000000,243.0000,247.4300,240.0000,240.0000,2860500,0
BVIC.L,D,20060110,000000,241.0000,241.5000,233.0000,239.0000,1860000,0
BVIC.L,D,20060111,000000,239.0000,242.5000,238.0000,242.5000,3411800,0
BVIC.L,D,20060112,000000,243.0000,245.2450,241.5200,242.7500,3665300,0
BVIC.L,D,20060113,000000,243.0000,245.0000,242.0000,242.5000,1322900,0
BVIC.L,D,20060116,000000,244.0000,250.0000,241.0000,250.0000,2101800,0
BVIC.L,D,20060117,000000,250.0000,256.7500,244.5000,255.5000,3486200,0
BVIC.L,D,20060118,000000,250.5000,254.0000,250.0000,253.5000,1116800,0
BVIC.L,D,20060119,000000,253.0000,257.2570,253.0000,256.0000,3484400,0
