<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BYG.L,D,20000508,000000,127.5000,127.5000,127.5000,127.5000,0,0
BYG.L,D,20000509,000000,131.5000,131.5000,131.5000,131.5000,0,0
BYG.L,D,20000510,000000,135.5000,135.5000,135.5000,135.5000,0,0
BYG.L,D,20000511,000000,136.5000,136.5000,136.5000,136.5000,0,0
BYG.L,D,20000512,000000,140.0000,140.0000,140.0000,140.0000,0,0
BYG.L,D,20000515,000000,140.0000,140.0000,140.0000,140.0000,0,0
BYG.L,D,20000516,000000,140.0000,140.0000,140.0000,140.0000,0,0
BYG.L,D,20000517,000000,136.5000,136.5000,136.5000,136.5000,0,0
BYG.L,D,20000518,000000,133.5000,133.5000,133.5000,133.5000,0,0
BYG.L,D,20000519,000000,133.5000,133.5000,133.5000,133.5000,0,0
BYG.L,D,20000522,000000,130.5000,130.5000,130.5000,130.5000,0,0
BYG.L,D,20000523,000000,126.0000,126.0000,126.0000,126.0000,0,0
BYG.L,D,20000524,000000,122.0240,122.0240,122.0240,122.0240,25000,0
BYG.L,D,20000525,000000,126.0000,126.0000,126.0000,126.0000,0,0
BYG.L,D,20000526,000000,124.0000,125.0000,124.0000,124.0000,0,0
BYG.L,D,20000529,000000,120.0880,120.0880,120.0880,120.0880,0,0
BYG.L,D,20000530,000000,124.0000,124.5000,124.0000,124.0000,0,0
BYG.L,D,20000531,000000,124.0000,124.0000,124.0000,124.0000,0,0
BYG.L,D,20000601,000000,124.5000,125.5000,124.5000,124.5000,0,0
BYG.L,D,20000602,000000,123.4770,123.4770,123.4770,123.4770,0,0
BYG.L,D,20000605,000000,123.4770,130.0000,123.4770,123.4770,0,0
BYG.L,D,20000606,000000,128.0000,128.0000,127.5000,127.5000,0,0
BYG.L,D,20000607,000000,126.0000,127.5000,125.0000,127.5000,0,0
BYG.L,D,20000608,000000,123.4770,123.4770,123.4770,123.4770,0,0
BYG.L,D,20000609,000000,129.0000,129.0000,123.4770,123.4770,0,0
BYG.L,D,20000612,000000,129.5000,129.5000,123.4770,123.4770,0,0
BYG.L,D,20000613,000000,130.0000,130.0000,123.9620,123.9620,0,0
BYG.L,D,20000614,000000,123.9620,123.9620,123.9620,123.9620,62000,0
BYG.L,D,20000615,000000,127.0000,128.5000,127.0000,128.5000,0,0
BYG.L,D,20000616,000000,127.0000,130.0000,124.4460,124.4460,0,0
BYG.L,D,20000619,000000,125.4140,125.4140,125.4140,125.4140,0,0
BYG.L,D,20000620,000000,131.0000,135.0000,125.8990,125.8990,0,0
BYG.L,D,20000621,000000,125.8990,125.8990,125.8990,125.8990,0,0
BYG.L,D,20000622,000000,128.0000,135.0000,125.8990,125.8990,0,0
BYG.L,D,20000623,000000,128.0000,130.0000,128.0000,130.0000,0,0
BYG.L,D,20000626,000000,131.0000,131.0000,125.8990,125.8990,0,0
BYG.L,D,20000627,000000,128.3200,135.0000,128.3200,128.3200,0,0
BYG.L,D,20000628,000000,131.0000,135.0000,129.2880,129.2880,0,0
BYG.L,D,20000629,000000,135.0000,135.0000,129.2880,129.2880,0,0
BYG.L,D,20000630,000000,137.0000,137.0000,131.2250,131.2250,0,0
BYG.L,D,20000703,000000,134.0000,135.5000,134.0000,135.5000,0,0
BYG.L,D,20000704,000000,131.2250,131.2250,131.2250,131.2250,0,0
BYG.L,D,20000705,000000,137.5000,138.0000,131.2250,131.2250,0,0
BYG.L,D,20000706,000000,131.2250,131.2250,131.2250,131.2250,2300,0
BYG.L,D,20000707,000000,131.2250,131.2250,131.2250,131.2250,0,0
BYG.L,D,20000710,000000,131.2250,131.2250,131.2250,131.2250,0,0
BYG.L,D,20000711,000000,130.7400,130.7400,130.7400,130.7400,0,0
BYG.L,D,20000712,000000,130.7400,130.7400,130.7400,130.7400,0,0
BYG.L,D,20000713,000000,130.7400,130.7400,130.7400,130.7400,0,0
BYG.L,D,20000714,000000,134.0000,135.0000,133.0000,135.0000,0,0
BYG.L,D,20000717,000000,132.0000,135.0000,132.0000,135.0000,0,0
BYG.L,D,20000718,000000,136.0000,136.0000,129.7720,129.7720,0,0
BYG.L,D,20000719,000000,129.7720,129.7720,129.7720,129.7720,0,0
BYG.L,D,20000720,000000,129.7720,129.7720,129.7720,129.7720,0,0
BYG.L,D,20000721,000000,132.0000,134.0000,132.0000,134.0000,0,0
BYG.L,D,20000724,000000,129.7720,129.7720,129.7720,129.7720,0,0
BYG.L,D,20000725,000000,129.7720,129.7720,129.7720,129.7720,0,0
BYG.L,D,20000726,000000,129.7720,129.7720,129.7720,129.7720,500,0
BYG.L,D,20000727,000000,129.2880,129.2880,129.2880,129.2880,100,0
BYG.L,D,20000728,000000,132.5000,132.5000,132.5000,132.5000,0,0
BYG.L,D,20000731,000000,135.0000,135.0000,132.5000,132.5000,0,0
BYG.L,D,20000801,000000,135.0000,135.0000,132.5000,132.5000,0,0
BYG.L,D,20000802,000000,135.0000,135.0000,132.5000,132.5000,0,0
BYG.L,D,20000803,000000,134.5000,134.5000,128.3200,128.3200,0,0
BYG.L,D,20000804,000000,134.5000,134.5000,131.5000,131.5000,0,0
BYG.L,D,20000807,000000,130.0000,131.5000,130.0000,131.5000,0,0
BYG.L,D,20000808,000000,133.0000,133.0000,127.3510,127.3510,0,0
BYG.L,D,20000809,000000,133.0000,133.0000,130.5000,130.5000,0,0
