<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CCC.L,D,19980521,000000,639.8310,639.8310,639.8310,639.8310,0,0
CCC.L,D,19980522,000000,621.0370,621.0370,621.0370,621.0370,0,0
CCC.L,D,19980525,000000,621.0370,621.0370,621.0370,621.0370,0,0
CCC.L,D,19980526,000000,618.1140,618.1140,618.1140,618.1140,0,0
CCC.L,D,19980527,000000,607.6720,607.6720,607.6720,607.6720,0,0
CCC.L,D,19980528,000000,608.9260,608.9260,608.9260,608.9260,0,0
CCC.L,D,19980529,000000,608.9260,608.9260,608.9260,608.9260,0,0
CCC.L,D,19980601,000000,605.5840,605.5840,605.5840,605.5840,0,0
CCC.L,D,19980602,000000,603.4960,603.4960,603.4960,603.4960,0,0
CCC.L,D,19980603,000000,611.8490,611.8490,611.8490,611.8490,0,0
CCC.L,D,19980604,000000,632.3140,632.3140,632.3140,632.3140,0,0
CCC.L,D,19980605,000000,632.3140,632.3140,632.3140,632.3140,0,0
CCC.L,D,19980608,000000,632.3140,632.3140,632.3140,632.3140,0,0
CCC.L,D,19980609,000000,628.5550,628.5550,628.5550,628.5550,0,0
CCC.L,D,19980610,000000,627.3020,627.3020,627.3020,627.3020,0,0
CCC.L,D,19980611,000000,631.4780,631.4780,631.4780,631.4780,0,0
CCC.L,D,19980612,000000,626.4660,626.4660,626.4660,626.4660,0,0
CCC.L,D,19980615,000000,621.4550,621.4550,621.4550,621.4550,0,0
CCC.L,D,19980616,000000,620.2020,620.2020,620.2020,620.2020,0,0
CCC.L,D,19980617,000000,621.4550,621.4550,621.4550,621.4550,0,0
CCC.L,D,19980618,000000,631.4780,631.4780,631.4780,631.4780,0,0
CCC.L,D,19980619,000000,654.0310,654.0310,654.0310,654.0310,0,0
CCC.L,D,19980622,000000,630.6430,630.6430,630.6430,630.6430,0,0
CCC.L,D,19980623,000000,626.4660,626.4660,626.4660,626.4660,0,0
CCC.L,D,19980624,000000,629.8080,629.8080,629.8080,629.8080,0,0
CCC.L,D,19980625,000000,630.6430,630.6430,630.6430,630.6430,0,0
CCC.L,D,19980626,000000,632.7310,632.7310,632.7310,632.7310,0,0
CCC.L,D,19980629,000000,630.6430,630.6430,630.6430,630.6430,0,0
CCC.L,D,19980630,000000,625.6310,625.6310,625.6310,625.6310,0,0
CCC.L,D,19980701,000000,622.2910,622.2910,622.2910,622.2910,0,0
CCC.L,D,19980702,000000,620.2020,620.2020,620.2020,620.2020,0,0
CCC.L,D,19980703,000000,622.2910,622.2910,622.2910,622.2910,0,0
CCC.L,D,19980706,000000,620.2020,620.2020,620.2020,620.2020,0,0
CCC.L,D,19980707,000000,618.1140,618.1140,618.1140,618.1140,0,0
CCC.L,D,19980708,000000,618.1140,618.1140,618.1140,618.1140,0,0
CCC.L,D,19980709,000000,618.5310,618.5310,618.5310,618.5310,0,0
CCC.L,D,19980710,000000,618.5310,618.5310,618.5310,618.5310,0,0
CCC.L,D,19980713,000000,616.0250,616.0250,616.0250,616.0250,0,0
CCC.L,D,19980714,000000,616.8610,616.8610,616.8610,616.8610,0,0
CCC.L,D,19980715,000000,618.1140,618.1140,618.1140,618.1140,0,0
CCC.L,D,19980716,000000,622.7080,622.7080,622.7080,622.7080,0,0
CCC.L,D,19980717,000000,614.7730,614.7730,614.7730,614.7730,0,0
CCC.L,D,19980720,000000,613.9370,613.9370,613.9370,613.9370,0,0
CCC.L,D,19980721,000000,614.3550,614.3550,614.3550,614.3550,0,0
CCC.L,D,19980722,000000,594.7260,594.7260,594.7260,594.7260,0,0
CCC.L,D,19980723,000000,583.0320,583.0320,583.0320,583.0320,0,0
CCC.L,D,19980724,000000,597.2320,597.2320,597.2320,597.2320,0,0
CCC.L,D,19980727,000000,593.8900,593.8900,593.8900,593.8900,0,0
CCC.L,D,19980728,000000,593.0550,593.0550,593.0550,593.0550,0,0
