<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CCL.L,D,20001023,000000,292.0000,292.0000,292.0000,292.0000,2119300,0
CCL.L,D,20001024,000000,280.0000,280.0000,280.0000,280.0000,1864600,0
CCL.L,D,20001025,000000,277.0000,277.0000,277.0000,277.0000,1023900,0
CCL.L,D,20001026,000000,294.5000,294.5000,294.5000,294.5000,2051600,0
CCL.L,D,20001027,000000,296.9900,296.9900,296.9900,296.9900,1388200,0
CCL.L,D,20001030,000000,292.5600,292.5600,292.5600,292.5600,415000,0
CCL.L,D,20001031,000000,270.8000,270.8000,270.8000,270.8000,1582200,0
CCL.L,D,20001101,000000,296.9900,296.9900,296.9900,296.9900,1764900,0
CCL.L,D,20001102,000000,291.4500,291.4500,291.4500,291.4500,1318300,0
CCL.L,D,20001103,000000,294.7700,294.7700,294.7700,294.7700,1386400,0
CCL.L,D,20001106,000000,277.0400,277.0400,277.0400,277.0400,1505800,0
CCL.L,D,20001107,000000,277.0400,277.0400,277.0400,277.0400,2207200,0
CCL.L,D,20001108,000000,282.5800,282.5800,282.5800,282.5800,8716600,0
CCL.L,D,20001109,000000,279.2600,279.2600,279.2600,279.2600,8716600,0
CCL.L,D,20001110,000000,282.5800,282.5800,282.5800,282.5800,2726900,0
CCL.L,D,20001113,000000,272.0600,272.0600,272.0600,272.0600,1102400,0
CCL.L,D,20001114,000000,278.1500,278.1500,278.1500,278.1500,1031500,0
CCL.L,D,20001115,000000,277.0400,277.0400,277.0400,277.0400,2851600,0
CCL.L,D,20001116,000000,282.5800,282.5800,282.5800,282.5800,1213900,0
CCL.L,D,20001117,000000,281.4800,281.4800,281.4800,281.4800,1545900,0
CCL.L,D,20001120,000000,277.0400,277.0400,277.0400,277.0400,1364900,0
CCL.L,D,20001121,000000,279.2600,279.2600,279.2600,279.2600,1364900,0
CCL.L,D,20001122,000000,273.1600,273.1600,273.1600,273.1600,1840200,0
CCL.L,D,20001123,000000,278.7000,278.7000,278.7000,278.7000,1840200,0
CCL.L,D,20001124,000000,282.5800,282.5800,282.5800,282.5800,773200,0
CCL.L,D,20001127,000000,277.6000,277.6000,277.6000,277.6000,685200,0
CCL.L,D,20001128,000000,280.3700,280.3700,280.3700,280.3700,893100,0
CCL.L,D,20001129,000000,278.1500,278.1500,278.1500,278.1500,742200,0
CCL.L,D,20001130,000000,282.5800,282.5800,282.5800,282.5800,998500,0
CCL.L,D,20001201,000000,283.6900,283.6900,283.6900,283.6900,363900,0
CCL.L,D,20001204,000000,279.2600,279.2600,279.2600,279.2600,1955700,0
CCL.L,D,20001205,000000,279.8100,279.8100,279.8100,279.8100,754300,0
CCL.L,D,20001206,000000,292.2800,292.2800,292.2800,292.2800,886100,0
CCL.L,D,20001207,000000,282.5800,282.5800,282.5800,282.5800,815400,0
CCL.L,D,20001208,000000,290.8900,290.8900,290.8900,290.8900,2117300,0
CCL.L,D,20001211,000000,271.0000,271.0000,271.0000,271.0000,2290100,0
CCL.L,D,20001212,000000,278.0000,278.0000,278.0000,278.0000,1940100,0
CCL.L,D,20001213,000000,285.0000,285.0000,285.0000,285.0000,2590900,0
CCL.L,D,20001214,000000,296.9900,296.9900,296.9900,296.9900,2188300,0
CCL.L,D,20001215,000000,288.1200,288.1200,288.1200,288.1200,2188300,0
CCL.L,D,20001218,000000,275.0000,275.0000,275.0000,275.0000,1640200,0
CCL.L,D,20001219,000000,274.5000,274.5000,274.5000,274.5000,971000,0
CCL.L,D,20001220,000000,273.0000,273.0000,273.0000,273.0000,2031300,0
CCL.L,D,20001221,000000,298.1000,298.1000,298.1000,298.1000,1705000,0
