<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CPI.L,D,19890424,000000,100.0030,100.0030,100.0030,100.0030,0,0
CPI.L,D,19890425,000000,125.0010,125.0010,125.0010,125.0010,0,0
CPI.L,D,19890426,000000,123.0040,123.0040,123.0040,123.0040,0,0
CPI.L,D,19890427,000000,123.0040,123.0040,123.0040,123.0040,0,0
CPI.L,D,19890428,000000,123.0040,123.0040,123.0040,123.0040,0,0
CPI.L,D,19890501,000000,123.0040,123.0040,123.0040,123.0040,0,0
CPI.L,D,19890502,000000,125.0010,125.0010,125.0010,125.0010,0,0
CPI.L,D,19890503,000000,125.0010,125.0010,125.0010,125.0010,0,0
CPI.L,D,19890504,000000,125.0010,125.0010,125.0010,125.0010,0,0
CPI.L,D,19890505,000000,125.0010,125.0010,125.0010,125.0010,0,0
CPI.L,D,19890508,000000,125.0010,125.0010,125.0010,125.0010,0,0
CPI.L,D,19890509,000000,126.0000,126.0000,126.0000,126.0000,0,0
CPI.L,D,19890510,000000,127.9980,127.9980,127.9980,127.9980,0,0
CPI.L,D,19890511,000000,139.9980,139.9980,139.9980,139.9980,0,0
CPI.L,D,19890512,000000,139.9980,139.9980,139.9980,139.9980,0,0
CPI.L,D,19890515,000000,141.0040,141.0040,141.0040,141.0040,0,0
CPI.L,D,19890516,000000,143.0010,143.0010,143.0010,143.0010,0,0
CPI.L,D,19890517,000000,143.0010,143.0010,143.0010,143.0010,0,0
CPI.L,D,19890518,000000,143.0010,143.0010,143.0010,143.0010,0,0
CPI.L,D,19890519,000000,143.0010,143.0010,143.0010,143.0010,0,0
CPI.L,D,19890522,000000,144.9990,144.9990,144.9990,144.9990,0,0
CPI.L,D,19890523,000000,143.0010,143.0010,143.0010,143.0010,0,0
CPI.L,D,19890524,000000,143.0010,143.0010,143.0010,143.0010,0,0
CPI.L,D,19890525,000000,143.0010,143.0010,143.0010,143.0010,0,0
CPI.L,D,19890526,000000,143.0010,143.0010,143.0010,143.0010,0,0
CPI.L,D,19890529,000000,143.0010,143.0010,143.0010,143.0010,0,0
CPI.L,D,19890530,000000,143.0010,143.0010,143.0010,143.0010,0,0
CPI.L,D,19890531,000000,138.0000,138.0000,138.0000,138.0000,0,0
CPI.L,D,19890601,000000,138.0000,138.0000,138.0000,138.0000,0,0
CPI.L,D,19890602,000000,138.0000,138.0000,138.0000,138.0000,0,0
CPI.L,D,19890605,000000,138.0000,138.0000,138.0000,138.0000,0,0
CPI.L,D,19890606,000000,141.0040,141.0040,141.0040,141.0040,0,0
CPI.L,D,19890607,000000,143.0010,143.0010,143.0010,143.0010,0,0
CPI.L,D,19890608,000000,144.9990,144.9990,144.9990,144.9990,0,0
CPI.L,D,19890609,000000,144.9990,144.9990,144.9990,144.9990,0,0
CPI.L,D,19890612,000000,144.9990,144.9990,144.9990,144.9990,0,0
CPI.L,D,19890613,000000,144.9990,144.9990,144.9990,144.9990,0,0
CPI.L,D,19890614,000000,144.9990,144.9990,144.9990,144.9990,0,0
CPI.L,D,19890615,000000,144.9990,144.9990,144.9990,144.9990,0,0
CPI.L,D,19890616,000000,144.9990,144.9990,144.9990,144.9990,0,0
CPI.L,D,19890619,000000,144.9990,144.9990,144.9990,144.9990,0,0
CPI.L,D,19890620,000000,144.9990,144.9990,144.9990,144.9990,0,0
CPI.L,D,19890621,000000,144.9990,144.9990,144.9990,144.9990,0,0
CPI.L,D,19890622,000000,153.0040,153.0040,153.0040,153.0040,0,0
CPI.L,D,19890623,000000,157.9980,157.9980,157.9980,157.9980,0,0
CPI.L,D,19890626,000000,161.0010,161.0010,161.0010,161.0010,0,0
CPI.L,D,19890627,000000,165.0040,165.0040,165.0040,165.0040,0,0
CPI.L,D,19890628,000000,166.0030,166.0030,166.0030,166.0030,0,0
CPI.L,D,19890629,000000,165.0040,165.0040,165.0040,165.0040,0,0
CPI.L,D,19890630,000000,166.0030,166.0030,166.0030,166.0030,0,0
CPI.L,D,19890703,000000,168.0000,168.0000,168.0000,168.0000,0,0
CPI.L,D,19890704,000000,168.0000,168.0000,168.0000,168.0000,0,0
CPI.L,D,19890705,000000,168.0000,168.0000,168.0000,168.0000,0,0
CPI.L,D,19890706,000000,168.0000,168.0000,168.0000,168.0000,0,0
CPI.L,D,19890707,000000,168.0000,168.0000,168.0000,168.0000,0,0
CPI.L,D,19890710,000000,168.0000,168.0000,168.0000,168.0000,0,0
CPI.L,D,19890711,000000,168.0000,168.0000,168.0000,168.0000,0,0
CPI.L,D,19890712,000000,166.0030,166.0030,166.0030,166.0030,0,0
CPI.L,D,19890713,000000,165.0040,165.0040,165.0040,165.0040,0,0
CPI.L,D,19890714,000000,165.0040,165.0040,165.0040,165.0040,0,0
CPI.L,D,19890717,000000,165.0040,165.0040,165.0040,165.0040,0,0
CPI.L,D,19890718,000000,165.0040,165.0040,165.0040,165.0040,0,0
CPI.L,D,19890719,000000,165.0040,165.0040,165.0040,165.0040,0,0
CPI.L,D,19890720,000000,165.0040,165.0040,165.0040,165.0040,0,0
CPI.L,D,19890721,000000,165.0040,165.0040,165.0040,165.0040,0,0
CPI.L,D,19890724,000000,166.0030,166.0030,166.0030,166.0030,0,0
CPI.L,D,19890725,000000,165.0040,165.0040,165.0040,165.0040,0,0
CPI.L,D,19890726,000000,165.0040,165.0040,165.0040,165.0040,0,0
CPI.L,D,19890727,000000,166.0030,166.0030,166.0030,166.0030,0,0
CPI.L,D,19890728,000000,166.0030,166.0030,166.0030,166.0030,0,0
CPI.L,D,19890731,000000,166.0030,166.0030,166.0030,166.0030,0,0
CPI.L,D,19890801,000000,166.0030,166.0030,166.0030,166.0030,0,0
CPI.L,D,19890802,000000,166.0030,166.0030,166.0030,166.0030,0,0
CPI.L,D,19890803,000000,166.0030,166.0030,166.0030,166.0030,0,0
CPI.L,D,19890804,000000,166.0030,166.0030,166.0030,166.0030,0,0
CPI.L,D,19890807,000000,166.0030,166.0030,166.0030,166.0030,0,0
CPI.L,D,19890808,000000,168.0000,168.0000,168.0000,168.0000,0,0
CPI.L,D,19890809,000000,168.0000,168.0000,168.0000,168.0000,0,0
CPI.L,D,19890810,000000,168.0000,168.0000,168.0000,168.0000,0,0
CPI.L,D,19890811,000000,180.0000,180.0000,180.0000,180.0000,0,0
CPI.L,D,19890814,000000,180.0000,180.0000,180.0000,180.0000,0,0
CPI.L,D,19890815,000000,180.0000,180.0000,180.0000,180.0000,0,0
CPI.L,D,19890816,000000,180.0000,180.0000,180.0000,180.0000,0,0
CPI.L,D,19890817,000000,180.0000,180.0000,180.0000,180.0000,0,0
CPI.L,D,19890818,000000,180.0000,180.0000,180.0000,180.0000,0,0
CPI.L,D,19890821,000000,180.0000,180.0000,180.0000,180.0000,0,0
CPI.L,D,19890822,000000,180.0000,180.0000,180.0000,180.0000,0,0
CPI.L,D,19890823,000000,180.0000,180.0000,180.0000,180.0000,0,0
CPI.L,D,19890824,000000,180.0000,180.0000,180.0000,180.0000,0,0
CPI.L,D,19890825,000000,180.0000,180.0000,180.0000,180.0000,0,0
CPI.L,D,19890828,000000,180.0000,180.0000,180.0000,180.0000,0,0
CPI.L,D,19890829,000000,183.0040,183.0040,183.0040,183.0040,0,0
