<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CSR.L,D,20040226,000000,240.0000,250.0000,200.0000,246.2500,29881400,0
CSR.L,D,20040227,000000,250.0000,296.6900,239.0000,240.0000,2707600,0
CSR.L,D,20040301,000000,243.0000,247.9500,241.0500,245.0000,0,0
CSR.L,D,20040302,000000,252.0000,264.9900,245.0310,248.0000,3065800,0
CSR.L,D,20040303,000000,256.0000,257.0000,248.0500,250.0000,1223200,0
CSR.L,D,20040304,000000,250.0000,257.2000,246.0000,247.0000,1042800,0
CSR.L,D,20040305,000000,255.0000,257.0350,245.0000,246.0000,1379900,0
CSR.L,D,20040308,000000,247.0000,249.9500,246.0000,248.0000,1753100,0
CSR.L,D,20040309,000000,246.5000,246.9500,243.0000,243.0000,1648300,0
CSR.L,D,20040310,000000,243.0000,244.9500,239.8800,240.5000,2167400,0
CSR.L,D,20040311,000000,237.0000,240.0000,225.0000,235.0000,2501800,0
CSR.L,D,20040312,000000,232.0000,239.0000,230.5500,237.5000,60500,0
CSR.L,D,20040315,000000,235.0000,238.7000,232.7500,232.7500,60600,0
CSR.L,D,20040316,000000,232.0000,232.0000,225.0000,226.5000,1589300,0
CSR.L,D,20040317,000000,228.0000,231.0000,225.7800,228.0000,685900,0
CSR.L,D,20040318,000000,227.0000,232.0000,226.2800,228.5000,467100,0
CSR.L,D,20040319,000000,229.7500,239.0000,228.9200,237.5000,1448400,0
CSR.L,D,20040322,000000,236.0000,240.2900,231.0000,231.0000,2245400,0
CSR.L,D,20040323,000000,236.0000,239.4500,232.0000,235.0000,278200,0
CSR.L,D,20040324,000000,232.0000,234.4500,230.0000,230.0000,250700,0
CSR.L,D,20040325,000000,234.5000,235.0000,227.0000,232.5000,103200,0
CSR.L,D,20040326,000000,231.5000,234.3300,225.0000,230.0000,691600,0
CSR.L,D,20040329,000000,231.0000,231.7000,228.0000,230.0000,186700,0
CSR.L,D,20040330,000000,230.0000,232.6100,230.0000,230.0000,40700,0
CSR.L,D,20040331,000000,233.5000,238.4500,230.3850,237.0000,175600,0
CSR.L,D,20040401,000000,237.5000,242.5800,236.8900,241.0000,233800,0
CSR.L,D,20040402,000000,242.0000,251.5000,241.4800,248.0000,280300,0
CSR.L,D,20040405,000000,255.0000,263.3100,252.0000,255.5000,1311600,0
CSR.L,D,20040406,000000,256.0000,253.9400,246.0000,248.5000,103100,0
CSR.L,D,20040407,000000,250.5000,250.5000,245.0000,247.0000,312700,0
CSR.L,D,20040408,000000,240.5000,245.0000,240.0000,244.0000,3039800,0
CSR.L,D,20040409,000000,244.0000,244.0000,244.0000,244.0000,0,0
CSR.L,D,20040412,000000,244.0000,244.0000,244.0000,244.0000,0,0
CSR.L,D,20040413,000000,247.0000,247.0000,238.0000,240.0000,84200,0
CSR.L,D,20040414,000000,240.0000,240.0000,231.0000,231.5000,785400,0
CSR.L,D,20040415,000000,235.5000,235.5000,228.0000,228.0000,210900,0
CSR.L,D,20040416,000000,234.0000,236.2800,230.5000,233.5000,458300,0
CSR.L,D,20040419,000000,237.5000,239.5000,236.0000,239.5000,210300,0
CSR.L,D,20040420,000000,236.0000,240.0000,236.0000,239.0000,218800,0
CSR.L,D,20040421,000000,241.5000,243.0000,240.0000,240.0000,977300,0
CSR.L,D,20040422,000000,243.0000,256.5000,240.4700,251.0000,700800,0
CSR.L,D,20040423,000000,255.0000,268.4000,250.7200,264.0000,790700,0
CSR.L,D,20040426,000000,265.0000,266.0000,260.6600,262.2500,525500,0
CSR.L,D,20040427,000000,260.0000,264.0000,257.0000,258.0000,772500,0
CSR.L,D,20040428,000000,256.0000,257.4000,253.0000,254.5000,397700,0
CSR.L,D,20040429,000000,257.0000,265.0000,254.7800,265.0000,972900,0
CSR.L,D,20040430,000000,260.0000,264.0000,258.1000,261.0000,632500,0
CSR.L,D,20040503,000000,261.0000,261.0000,261.0000,261.0000,0,0
CSR.L,D,20040504,000000,260.0000,260.0000,253.0000,253.0000,213300,0
CSR.L,D,20040505,000000,256.0000,260.0000,254.0000,258.0000,354700,0
CSR.L,D,20040506,000000,307.0000,307.0000,270.5400,305.0000,3409600,0
CSR.L,D,20040507,000000,305.0000,336.5000,300.0100,310.0000,1907500,0
CSR.L,D,20040510,000000,305.0000,308.0000,298.1000,305.0000,1756700,0
CSR.L,D,20040511,000000,305.0000,307.1200,290.0000,293.0000,289200,0
CSR.L,D,20040512,000000,295.0000,304.9700,290.6000,298.0000,532900,0
CSR.L,D,20040513,000000,305.0000,313.2000,295.3000,307.5000,221500,0
CSR.L,D,20040514,000000,310.0000,313.5000,292.4400,300.0000,363100,0
CSR.L,D,20040517,000000,291.0000,298.8300,275.0000,280.0000,359600,0
CSR.L,D,20040518,000000,285.0000,297.0000,280.0000,294.2500,359200,0
CSR.L,D,20040519,000000,302.5000,305.0000,293.0000,297.0000,1032400,0
CSR.L,D,20040520,000000,295.7500,300.0000,285.0000,290.0000,72400,0
CSR.L,D,20040521,000000,300.0000,308.5500,297.8000,301.0000,115700,0
CSR.L,D,20040524,000000,310.0000,310.0000,302.0000,308.0000,45200,0
CSR.L,D,20040525,000000,305.0000,320.0000,304.5500,314.5000,1348900,0
CSR.L,D,20040526,000000,322.0000,325.0000,310.0000,311.5000,149900,0
CSR.L,D,20040527,000000,318.0000,318.0000,314.2300,314.5000,793000,0
CSR.L,D,20040528,000000,320.0000,320.0000,315.0000,320.0000,349800,0
CSR.L,D,20040531,000000,320.0000,320.0000,320.0000,320.0000,0,0
CSR.L,D,20040601,000000,318.0000,325.0000,312.3500,319.0000,461500,0
CSR.L,D,20040602,000000,320.5000,321.1000,315.0000,315.0000,1141100,0
CSR.L,D,20040603,000000,320.0000,330.0000,314.6600,328.0000,1706900,0
CSR.L,D,20040604,000000,322.2500,340.0000,319.3600,340.0000,1034100,0
CSR.L,D,20040607,000000,340.0000,355.0000,336.5500,342.5000,496600,0
CSR.L,D,20040608,000000,352.0000,368.7500,350.0000,365.0000,980800,0
CSR.L,D,20040609,000000,361.5000,370.0000,356.0000,360.0000,640900,0
CSR.L,D,20040610,000000,362.0000,373.9000,363.5000,370.0000,721800,0
CSR.L,D,20040611,000000,375.0000,380.0000,368.0000,374.0000,151400,0
CSR.L,D,20040614,000000,372.0000,374.2500,353.0000,353.0000,429400,0
CSR.L,D,20040615,000000,354.5000,365.0000,363.0000,363.0000,0,0
CSR.L,D,20040616,000000,360.0000,364.4500,356.0000,363.0000,524600,0
CSR.L,D,20040617,000000,365.0000,374.6500,362.0000,370.0000,734900,0
CSR.L,D,20040618,000000,372.0000,384.0000,370.0000,380.0000,1770100,0
CSR.L,D,20040621,000000,386.0000,395.0000,375.3500,392.0000,781800,0
CSR.L,D,20040622,000000,393.0000,394.6500,380.2000,382.0000,300400,0
CSR.L,D,20040623,000000,385.0000,388.0000,380.0000,381.5000,560300,0
CSR.L,D,20040624,000000,383.0000,398.8500,383.0000,389.5000,440700,0
CSR.L,D,20040625,000000,390.5000,495.0000,390.0000,397.0000,483500,0
CSR.L,D,20040628,000000,400.0000,423.0000,397.2000,410.0000,0,0
CSR.L,D,20040629,000000,435.0000,450.0000,399.6500,402.0000,1701700,0
CSR.L,D,20040630,000000,405.0000,409.3500,402.0000,404.0000,517800,0
CSR.L,D,20040701,000000,404.0000,430.0000,404.0000,420.0000,378100,0
CSR.L,D,20040702,000000,429.5000,430.3400,418.0000,425.0000,488200,0
CSR.L,D,20040705,000000,434.5000,443.0000,425.5000,439.5000,215500,0
CSR.L,D,20040706,000000,442.0000,449.7500,339.0000,441.0000,698100,0
CSR.L,D,20040707,000000,437.0000,447.8000,415.1000,416.0000,474500,0
CSR.L,D,20040708,000000,415.0000,422.7080,397.1000,408.0000,327500,0
CSR.L,D,20040709,000000,405.0000,420.0000,418.0000,418.0000,0,0
CSR.L,D,20040712,000000,411.0000,419.7500,403.0000,403.0000,724000,0
CSR.L,D,20040713,000000,406.5000,410.0000,405.0000,409.0000,394800,0
CSR.L,D,20040714,000000,410.0000,410.0000,390.0000,391.0000,2315600,0
CSR.L,D,20040715,000000,390.0000,404.4000,360.0000,374.7500,2626000,0
CSR.L,D,20040716,000000,371.0000,400.0000,370.1000,380.5000,493800,0
CSR.L,D,20040719,000000,391.5000,400.0000,382.7500,390.0000,720400,0
CSR.L,D,20040720,000000,395.0000,395.0000,357.5000,366.0000,3339200,0
CSR.L,D,20040721,000000,378.0000,384.0000,365.0700,384.0000,829200,0
CSR.L,D,20040722,000000,382.5000,382.5000,365.0000,370.0000,1185600,0
CSR.L,D,20040723,000000,376.0000,380.0000,362.5000,365.0000,17782100,0
CSR.L,D,20040726,000000,369.0000,369.0000,356.0000,358.0000,539300,0
CSR.L,D,20040727,000000,358.0000,388.0000,336.0700,344.7500,1361400,0
CSR.L,D,20040728,000000,350.0000,355.0000,341.0100,352.5000,790000,0
CSR.L,D,20040729,000000,355.0000,355.0000,345.6000,347.5000,1863500,0
