<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DEB.L,D,20060504,000000,196.0000,206.0000,195.0000,200.2500,119225800,0
DEB.L,D,20060505,000000,202.0000,205.0000,200.5000,201.0000,41060700,0
DEB.L,D,20060508,000000,203.0000,205.2500,202.7500,204.0000,23654100,0
DEB.L,D,20060509,000000,204.0000,205.7500,204.0000,205.0000,35541600,0
DEB.L,D,20060510,000000,205.0000,207.4140,204.7500,207.0000,16115700,0
DEB.L,D,20060511,000000,207.0000,210.0000,200.2500,202.0000,5370900,0
DEB.L,D,20060512,000000,202.0000,203.5000,198.0000,198.0000,8247600,0
DEB.L,D,20060515,000000,198.0000,199.4900,195.5000,199.2500,3347600,0
DEB.L,D,20060516,000000,200.0000,202.0000,197.8500,199.0000,0,0
DEB.L,D,20060517,000000,200.5000,200.5000,196.0000,196.0000,5224400,0
DEB.L,D,20060518,000000,196.0000,197.5000,192.0000,192.7500,11602500,0
DEB.L,D,20060519,000000,193.5000,193.5000,183.5000,186.2500,9794500,0
DEB.L,D,20060522,000000,186.0000,196.0000,175.0000,178.5000,8586900,0
DEB.L,D,20060523,000000,179.0000,184.9900,172.0000,179.0000,13513900,0
DEB.L,D,20060524,000000,178.0000,179.7500,177.0000,179.0000,5224000,0
DEB.L,D,20060525,000000,177.0000,179.0000,175.5000,177.2500,3771700,0
DEB.L,D,20060526,000000,178.0000,186.0000,176.0000,185.0000,16416600,0
DEB.L,D,20060529,000000,185.0000,185.0000,185.0000,185.0000,0,0
DEB.L,D,20060530,000000,187.0000,187.0000,184.9900,185.0000,2402100,0
DEB.L,D,20060531,000000,184.0000,190.7400,184.0000,189.0000,2286700,0
DEB.L,D,20060601,000000,190.0000,190.0000,185.0000,187.0000,2144600,0
DEB.L,D,20060602,000000,187.0000,191.0000,187.0000,189.2500,1900400,0
DEB.L,D,20060605,000000,189.0000,190.0000,187.2500,187.5000,1875900,0
DEB.L,D,20060606,000000,186.0000,186.5000,181.2500,185.0000,2208700,0
DEB.L,D,20060607,000000,184.0000,185.0000,183.1330,184.2500,2748200,0
DEB.L,D,20060608,000000,180.0000,185.5000,178.5000,184.0000,2900000,0
DEB.L,D,20060609,000000,186.0000,188.5000,185.5000,188.0000,8576500,0
DEB.L,D,20060612,000000,187.2500,188.5000,186.2500,187.5000,6588300,0
DEB.L,D,20060613,000000,184.2500,188.0000,182.7500,186.7500,6139800,0
DEB.L,D,20060614,000000,187.0000,190.0000,186.0000,187.0000,32550200,0
DEB.L,D,20060615,000000,189.0000,192.5000,189.0000,191.5000,8963500,0
DEB.L,D,20060616,000000,192.5000,198.0000,191.2600,196.0000,52798300,0
DEB.L,D,20060619,000000,198.0000,198.0000,186.5000,190.0000,7761000,0
DEB.L,D,20060620,000000,187.2500,192.0000,187.2500,192.0000,3116100,0
DEB.L,D,20060621,000000,191.0000,191.9900,190.0000,191.7500,3076700,0
DEB.L,D,20060622,000000,193.0000,193.0000,190.0000,191.2500,3856500,0
DEB.L,D,20060623,000000,191.7500,191.7500,189.2600,190.5000,4101600,0
DEB.L,D,20060626,000000,192.2500,192.4900,187.0000,187.7500,3459400,0
DEB.L,D,20060627,000000,188.5000,188.5000,183.2500,183.2500,3642600,0
DEB.L,D,20060628,000000,182.5000,185.5000,181.7500,183.0000,3398600,0
DEB.L,D,20060629,000000,184.7500,190.0000,184.7500,187.5000,4418700,0
DEB.L,D,20060630,000000,187.5000,188.9900,186.0000,188.0000,8749200,0
DEB.L,D,20060703,000000,187.5000,190.0000,187.0000,187.0000,1233200,0
DEB.L,D,20060704,000000,187.7500,190.0000,186.0000,186.0000,4034700,0
DEB.L,D,20060705,000000,185.5000,188.0000,185.5000,186.5000,5540400,0
DEB.L,D,20060706,000000,186.5000,187.5000,185.7500,186.5000,361400,0
DEB.L,D,20060707,000000,186.0000,188.0000,186.0000,188.0000,2850100,0
DEB.L,D,20060710,000000,187.2500,189.4900,186.0000,186.2500,3590400,0
DEB.L,D,20060711,000000,185.5000,188.2400,185.5000,187.5000,2372700,0
DEB.L,D,20060712,000000,189.2500,189.5000,185.5000,188.7500,1147600,0
DEB.L,D,20060713,000000,187.0000,189.0000,185.2500,185.2500,1052100,0
DEB.L,D,20060714,000000,185.5000,186.0000,184.0000,185.0000,1046700,0
DEB.L,D,20060717,000000,184.5000,186.7500,183.0000,186.2500,1496100,0
DEB.L,D,20060718,000000,184.7500,185.7500,182.0000,184.0000,793300,0
DEB.L,D,20060719,000000,184.0000,185.0000,183.0000,184.0000,2197000,0
DEB.L,D,20060720,000000,185.5000,185.5000,182.0000,183.7500,1647100,0
DEB.L,D,20060721,000000,182.0000,183.0000,175.0000,179.7500,1967400,0
DEB.L,D,20060724,000000,178.0000,181.7500,178.0000,180.0000,400500,0
DEB.L,D,20060725,000000,181.7500,181.7500,179.5000,180.2500,888600,0
DEB.L,D,20060726,000000,181.0000,182.0830,179.7500,180.2500,1782000,0
DEB.L,D,20060727,000000,182.5000,182.5000,180.0000,181.7500,1057000,0
DEB.L,D,20060728,000000,180.0000,182.5000,180.0000,181.2500,622100,0
DEB.L,D,20060731,000000,181.0000,181.0000,177.5000,180.0000,1299400,0
DEB.L,D,20060801,000000,180.0000,180.0000,177.5000,178.5000,2960800,0
DEB.L,D,20060802,000000,179.7500,180.0000,176.8200,177.5000,16465800,0
DEB.L,D,20060803,000000,177.5000,178.2400,167.2500,169.0000,4317300,0
DEB.L,D,20060804,000000,171.5000,175.0000,171.0000,173.0000,2981500,0
DEB.L,D,20060807,000000,170.0000,173.9900,170.0000,171.7500,2550600,0
DEB.L,D,20060808,000000,172.0000,175.0000,170.5000,173.2500,6305900,0
DEB.L,D,20060809,000000,173.0000,176.7500,172.5000,174.0000,5835800,0
DEB.L,D,20060810,000000,172.0000,173.4900,172.0000,172.0000,2392000,0
DEB.L,D,20060811,000000,172.0000,172.2500,171.0000,171.2500,345400,0
DEB.L,D,20060814,000000,173.0000,175.7500,172.0000,175.0000,13819600,0
DEB.L,D,20060815,000000,174.0000,179.0000,174.0000,178.0000,5487600,0
DEB.L,D,20060816,000000,179.0000,186.2500,179.0000,186.2500,8364800,0
DEB.L,D,20060817,000000,187.0000,188.0000,184.7600,187.2500,5423500,0
DEB.L,D,20060818,000000,187.2500,191.0000,186.7500,190.0000,10239000,0
DEB.L,D,20060821,000000,191.5000,191.5000,182.5000,185.0000,8120100,0
DEB.L,D,20060822,000000,186.7500,187.9900,181.0000,182.7500,3715000,0
DEB.L,D,20060823,000000,183.7500,183.7500,179.2500,179.5000,1648000,0
DEB.L,D,20060824,000000,180.7500,182.0000,179.0000,179.2500,682900,0
DEB.L,D,20060825,000000,178.7500,178.7500,176.5000,177.5000,5989000,0
DEB.L,D,20060828,000000,177.5000,177.5000,177.5000,177.5000,0,0
DEB.L,D,20060829,000000,177.2500,178.0000,176.5100,178.0000,2318900,0
DEB.L,D,20060830,000000,179.5000,182.7500,179.0000,181.5000,2074900,0
DEB.L,D,20060831,000000,182.0000,186.0000,182.0000,185.7500,3679100,0
DEB.L,D,20060901,000000,186.2500,188.7500,185.2600,188.0000,3895700,0
DEB.L,D,20060904,000000,187.0000,188.7400,186.5000,187.5000,1134100,0
DEB.L,D,20060905,000000,185.0000,190.0000,185.0000,188.2500,3068100,0
DEB.L,D,20060906,000000,188.2500,189.2500,187.6240,189.0000,3862800,0
DEB.L,D,20060907,000000,186.0000,188.5000,186.0000,187.5000,2117800,0
DEB.L,D,20060908,000000,188.5000,190.0000,188.0000,189.2500,911200,0
DEB.L,D,20060911,000000,189.0000,189.5000,188.2500,189.2500,6377400,0
DEB.L,D,20060912,000000,189.2500,189.2800,181.7500,185.2500,10172000,0
DEB.L,D,20060913,000000,185.0000,192.5000,185.0000,192.0000,10291900,0
DEB.L,D,20060914,000000,191.0000,198.0000,191.0000,194.7500,11007500,0
DEB.L,D,20060915,000000,194.5000,195.0000,191.0000,192.0000,5216900,0
DEB.L,D,20060918,000000,191.0000,193.0000,189.5000,191.7500,5487700,0
DEB.L,D,20060919,000000,190.0000,191.9900,188.0000,188.5000,4115900,0
DEB.L,D,20060920,000000,188.0000,191.7500,187.9340,190.2500,7612200,0
DEB.L,D,20060921,000000,191.5000,191.5000,189.0000,189.7500,3274200,0
DEB.L,D,20060922,000000,189.0000,189.0000,185.7500,186.2500,4199000,0
DEB.L,D,20060925,000000,185.0000,187.4900,182.0000,182.7500,3322100,0
DEB.L,D,20060926,000000,184.5000,184.5000,179.0000,180.7500,8128600,0
DEB.L,D,20060927,000000,182.2500,183.0000,179.0000,179.5000,10706700,0
DEB.L,D,20060928,000000,180.0000,182.0000,179.5000,180.7500,9597600,0
DEB.L,D,20060929,000000,182.0000,184.0000,180.5000,181.7500,5088900,0
DEB.L,D,20061002,000000,183.5000,185.7500,180.0000,185.0000,2257000,0
DEB.L,D,20061003,000000,183.0000,183.5000,180.5000,182.0000,5718600,0
DEB.L,D,20061004,000000,180.7500,184.5000,180.7500,182.7500,5839600,0
DEB.L,D,20061005,000000,185.0000,187.0000,184.4400,186.7500,2102900,0
DEB.L,D,20061006,000000,186.5000,187.7500,184.7500,185.5000,7005700,0
DEB.L,D,20061009,000000,183.0000,185.7500,183.0000,184.2500,2167900,0
DEB.L,D,20061010,000000,184.5000,186.5000,184.2500,185.0000,5059500,0
DEB.L,D,20061011,000000,184.0000,187.0000,184.0000,185.5000,5888800,0
DEB.L,D,20061012,000000,186.0000,187.5000,185.5000,187.5000,1732300,0
DEB.L,D,20061013,000000,188.0000,188.2500,186.5000,187.7500,2822200,0
DEB.L,D,20061016,000000,187.7500,188.0000,186.0000,186.2500,1761800,0
DEB.L,D,20061017,000000,185.7500,185.7500,181.2500,182.5000,4745000,0
DEB.L,D,20061018,000000,183.5000,185.0000,180.0000,180.0000,5746200,0
DEB.L,D,20061019,000000,182.0000,183.8320,176.5000,177.2500,12619500,0
DEB.L,D,20061020,000000,177.2500,181.7500,177.2500,180.7500,4499700,0
DEB.L,D,20061023,000000,181.2500,182.7500,179.5000,179.5000,2848300,0
DEB.L,D,20061024,000000,179.0000,189.0000,178.5000,187.7500,9640700,0
DEB.L,D,20061025,000000,186.0000,189.2500,186.0000,187.0000,12152200,0
DEB.L,D,20061026,000000,188.0000,197.0000,188.0000,194.0000,13809800,0
DEB.L,D,20061027,000000,195.0000,195.0000,189.0000,193.5000,2833700,0
DEB.L,D,20061030,000000,191.7500,191.9900,189.9900,190.0000,1863800,0
DEB.L,D,20061031,000000,190.0000,192.7500,187.0000,188.0000,18939300,0
DEB.L,D,20061101,000000,188.0000,186.5000,185.0000,186.5000,8111600,0
DEB.L,D,20061102,000000,185.0000,186.5000,182.7500,184.5000,7350400,0
DEB.L,D,20061103,000000,185.0000,190.0000,184.6350,188.5000,5778700,0
DEB.L,D,20061106,000000,190.0000,190.9900,187.7500,190.0000,4636400,0
DEB.L,D,20061107,000000,190.0000,193.5000,189.5000,193.5000,6618100,0
DEB.L,D,20061108,000000,192.0000,193.5000,190.5000,192.7500,2780600,0
DEB.L,D,20061109,000000,194.0000,195.2500,193.0000,195.0000,2469400,0
DEB.L,D,20061110,000000,193.5000,195.2500,192.8800,193.7500,1077700,0
DEB.L,D,20061113,000000,193.0000,198.5000,193.0000,198.0000,1397500,0
DEB.L,D,20061114,000000,198.7500,199.0000,197.2500,198.0000,1913600,0
DEB.L,D,20061115,000000,198.0000,204.2500,197.5000,203.7500,7581500,0
DEB.L,D,20061116,000000,201.5000,205.5000,201.5000,203.7500,10952000,0
DEB.L,D,20061117,000000,203.7500,205.0000,201.2500,201.5000,9104000,0
DEB.L,D,20061120,000000,202.7500,202.7500,197.5000,199.2500,4587400,0
DEB.L,D,20061121,000000,200.0000,205.0000,200.0000,203.2500,3723000,0
DEB.L,D,20061122,000000,203.5000,203.5000,197.5000,198.0000,9260200,0
DEB.L,D,20061123,000000,199.7500,199.7500,197.0000,198.2500,1282300,0
DEB.L,D,20061124,000000,197.5000,197.5000,194.5000,196.0000,3603800,0
DEB.L,D,20061127,000000,194.0000,197.7400,194.0000,194.0000,1465200,0
DEB.L,D,20061128,000000,194.0000,197.0000,188.5000,189.7500,8939300,0
DEB.L,D,20061129,000000,188.0000,194.4280,187.2500,187.5000,5176100,0
DEB.L,D,20061130,000000,186.5000,194.4280,185.7500,187.0000,9770100,0
DEB.L,D,20061201,000000,189.0000,194.4280,183.0000,184.5000,17158200,0
DEB.L,D,20061204,000000,185.0000,187.4000,183.2500,185.0000,7213100,0
DEB.L,D,20061205,000000,183.5000,186.4000,180.5000,184.5000,5878000,0
DEB.L,D,20061206,000000,184.5000,187.4000,183.0000,183.2500,4876900,0
DEB.L,D,20061207,000000,184.0000,184.5000,181.2500,182.5000,8493300,0
DEB.L,D,20061208,000000,181.0000,186.1500,181.0000,183.7500,3731000,0
DEB.L,D,20061211,000000,184.0000,188.2500,182.8930,184.5000,8416200,0
DEB.L,D,20061212,000000,187.5000,187.5000,178.7500,183.0000,12614400,0
DEB.L,D,20061213,000000,184.0000,185.0000,182.0000,182.5000,3056400,0
DEB.L,D,20061214,000000,184.0000,185.0000,181.6000,184.7500,3399300,0
DEB.L,D,20061215,000000,185.5000,188.2500,183.0000,187.0000,4493900,0
DEB.L,D,20061218,000000,187.2500,187.4750,183.0000,183.0000,3802400,0
DEB.L,D,20061219,000000,183.0000,184.5000,182.5000,184.5000,3378400,0
DEB.L,D,20061220,000000,183.5000,186.5000,183.2500,184.2500,4424300,0
DEB.L,D,20061221,000000,184.2500,186.2500,184.0000,185.5000,1942800,0
DEB.L,D,20061222,000000,185.5000,188.0000,185.5000,188.0000,581300,0
DEB.L,D,20061225,000000,188.0000,188.0000,188.0000,188.0000,0,0
DEB.L,D,20061226,000000,188.0000,188.0000,188.0000,188.0000,0,0
DEB.L,D,20061227,000000,185.0000,189.2500,185.0000,188.0000,1106300,0
DEB.L,D,20061228,000000,187.5000,192.0000,187.2500,190.5000,1581400,0
DEB.L,D,20061229,000000,190.5000,192.0000,189.0000,189.7500,482900,0
DEB.L,D,20070101,000000,189.7500,189.7500,189.7500,189.7500,0,0
DEB.L,D,20070102,000000,192.0000,192.0000,188.5000,189.2500,7234100,0
DEB.L,D,20070103,000000,189.0000,189.2500,183.7500,184.2500,9353800,0
DEB.L,D,20070104,000000,184.0000,185.5800,182.0000,183.7500,6836800,0
DEB.L,D,20070105,000000,183.0000,188.0000,183.0000,186.5000,6466900,0
DEB.L,D,20070108,000000,188.2500,188.5000,186.5000,187.0000,5722500,0
DEB.L,D,20070109,000000,188.0000,189.5000,186.5100,187.7500,5591100,0
DEB.L,D,20070110,000000,187.0000,189.7500,187.0000,188.5000,6241900,0
DEB.L,D,20070111,000000,189.7500,189.7500,185.5000,187.5000,4330200,0
DEB.L,D,20070112,000000,186.0000,190.8080,186.0000,189.2500,6594900,0
DEB.L,D,20070115,000000,189.2500,189.5000,183.0000,183.7500,5112800,0
DEB.L,D,20070116,000000,181.0000,182.6830,169.5000,171.0000,38517800,0
DEB.L,D,20070117,000000,172.5000,179.2690,168.7500,170.2500,26436900,0
DEB.L,D,20070118,000000,170.5000,175.6500,170.0000,173.0000,0,0
DEB.L,D,20070119,000000,173.5000,175.0000,171.0000,173.7500,18330400,0
DEB.L,D,20070122,000000,174.0000,174.0000,169.7500,171.2500,9255300,0
DEB.L,D,20070123,000000,172.0000,173.0000,170.0000,170.0000,6025000,0
DEB.L,D,20070124,000000,171.0000,171.0000,165.5000,167.5000,13527600,0
DEB.L,D,20070125,000000,168.2500,168.5000,163.5000,164.5000,16290900,0
DEB.L,D,20070126,000000,163.5000,165.0000,161.0000,164.0000,8883300,0
DEB.L,D,20070129,000000,163.5000,163.7500,160.9900,161.5000,6365000,0
DEB.L,D,20070130,000000,161.2500,163.5000,160.0000,163.5000,23154200,0
DEB.L,D,20070131,000000,163.5000,166.2500,161.3390,165.7500,10198600,0
DEB.L,D,20070201,000000,168.0000,172.0000,168.0000,172.0000,22271400,0
DEB.L,D,20070202,000000,171.2500,173.7500,170.9900,171.0000,6253900,0
DEB.L,D,20070205,000000,171.2500,171.5000,168.0000,169.0000,7040200,0
DEB.L,D,20070206,000000,169.0000,170.2400,168.0000,168.0000,3657900,0
DEB.L,D,20070207,000000,169.5000,170.0000,168.0000,168.2500,2336800,0
DEB.L,D,20070208,000000,168.0000,169.7500,166.9900,167.2500,2586000,0
DEB.L,D,20070209,000000,168.5000,169.7500,167.5000,169.0000,1808800,0
DEB.L,D,20070212,000000,166.5000,167.7500,166.0000,167.0000,2849200,0
DEB.L,D,20070213,000000,167.0000,169.0000,165.6000,168.2500,2680000,0
DEB.L,D,20070214,000000,169.7500,169.7500,163.5000,163.7500,1947000,0
DEB.L,D,20070215,000000,164.7500,165.0000,161.0000,163.0000,6300100,0
DEB.L,D,20070216,000000,162.7500,164.7500,160.7590,163.0000,9254200,0
DEB.L,D,20070219,000000,164.0000,165.0000,162.5000,163.7500,3805700,0
DEB.L,D,20070220,000000,164.0000,165.1150,161.0000,161.0000,3957100,0
DEB.L,D,20070221,000000,162.0000,166.3650,161.0000,164.7500,21857700,0
