<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DRX.L,D,20051215,000000,488.8380,509.5080,462.3360,489.0380,0,0
DRX.L,D,20051216,000000,496.0240,499.0180,493.0300,495.0260,0,0
DRX.L,D,20051219,000000,495.0260,498.5090,479.0580,492.0320,0,0
DRX.L,D,20051220,000000,492.0320,495.9240,482.0520,489.0380,0,0
DRX.L,D,20051221,000000,486.0440,493.9280,486.0440,489.0380,0,0
DRX.L,D,20051222,000000,489.0380,489.0380,487.0420,487.0420,0,0
DRX.L,D,20051223,000000,489.0380,489.0380,486.1440,487.0420,0,0
DRX.L,D,20051226,000000,487.0420,487.0420,487.0420,487.0420,0,0
DRX.L,D,20051227,000000,487.0420,487.0420,487.0420,487.0420,0,0
DRX.L,D,20051228,000000,490.0360,491.1840,489.0380,489.0380,0,0
DRX.L,D,20051229,000000,489.0380,491.7820,488.3040,490.0360,0,0
DRX.L,D,20051230,000000,489.0380,497.0220,489.0380,494.0280,0,0
DRX.L,D,20060102,000000,494.0280,494.0280,494.0280,494.0280,0,0
DRX.L,D,20060103,000000,494.0280,517.8810,493.0300,504.0080,0,0
DRX.L,D,20060104,000000,516.9830,528.9590,510.9950,523.9700,0,0
DRX.L,D,20060105,000000,528.9590,538.9800,523.9700,538.9400,0,0
DRX.L,D,20060106,000000,548.9200,563.7910,536.9430,538.9400,0,0
DRX.L,D,20060109,000000,538.9400,545.9260,538.8400,542.9320,0,0
DRX.L,D,20060110,000000,542.9320,543.7100,539.9380,542.9320,0,0
DRX.L,D,20060111,000000,548.9200,558.9000,544.9280,555.9070,0,0
DRX.L,D,20060112,000000,558.9000,573.8710,553.9110,558.9000,0,0
DRX.L,D,20060113,000000,563.8910,588.7420,555.0720,581.3570,0,0
DRX.L,D,20060116,000000,588.8410,592.7340,583.8520,589.8390,0,0
DRX.L,D,20060117,000000,591.8360,596.8250,583.9510,589.8390,0,0
DRX.L,D,20060118,000000,580.8570,595.8280,570.6480,585.8480,0,0
DRX.L,D,20060119,000000,586.8450,618.7820,575.8680,602.8140,0,0
DRX.L,D,20060120,000000,603.8120,625.7690,600.9130,618.2840,0,0
DRX.L,D,20060123,000000,618.7820,623.6730,610.8990,617.7840,0,0
DRX.L,D,20060124,000000,623.7730,647.7260,619.8480,633.7530,0,0
DRX.L,D,20060125,000000,643.7340,647.7260,616.4780,645.7300,0,0
DRX.L,D,20060126,000000,639.7410,648.6240,613.7930,623.7730,0,0
DRX.L,D,20060127,000000,623.7730,643.7340,618.7820,620.7790,0,0
DRX.L,D,20060130,000000,628.7630,628.7630,603.8120,604.8100,0,0
DRX.L,D,20060131,000000,612.7940,617.7840,603.8120,614.7910,0,0
DRX.L,D,20060201,000000,620.7790,632.7550,617.0360,625.7690,0,0
DRX.L,D,20060202,000000,628.7630,633.7530,626.2680,628.5130,0,0
DRX.L,D,20060203,000000,627.7650,629.7610,620.7790,624.7710,0,0
DRX.L,D,20060206,000000,624.0220,633.6540,619.7800,628.7630,0,0
DRX.L,D,20060207,000000,623.7730,642.8350,623.7730,631.2580,0,0
DRX.L,D,20060208,000000,632.7550,633.6540,613.7930,616.2870,0,0
DRX.L,D,20060209,000000,618.7820,627.6650,608.9020,626.7670,0,0
DRX.L,D,20060210,000000,628.7630,631.7570,616.7870,616.7870,0,0
DRX.L,D,20060213,000000,616.7870,618.7820,599.8200,600.0690,0,0
