<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ECM.L,D,19880701,000000,210.0000,210.0000,210.0000,210.0000,0,0
ECM.L,D,19880704,000000,207.0000,207.0000,207.0000,207.0000,0,0
ECM.L,D,19880705,000000,207.0000,207.0000,207.0000,207.0000,0,0
ECM.L,D,19880706,000000,207.0000,207.0000,207.0000,207.0000,0,0
ECM.L,D,19880707,000000,207.0000,207.0000,207.0000,207.0000,0,0
ECM.L,D,19880708,000000,206.0000,206.0000,206.0000,206.0000,0,0
ECM.L,D,19880711,000000,207.0000,207.0000,207.0000,207.0000,0,0
ECM.L,D,19880712,000000,209.0000,209.0000,209.0000,209.0000,0,0
ECM.L,D,19880713,000000,219.0000,219.0000,219.0000,219.0000,0,0
ECM.L,D,19880714,000000,217.0000,217.0000,217.0000,217.0000,0,0
ECM.L,D,19880715,000000,220.0000,220.0000,220.0000,220.0000,0,0
ECM.L,D,19880718,000000,219.0000,219.0000,219.0000,219.0000,0,0
ECM.L,D,19880719,000000,218.0000,218.0000,218.0000,218.0000,0,0
ECM.L,D,19880720,000000,217.0000,217.0000,217.0000,217.0000,0,0
ECM.L,D,19880721,000000,217.0000,217.0000,217.0000,217.0000,0,0
ECM.L,D,19880722,000000,214.0000,214.0000,214.0000,214.0000,0,0
ECM.L,D,19880725,000000,214.0000,214.0000,214.0000,214.0000,0,0
ECM.L,D,19880726,000000,214.0000,214.0000,214.0000,214.0000,0,0
ECM.L,D,19880727,000000,216.0000,216.0000,216.0000,216.0000,0,0
ECM.L,D,19880728,000000,214.0000,214.0000,214.0000,214.0000,0,0
ECM.L,D,19880729,000000,214.0000,214.0000,214.0000,214.0000,0,0
ECM.L,D,19880801,000000,217.0000,217.0000,217.0000,217.0000,0,0
ECM.L,D,19880802,000000,216.0000,216.0000,216.0000,216.0000,0,0
ECM.L,D,19880803,000000,216.0000,216.0000,216.0000,216.0000,0,0
ECM.L,D,19880804,000000,216.0000,216.0000,216.0000,216.0000,0,0
ECM.L,D,19880805,000000,216.0000,216.0000,216.0000,216.0000,0,0
ECM.L,D,19880808,000000,214.0000,214.0000,214.0000,214.0000,0,0
ECM.L,D,19880809,000000,212.0000,212.0000,212.0000,212.0000,0,0
ECM.L,D,19880810,000000,210.0000,210.0000,210.0000,210.0000,0,0
ECM.L,D,19880811,000000,209.0000,209.0000,209.0000,209.0000,0,0
ECM.L,D,19880812,000000,210.0000,210.0000,210.0000,210.0000,0,0
ECM.L,D,19880815,000000,210.0000,210.0000,210.0000,210.0000,0,0
ECM.L,D,19880816,000000,211.0000,211.0000,211.0000,211.0000,0,0
ECM.L,D,19880817,000000,210.0000,210.0000,210.0000,210.0000,0,0
ECM.L,D,19880818,000000,210.0000,210.0000,210.0000,210.0000,0,0
ECM.L,D,19880819,000000,211.0000,211.0000,211.0000,211.0000,0,0
ECM.L,D,19880822,000000,210.0000,210.0000,210.0000,210.0000,0,0
ECM.L,D,19880823,000000,207.0000,207.0000,207.0000,207.0000,0,0
ECM.L,D,19880824,000000,208.0000,208.0000,208.0000,208.0000,0,0
ECM.L,D,19880825,000000,204.0000,204.0000,204.0000,204.0000,0,0
ECM.L,D,19880826,000000,197.0000,197.0000,197.0000,197.0000,0,0
ECM.L,D,19880829,000000,197.0000,197.0000,197.0000,197.0000,0,0
ECM.L,D,19880830,000000,191.0000,191.0000,191.0000,191.0000,0,0
ECM.L,D,19880831,000000,192.0000,192.0000,192.0000,192.0000,0,0
ECM.L,D,19880901,000000,182.0000,182.0000,182.0000,182.0000,0,0
ECM.L,D,19880902,000000,184.0000,184.0000,184.0000,184.0000,0,0
ECM.L,D,19880905,000000,186.0000,186.0000,186.0000,186.0000,0,0
ECM.L,D,19880906,000000,188.0000,188.0000,188.0000,188.0000,0,0
ECM.L,D,19880907,000000,187.0000,187.0000,187.0000,187.0000,0,0
ECM.L,D,19880908,000000,185.0000,185.0000,185.0000,185.0000,0,0
ECM.L,D,19880909,000000,186.0000,186.0000,186.0000,186.0000,0,0
ECM.L,D,19880912,000000,187.0000,187.0000,187.0000,187.0000,0,0
ECM.L,D,19880913,000000,190.0000,190.0000,190.0000,190.0000,0,0
ECM.L,D,19880914,000000,194.0000,194.0000,194.0000,194.0000,0,0
ECM.L,D,19880915,000000,192.0000,192.0000,192.0000,192.0000,0,0
ECM.L,D,19880916,000000,192.0000,192.0000,192.0000,192.0000,0,0
ECM.L,D,19880919,000000,192.0000,192.0000,192.0000,192.0000,0,0
ECM.L,D,19880920,000000,192.0000,192.0000,192.0000,192.0000,0,0
ECM.L,D,19880921,000000,192.0000,192.0000,192.0000,192.0000,0,0
ECM.L,D,19880922,000000,192.0000,192.0000,192.0000,192.0000,0,0
ECM.L,D,19880923,000000,191.0000,191.0000,191.0000,191.0000,0,0
ECM.L,D,19880926,000000,190.0000,190.0000,190.0000,190.0000,0,0
ECM.L,D,19880927,000000,190.0000,190.0000,190.0000,190.0000,0,0
ECM.L,D,19880928,000000,192.0000,192.0000,192.0000,192.0000,0,0
ECM.L,D,19880929,000000,193.0000,193.0000,193.0000,193.0000,0,0
ECM.L,D,19880930,000000,194.0000,194.0000,194.0000,194.0000,0,0
ECM.L,D,19881003,000000,191.0000,191.0000,191.0000,191.0000,0,0
ECM.L,D,19881004,000000,192.0000,192.0000,192.0000,192.0000,0,0
ECM.L,D,19881005,000000,193.0000,193.0000,193.0000,193.0000,0,0
ECM.L,D,19881006,000000,195.0000,195.0000,195.0000,195.0000,0,0
ECM.L,D,19881007,000000,194.0000,194.0000,194.0000,194.0000,0,0
ECM.L,D,19881010,000000,198.0000,198.0000,198.0000,198.0000,0,0
ECM.L,D,19881011,000000,198.0000,198.0000,198.0000,198.0000,0,0
ECM.L,D,19881012,000000,196.0000,196.0000,196.0000,196.0000,0,0
ECM.L,D,19881013,000000,197.0000,197.0000,197.0000,197.0000,0,0
ECM.L,D,19881014,000000,197.0000,197.0000,197.0000,197.0000,0,0
ECM.L,D,19881017,000000,200.0000,200.0000,200.0000,200.0000,0,0
ECM.L,D,19881018,000000,199.0000,199.0000,199.0000,199.0000,0,0
ECM.L,D,19881019,000000,200.0000,200.0000,200.0000,200.0000,0,0
ECM.L,D,19881020,000000,200.0000,200.0000,200.0000,200.0000,0,0
ECM.L,D,19881021,000000,202.0000,202.0000,202.0000,202.0000,0,0
ECM.L,D,19881024,000000,200.0000,200.0000,200.0000,200.0000,0,0
ECM.L,D,19881025,000000,200.0000,200.0000,200.0000,200.0000,0,0
ECM.L,D,19881026,000000,200.0000,200.0000,200.0000,200.0000,0,0
ECM.L,D,19881027,000000,200.0000,200.0000,200.0000,200.0000,0,0
ECM.L,D,19881028,000000,200.0000,200.0000,200.0000,200.0000,0,0
