<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FLG.L,D,20081205,000000,104.0000,104.0000,104.0000,104.0000,0,0
FLG.L,D,20081208,000000,108.0000,108.0000,108.0000,108.0000,0,0
FLG.L,D,20081209,000000,112.7500,112.7500,112.7500,112.7500,0,0
FLG.L,D,20081210,000000,114.0000,116.0000,114.0000,116.0000,160700,0
FLG.L,D,20081211,000000,113.0000,113.0000,113.0000,113.0000,7300,0
FLG.L,D,20081212,000000,110.0000,110.0000,110.0000,110.0000,0,0
FLG.L,D,20081215,000000,110.0000,110.0000,109.2500,109.2500,8900,0
FLG.L,D,20081216,000000,110.0000,112.0000,109.5000,110.0000,6900,0
FLG.L,D,20081217,000000,109.2500,110.0000,109.2500,110.0000,27100,0
FLG.L,D,20081218,000000,110.0000,110.0000,110.0000,110.0000,0,0
FLG.L,D,20081219,000000,109.5000,110.0000,108.5000,110.0000,1700,0
FLG.L,D,20081222,000000,109.5000,109.5000,108.9990,109.4990,0,0
FLG.L,D,20081223,000000,109.0000,110.0000,108.7500,110.0000,7000,0
FLG.L,D,20081224,000000,108.7500,112.0000,108.7500,112.0000,200,0
FLG.L,D,20081225,000000,112.0000,112.0000,112.0000,112.0000,0,0
FLG.L,D,20081226,000000,112.0000,112.0000,112.0000,112.0000,0,0
FLG.L,D,20081229,000000,109.0000,110.0000,109.0000,110.0000,3700,0
FLG.L,D,20081230,000000,109.5000,109.5000,109.5000,109.5000,0,0
FLG.L,D,20081231,000000,108.7500,111.0000,108.7500,111.0000,16800,0
FLG.L,D,20090101,000000,111.0000,111.0000,111.0000,111.0000,0,0
FLG.L,D,20090102,000000,108.2500,108.2500,108.2500,108.2500,0,0
FLG.L,D,20090105,000000,109.5000,109.5000,109.5000,109.5000,0,0
FLG.L,D,20090106,000000,110.0000,110.0000,110.0000,110.0000,0,0
FLG.L,D,20090107,000000,109.5000,109.5000,108.4990,109.4990,0,0
FLG.L,D,20090108,000000,108.5000,110.0000,107.2500,110.0000,3300,0
FLG.L,D,20090109,000000,109.5000,110.0000,108.5000,108.5000,7800,0
FLG.L,D,20090112,000000,109.2500,110.0000,109.2500,109.2500,45500,0
FLG.L,D,20090113,000000,110.0000,110.0000,110.0000,110.0000,0,0
FLG.L,D,20090114,000000,108.5000,110.0000,108.5000,108.5000,10400,0
FLG.L,D,20090115,000000,109.0000,110.0000,109.0000,110.0000,7800,0
FLG.L,D,20090116,000000,111.7500,111.7500,111.7500,111.7500,0,0
FLG.L,D,20090119,000000,109.5000,110.0000,108.7500,110.0000,3200,0
FLG.L,D,20090120,000000,109.0000,110.0000,109.0000,110.0000,4500,0
FLG.L,D,20090121,000000,109.0000,109.5000,107.5000,107.5000,15700,0
FLG.L,D,20090122,000000,107.5000,107.5000,107.4990,107.4990,0,0
FLG.L,D,20090123,000000,103.0000,103.0000,103.0000,103.0000,100,0
FLG.L,D,20090126,000000,105.0000,107.0000,104.0000,105.0000,67200,0
FLG.L,D,20090127,000000,106.0000,106.0000,104.0000,104.0000,0,0
FLG.L,D,20090128,000000,105.0000,106.0000,104.2500,105.0000,13400,0
FLG.L,D,20090129,000000,105.0000,105.5000,104.0000,105.5000,3800,0
FLG.L,D,20090130,000000,105.0000,105.0000,103.9990,105.0000,0,0
FLG.L,D,20090202,000000,103.7500,103.7500,103.7500,103.7500,0,0
FLG.L,D,20090203,000000,100.7500,102.5000,100.7500,102.5000,5300,0
FLG.L,D,20090204,000000,103.0000,107.0000,103.0000,107.0000,15000,0
FLG.L,D,20090205,000000,108.0000,110.0000,108.0000,110.0000,18900,0
FLG.L,D,20090206,000000,108.5000,110.5000,108.5000,110.5000,25200,0
FLG.L,D,20090209,000000,109.7500,109.7500,109.7500,109.7500,0,0
FLG.L,D,20090210,000000,109.5000,109.5000,109.5000,109.5000,0,0
FLG.L,D,20090211,000000,110.0000,110.0000,108.7500,108.7500,2100,0
FLG.L,D,20090212,000000,110.0000,110.0000,108.7490,110.0000,0,0
FLG.L,D,20090213,000000,109.2500,109.2500,109.2500,109.2500,0,0
FLG.L,D,20090216,000000,108.5000,109.7500,108.5000,109.7500,14700,0
FLG.L,D,20090217,000000,109.2500,110.0000,108.2500,108.2500,63200,0
FLG.L,D,20090218,000000,110.0000,110.0000,110.0000,110.0000,0,0
FLG.L,D,20090219,000000,110.0000,110.0000,109.0000,109.0000,2500,0
FLG.L,D,20090220,000000,109.5000,109.5000,108.4990,109.4990,0,0
FLG.L,D,20090223,000000,108.5000,110.0000,108.5000,110.0000,300,0
FLG.L,D,20090224,000000,108.5000,109.2500,108.5000,108.5000,16500,0
FLG.L,D,20090225,000000,107.0000,107.0000,107.0000,107.0000,0,0
FLG.L,D,20090226,000000,108.0000,108.0000,106.0000,106.0000,38500,0
FLG.L,D,20090227,000000,105.0000,108.0000,105.0000,108.0000,181900,0
FLG.L,D,20090302,000000,106.0000,106.7500,106.0000,106.7500,14100,0
FLG.L,D,20090303,000000,107.5000,107.5000,107.5000,107.5000,0,0
FLG.L,D,20090304,000000,108.0000,108.0000,108.0000,108.0000,0,0
