<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FRES.L,D,20080509,000000,530.0000,555.0000,520.0000,520.0000,18290300,0
FRES.L,D,20080512,000000,525.0000,534.5000,518.0000,530.0000,1369800,0
FRES.L,D,20080513,000000,535.0000,549.5000,527.0000,538.0000,2326600,0
FRES.L,D,20080514,000000,540.0000,555.0000,530.0000,537.5000,2370200,0
FRES.L,D,20080515,000000,535.0000,540.0000,535.0000,539.0000,1059200,0
FRES.L,D,20080516,000000,537.0000,551.0000,536.0000,545.0000,1504700,0
FRES.L,D,20080519,000000,541.0000,550.0000,537.5000,544.0000,1030600,0
FRES.L,D,20080520,000000,541.0000,555.0000,540.0000,553.0000,3751200,0
FRES.L,D,20080521,000000,550.0000,575.0000,543.1710,565.5000,9423300,0
FRES.L,D,20080522,000000,569.0000,569.0000,557.0000,565.0000,1057100,0
FRES.L,D,20080523,000000,560.0000,564.5000,553.5000,560.0000,882500,0
FRES.L,D,20080526,000000,560.0000,560.0000,560.0000,560.0000,0,0
FRES.L,D,20080527,000000,560.0000,560.0000,553.0000,557.0000,550000,0
FRES.L,D,20080528,000000,560.0000,560.0000,548.8000,552.0000,818000,0
FRES.L,D,20080529,000000,559.0000,559.0000,544.0000,550.0000,741900,0
FRES.L,D,20080530,000000,549.5000,549.5000,528.0500,544.0000,2287400,0
FRES.L,D,20080602,000000,540.0000,545.0000,533.0000,544.0000,1845300,0
FRES.L,D,20080603,000000,547.5000,555.0000,540.0000,549.0000,2610900,0
FRES.L,D,20080604,000000,555.0000,560.0000,542.5000,555.0000,1451900,0
FRES.L,D,20080605,000000,554.0000,555.0000,547.0000,550.5000,2824900,0
FRES.L,D,20080606,000000,556.0000,556.0300,547.0000,555.0000,1038600,0
FRES.L,D,20080609,000000,556.0000,556.0000,530.0000,535.0000,767800,0
FRES.L,D,20080610,000000,530.0000,531.2300,516.8000,522.0000,753000,0
FRES.L,D,20080611,000000,517.0000,526.1200,490.9500,502.5000,701800,0
FRES.L,D,20080612,000000,500.0000,509.0000,500.0000,505.0000,469700,0
FRES.L,D,20080613,000000,505.0000,509.5000,484.2730,509.5000,3751800,0
FRES.L,D,20080616,000000,505.0000,520.0000,503.5000,520.0000,673200,0
FRES.L,D,20080617,000000,511.0000,532.5000,512.5000,515.5000,0,0
FRES.L,D,20080618,000000,510.0000,522.5000,504.5000,510.0000,0,0
FRES.L,D,20080619,000000,500.0000,510.0000,489.7500,509.0000,0,0
FRES.L,D,20080620,000000,509.0000,509.5000,499.7500,508.0000,0,0
FRES.L,D,20080623,000000,505.0000,514.0000,495.2500,498.2500,0,0
FRES.L,D,20080624,000000,495.0000,509.0000,482.5000,494.0000,0,0
FRES.L,D,20080625,000000,504.0000,499.0000,467.7500,484.7500,0,0
FRES.L,D,20080626,000000,490.0000,495.0000,477.7500,485.0000,0,0
FRES.L,D,20080627,000000,472.0000,491.2500,478.5000,480.0000,0,0
FRES.L,D,20080630,000000,477.0000,499.2500,480.0000,489.0000,0,0
FRES.L,D,20080701,000000,480.0000,492.2500,470.5000,489.0000,563900,0
FRES.L,D,20080702,000000,490.0000,500.0000,476.0000,494.7500,826500,0
FRES.L,D,20080703,000000,490.7500,497.0000,475.7500,485.0000,728200,0
