<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GKN.L,D,19880701,000000,821.8360,821.8360,821.8360,821.8360,0,0
GKN.L,D,19880704,000000,824.4730,824.4730,824.4730,824.4730,0,0
GKN.L,D,19880705,000000,840.2770,840.2770,840.2770,840.2770,0,0
GKN.L,D,19880706,000000,840.2770,840.2770,840.2770,840.2770,0,0
GKN.L,D,19880707,000000,837.6440,837.6440,837.6440,837.6440,0,0
GKN.L,D,19880708,000000,842.9090,842.9090,842.9090,842.9090,0,0
GKN.L,D,19880711,000000,863.9830,863.9830,863.9830,863.9830,0,0
GKN.L,D,19880712,000000,869.2470,869.2470,869.2470,869.2470,0,0
GKN.L,D,19880713,000000,869.2470,869.2470,869.2470,869.2470,0,0
GKN.L,D,19880714,000000,886.7980,886.7980,886.7980,886.7980,0,0
GKN.L,D,19880715,000000,895.5950,895.5950,895.5950,895.5950,0,0
GKN.L,D,19880718,000000,879.7860,879.7860,879.7860,879.7860,0,0
GKN.L,D,19880719,000000,874.5220,874.5220,874.5220,874.5220,0,0
GKN.L,D,19880720,000000,877.1590,877.1590,877.1590,877.1590,0,0
GKN.L,D,19880721,000000,866.6200,866.6200,866.6200,866.6200,0,0
GKN.L,D,19880722,000000,848.1830,848.1830,848.1830,848.1830,0,0
GKN.L,D,19880725,000000,842.9090,842.9090,842.9090,842.9090,0,0
GKN.L,D,19880726,000000,840.2770,840.2770,840.2770,840.2770,0,0
GKN.L,D,19880727,000000,848.1830,848.1830,848.1830,848.1830,0,0
GKN.L,D,19880728,000000,861.3500,861.3500,861.3500,861.3500,0,0
GKN.L,D,19880729,000000,861.3500,861.3500,861.3500,861.3500,0,0
GKN.L,D,19880801,000000,882.4230,882.4230,882.4230,882.4230,0,0
GKN.L,D,19880802,000000,882.4230,882.4230,882.4230,882.4230,0,0
GKN.L,D,19880803,000000,885.0560,885.0560,885.0560,885.0560,0,0
GKN.L,D,19880804,000000,898.2320,898.2320,898.2320,898.2320,0,0
GKN.L,D,19880805,000000,903.4970,903.4970,903.4970,903.4970,0,0
GKN.L,D,19880808,000000,900.8600,900.8600,900.8600,900.8600,0,0
GKN.L,D,19880809,000000,885.0560,885.0560,885.0560,885.0560,0,0
GKN.L,D,19880810,000000,861.3500,861.3500,861.3500,861.3500,0,0
GKN.L,D,19880811,000000,861.3500,861.3500,861.3500,861.3500,0,0
GKN.L,D,19880812,000000,871.8840,871.8840,871.8840,871.8840,0,0
GKN.L,D,19880815,000000,840.2770,840.2770,840.2770,840.2770,0,0
GKN.L,D,19880816,000000,856.0810,856.0810,856.0810,856.0810,0,0
GKN.L,D,19880817,000000,858.7180,858.7180,858.7180,858.7180,0,0
GKN.L,D,19880818,000000,856.0810,856.0810,856.0810,856.0810,0,0
GKN.L,D,19880819,000000,870.5680,870.5680,870.5680,870.5680,0,0
GKN.L,D,19880822,000000,866.6200,866.6200,866.6200,866.6200,0,0
GKN.L,D,19880823,000000,861.3500,861.3500,861.3500,861.3500,0,0
GKN.L,D,19880824,000000,871.8840,871.8840,871.8840,871.8840,0,0
GKN.L,D,19880825,000000,837.6440,837.6440,837.6440,837.6440,0,0
GKN.L,D,19880826,000000,829.7380,829.7380,829.7380,829.7380,0,0
GKN.L,D,19880829,000000,829.7380,829.7380,829.7380,829.7380,0,0
GKN.L,D,19880830,000000,819.2080,819.2080,819.2080,819.2080,0,0
GKN.L,D,19880831,000000,821.8360,821.8360,821.8360,821.8360,0,0
