<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HCM.L,D,20060519,000000,278.5000,282.0000,240.0000,250.5000,352200,0
HCM.L,D,20060522,000000,250.5000,248.0000,242.0000,244.0000,44500,0
HCM.L,D,20060523,000000,244.0000,243.0000,235.0000,240.0000,341600,0
HCM.L,D,20060524,000000,240.0000,240.0000,230.0000,235.0000,0,0
HCM.L,D,20060525,000000,235.0000,237.0000,235.0000,235.0000,400,0
HCM.L,D,20060526,000000,235.0000,235.0000,235.0000,235.0000,0,0
HCM.L,D,20060529,000000,235.0000,235.0000,235.0000,235.0000,0,0
HCM.L,D,20060530,000000,235.0000,238.0000,230.0000,235.0000,2800,0
HCM.L,D,20060531,000000,235.0000,230.0000,225.0000,230.0000,13000,0
HCM.L,D,20060601,000000,230.0000,237.0000,230.0000,235.0000,0,0
HCM.L,D,20060602,000000,235.0000,240.0000,235.0000,236.5000,100000,0
HCM.L,D,20060605,000000,236.5000,236.5000,236.5000,236.5000,0,0
HCM.L,D,20060606,000000,236.5000,238.0000,236.5000,236.5000,3000,0
HCM.L,D,20060607,000000,236.5000,234.0000,234.0000,234.0000,0,0
HCM.L,D,20060608,000000,234.0000,238.0000,230.0000,234.0000,10200,0
HCM.L,D,20060609,000000,234.0000,234.0000,230.0000,234.0000,35000,0
HCM.L,D,20060612,000000,234.0000,234.0000,230.0000,234.0000,9000,0
HCM.L,D,20060613,000000,232.5000,232.5000,228.0000,232.5000,8400,0
HCM.L,D,20060614,000000,232.5000,232.5000,232.5000,232.5000,0,0
HCM.L,D,20060615,000000,232.5000,232.0000,232.0000,232.0000,0,0
HCM.L,D,20060616,000000,232.0000,232.0000,232.0000,232.0000,0,0
HCM.L,D,20060619,000000,232.0000,234.0000,232.0000,232.0000,900,0
HCM.L,D,20060620,000000,232.0000,232.0000,230.0000,232.0000,200,0
HCM.L,D,20060621,000000,232.0000,234.0000,232.0000,232.0000,0,0
HCM.L,D,20060622,000000,232.0000,232.0000,230.0000,232.0000,300,0
HCM.L,D,20060623,000000,232.0000,232.0000,230.0000,232.0000,0,0
HCM.L,D,20060626,000000,232.0000,232.0000,232.0000,232.0000,0,0
HCM.L,D,20060627,000000,232.5000,232.0000,232.0000,232.0000,0,0
HCM.L,D,20060628,000000,232.5000,232.0000,230.0000,232.0000,300,0
HCM.L,D,20060629,000000,232.0000,230.5000,230.0000,230.5000,3300,0
HCM.L,D,20060630,000000,230.5000,229.5000,229.5000,229.5000,0,0
HCM.L,D,20060703,000000,229.5000,230.3750,229.5000,229.5000,13200,0
HCM.L,D,20060704,000000,229.5000,229.5000,229.5000,229.5000,0,0
HCM.L,D,20060705,000000,229.5000,229.5000,229.5000,229.5000,0,0
HCM.L,D,20060706,000000,229.5000,229.5000,229.5000,229.5000,0,0
HCM.L,D,20060707,000000,229.0000,229.0000,229.0000,229.0000,0,0
HCM.L,D,20060710,000000,229.0000,229.0000,227.0000,229.0000,500,0
HCM.L,D,20060711,000000,229.0000,229.0000,229.0000,229.0000,0,0
HCM.L,D,20060712,000000,229.0000,229.0000,229.0000,229.0000,0,0
HCM.L,D,20060713,000000,227.5000,227.5000,225.0000,227.5000,6000,0
HCM.L,D,20060714,000000,227.5000,225.0000,223.0000,223.0000,28100,0
HCM.L,D,20060717,000000,192.5000,215.0000,190.0000,195.0000,30800,0
HCM.L,D,20060718,000000,195.0000,197.0000,190.0000,193.0000,9400,0
HCM.L,D,20060719,000000,193.0000,188.0000,160.0000,171.0000,148100,0
HCM.L,D,20060720,000000,173.0000,173.0000,168.0000,173.0000,1000,0
HCM.L,D,20060721,000000,173.0000,173.0000,172.0000,173.0000,300,0
HCM.L,D,20060724,000000,173.0000,173.0000,173.0000,173.0000,0,0
HCM.L,D,20060725,000000,173.0000,169.5000,168.0000,169.5000,7000,0
HCM.L,D,20060726,000000,169.5000,171.7500,169.5000,169.5000,5700,0
HCM.L,D,20060727,000000,169.5000,169.5000,169.5000,169.5000,3000,0
HCM.L,D,20060728,000000,169.5000,170.0000,169.5000,169.5000,5000,0
HCM.L,D,20060731,000000,169.5000,170.0000,165.0000,169.5000,0,0
HCM.L,D,20060801,000000,169.5000,169.5000,168.0000,169.5000,12300,0
HCM.L,D,20060802,000000,169.5000,169.5000,169.5000,169.5000,0,0
HCM.L,D,20060803,000000,169.5000,170.0000,165.0000,169.5000,0,0
HCM.L,D,20060804,000000,169.5000,169.5000,169.5000,169.5000,0,0
HCM.L,D,20060807,000000,169.5000,169.5000,165.0000,169.5000,0,0
HCM.L,D,20060808,000000,169.5000,171.5000,169.5000,169.5000,1100,0
HCM.L,D,20060809,000000,171.0000,174.0000,171.0000,174.0000,19400,0
HCM.L,D,20060810,000000,174.0000,176.0000,174.0000,174.0000,2800,0
HCM.L,D,20060811,000000,174.0000,176.0000,174.0000,174.0000,6300,0
HCM.L,D,20060814,000000,174.0000,177.0000,170.0000,174.0000,18900,0
HCM.L,D,20060815,000000,174.0000,174.0000,174.0000,174.0000,0,0
HCM.L,D,20060816,000000,174.0000,174.0000,170.0000,174.0000,1100,0
HCM.L,D,20060817,000000,174.0000,174.0000,174.0000,174.0000,0,0
HCM.L,D,20060818,000000,174.0000,175.0000,174.0000,174.0000,900,0
HCM.L,D,20060821,000000,175.0000,175.0000,172.0000,174.0000,23400,0
HCM.L,D,20060822,000000,174.0000,174.0000,174.0000,174.0000,0,0
HCM.L,D,20060823,000000,174.0000,174.0000,174.0000,174.0000,0,0
HCM.L,D,20060824,000000,174.0000,175.0000,172.0000,172.0000,0,0
HCM.L,D,20060825,000000,172.0000,169.5000,164.0000,169.5000,0,0
HCM.L,D,20060828,000000,169.5000,169.5000,169.5000,169.5000,0,0
HCM.L,D,20060829,000000,169.5000,165.0000,154.0000,161.0000,0,0
HCM.L,D,20060830,000000,157.5000,158.5000,158.0000,158.5000,0,0
HCM.L,D,20060831,000000,158.5000,162.0000,156.0000,162.0000,0,0
HCM.L,D,20060901,000000,162.0000,167.0000,166.0000,166.0000,0,0
HCM.L,D,20060904,000000,166.0000,170.0000,166.3200,167.5000,0,0
HCM.L,D,20060905,000000,165.0000,173.0000,170.0000,170.0000,0,0
HCM.L,D,20060906,000000,170.0000,170.0000,170.0000,170.0000,0,0
HCM.L,D,20060907,000000,170.0000,172.0000,166.0000,171.5000,0,0
HCM.L,D,20060908,000000,171.5000,171.5000,171.5000,171.5000,0,0
HCM.L,D,20060911,000000,171.5000,171.5000,171.5000,171.5000,0,0
HCM.L,D,20060912,000000,171.5000,171.5000,171.5000,171.5000,0,0
HCM.L,D,20060913,000000,171.5000,171.5000,170.0000,171.5000,0,0
HCM.L,D,20060914,000000,171.5000,171.5000,171.5000,171.5000,0,0
HCM.L,D,20060915,000000,171.5000,173.5000,173.0000,173.5000,0,0
HCM.L,D,20060918,000000,173.5000,173.5000,173.5000,173.5000,0,0
HCM.L,D,20060919,000000,175.0000,175.0000,175.0000,175.0000,0,0
HCM.L,D,20060920,000000,175.0000,175.0000,175.0000,175.0000,0,0
HCM.L,D,20060921,000000,175.0000,175.0000,175.0000,175.0000,0,0
HCM.L,D,20060922,000000,175.0000,175.0000,175.0000,175.0000,0,0
HCM.L,D,20060925,000000,175.0000,175.0000,170.0000,175.0000,0,0
HCM.L,D,20060926,000000,175.0000,175.0000,175.0000,175.0000,0,0
HCM.L,D,20060927,000000,175.0000,175.0000,175.0000,175.0000,0,0
HCM.L,D,20060928,000000,175.0000,175.0000,175.0000,175.0000,0,0
HCM.L,D,20060929,000000,175.0000,175.0000,175.0000,175.0000,0,0
HCM.L,D,20061002,000000,175.0000,175.0000,175.0000,175.0000,0,0
HCM.L,D,20061003,000000,175.0000,176.0000,170.0000,174.0000,0,0
HCM.L,D,20061004,000000,174.0000,174.0000,174.0000,174.0000,0,0
HCM.L,D,20061005,000000,174.0000,174.0000,174.0000,174.0000,0,0
HCM.L,D,20061006,000000,174.0000,174.0000,174.0000,174.0000,0,0
HCM.L,D,20061009,000000,174.0000,174.0000,174.0000,174.0000,0,0
HCM.L,D,20061010,000000,174.0000,174.0000,174.0000,174.0000,0,0
HCM.L,D,20061011,000000,174.0000,174.0000,174.0000,174.0000,0,0
HCM.L,D,20061012,000000,174.0000,174.0000,172.0000,174.0000,0,0
HCM.L,D,20061013,000000,174.0000,174.0000,174.0000,174.0000,0,0
HCM.L,D,20061016,000000,175.0000,175.9200,168.0000,173.0000,0,0
HCM.L,D,20061017,000000,173.0000,173.0000,173.0000,173.0000,0,0
HCM.L,D,20061018,000000,173.0000,173.0000,168.0000,173.0000,0,0
HCM.L,D,20061019,000000,173.0000,173.0000,173.0000,173.0000,0,0
HCM.L,D,20061020,000000,173.0000,173.0000,170.0000,173.0000,0,0
HCM.L,D,20061023,000000,173.0000,173.0000,173.0000,173.0000,0,0
HCM.L,D,20061024,000000,173.0000,173.0000,173.0000,173.0000,0,0
HCM.L,D,20061025,000000,173.0000,168.0000,162.0000,166.0000,0,0
HCM.L,D,20061026,000000,166.0000,166.0000,158.0000,158.0000,0,0
HCM.L,D,20061027,000000,158.0000,153.0000,150.0000,150.5000,0,0
HCM.L,D,20061030,000000,150.0000,153.5000,153.0000,153.0000,0,0
HCM.L,D,20061031,000000,153.0000,153.0000,153.0000,153.0000,0,0
HCM.L,D,20061101,000000,153.0000,153.0000,153.0000,153.0000,0,0
HCM.L,D,20061102,000000,153.0000,156.4200,149.7000,154.0000,0,0
HCM.L,D,20061103,000000,156.0000,156.0000,152.0000,156.0000,0,0
HCM.L,D,20061106,000000,162.0000,162.0000,162.0000,162.0000,0,0
HCM.L,D,20061107,000000,162.0000,168.3000,160.0000,165.0000,0,0
HCM.L,D,20061108,000000,165.0000,178.0000,168.3000,174.0000,0,0
HCM.L,D,20061109,000000,174.0000,180.7000,176.2200,178.5000,0,0
HCM.L,D,20061110,000000,180.0000,180.1800,178.5000,179.5000,0,0
HCM.L,D,20061113,000000,179.5000,183.5000,178.1000,183.5000,0,0
HCM.L,D,20061114,000000,183.5000,183.5000,183.5000,183.5000,0,0
HCM.L,D,20061115,000000,183.5000,183.5000,180.0000,183.5000,0,0
HCM.L,D,20061116,000000,183.5000,183.5000,180.0000,183.5000,0,0
