<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HIK.L,D,20051101,000000,298.0900,298.0900,278.2180,282.6890,9393300,0
HIK.L,D,20051102,000000,288.0000,288.1540,281.0000,282.0000,0,0
HIK.L,D,20051103,000000,281.0000,280.2050,280.0000,280.0000,0,0
HIK.L,D,20051104,000000,283.1860,283.1860,278.2180,279.2110,577400,0
HIK.L,D,20051107,000000,282.0000,283.1860,280.0000,280.5000,0,0
HIK.L,D,20051108,000000,283.1860,283.1860,277.2240,277.2240,321400,0
HIK.L,D,20051109,000000,283.1860,283.1860,276.2300,276.7270,516100,0
HIK.L,D,20051110,000000,277.2240,277.2240,275.2370,275.2370,222000,0
HIK.L,D,20051111,000000,280.0000,280.0000,275.2370,278.5000,0,0
HIK.L,D,20051114,000000,285.0000,285.0000,274.2430,277.2500,0,0
HIK.L,D,20051115,000000,280.0000,280.0000,274.2430,278.0000,0,0
HIK.L,D,20051116,000000,278.2180,278.2180,274.2430,276.2300,367600,0
HIK.L,D,20051117,000000,280.0000,283.0000,275.2370,283.0000,0,0
HIK.L,D,20051118,000000,285.0000,288.5000,282.6890,288.5000,0,0
HIK.L,D,20051121,000000,285.1730,298.0900,285.1730,293.1220,754800,0
HIK.L,D,20051122,000000,298.0000,312.0000,293.1220,304.5000,0,0
HIK.L,D,20051123,000000,304.0000,307.7190,298.7530,305.0000,0,0
HIK.L,D,20051124,000000,300.0780,305.0460,298.0900,300.5750,778100,0
HIK.L,D,20051125,000000,306.0000,313.0000,300.0780,308.0000,0,0
HIK.L,D,20051128,000000,307.0000,311.5000,295.6060,311.5000,0,0
HIK.L,D,20051129,000000,315.0000,318.5990,310.0000,314.5000,0,0
HIK.L,D,20051130,000000,318.0000,318.0000,288.1540,313.7500,0,0
HIK.L,D,20051201,000000,309.5170,313.2430,306.0390,308.2750,562400,0
HIK.L,D,20051202,000000,311.7530,311.7530,308.0270,308.0270,228500,0
HIK.L,D,20051205,000000,308.0000,313.9890,305.0460,308.5000,0,0
HIK.L,D,20051206,000000,310.0000,318.4400,307.0330,314.0000,0,0
HIK.L,D,20051207,000000,311.0080,312.9950,311.0080,311.5040,297100,0
HIK.L,D,20051208,000000,317.0000,317.5000,315.0000,317.5000,0,0
HIK.L,D,20051209,000000,312.9950,313.9890,312.0010,312.9950,138700,0
HIK.L,D,20051212,000000,313.9890,313.9890,311.0080,312.4980,115400,0
HIK.L,D,20051213,000000,314.0000,318.0000,314.0000,318.0000,0,0
HIK.L,D,20051214,000000,317.9630,324.9190,314.9820,321.4410,925000,0
HIK.L,D,20051215,000000,330.0000,349.0000,323.9250,343.2500,0,0
HIK.L,D,20051216,000000,342.0000,377.8300,342.0000,370.2500,0,0
HIK.L,D,20051219,000000,367.6450,380.0000,362.6770,367.1480,0,0
HIK.L,D,20051220,000000,367.3960,367.6450,357.7080,358.7020,1617200,0
HIK.L,D,20051221,000000,361.0000,370.0000,355.7210,365.7500,0,0
HIK.L,D,20051222,000000,367.0000,375.0000,362.6770,370.0000,0,0
HIK.L,D,20051223,000000,374.6000,374.6000,366.6510,370.6260,17300,0
HIK.L,D,20051226,000000,370.6260,370.6260,370.6260,370.6260,0,0
HIK.L,D,20051227,000000,370.6260,370.6260,370.6260,370.6260,0,0
HIK.L,D,20051228,000000,369.6320,369.6320,362.6770,362.6770,496100,0
HIK.L,D,20051229,000000,369.6320,371.3710,367.6450,371.3710,153600,0
HIK.L,D,20051230,000000,378.0000,410.3710,372.0000,404.7500,0,0
HIK.L,D,20060102,000000,402.1740,402.1740,402.1740,402.1740,0,0
HIK.L,D,20060103,000000,397.0000,407.3900,395.0000,398.0000,0,0
HIK.L,D,20060104,000000,402.0000,402.7500,392.4860,398.0000,0,0
HIK.L,D,20060105,000000,398.0000,397.3050,385.0000,385.0000,0,0
HIK.L,D,20060106,000000,390.0000,397.4540,377.7300,397.0000,0,0
HIK.L,D,20060109,000000,397.0000,397.3050,392.0000,392.0000,0,0
HIK.L,D,20060110,000000,395.4670,395.4670,382.5490,395.4670,107100,0
HIK.L,D,20060111,000000,398.0000,402.0000,387.6670,394.0000,0,0
HIK.L,D,20060112,000000,399.0000,414.1970,395.0650,410.0000,0,0
HIK.L,D,20060113,000000,415.3390,415.3390,405.4030,413.1040,253100,0
HIK.L,D,20060116,000000,418.0000,420.0000,409.3770,414.0000,0,0
HIK.L,D,20060117,000000,409.3770,415.3390,409.3770,409.6260,280100,0
HIK.L,D,20060118,000000,405.6510,409.8740,401.9250,409.8740,429200,0
HIK.L,D,20060119,000000,412.3580,412.3580,394.4730,407.3900,992300,0
HIK.L,D,20060120,000000,407.3900,412.3580,402.4220,410.8680,2246300,0
HIK.L,D,20060123,000000,406.6450,412.3580,402.4220,410.8680,462900,0
HIK.L,D,20060124,000000,415.0000,440.8860,415.0000,434.5000,0,0
HIK.L,D,20060125,000000,436.7500,441.1340,424.0000,424.0000,0,0
HIK.L,D,20060126,000000,431.9830,431.9830,422.2950,425.2760,787300,0
HIK.L,D,20060127,000000,431.0000,443.0000,425.0000,443.0000,0,0
HIK.L,D,20060130,000000,440.1800,440.1800,427.2630,433.2250,409900,0
HIK.L,D,20060131,000000,437.1990,441.1740,432.2310,436.2060,193900,0
HIK.L,D,20060201,000000,439.0000,444.7500,435.3110,441.0000,0,0
HIK.L,D,20060202,000000,445.0000,445.7350,437.0000,441.0000,0,0
HIK.L,D,20060203,000000,444.1550,447.1360,433.2250,437.1990,227600,0
HIK.L,D,20060206,000000,445.0000,445.0000,432.4590,440.0000,0,0
HIK.L,D,20060207,000000,435.0000,437.3780,433.0000,433.0000,0,0
HIK.L,D,20060208,000000,427.2630,436.7020,412.3580,422.2950,426000,0
HIK.L,D,20060209,000000,432.2310,434.2180,422.2950,434.2180,299500,0
HIK.L,D,20060210,000000,436.9510,436.9510,426.2690,427.0140,359400,0
HIK.L,D,20060213,000000,425.0000,426.5770,418.0000,421.0000,0,0
HIK.L,D,20060214,000000,424.0000,423.4670,415.0000,419.0000,0,0
HIK.L,D,20060215,000000,414.3460,423.2880,414.3460,423.2880,178400,0
HIK.L,D,20060216,000000,422.2950,427.2630,419.0650,422.2950,1822700,0
HIK.L,D,20060217,000000,427.2630,438.4410,423.5370,437.1990,286200,0
HIK.L,D,20060220,000000,430.0000,437.1990,430.0000,433.0000,0,0
HIK.L,D,20060221,000000,440.0000,437.3280,430.0000,434.0000,0,0
HIK.L,D,20060222,000000,430.0000,429.2500,424.0000,424.5000,0,0
HIK.L,D,20060223,000000,430.0000,430.0000,408.5430,419.0000,0,0
HIK.L,D,20060224,000000,415.0000,418.7500,415.0000,418.7500,0,0
HIK.L,D,20060227,000000,414.0000,419.1250,392.4560,399.2500,0,0
HIK.L,D,20060228,000000,395.0000,393.5490,378.0000,386.0000,0,0
HIK.L,D,20060301,000000,382.2500,398.5000,378.9990,398.5000,0,0
HIK.L,D,20060302,000000,392.4860,426.2690,392.4860,397.7020,604300,0
HIK.L,D,20060303,000000,399.0000,402.4220,393.0000,400.0000,0,0
HIK.L,D,20060306,000000,402.1740,402.1740,390.4980,394.9700,233100,0
HIK.L,D,20060307,000000,390.5000,395.0000,379.5680,386.0000,0,0
HIK.L,D,20060308,000000,383.5430,390.0020,377.5810,378.0780,301900,0
HIK.L,D,20060309,000000,382.5490,382.5490,374.6000,380.5620,623500,0
HIK.L,D,20060310,000000,380.3140,381.0590,377.5810,380.5620,877400,0
HIK.L,D,20060313,000000,387.5170,387.5170,374.6000,379.5680,531400,0
HIK.L,D,20060314,000000,376.5880,382.5490,376.5880,382.5490,724100,0
HIK.L,D,20060315,000000,380.0000,393.0000,376.3390,393.0000,0,0
HIK.L,D,20060316,000000,390.2500,397.4540,390.0020,397.2050,300900,0
HIK.L,D,20060317,000000,400.0000,410.0000,393.4490,408.2500,0,0
HIK.L,D,20060320,000000,404.7500,406.1080,394.4730,400.7500,0,0
HIK.L,D,20060321,000000,397.4540,401.4280,385.5300,397.4540,644600,0
HIK.L,D,20060322,000000,402.1740,402.1740,392.4860,395.9630,469900,0
HIK.L,D,20060323,000000,395.2180,395.9630,387.5170,395.9630,136800,0
HIK.L,D,20060324,000000,394.9700,395.9630,390.7470,395.9630,128300,0
HIK.L,D,20060327,000000,392.4860,392.4860,382.5490,387.7660,149800,0
HIK.L,D,20060328,000000,393.2310,394.4730,384.5370,387.5170,276600,0
HIK.L,D,20060329,000000,398.7500,410.8980,398.7500,408.0000,0,0
HIK.L,D,20060330,000000,407.8870,407.8870,392.4860,392.4860,926700,0
HIK.L,D,20060331,000000,391.4920,399.4410,391.4920,397.2050,1061400,0
HIK.L,D,20060403,000000,402.1740,402.1740,392.2370,392.4860,226400,0
HIK.L,D,20060404,000000,393.2500,400.0000,390.5280,400.0000,0,0
HIK.L,D,20060405,000000,397.9510,408.8810,396.4600,408.8810,501200,0
HIK.L,D,20060406,000000,409.8740,437.1990,409.8740,436.2060,2559700,0
HIK.L,D,20060407,000000,435.7090,446.1420,435.4600,446.1420,1534700,0
HIK.L,D,20060410,000000,439.1870,447.1360,433.2250,433.2250,574900,0
HIK.L,D,20060411,000000,432.4790,434.2180,423.2880,428.0080,729000,0
HIK.L,D,20060412,000000,427.2630,431.2370,422.2950,425.0270,1150900,0
HIK.L,D,20060413,000000,432.2500,433.4730,430.0000,430.7500,0,0
HIK.L,D,20060414,000000,428.0080,428.0080,428.0080,428.0080,0,0
HIK.L,D,20060417,000000,428.0080,428.0080,428.0080,428.0080,0,0
HIK.L,D,20060418,000000,427.2630,437.1990,427.2630,435.2120,871800,0
HIK.L,D,20060419,000000,437.1990,443.1610,432.4790,442.1670,2318600,0
HIK.L,D,20060420,000000,440.2500,445.0590,439.0000,440.0000,0,0
HIK.L,D,20060421,000000,441.9190,441.9190,432.2310,438.1930,276900,0
HIK.L,D,20060424,000000,440.0000,442.2500,432.7280,441.2500,0,0
HIK.L,D,20060425,000000,446.1420,455.0850,441.9190,455.0850,1672100,0
HIK.L,D,20060426,000000,451.8550,456.0780,442.1670,442.1670,302400,0
HIK.L,D,20060427,000000,446.1420,446.1420,435.2120,437.1990,513500,0
HIK.L,D,20060428,000000,433.9700,437.1990,432.2310,435.2120,129800,0
HIK.L,D,20060501,000000,435.2120,435.2120,435.2120,435.2120,0,0
HIK.L,D,20060502,000000,432.2310,437.1990,425.5240,426.2690,968600,0
HIK.L,D,20060503,000000,427.2630,428.2560,424.2820,426.7660,2389400,0
HIK.L,D,20060504,000000,423.2880,427.0140,417.3270,419.8110,243900,0
HIK.L,D,20060505,000000,422.0460,428.7530,412.3580,426.7660,719600,0
HIK.L,D,20060508,000000,432.2310,437.1990,422.2950,427.2630,651100,0
HIK.L,D,20060509,000000,426.7660,437.1990,426.7660,434.7150,582400,0
HIK.L,D,20060510,000000,442.1670,442.1670,428.2560,434.7150,718500,0
HIK.L,D,20060511,000000,435.0000,435.9570,431.0000,433.5000,0,0
HIK.L,D,20060512,000000,427.2630,427.2630,411.6130,415.0910,333500,0
HIK.L,D,20060515,000000,412.3580,412.9740,397.4540,400.1860,1220400,0
HIK.L,D,20060516,000000,402.5000,405.4030,400.0000,401.0000,0,0
HIK.L,D,20060517,000000,402.4220,410.3710,396.2120,396.2120,571200,0
HIK.L,D,20060518,000000,397.4540,401.5600,395.4670,397.7020,0,0
HIK.L,D,20060519,000000,400.2500,401.5000,395.4670,401.5000,0,0
HIK.L,D,20060522,000000,398.0000,400.4350,396.7500,396.7500,0,0
HIK.L,D,20060523,000000,400.4350,400.4350,390.7470,393.4790,363700,0
HIK.L,D,20060524,000000,387.0000,400.0000,364.5350,388.0000,0,0
HIK.L,D,20060525,000000,397.7500,395.2180,385.7790,394.0000,0,0
HIK.L,D,20060526,000000,397.2050,402.4220,390.4980,402.4220,375700,0
HIK.L,D,20060529,000000,402.4220,402.4220,402.4220,402.4220,0,0
HIK.L,D,20060530,000000,394.0000,402.4220,391.4920,400.0000,0,0
HIK.L,D,20060531,000000,395.0000,402.4220,392.4860,397.2500,0,0
HIK.L,D,20060601,000000,395.0000,402.4220,392.4860,400.0000,0,0
HIK.L,D,20060602,000000,406.0000,407.5000,392.4960,407.5000,0,0
HIK.L,D,20060605,000000,400.0000,401.8360,395.0000,395.0000,0,0
HIK.L,D,20060606,000000,383.2500,395.4670,367.8930,374.0000,0,0
HIK.L,D,20060607,000000,382.7500,380.5620,360.6890,372.0000,0,0
HIK.L,D,20060608,000000,362.6770,378.5750,362.6770,368.6380,218600,0
HIK.L,D,20060609,000000,374.1030,374.6000,364.6640,368.6380,258400,0
HIK.L,D,20060612,000000,366.0000,377.5810,359.1990,365.0000,0,0
HIK.L,D,20060613,000000,361.0000,367.6450,337.7500,337.7500,0,0
HIK.L,D,20060614,000000,347.7720,347.7720,332.3710,335.8480,440000,0
HIK.L,D,20060615,000000,343.0000,343.2500,333.8610,343.0000,0,0
