<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HSBA.L,D,19880705,000000,40.0860,40.0860,40.0860,40.0860,0,0
HSBA.L,D,19880706,000000,41.8290,41.8290,41.8290,41.8290,0,0
HSBA.L,D,19880718,000000,40.9570,40.9570,40.9570,40.9570,0,0
HSBA.L,D,19880719,000000,40.9570,40.9570,40.9570,40.9570,0,0
HSBA.L,D,19880720,000000,40.0860,40.0860,40.0860,40.0860,0,0
HSBA.L,D,19880725,000000,40.0860,40.0860,40.0860,40.0860,0,0
HSBA.L,D,19880801,000000,40.9570,40.9570,40.9570,40.9570,0,0
HSBA.L,D,19880804,000000,40.0860,40.0860,40.0860,40.0860,0,0
HSBA.L,D,19880808,000000,40.9570,40.9570,40.9570,40.9570,0,0
HSBA.L,D,19880809,000000,40.0860,40.0860,40.0860,40.0860,0,0
HSBA.L,D,19880812,000000,39.2150,39.2150,39.2150,39.2150,0,0
HSBA.L,D,19880815,000000,40.0860,40.0860,40.0860,40.0860,0,0
HSBA.L,D,19880816,000000,39.2150,39.2150,39.2150,39.2150,0,0
HSBA.L,D,19880824,000000,40.0860,40.0860,40.0860,40.0860,0,0
HSBA.L,D,19880825,000000,40.0860,40.0860,40.0860,40.0860,0,0
HSBA.L,D,19880826,000000,38.3440,38.3440,38.3440,38.3440,0,0
HSBA.L,D,19880829,000000,38.3440,38.3440,38.3440,38.3440,0,0
HSBA.L,D,19880830,000000,40.0860,40.0860,40.0860,40.0860,0,0
HSBA.L,D,19880901,000000,39.2150,39.2150,39.2150,39.2150,0,0
HSBA.L,D,19880902,000000,40.0860,40.0860,40.0860,40.0860,0,0
HSBA.L,D,19880908,000000,39.2150,39.2150,39.2150,39.2150,0,0
HSBA.L,D,19880909,000000,38.3440,38.3440,38.3440,38.3440,0,0
HSBA.L,D,19880919,000000,38.3440,38.3440,38.3440,38.3440,0,0
HSBA.L,D,19880922,000000,39.2150,39.2150,39.2150,39.2150,0,0
HSBA.L,D,19880926,000000,39.2150,39.2150,39.2150,39.2150,0,0
HSBA.L,D,19880928,000000,38.3440,38.3440,38.3440,38.3440,0,0
HSBA.L,D,19880930,000000,38.3440,38.3440,38.3440,38.3440,0,0
HSBA.L,D,19881007,000000,39.2150,39.2150,39.2150,39.2150,0,0
HSBA.L,D,19881010,000000,40.9570,40.9570,40.9570,40.9570,0,0
HSBA.L,D,19881011,000000,40.0860,40.0860,40.0860,40.0860,0,0
HSBA.L,D,19881012,000000,40.0860,40.0860,40.0860,40.0860,0,0
HSBA.L,D,19881019,000000,40.9570,40.9570,40.9570,40.9570,0,0
HSBA.L,D,19881020,000000,39.2150,39.2150,39.2150,39.2150,0,0
