<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
III.L,D,19930331,000000,3.3392,3.3392,3.3392,3.3392,0,0
III.L,D,19940331,000000,4.3636,4.3636,4.3636,4.3636,0,0
III.L,D,19940429,000000,4.3636,4.3636,4.3636,4.3636,0,0
III.L,D,19940531,000000,4.3636,4.3636,4.3636,4.3636,0,0
III.L,D,19940630,000000,4.3636,4.3636,4.3636,4.3636,0,0
III.L,D,19940729,000000,3.1381,3.1381,3.1381,3.1381,0,0
III.L,D,19940831,000000,3.1381,3.1381,3.1381,3.1381,0,0
III.L,D,19940930,000000,3.3400,3.3400,3.3400,3.3400,0,0
III.L,D,19941031,000000,3.3400,3.3400,3.3400,3.3400,0,0
III.L,D,19941130,000000,3.3400,3.3400,3.3400,3.3400,0,0
III.L,D,19941230,000000,3.3400,3.3400,3.3400,3.3400,0,0
III.L,D,19950131,000000,3.3400,3.3400,3.3400,3.3400,0,0
III.L,D,19950228,000000,3.3400,3.3400,3.3400,3.3400,0,0
III.L,D,19950331,000000,3.4600,3.4600,3.4600,3.4600,0,0
III.L,D,19950428,000000,3.4600,3.4600,3.4600,3.4600,0,0
III.L,D,19950531,000000,3.4600,3.4600,3.4600,3.4600,0,0
III.L,D,19950630,000000,3.4600,3.4600,3.4600,3.4600,0,0
III.L,D,19950731,000000,3.4600,3.4600,3.4600,3.4600,0,0
III.L,D,19950831,000000,3.4600,3.4600,3.4600,3.4600,0,0
III.L,D,19950929,000000,3.9000,3.9000,3.9000,3.9000,0,0
III.L,D,19951031,000000,3.9000,3.9000,3.9000,3.9000,0,0
III.L,D,19951130,000000,3.9000,3.9000,3.9000,3.9000,0,0
III.L,D,19951229,000000,3.9000,3.9000,3.9000,3.9000,0,0
III.L,D,19960131,000000,3.9000,3.9000,3.9000,3.9000,0,0
III.L,D,19960229,000000,3.9000,3.9000,3.9000,3.9000,0,0
III.L,D,19960329,000000,4.2600,4.2600,4.2600,4.2600,0,0
III.L,D,19960430,000000,4.2600,4.2600,4.2600,4.2600,0,0
III.L,D,19960531,000000,4.2600,4.2600,4.2600,4.2600,0,0
III.L,D,19960628,000000,4.2600,4.2600,4.2600,4.2600,0,0
III.L,D,19960731,000000,4.2600,4.2600,4.2600,4.2600,0,0
III.L,D,19960830,000000,4.2600,4.2600,4.2600,4.2600,0,0
III.L,D,19960930,000000,4.5400,4.5400,4.5400,4.5400,0,0
III.L,D,19961031,000000,4.5400,4.5400,4.5400,4.5400,0,0
III.L,D,19961129,000000,4.5400,4.5400,4.5400,4.5400,0,0
III.L,D,19961231,000000,4.5400,4.5400,4.5400,4.5400,0,0
III.L,D,19970131,000000,4.5400,4.5400,4.5400,4.5400,0,0
III.L,D,19970228,000000,4.5400,4.5400,4.5400,4.5400,0,0
III.L,D,19970331,000000,4.8600,4.8600,4.8600,4.8600,0,0
III.L,D,19970430,000000,4.8600,4.8600,4.8600,4.8600,0,0
III.L,D,19970530,000000,4.8600,4.8600,4.8600,4.8600,0,0
III.L,D,19970630,000000,4.8600,4.8600,4.8600,4.8600,0,0
III.L,D,19970731,000000,4.8600,4.8600,4.8600,4.8600,0,0
III.L,D,19970829,000000,4.8600,4.8600,4.8600,4.8600,0,0
III.L,D,19970930,000000,5.1800,5.1800,5.1800,5.1800,0,0
III.L,D,19971031,000000,5.1800,5.1800,5.1800,5.1800,0,0
III.L,D,19971128,000000,5.1800,5.1800,5.1800,5.1800,0,0
III.L,D,19971231,000000,5.1800,5.1800,5.1800,5.1800,0,0
III.L,D,19980130,000000,5.1800,5.1800,5.1800,5.1800,0,0
III.L,D,19980227,000000,5.1800,5.1800,5.1800,5.1800,0,0
III.L,D,19980331,000000,5.8200,5.8200,5.8200,5.8200,0,0
III.L,D,19980430,000000,5.8200,5.8200,5.8200,5.8200,0,0
III.L,D,19980529,000000,5.8200,5.8200,5.8200,5.8200,0,0
III.L,D,19980630,000000,5.8200,5.8200,5.8200,5.8200,0,0
III.L,D,19980731,000000,5.8200,5.8200,5.8200,5.8200,0,0
III.L,D,19980831,000000,5.8200,5.8200,5.8200,5.8200,0,0
III.L,D,19980930,000000,5.2500,5.2500,5.2500,5.2500,0,0
III.L,D,19981030,000000,5.2500,5.2500,5.2500,5.2500,0,0
III.L,D,19981130,000000,5.2500,5.2500,5.2500,5.2500,0,0
III.L,D,19981231,000000,5.2500,5.2500,5.2500,5.2500,0,0
III.L,D,19990129,000000,5.2500,5.2500,5.2500,5.2500,0,0
III.L,D,19990226,000000,5.2500,5.2500,5.2500,5.2500,0,0
III.L,D,19990331,000000,6.0100,6.0100,6.0100,6.0100,0,0
III.L,D,19990430,000000,6.0100,6.0100,6.0100,6.0100,0,0
III.L,D,19990531,000000,6.0100,6.0100,6.0100,6.0100,0,0
III.L,D,19990630,000000,6.0100,6.0100,6.0100,6.0100,0,0
