<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ITV.L,D,20000104,000000,410.5000,427.4990,410.5000,410.5000,0,0
ITV.L,D,20000105,000000,406.0000,406.0000,406.0000,406.0000,0,0
ITV.L,D,20000106,000000,384.0000,396.4990,384.0000,384.0000,0,0
ITV.L,D,20000107,000000,384.4990,386.4990,381.0010,381.0010,331200,0
ITV.L,D,20000110,000000,420.0010,434.2190,420.0010,434.2190,337100,0
ITV.L,D,20000111,000000,424.0010,428.0010,424.0010,427.0000,75800,0
ITV.L,D,20000112,000000,424.0010,424.0010,410.0000,410.0000,30400,0
ITV.L,D,20000113,000000,406.9990,408.0000,404.9990,404.9990,877500,0
ITV.L,D,20000114,000000,396.9990,406.9990,394.9990,406.9990,23100,0
ITV.L,D,20000117,000000,406.9990,414.9990,406.9990,412.0010,41400,0
ITV.L,D,20000118,000000,416.9990,416.9990,402.5000,402.5000,6500,0
ITV.L,D,20000119,000000,410.9990,416.0010,410.9990,410.9990,364700,0
ITV.L,D,20000120,000000,412.0010,412.0010,410.9990,410.9990,11400,0
ITV.L,D,20000121,000000,404.0000,406.7000,404.0000,404.0000,161200,0
ITV.L,D,20000124,000000,404.0000,410.0000,404.0000,410.0000,1416300,0
ITV.L,D,20000125,000000,406.9990,412.9990,406.9990,412.9990,639300,0
ITV.L,D,20000126,000000,410.0000,414.0010,410.0000,412.9990,1152400,0
ITV.L,D,20000127,000000,410.0000,418.0010,410.0000,418.0010,2915200,0
ITV.L,D,20000128,000000,412.9990,418.9990,410.0000,418.9990,669400,0
ITV.L,D,20000131,000000,418.9990,424.0010,416.0010,416.0010,1884600,0
ITV.L,D,20000201,000000,410.0000,410.0000,406.0000,408.0000,71800,0
ITV.L,D,20000202,000000,418.0010,418.0010,412.9990,412.9990,63400,0
ITV.L,D,20000203,000000,410.0000,410.0000,400.0000,402.9990,18300,0
ITV.L,D,20000204,000000,398.0000,398.0000,383.0010,383.0010,23300,0
ITV.L,D,20000207,000000,381.0010,383.0010,381.0010,383.0010,1200,0
ITV.L,D,20000208,000000,377.0010,377.0010,377.0010,377.0010,5900,0
ITV.L,D,20000209,000000,365.9990,381.0010,365.9990,376.0000,233700,0
ITV.L,D,20000210,000000,387.0010,387.0010,387.0010,387.0010,2700,0
ITV.L,D,20000211,000000,426.0010,437.0000,420.0010,437.0000,172700,0
ITV.L,D,20000214,000000,416.0010,430.0010,416.0010,430.0010,13700,0
ITV.L,D,20000215,000000,427.0000,427.0000,402.9990,408.0000,463400,0
ITV.L,D,20000216,000000,400.0000,400.0000,393.0010,393.0010,345600,0
ITV.L,D,20000217,000000,390.0000,408.0000,390.0000,402.9990,160400,0
ITV.L,D,20000218,000000,404.9990,412.9990,400.9990,412.9990,626600,0
ITV.L,D,20000221,000000,408.9990,408.9990,388.0000,392.0000,392300,0
ITV.L,D,20000222,000000,381.0010,396.0000,376.0000,396.0000,689300,0
ITV.L,D,20000223,000000,400.0000,410.0000,400.0000,408.0000,16700,0
ITV.L,D,20000224,000000,422.0010,422.0010,418.0010,418.9990,16600,0
ITV.L,D,20000225,000000,414.9990,414.9990,400.0000,400.0000,47900,0
ITV.L,D,20000228,000000,395.5010,411.5010,395.5010,395.5010,0,0
ITV.L,D,20000229,000000,396.0000,430.5000,396.0000,396.0000,0,0
ITV.L,D,20000301,000000,420.0010,428.5000,420.0010,420.0010,0,0
ITV.L,D,20000302,000000,418.5000,429.0000,418.5000,418.5000,0,0
ITV.L,D,20000303,000000,410.0000,423.4990,410.0000,410.0000,0,0
ITV.L,D,20000306,000000,416.9990,433.4990,416.9990,416.9990,0,0
ITV.L,D,20000307,000000,429.0000,456.5010,429.0000,429.0000,0,0
ITV.L,D,20000308,000000,430.0010,448.5010,430.0010,430.0010,0,0
ITV.L,D,20000309,000000,431.0000,439.4990,431.0000,431.0000,0,0
ITV.L,D,20000310,000000,435.0000,454.5010,435.0000,435.0000,0,0
ITV.L,D,20000313,000000,443.0000,452.5010,443.0000,443.0000,0,0
ITV.L,D,20000314,000000,445.9990,462.5010,445.9990,445.9990,0,0
ITV.L,D,20000315,000000,447.9990,457.9990,447.9990,447.9990,0,0
ITV.L,D,20000316,000000,453.9990,470.0000,453.9990,453.9990,0,0
ITV.L,D,20000317,000000,461.5000,481.0010,461.5000,461.5000,0,0
ITV.L,D,20000320,000000,460.5010,477.5000,460.5010,460.5010,0,0
ITV.L,D,20000321,000000,459.0000,483.0010,459.0000,459.0000,0,0
ITV.L,D,20000322,000000,465.9990,494.9990,465.9990,465.9990,0,0
ITV.L,D,20000323,000000,472.0000,492.9990,472.0000,472.0000,0,0
ITV.L,D,20000324,000000,483.0010,496.5000,483.0010,483.0010,0,0
ITV.L,D,20000327,000000,476.0000,476.0000,476.0000,476.0000,0,0
ITV.L,D,20000328,000000,462.5010,462.5010,462.5010,462.5010,0,0
ITV.L,D,20000329,000000,457.5000,463.0010,457.5000,457.5000,0,0
ITV.L,D,20000330,000000,443.4990,458.5010,443.4990,443.4990,0,0
ITV.L,D,20000331,000000,439.4990,450.5010,439.4990,439.4990,0,0
ITV.L,D,20000403,000000,443.0000,443.0000,443.0000,443.0000,38000,0
ITV.L,D,20000404,000000,416.0010,445.4990,416.0010,416.0010,0,0
ITV.L,D,20000405,000000,410.0000,424.0010,410.0000,410.0000,0,0
ITV.L,D,20000406,000000,404.9990,416.5000,404.9990,404.9990,0,0
ITV.L,D,20000407,000000,415.5010,445.9990,415.5010,415.5010,0,0
ITV.L,D,20000410,000000,442.5010,461.9990,442.5010,442.5010,0,0
ITV.L,D,20000411,000000,445.4990,463.5000,445.4990,445.4990,0,0
ITV.L,D,20000412,000000,438.0010,449.0000,438.0010,438.0010,0,0
ITV.L,D,20000413,000000,432.5000,440.5010,432.5000,432.5000,0,0
ITV.L,D,20000414,000000,404.9990,438.5010,404.9990,404.9990,0,0
ITV.L,D,20000417,000000,402.5000,417.5010,402.5000,402.5000,0,0
ITV.L,D,20000418,000000,414.0010,422.0010,414.0010,414.0010,0,0
ITV.L,D,20000419,000000,419.4990,423.0000,419.4990,419.4990,0,0
ITV.L,D,20000420,000000,414.5000,423.4990,414.5000,414.5000,0,0
ITV.L,D,20000421,000000,414.5000,414.5000,414.5000,414.5000,0,0
ITV.L,D,20000424,000000,414.5000,414.5000,414.5000,414.5000,0,0
ITV.L,D,20000425,000000,411.5010,416.5000,411.5010,411.5010,0,0
ITV.L,D,20000426,000000,410.0000,415.5010,410.0000,410.0000,0,0
ITV.L,D,20000427,000000,411.5010,414.5000,411.5010,411.5010,0,0
ITV.L,D,20000428,000000,406.0000,414.9990,406.0000,406.0000,0,0
ITV.L,D,20000501,000000,406.0000,406.0000,406.0000,406.0000,0,0
ITV.L,D,20000502,000000,410.5000,419.4990,410.5000,410.5000,0,0
ITV.L,D,20000503,000000,414.5000,417.5010,414.5000,414.5000,0,0
ITV.L,D,20000504,000000,402.9990,415.5010,402.9990,402.9990,0,0
ITV.L,D,20000505,000000,401.5010,417.5010,401.5010,401.5010,0,0
ITV.L,D,20000508,000000,399.5010,408.9990,399.5010,399.5010,0,0
ITV.L,D,20000509,000000,399.5010,399.5010,399.5010,399.5010,0,0
ITV.L,D,20000510,000000,409.5010,418.0010,409.5010,409.5010,0,0
ITV.L,D,20000511,000000,417.5010,420.0010,417.5010,417.5010,0,0
ITV.L,D,20000512,000000,417.5010,420.0010,417.5010,417.5010,0,0
ITV.L,D,20000515,000000,422.0010,424.0010,422.0010,424.0010,16400,0
ITV.L,D,20000516,000000,402.0000,402.0000,402.0000,402.0000,500,0
ITV.L,D,20000517,000000,373.0010,373.0010,373.0010,373.0010,30700,0
ITV.L,D,20000518,000000,374.0000,378.0000,373.0010,373.0010,17900,0
ITV.L,D,20000519,000000,373.0010,375.0010,373.0010,375.0010,12500,0
