<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JDW.L,D,19921029,000000,3841.2051,3841.2051,3841.2051,3841.2051,0,0
JDW.L,D,19921030,000000,4009.2549,4009.2549,4009.2549,4009.2549,0,0
JDW.L,D,19921102,000000,4033.2649,4033.2649,4033.2649,4033.2649,0,0
JDW.L,D,19921103,000000,4033.2649,4033.2649,4033.2649,4033.2649,0,0
JDW.L,D,19921104,000000,4033.2649,4033.2649,4033.2649,4033.2649,0,0
JDW.L,D,19921105,000000,3985.2500,3985.2500,3985.2500,3985.2500,0,0
JDW.L,D,19921106,000000,3961.2400,3961.2400,3961.2400,3961.2400,0,0
JDW.L,D,19921109,000000,3961.2400,3961.2400,3961.2400,3961.2400,0,0
JDW.L,D,19921110,000000,4081.2800,4081.2800,4081.2800,4081.2800,0,0
JDW.L,D,19921111,000000,4129.2949,4129.2949,4129.2949,4129.2949,0,0
JDW.L,D,19921112,000000,4129.2949,4129.2949,4129.2949,4129.2949,0,0
JDW.L,D,19921113,000000,4105.2852,4105.2852,4105.2852,4105.2852,0,0
JDW.L,D,19921116,000000,4105.2852,4105.2852,4105.2852,4105.2852,0,0
JDW.L,D,19921117,000000,4105.2852,4105.2852,4105.2852,4105.2852,0,0
JDW.L,D,19921118,000000,4105.2852,4105.2852,4105.2852,4105.2852,0,0
JDW.L,D,19921119,000000,4153.2998,4153.2998,4153.2998,4153.2998,0,0
JDW.L,D,19921120,000000,4153.2998,4153.2998,4153.2998,4153.2998,0,0
JDW.L,D,19921123,000000,4153.2998,4153.2998,4153.2998,4153.2998,0,0
JDW.L,D,19921124,000000,4153.2998,4153.2998,4153.2998,4153.2998,0,0
JDW.L,D,19921125,000000,4105.2852,4105.2852,4105.2852,4105.2852,0,0
JDW.L,D,19921126,000000,4081.2800,4081.2800,4081.2800,4081.2800,0,0
JDW.L,D,19921127,000000,4081.2800,4081.2800,4081.2800,4081.2800,0,0
JDW.L,D,19921130,000000,4105.2852,4105.2852,4105.2852,4105.2852,0,0
JDW.L,D,19921201,000000,4105.2852,4105.2852,4105.2852,4105.2852,0,0
JDW.L,D,19921202,000000,4129.2949,4129.2949,4129.2949,4129.2949,0,0
JDW.L,D,19921203,000000,4201.3198,4201.3198,4201.3198,4201.3198,0,0
JDW.L,D,19921204,000000,4201.3198,4201.3198,4201.3198,4201.3198,0,0
