<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JMAT.L,D,19880701,000000,286.1990,286.1990,286.1990,286.1990,0,0
JMAT.L,D,19880704,000000,288.1130,288.1130,288.1130,288.1130,0,0
JMAT.L,D,19880705,000000,373.3030,373.3030,373.3030,373.3030,0,0
JMAT.L,D,19880706,000000,370.4310,370.4310,370.4310,370.4310,0,0
JMAT.L,D,19880707,000000,357.0310,357.0310,357.0310,357.0310,0,0
JMAT.L,D,19880708,000000,364.6890,364.6890,364.6890,364.6890,0,0
JMAT.L,D,19880711,000000,362.7740,362.7740,362.7740,362.7740,0,0
JMAT.L,D,19880712,000000,354.1600,354.1600,354.1600,354.1600,0,0
JMAT.L,D,19880713,000000,367.5610,367.5610,367.5610,367.5610,0,0
JMAT.L,D,19880714,000000,368.5170,368.5170,368.5170,368.5170,0,0
JMAT.L,D,19880715,000000,371.3900,371.3900,371.3900,371.3900,0,0
JMAT.L,D,19880718,000000,364.6890,364.6890,364.6890,364.6890,0,0
JMAT.L,D,19880719,000000,361.8170,361.8170,361.8170,361.8170,0,0
JMAT.L,D,19880720,000000,368.5170,368.5170,368.5170,368.5170,0,0
JMAT.L,D,19880721,000000,364.6890,364.6890,364.6890,364.6890,0,0
JMAT.L,D,19880722,000000,357.9890,357.9890,357.9890,357.9890,0,0
JMAT.L,D,19880725,000000,354.1600,354.1600,354.1600,354.1600,0,0
JMAT.L,D,19880726,000000,347.4590,347.4590,347.4590,347.4590,0,0
JMAT.L,D,19880727,000000,343.6300,343.6300,343.6300,343.6300,0,0
JMAT.L,D,19880728,000000,342.6730,342.6730,342.6730,342.6730,0,0
JMAT.L,D,19880729,000000,341.7170,341.7170,341.7170,341.7170,0,0
JMAT.L,D,19880801,000000,341.7170,341.7170,341.7170,341.7170,0,0
JMAT.L,D,19880802,000000,337.8880,337.8880,337.8880,337.8880,0,0
JMAT.L,D,19880803,000000,341.7170,341.7170,341.7170,341.7170,0,0
JMAT.L,D,19880804,000000,343.6300,343.6300,343.6300,343.6300,0,0
JMAT.L,D,19880805,000000,343.6300,343.6300,343.6300,343.6300,0,0
JMAT.L,D,19880808,000000,340.7580,340.7580,340.7580,340.7580,0,0
JMAT.L,D,19880809,000000,339.8020,339.8020,339.8020,339.8020,0,0
JMAT.L,D,19880810,000000,337.8880,337.8880,337.8880,337.8880,0,0
JMAT.L,D,19880811,000000,333.1010,333.1010,333.1010,333.1010,0,0
JMAT.L,D,19880812,000000,334.0590,334.0590,334.0590,334.0590,0,0
JMAT.L,D,19880815,000000,323.5300,323.5300,323.5300,323.5300,0,0
JMAT.L,D,19880816,000000,319.7010,319.7010,319.7010,319.7010,0,0
JMAT.L,D,19880817,000000,319.7010,319.7010,319.7010,319.7010,0,0
JMAT.L,D,19880818,000000,319.7010,319.7010,319.7010,319.7010,0,0
JMAT.L,D,19880819,000000,329.2720,329.2720,329.2720,329.2720,0,0
JMAT.L,D,19880822,000000,328.3160,328.3160,328.3160,328.3160,0,0
JMAT.L,D,19880823,000000,318.7450,318.7450,318.7450,318.7450,0,0
JMAT.L,D,19880824,000000,318.7450,318.7450,318.7450,318.7450,0,0
JMAT.L,D,19880825,000000,306.3000,306.3000,306.3000,306.3000,0,0
JMAT.L,D,19880826,000000,297.6850,297.6850,297.6850,297.6850,0,0
JMAT.L,D,19880829,000000,297.6850,297.6850,297.6850,297.6850,0,0
JMAT.L,D,19880830,000000,294.8140,294.8140,294.8140,294.8140,0,0
JMAT.L,D,19880831,000000,292.8990,292.8990,292.8990,292.8990,0,0
JMAT.L,D,19880901,000000,289.0710,289.0710,289.0710,289.0710,0,0
JMAT.L,D,19880902,000000,292.8990,292.8990,292.8990,292.8990,0,0
JMAT.L,D,19880905,000000,297.6850,297.6850,297.6850,297.6850,0,0
JMAT.L,D,19880906,000000,302.4710,302.4710,302.4710,302.4710,0,0
JMAT.L,D,19880907,000000,299.5990,299.5990,299.5990,299.5990,0,0
JMAT.L,D,19880908,000000,296.7280,296.7280,296.7280,296.7280,0,0
JMAT.L,D,19880909,000000,296.7280,296.7280,296.7280,296.7280,0,0
JMAT.L,D,19880912,000000,296.7280,296.7280,296.7280,296.7280,0,0
JMAT.L,D,19880913,000000,296.7280,296.7280,296.7280,296.7280,0,0
JMAT.L,D,19880914,000000,301.5140,301.5140,301.5140,301.5140,0,0
JMAT.L,D,19880915,000000,301.5140,301.5140,301.5140,301.5140,0,0
JMAT.L,D,19880916,000000,305.3440,305.3440,305.3440,305.3440,0,0
JMAT.L,D,19880919,000000,303.4290,303.4290,303.4290,303.4290,0,0
JMAT.L,D,19880920,000000,309.1720,309.1720,309.1720,309.1720,0,0
JMAT.L,D,19880921,000000,329.2720,329.2720,329.2720,329.2720,0,0
JMAT.L,D,19880922,000000,323.5300,323.5300,323.5300,323.5300,0,0
JMAT.L,D,19880923,000000,319.7010,319.7010,319.7010,319.7010,0,0
JMAT.L,D,19880926,000000,320.6580,320.6580,320.6580,320.6580,0,0
JMAT.L,D,19880927,000000,330.2310,330.2310,330.2310,330.2310,0,0
JMAT.L,D,19880928,000000,333.1010,333.1010,333.1010,333.1010,0,0
JMAT.L,D,19880929,000000,343.6300,343.6300,343.6300,343.6300,0,0
JMAT.L,D,19880930,000000,348.4170,348.4170,348.4170,348.4170,0,0
JMAT.L,D,19881003,000000,342.6730,342.6730,342.6730,342.6730,0,0
JMAT.L,D,19881004,000000,341.7170,341.7170,341.7170,341.7170,0,0
JMAT.L,D,19881005,000000,343.6300,343.6300,343.6300,343.6300,0,0
JMAT.L,D,19881006,000000,341.7170,341.7170,341.7170,341.7170,0,0
JMAT.L,D,19881007,000000,343.6300,343.6300,343.6300,343.6300,0,0
JMAT.L,D,19881010,000000,342.6730,342.6730,342.6730,342.6730,0,0
JMAT.L,D,19881011,000000,341.7170,341.7170,341.7170,341.7170,0,0
JMAT.L,D,19881012,000000,336.9300,336.9300,336.9300,336.9300,0,0
JMAT.L,D,19881013,000000,335.0160,335.0160,335.0160,335.0160,0,0
JMAT.L,D,19881014,000000,334.0590,334.0590,334.0590,334.0590,0,0
JMAT.L,D,19881017,000000,336.9300,336.9300,336.9300,336.9300,0,0
JMAT.L,D,19881018,000000,336.9300,336.9300,336.9300,336.9300,0,0
JMAT.L,D,19881019,000000,341.7170,341.7170,341.7170,341.7170,0,0
JMAT.L,D,19881020,000000,348.4170,348.4170,348.4170,348.4170,0,0
JMAT.L,D,19881021,000000,348.4170,348.4170,348.4170,348.4170,0,0
JMAT.L,D,19881024,000000,347.4590,347.4590,347.4590,347.4590,0,0
JMAT.L,D,19881025,000000,322.5730,322.5730,322.5730,322.5730,0,0
JMAT.L,D,19881026,000000,333.1010,333.1010,333.1010,333.1010,0,0
JMAT.L,D,19881027,000000,332.1440,332.1440,332.1440,332.1440,0,0
JMAT.L,D,19881028,000000,332.6230,332.6230,332.6230,332.6230,0,0
JMAT.L,D,19881031,000000,337.8880,337.8880,337.8880,337.8880,0,0
JMAT.L,D,19881101,000000,358.9450,358.9450,358.9450,358.9450,0,0
JMAT.L,D,19881102,000000,360.8600,360.8600,360.8600,360.8600,0,0
JMAT.L,D,19881103,000000,361.8170,361.8170,361.8170,361.8170,0,0
JMAT.L,D,19881104,000000,361.8170,361.8170,361.8170,361.8170,0,0
JMAT.L,D,19881107,000000,363.2530,363.2530,363.2530,363.2530,0,0
JMAT.L,D,19881108,000000,375.2180,375.2180,375.2180,375.2180,0,0
JMAT.L,D,19881109,000000,371.3900,371.3900,371.3900,371.3900,0,0
JMAT.L,D,19881110,000000,373.3030,373.3030,373.3030,373.3030,0,0
JMAT.L,D,19881111,000000,367.5610,367.5610,367.5610,367.5610,0,0
JMAT.L,D,19881114,000000,359.9040,359.9040,359.9040,359.9040,0,0
JMAT.L,D,19881115,000000,360.8600,360.8600,360.8600,360.8600,0,0
JMAT.L,D,19881116,000000,359.9040,359.9040,359.9040,359.9040,0,0
JMAT.L,D,19881117,000000,357.9890,357.9890,357.9890,357.9890,0,0
JMAT.L,D,19881118,000000,369.4750,369.4750,369.4750,369.4750,0,0
JMAT.L,D,19881121,000000,370.4310,370.4310,370.4310,370.4310,0,0
JMAT.L,D,19881122,000000,372.3460,372.3460,372.3460,372.3460,0,0
JMAT.L,D,19881123,000000,369.4750,369.4750,369.4750,369.4750,0,0
JMAT.L,D,19881124,000000,369.4750,369.4750,369.4750,369.4750,0,0
JMAT.L,D,19881125,000000,362.7740,362.7740,362.7740,362.7740,0,0
JMAT.L,D,19881128,000000,355.1170,355.1170,355.1170,355.1170,0,0
JMAT.L,D,19881129,000000,355.1170,355.1170,355.1170,355.1170,0,0
JMAT.L,D,19881130,000000,356.0750,356.0750,356.0750,356.0750,0,0
JMAT.L,D,19881201,000000,351.7660,351.7660,351.7660,351.7660,0,0
JMAT.L,D,19881202,000000,349.3740,349.3740,349.3740,349.3740,0,0
JMAT.L,D,19881205,000000,349.3740,349.3740,349.3740,349.3740,0,0
JMAT.L,D,19881206,000000,351.2880,351.2880,351.2880,351.2880,0,0
JMAT.L,D,19881207,000000,353.2030,353.2030,353.2030,353.2030,0,0
JMAT.L,D,19881208,000000,349.3740,349.3740,349.3740,349.3740,0,0
