<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LSE.L,D,20010720,000000,247.0110,247.0110,247.0110,247.0110,0,0
LSE.L,D,20010723,000000,233.4750,247.8570,230.0920,235.5060,4359900,0
LSE.L,D,20010724,000000,235.8450,235.8450,224.3400,224.6780,1075700,0
LSE.L,D,20010725,000000,219.9410,220.8210,209.7900,216.5570,2359800,0
LSE.L,D,20010726,000000,219.2640,219.2640,214.5270,217.2340,1880700,0
LSE.L,D,20010727,000000,217.4570,233.3070,216.7260,226.3700,5175900,0
LSE.L,D,20010730,000000,227.7230,232.1220,226.7080,230.0920,913100,0
LSE.L,D,20010731,000000,230.4300,232.5280,228.7390,231.7830,577200,0
LSE.L,D,20010801,000000,232.5960,235.5060,231.4460,234.1530,559700,0
LSE.L,D,20010802,000000,236.8590,245.6570,234.1530,240.9200,868500,0
LSE.L,D,20010803,000000,239.5660,242.9500,239.5660,240.9200,360300,0
LSE.L,D,20010806,000000,241.7660,241.7660,237.5360,238.8900,780300,0
LSE.L,D,20010807,000000,239.5660,240.2430,236.8590,236.8590,1084600,0
LSE.L,D,20010808,000000,238.8900,243.6270,236.1820,243.6270,950500,0
LSE.L,D,20010809,000000,242.9500,245.6570,240.2430,245.6570,1651400,0
LSE.L,D,20010810,000000,247.0110,249.0410,244.9800,245.9960,1356800,0
LSE.L,D,20010813,000000,249.0410,249.0410,244.9800,248.8710,535300,0
LSE.L,D,20010814,000000,248.5330,252.4240,248.5330,251.0710,1235100,0
LSE.L,D,20010815,000000,252.0180,252.9320,246.3330,246.3330,1186700,0
LSE.L,D,20010816,000000,250.3950,250.3950,247.0110,247.0110,216600,0
LSE.L,D,20010817,000000,247.8900,340.3530,247.0110,250.0560,0,0
LSE.L,D,20010820,000000,255.6730,255.6730,247.0110,247.0110,362100,0
LSE.L,D,20010821,000000,245.6570,251.8960,245.6570,250.3950,1729400,0
LSE.L,D,20010822,000000,249.0410,252.4240,249.0410,250.3950,2640900,0
LSE.L,D,20010823,000000,252.0860,252.0860,249.0410,249.0410,2321000,0
LSE.L,D,20010824,000000,248.6890,249.7170,247.0110,249.0410,1150700,0
LSE.L,D,20010827,000000,249.0410,249.0410,249.0410,249.0410,0,0
LSE.L,D,20010828,000000,249.5140,249.5140,247.0110,248.3640,809100,0
LSE.L,D,20010829,000000,247.0110,247.0110,241.0890,244.9800,1303100,0
LSE.L,D,20010830,000000,243.6270,243.6270,240.2430,242.2730,1724500,0
LSE.L,D,20010831,000000,240.2430,242.9500,239.5660,242.9500,1743200,0
LSE.L,D,20010903,000000,243.6270,243.6270,241.5970,242.2730,568500,0
LSE.L,D,20010904,000000,241.7660,242.2730,240.2430,242.2730,1877400,0
LSE.L,D,20010905,000000,243.0990,245.1290,240.2430,240.2430,7456500,0
LSE.L,D,20010906,000000,242.2470,242.2470,239.5660,239.5660,2313300,0
LSE.L,D,20010907,000000,239.5660,240.2430,232.7990,233.3070,6670300,0
LSE.L,D,20010910,000000,233.4750,236.1820,230.7690,232.7990,3894900,0
LSE.L,D,20010911,000000,230.0920,234.1530,209.7900,213.1730,1149100,0
LSE.L,D,20010912,000000,219.9410,219.9410,206.4060,217.9110,2304800,0
LSE.L,D,20010913,000000,223.3240,226.7080,217.9110,225.6930,1187000,0
LSE.L,D,20010914,000000,209.7900,228.7390,209.7900,213.1730,2685800,0
LSE.L,D,20010917,000000,211.1430,211.2790,203.0220,207.7590,1669100,0
LSE.L,D,20010918,000000,208.0980,208.0980,194.9010,205.7300,3242700,0
LSE.L,D,20010919,000000,203.0220,204.3750,201.6690,203.8680,1529300,0
LSE.L,D,20010920,000000,201.6690,201.6690,189.4880,191.5170,1120200,0
LSE.L,D,20010921,000000,184.2430,206.4060,169.8620,197.6080,9272500,0
LSE.L,D,20010924,000000,196.2550,198.9010,196.2550,197.7780,3976800,0
LSE.L,D,20010925,000000,199.6390,207.0830,197.9470,204.3750,1772000,0
LSE.L,D,20010926,000000,203.0220,207.7590,200.9920,205.0530,1201500,0
LSE.L,D,20010927,000000,209.4510,209.4510,203.6990,208.2670,1779800,0
LSE.L,D,20010928,000000,228.7390,228.7390,228.7390,228.7390,0,0
LSE.L,D,20011001,000000,304.8910,304.8910,221.9980,224.0010,0,0
LSE.L,D,20011002,000000,219.2640,224.8270,219.2640,223.3240,1860300,0
LSE.L,D,20011003,000000,223.3240,226.0310,223.3240,224.6780,983100,0
LSE.L,D,20011004,000000,226.3700,226.3700,221.9710,221.9710,1797100,0
LSE.L,D,20011005,000000,224.6780,224.6780,223.3240,224.6780,390400,0
LSE.L,D,20011008,000000,222.6480,224.6780,221.9710,221.9710,1236000,0
LSE.L,D,20011009,000000,225.6930,225.6930,223.3240,223.3240,321400,0
LSE.L,D,20011010,000000,302.1270,224.6780,221.9710,221.9710,0,0
LSE.L,D,20011011,000000,223.3240,225.3550,223.1550,224.6780,1035400,0
LSE.L,D,20011012,000000,223.3240,233.4750,223.3240,233.4750,363300,0
LSE.L,D,20011015,000000,228.7390,233.4750,225.6930,233.4750,0,0
LSE.L,D,20011016,000000,234.8290,234.8290,234.8290,234.8290,0,0
LSE.L,D,20011017,000000,317.0960,317.0960,223.3240,232.9680,0,0
LSE.L,D,20011018,000000,320.0900,236.1820,232.9680,235.1670,0,0
LSE.L,D,20011019,000000,318.7080,235.5060,233.4750,234.1530,0,0
LSE.L,D,20011022,000000,235.1670,235.1670,231.4460,233.4750,518700,0
LSE.L,D,20011023,000000,315.0230,315.0230,230.0920,231.4460,0,0
LSE.L,D,20011024,000000,315.0230,235.1670,230.0920,231.4460,0,0
LSE.L,D,20011025,000000,232.5960,234.8290,231.4460,234.4910,455200,0
LSE.L,D,20011026,000000,236.0480,236.0480,236.0480,236.0480,0,0
LSE.L,D,20011029,000000,236.1820,237.1980,228.4000,228.4000,2520700,0
LSE.L,D,20011030,000000,225.6930,231.4460,225.0160,231.4460,432300,0
LSE.L,D,20011031,000000,232.1220,240.9200,226.7080,235.1670,896900,0
LSE.L,D,20011101,000000,238.3820,239.5660,234.8290,237.5360,368200,0
LSE.L,D,20011102,000000,236.8590,240.2430,233.4750,237.5360,681500,0
LSE.L,D,20011105,000000,238.2130,249.0410,238.2130,245.3190,767900,0
LSE.L,D,20011106,000000,250.3400,256.8230,245.3190,252.7630,2502100,0
LSE.L,D,20011107,000000,342.6570,342.6570,248.3640,251.7480,0,0
LSE.L,D,20011108,000000,253.7780,261.2220,251.0710,259.1910,2222900,0
LSE.L,D,20011109,000000,257.1620,259.1910,253.7780,257.8380,1791000,0
LSE.L,D,20011112,000000,256.8230,256.8230,243.6270,250.5630,157600,0
LSE.L,D,20011113,000000,256.1470,256.1470,250.7320,251.0710,313000,0
LSE.L,D,20011114,000000,247.0110,262.5750,247.0110,257.1620,1819700,0
LSE.L,D,20011115,000000,256.1470,259.5300,255.8080,257.1620,1656500,0
LSE.L,D,20011116,000000,359.2370,263.9290,256.1470,263.9290,0,0
LSE.L,D,20011119,000000,269.3430,270.5270,258.5150,270.3580,1154500,0
LSE.L,D,20011120,000000,267.3130,270.3580,258.5150,259.1910,635400,0
LSE.L,D,20011121,000000,270.0200,270.0200,262.5750,263.9290,694900,0
LSE.L,D,20011122,000000,263.9290,264.6060,260.5460,260.5460,625100,0
LSE.L,D,20011123,000000,260.5460,350.0250,256.4850,257.1620,0,0
LSE.L,D,20011126,000000,260.5460,260.5460,257.1620,257.8380,257100,0
LSE.L,D,20011127,000000,349.1050,260.5460,254.4550,256.4850,0,0
LSE.L,D,20011128,000000,257.1620,257.1620,251.4090,256.4850,269300,0
LSE.L,D,20011129,000000,341.7350,257.1620,251.0710,251.0710,0,0
LSE.L,D,20011130,000000,338.9720,255.1310,244.9800,249.0410,0,0
LSE.L,D,20011203,000000,251.0710,258.5150,246.3330,249.7170,502000,0
LSE.L,D,20011204,000000,338.0510,253.1010,247.8570,248.3640,0,0
LSE.L,D,20011205,000000,251.7480,272.7270,251.7480,270.6970,6251200,0
LSE.L,D,20011206,000000,265.2820,274.6080,265.2820,274.0800,1077900,0
LSE.L,D,20011207,000000,368.4480,270.6970,267.4820,270.6970,0,0
LSE.L,D,20011210,000000,375.5860,276.1110,268.3280,275.9410,0,0
LSE.L,D,20011211,000000,267.9890,382.2650,267.3130,280.8480,0,0
LSE.L,D,20011212,000000,276.1110,281.5240,275.2300,281.5240,3312700,0
LSE.L,D,20011213,000000,283.5550,298.6120,277.4640,298.6120,0,0
LSE.L,D,20011214,000000,276.1110,279.4940,273.0650,277.1250,174400,0
LSE.L,D,20011217,000000,270.6970,280.8480,270.6970,272.7270,357300,0
LSE.L,D,20011218,000000,373.0530,279.4940,272.0500,274.0800,0,0
LSE.L,D,20011219,000000,272.7270,286.6000,272.3880,280.8480,716400,0
LSE.L,D,20011220,000000,282.8780,287.2770,280.8480,282.8780,393400,0
LSE.L,D,20011221,000000,284.9080,285.9230,280.8480,280.8480,364500,0
LSE.L,D,20011224,000000,279.4940,284.2310,274.7570,280.8480,23300,0
LSE.L,D,20011225,000000,280.8480,280.8480,280.8480,280.8480,0,0
LSE.L,D,20011226,000000,280.8480,280.8480,280.8480,280.8480,0,0
LSE.L,D,20011227,000000,276.1110,285.3750,273.7410,277.4640,26200,0
LSE.L,D,20011228,000000,391.0160,287.2770,277.4640,287.2770,0,0
LSE.L,D,20011231,000000,287.2770,287.2770,278.1400,285.5850,257300,0
LSE.L,D,20020101,000000,285.5850,285.5850,285.5850,285.5850,0,0
LSE.L,D,20020102,000000,287.6150,287.6150,284.2310,285.5850,177600,0
LSE.L,D,20020103,000000,286.2620,286.2620,280.8480,281.5240,81300,0
LSE.L,D,20020104,000000,379.5020,284.2310,275.0950,278.8170,0,0
LSE.L,D,20020107,000000,280.1710,286.9380,279.1560,284.9080,765600,0
LSE.L,D,20020108,000000,282.2010,285.5850,282.2010,282.8780,419700,0
LSE.L,D,20020109,000000,390.7850,287.1080,280.8480,287.1080,0,0
LSE.L,D,20020110,000000,282.8780,287.1080,282.2010,282.8780,188500,0
LSE.L,D,20020111,000000,284.2310,286.3700,282.8780,284.9080,1343300,0
LSE.L,D,20020114,000000,284.9080,285.5850,284.2310,285.4160,326300,0
LSE.L,D,20020115,000000,387.7920,287.2770,284.9080,284.9080,0,0
LSE.L,D,20020116,000000,391.4760,290.9980,284.9080,287.6150,0,0
LSE.L,D,20020117,000000,399.7650,293.7060,287.6150,293.7060,0,0
LSE.L,D,20020118,000000,294.3820,295.6680,289.3070,289.3070,248500,0
LSE.L,D,20020121,000000,290.2950,292.3530,288.2910,292.3530,0,0
LSE.L,D,20020122,000000,293.7060,295.0590,290.9980,290.9980,221500,0
LSE.L,D,20020123,000000,289.6450,291.6750,285.2460,289.6450,2669900,0
LSE.L,D,20020124,000000,288.2910,290.9980,287.6150,288.9690,1952300,0
LSE.L,D,20020125,000000,374.8950,292.7790,274.0800,275.4330,0,0
LSE.L,D,20020128,000000,272.0500,280.8480,270.6970,278.3100,529200,0
LSE.L,D,20020129,000000,284.2310,285.5850,280.6650,281.1860,929600,0
LSE.L,D,20020130,000000,279.4940,282.2010,275.6160,280.8480,129600,0
LSE.L,D,20020131,000000,279.4940,279.4940,276.1110,277.4640,160400,0
LSE.L,D,20020201,000000,277.4640,277.4640,273.4040,274.0800,484600,0
LSE.L,D,20020204,000000,272.0500,274.7570,272.0500,274.0800,1201400,0
LSE.L,D,20020205,000000,272.0500,272.0500,268.6660,270.6970,1836100,0
LSE.L,D,20020206,000000,272.7270,275.0950,271.2040,275.0950,704600,0
LSE.L,D,20020207,000000,274.0800,274.4320,272.0500,273.4040,1457800,0
LSE.L,D,20020208,000000,272.7270,274.0800,271.0350,274.0800,1926300,0
LSE.L,D,20020211,000000,275.4330,277.4640,274.0800,277.1250,1575300,0
LSE.L,D,20020212,000000,277.1250,277.1250,274.0800,276.1110,1764100,0
LSE.L,D,20020213,000000,274.0800,277.1250,272.7270,272.7270,1638100,0
LSE.L,D,20020214,000000,273.4040,274.2500,269.3430,269.3430,833000,0
LSE.L,D,20020215,000000,272.0500,272.0500,269.3430,269.3430,59200,0
LSE.L,D,20020218,000000,270.0200,278.4790,270.0200,271.5420,1171100,0
LSE.L,D,20020219,000000,271.3730,273.8300,270.0200,271.3730,4425700,0
LSE.L,D,20020220,000000,274.0800,274.0800,270.6970,272.7270,288100,0
LSE.L,D,20020221,000000,371.6720,276.4490,271.3730,273.0650,0,0
LSE.L,D,20020222,000000,273.0650,276.1110,271.3730,273.4040,947000,0
LSE.L,D,20020225,000000,274.0800,274.0800,270.6970,273.7410,2097300,0
LSE.L,D,20020226,000000,373.9750,277.1250,272.0500,274.7570,0,0
LSE.L,D,20020227,000000,377.6590,278.2010,273.4040,277.4640,0,0
LSE.L,D,20020228,000000,379.5020,280.1710,278.8170,278.8170,0,0
LSE.L,D,20020301,000000,383.1860,283.8930,275.4070,281.5240,0,0
LSE.L,D,20020304,000000,280.8480,284.2310,277.6330,284.2310,588900,0
LSE.L,D,20020305,000000,284.2310,286.9380,282.8780,284.2310,175000,0
LSE.L,D,20020306,000000,284.2310,286.9380,283.7240,286.6000,227200,0
LSE.L,D,20020307,000000,287.6150,292.9280,285.1110,292.3530,833200,0
LSE.L,D,20020308,000000,394.7000,292.0980,288.4950,289.9830,0,0
LSE.L,D,20020311,000000,294.3820,294.3820,288.9690,291.6750,1724600,0
LSE.L,D,20020312,000000,397.9230,294.3820,291.3370,292.3530,0,0
LSE.L,D,20020313,000000,397.9230,293.5030,290.9980,292.3530,0,0
LSE.L,D,20020314,000000,290.9980,294.3820,290.9980,292.3530,115200,0
LSE.L,D,20020315,000000,291.6750,294.3820,289.6450,291.6750,1009600,0
LSE.L,D,20020318,000000,287.6150,291.1680,287.6150,288.9690,453800,0
LSE.L,D,20020319,000000,400.6870,294.3820,288.4950,294.3820,0,0
LSE.L,D,20020320,000000,396.0810,293.0290,288.9690,290.9980,0,0
LSE.L,D,20020321,000000,291.6750,293.7060,290.3220,290.9980,1096200,0
LSE.L,D,20020322,000000,290.9980,293.0290,288.2910,292.3530,369400,0
LSE.L,D,20020325,000000,290.9980,295.0590,290.9980,294.0440,899800,0
LSE.L,D,20020326,000000,293.8750,295.7360,293.0290,294.3820,801000,0
LSE.L,D,20020327,000000,400.6870,295.7360,293.0290,294.3820,0,0
LSE.L,D,20020328,000000,294.3820,294.3820,294.3820,294.3820,0,0
LSE.L,D,20020329,000000,294.3820,294.3820,294.3820,294.3820,0,0
LSE.L,D,20020401,000000,294.3820,294.3820,294.3820,294.3820,0,0
