<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MCRO.L,D,20050512,000000,130.0000,135.2500,130.0000,135.2500,15694700,0
MCRO.L,D,20050513,000000,138.5000,139.0000,135.0000,137.5000,20800,0
MCRO.L,D,20050516,000000,139.0000,142.5000,139.0000,142.5000,57500,0
MCRO.L,D,20050517,000000,145.0000,157.0000,145.0000,152.7500,2364600,0
MCRO.L,D,20050518,000000,155.0000,155.0000,152.0000,153.5000,648300,0
MCRO.L,D,20050519,000000,150.0000,156.0000,148.5000,149.5000,128000,0
MCRO.L,D,20050520,000000,150.0000,153.0000,150.0000,152.5000,30500,0
MCRO.L,D,20050523,000000,154.0000,157.7500,150.0000,151.5000,112800,0
MCRO.L,D,20050524,000000,150.0000,152.0000,149.0000,150.0000,100300,0
MCRO.L,D,20050525,000000,150.0000,152.0000,150.0000,150.5000,25600,0
MCRO.L,D,20050526,000000,153.0000,153.0000,149.7000,152.0000,128300,0
MCRO.L,D,20050527,000000,151.0000,151.0000,151.0000,151.0000,4100,0
MCRO.L,D,20050530,000000,151.0000,151.0000,151.0000,151.0000,0,0
MCRO.L,D,20050531,000000,151.0000,151.5000,151.5000,151.5000,0,0
MCRO.L,D,20050601,000000,150.0000,154.0000,150.0000,151.5000,403300,0
MCRO.L,D,20050602,000000,152.0000,154.0000,151.5000,152.0000,134000,0
MCRO.L,D,20050603,000000,153.0000,154.0000,153.0000,154.0000,17700,0
MCRO.L,D,20050606,000000,155.0000,155.0000,153.6920,155.0000,155600,0
MCRO.L,D,20050607,000000,155.0000,155.0000,155.0000,155.0000,104500,0
MCRO.L,D,20050608,000000,156.0000,157.3140,156.0000,157.0000,936400,0
MCRO.L,D,20050609,000000,157.0000,157.0000,157.0000,157.0000,6800,0
MCRO.L,D,20050610,000000,159.0000,159.0000,156.0000,156.0000,60900,0
MCRO.L,D,20050613,000000,156.0000,156.0000,153.5000,153.5000,600,0
MCRO.L,D,20050614,000000,155.0000,155.0000,152.0000,152.0000,2500,0
MCRO.L,D,20050615,000000,150.0000,152.5000,150.0000,152.5000,100,0
MCRO.L,D,20050616,000000,156.0000,156.0000,152.0000,153.0000,41700,0
MCRO.L,D,20050617,000000,156.0000,156.0000,150.0000,153.5000,251900,0
MCRO.L,D,20050620,000000,153.0000,155.0000,148.0000,150.7500,15600,0
MCRO.L,D,20050621,000000,151.5000,156.5000,151.5000,154.2500,399300,0
MCRO.L,D,20050622,000000,154.0000,158.5000,154.0000,155.7500,5100,0
MCRO.L,D,20050623,000000,155.0000,159.0000,155.0000,157.0000,2192700,0
MCRO.L,D,20050624,000000,157.2500,157.2500,156.5000,156.5000,6400,0
MCRO.L,D,20050627,000000,152.0000,155.0000,152.0000,153.2500,554900,0
MCRO.L,D,20050628,000000,156.0000,156.0000,151.0000,156.0000,760600,0
MCRO.L,D,20050629,000000,151.0000,156.7500,151.0000,156.7500,22200,0
MCRO.L,D,20050630,000000,153.2500,160.0000,150.0000,160.0000,195600,0
MCRO.L,D,20050701,000000,160.0000,165.0000,160.0000,160.7500,340900,0
MCRO.L,D,20050704,000000,165.0000,174.0000,170.7500,170.7500,31800,0
MCRO.L,D,20050705,000000,174.0000,175.0700,168.0000,172.0000,490800,0
MCRO.L,D,20050706,000000,168.0000,172.5000,168.0000,169.7500,54300,0
MCRO.L,D,20050707,000000,165.2500,166.2500,162.5000,162.5000,5600,0
MCRO.L,D,20050708,000000,161.0000,168.0000,161.0000,164.5000,401600,0
MCRO.L,D,20050711,000000,163.0000,163.0000,162.0000,162.0000,34200,0
MCRO.L,D,20050712,000000,163.0000,163.0000,161.0000,163.0000,173500,0
MCRO.L,D,20050713,000000,164.0000,167.0000,160.0000,164.2500,348500,0
MCRO.L,D,20050714,000000,165.0000,165.0000,163.5000,163.5000,43400,0
MCRO.L,D,20050715,000000,165.0000,167.0000,158.0000,165.7500,37700,0
MCRO.L,D,20050718,000000,167.0000,167.0000,161.0000,161.0000,151100,0
MCRO.L,D,20050719,000000,163.0000,168.0000,154.9450,168.0000,257900,0
MCRO.L,D,20050720,000000,164.0000,164.5600,161.5000,161.5000,6700,0
MCRO.L,D,20050721,000000,160.0000,163.0000,155.3700,156.5000,254900,0
MCRO.L,D,20050722,000000,159.0000,159.0000,157.0000,157.0000,600,0
MCRO.L,D,20050725,000000,155.0000,159.0000,152.0000,152.5000,89900,0
MCRO.L,D,20050726,000000,153.0000,155.0000,152.5000,152.5000,138200,0
MCRO.L,D,20050727,000000,155.0000,159.0000,151.0000,156.2500,254300,0
MCRO.L,D,20050728,000000,159.0000,159.0000,155.0000,158.7500,107800,0
MCRO.L,D,20050729,000000,160.0000,178.2500,160.0000,178.2500,554100,0
MCRO.L,D,20050801,000000,176.0000,179.5000,174.0000,179.5000,334600,0
MCRO.L,D,20050802,000000,178.5000,180.0000,176.5000,177.0000,213800,0
MCRO.L,D,20050803,000000,174.0000,180.0000,174.0000,178.0000,0,0
MCRO.L,D,20050804,000000,172.0000,187.0000,172.0000,183.0000,728900,0
MCRO.L,D,20050805,000000,186.0000,186.9580,181.0000,183.7500,45500,0
MCRO.L,D,20050808,000000,187.5000,187.5000,183.0000,183.5000,175700,0
MCRO.L,D,20050809,000000,183.5000,184.0000,184.0000,184.0000,0,0
MCRO.L,D,20050810,000000,182.0000,184.0000,177.0000,183.0000,31100,0
MCRO.L,D,20050811,000000,176.0000,183.2310,173.0000,178.0000,25100,0
MCRO.L,D,20050812,000000,176.5000,176.5000,175.2500,176.2500,133200,0
MCRO.L,D,20050815,000000,175.2500,176.2500,175.2500,176.2500,1000,0
MCRO.L,D,20050816,000000,175.0000,182.0000,175.0000,182.0000,149700,0
MCRO.L,D,20050817,000000,180.0000,180.0000,175.0000,177.7500,165100,0
MCRO.L,D,20050818,000000,175.0000,180.0000,175.0000,177.5000,3500,0
MCRO.L,D,20050819,000000,179.0000,179.0000,177.5000,179.0000,19500,0
MCRO.L,D,20050822,000000,175.0000,180.0000,175.0000,180.0000,7200,0
MCRO.L,D,20050823,000000,174.7500,180.0000,174.5000,179.7500,23800,0
MCRO.L,D,20050824,000000,178.7500,178.7500,172.3000,178.7500,1800,0
MCRO.L,D,20050825,000000,172.0000,172.0000,172.0000,172.0000,0,0
MCRO.L,D,20050826,000000,179.0000,179.0000,172.1720,175.0000,37200,0
MCRO.L,D,20050829,000000,175.0000,175.0000,175.0000,175.0000,0,0
MCRO.L,D,20050830,000000,172.0000,178.5000,171.5000,173.7500,8700,0
MCRO.L,D,20050831,000000,176.0000,176.0000,171.6560,176.0000,503000,0
MCRO.L,D,20050901,000000,174.0000,176.0000,169.2500,171.5000,284000,0
MCRO.L,D,20050902,000000,168.3320,170.0000,168.3310,170.0000,13800,0
MCRO.L,D,20050905,000000,168.0000,170.0000,168.0000,170.0000,300,0
MCRO.L,D,20050906,000000,168.0000,170.7500,168.0000,170.7500,338000,0
MCRO.L,D,20050907,000000,119.7500,120.0000,93.7500,99.5000,5254800,0
MCRO.L,D,20050908,000000,102.7500,110.0000,101.5000,109.0000,1760800,0
MCRO.L,D,20050909,000000,110.0000,112.7500,108.2500,110.7500,744300,0
MCRO.L,D,20050912,000000,109.0000,112.0000,107.0000,111.0000,3903500,0
MCRO.L,D,20050913,000000,108.0000,110.0000,108.0000,109.2500,1603100,0
MCRO.L,D,20050914,000000,108.0000,109.0000,108.0000,109.0000,87700,0
MCRO.L,D,20050915,000000,109.0000,109.0000,105.0000,108.0000,2006700,0
MCRO.L,D,20050916,000000,109.0000,109.5000,107.0000,108.0000,267000,0
MCRO.L,D,20050919,000000,105.0000,107.0000,104.9300,107.0000,62700,0
MCRO.L,D,20050920,000000,104.5000,104.9300,102.2800,104.5000,13200,0
MCRO.L,D,20050921,000000,103.5000,103.6900,97.2500,101.5000,1882200,0
MCRO.L,D,20050922,000000,104.0000,104.0000,102.2500,104.0000,55000,0
MCRO.L,D,20050923,000000,101.5000,105.0000,101.5000,105.0000,599000,0
MCRO.L,D,20050926,000000,105.5000,106.0600,103.0000,104.7500,311000,0
MCRO.L,D,20050927,000000,105.0000,107.0000,104.5000,106.0000,261100,0
MCRO.L,D,20050928,000000,103.5000,106.0000,103.5000,106.0000,2100,0
MCRO.L,D,20050929,000000,105.0000,106.5000,104.7500,106.5000,1339200,0
MCRO.L,D,20050930,000000,105.0000,105.0000,101.0000,101.5000,407600,0
MCRO.L,D,20051003,000000,102.0000,102.7500,100.7300,102.7500,75900,0
MCRO.L,D,20051004,000000,101.8100,102.7500,101.8100,102.7500,1300,0
MCRO.L,D,20051005,000000,101.5000,101.5000,98.0000,100.0000,26600,0
MCRO.L,D,20051006,000000,102.0000,102.0000,99.7500,99.7500,5800,0
MCRO.L,D,20051007,000000,101.5000,102.0000,100.0000,100.2500,30700,0
MCRO.L,D,20051010,000000,100.0000,101.5000,99.8500,101.0000,144200,0
MCRO.L,D,20051011,000000,102.0000,102.5000,102.0000,102.5000,214600,0
MCRO.L,D,20051012,000000,103.0000,105.0000,100.0000,104.2500,181100,0
MCRO.L,D,20051013,000000,105.5000,106.5000,102.7000,104.2500,88000,0
MCRO.L,D,20051014,000000,104.5000,104.5000,103.5000,103.5000,43600,0
MCRO.L,D,20051017,000000,104.0000,104.0000,102.5000,102.5000,10100,0
MCRO.L,D,20051018,000000,100.5000,102.0000,100.0000,102.0000,427900,0
MCRO.L,D,20051019,000000,102.0000,104.2500,99.3700,100.5000,168100,0
MCRO.L,D,20051020,000000,99.0000,101.5000,99.0000,101.5000,34400,0
MCRO.L,D,20051021,000000,98.5600,101.5000,98.5600,101.5000,900,0
MCRO.L,D,20051024,000000,100.0000,102.0000,100.0000,102.0000,1400,0
MCRO.L,D,20051025,000000,103.7500,103.7500,102.0000,103.7500,18400,0
MCRO.L,D,20051026,000000,102.0000,102.5000,102.0000,102.5000,34200,0
MCRO.L,D,20051027,000000,100.0000,102.2500,100.0000,102.2500,329200,0
MCRO.L,D,20051028,000000,101.0000,102.5000,101.0000,102.5000,2100,0
MCRO.L,D,20051031,000000,103.0000,103.0000,103.0000,103.0000,800,0
MCRO.L,D,20051101,000000,103.5000,103.5000,101.7500,101.7500,357300,0
MCRO.L,D,20051102,000000,103.5000,103.5000,101.0000,101.7500,28800,0
MCRO.L,D,20051103,000000,104.0000,106.0000,103.7500,103.7500,53200,0
MCRO.L,D,20051104,000000,106.0000,106.8300,104.0000,104.0000,564700,0
MCRO.L,D,20051107,000000,105.0000,105.0000,104.0000,104.0000,17100,0
MCRO.L,D,20051108,000000,107.0000,108.0000,103.0000,103.0000,18700,0
MCRO.L,D,20051109,000000,107.0000,108.5000,107.0000,107.0000,83200,0
MCRO.L,D,20051110,000000,110.0000,115.0000,108.0000,111.5000,594600,0
MCRO.L,D,20051111,000000,111.0000,113.7500,110.0000,111.7500,2800,0
MCRO.L,D,20051114,000000,114.7500,116.7500,114.7500,116.7500,9200,0
MCRO.L,D,20051115,000000,116.0000,118.0000,116.0000,118.0000,9700,0
MCRO.L,D,20051116,000000,120.0000,120.2500,118.0000,118.0000,28000,0
MCRO.L,D,20051117,000000,123.0000,123.0000,118.0000,118.0000,943900,0
MCRO.L,D,20051118,000000,118.0000,119.9500,118.0000,119.0000,2700,0
MCRO.L,D,20051121,000000,121.7500,121.7500,118.0000,119.5000,155600,0
MCRO.L,D,20051122,000000,121.7500,121.7500,119.7500,119.7500,353400,0
MCRO.L,D,20051123,000000,122.0000,122.0000,119.7500,119.7500,71600,0
MCRO.L,D,20051124,000000,120.0000,120.0000,120.0000,120.0000,200,0
MCRO.L,D,20051125,000000,122.0000,122.0000,119.9500,120.2500,24100,0
MCRO.L,D,20051128,000000,122.0000,125.7000,122.0000,125.5000,95200,0
MCRO.L,D,20051129,000000,123.0000,125.5000,122.5000,122.7500,136500,0
