<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MGGT.L,D,19880701,000000,82.9420,82.9420,82.9420,82.9420,0,0
MGGT.L,D,19880704,000000,82.2210,82.2210,82.2210,82.2210,0,0
MGGT.L,D,19880705,000000,82.2210,82.2210,82.2210,82.2210,0,0
MGGT.L,D,19880706,000000,82.9420,82.9420,82.9420,82.9420,0,0
MGGT.L,D,19880707,000000,81.5000,81.5000,81.5000,81.5000,0,0
MGGT.L,D,19880708,000000,81.5000,81.5000,81.5000,81.5000,0,0
MGGT.L,D,19880711,000000,82.2210,82.2210,82.2210,82.2210,0,0
MGGT.L,D,19880712,000000,82.2210,82.2210,82.2210,82.2210,0,0
MGGT.L,D,19880713,000000,82.2210,82.2210,82.2210,82.2210,0,0
MGGT.L,D,19880714,000000,82.2210,82.2210,82.2210,82.2210,0,0
MGGT.L,D,19880715,000000,82.5820,82.5820,82.5820,82.5820,0,0
MGGT.L,D,19880718,000000,82.2210,82.2210,82.2210,82.2210,0,0
MGGT.L,D,19880719,000000,81.5000,81.5000,81.5000,81.5000,0,0
MGGT.L,D,19880720,000000,81.5000,81.5000,81.5000,81.5000,0,0
MGGT.L,D,19880721,000000,81.5000,81.5000,81.5000,81.5000,0,0
MGGT.L,D,19880722,000000,80.7790,80.7790,80.7790,80.7790,0,0
MGGT.L,D,19880725,000000,80.0570,80.0570,80.0570,80.0570,0,0
MGGT.L,D,19880726,000000,80.0570,80.0570,80.0570,80.0570,0,0
MGGT.L,D,19880727,000000,80.0570,80.0570,80.0570,80.0570,0,0
MGGT.L,D,19880728,000000,79.3360,79.3360,79.3360,79.3360,0,0
MGGT.L,D,19880729,000000,78.6150,78.6150,78.6150,78.6150,0,0
MGGT.L,D,19880801,000000,78.6150,78.6150,78.6150,78.6150,0,0
MGGT.L,D,19880802,000000,78.6150,78.6150,78.6150,78.6150,0,0
MGGT.L,D,19880803,000000,78.6150,78.6150,78.6150,78.6150,0,0
MGGT.L,D,19880804,000000,78.6150,78.6150,78.6150,78.6150,0,0
MGGT.L,D,19880805,000000,78.6150,78.6150,78.6150,78.6150,0,0
MGGT.L,D,19880808,000000,78.6150,78.6150,78.6150,78.6150,0,0
MGGT.L,D,19880809,000000,79.3360,79.3360,79.3360,79.3360,0,0
MGGT.L,D,19880810,000000,77.8940,77.8940,77.8940,77.8940,0,0
MGGT.L,D,19880811,000000,77.8940,77.8940,77.8940,77.8940,0,0
MGGT.L,D,19880812,000000,77.8940,77.8940,77.8940,77.8940,0,0
MGGT.L,D,19880815,000000,77.1720,77.1720,77.1720,77.1720,0,0
MGGT.L,D,19880816,000000,77.1720,77.1720,77.1720,77.1720,0,0
MGGT.L,D,19880817,000000,76.4510,76.4510,76.4510,76.4510,0,0
MGGT.L,D,19880818,000000,76.4510,76.4510,76.4510,76.4510,0,0
MGGT.L,D,19880819,000000,77.8940,77.8940,77.8940,77.8940,0,0
MGGT.L,D,19880822,000000,77.1720,77.1720,77.1720,77.1720,0,0
MGGT.L,D,19880823,000000,76.4510,76.4510,76.4510,76.4510,0,0
MGGT.L,D,19880824,000000,76.4510,76.4510,76.4510,76.4510,0,0
MGGT.L,D,19880825,000000,73.3860,73.3860,73.3860,73.3860,0,0
MGGT.L,D,19880826,000000,72.8450,72.8450,72.8450,72.8450,0,0
MGGT.L,D,19880829,000000,72.8450,72.8450,72.8450,72.8450,0,0
MGGT.L,D,19880830,000000,69.9600,69.9600,69.9600,69.9600,0,0
MGGT.L,D,19880831,000000,69.9600,69.9600,69.9600,69.9600,0,0
MGGT.L,D,19880901,000000,65.9930,65.9930,65.9930,65.9930,0,0
MGGT.L,D,19880902,000000,65.6330,65.6330,65.6330,65.6330,0,0
MGGT.L,D,19880905,000000,66.7140,66.7140,66.7140,66.7140,0,0
MGGT.L,D,19880906,000000,66.3540,66.3540,66.3540,66.3540,0,0
MGGT.L,D,19880907,000000,67.0750,67.0750,67.0750,67.0750,0,0
MGGT.L,D,19880908,000000,65.9930,65.9930,65.9930,65.9930,0,0
MGGT.L,D,19880909,000000,65.2720,65.2720,65.2720,65.2720,0,0
MGGT.L,D,19880912,000000,65.2720,65.2720,65.2720,65.2720,0,0
MGGT.L,D,19880913,000000,65.2720,65.2720,65.2720,65.2720,0,0
MGGT.L,D,19880914,000000,65.2720,65.2720,65.2720,65.2720,0,0
MGGT.L,D,19880915,000000,65.2720,65.2720,65.2720,65.2720,0,0
MGGT.L,D,19880916,000000,65.2720,65.2720,65.2720,65.2720,0,0
MGGT.L,D,19880919,000000,65.2720,65.2720,65.2720,65.2720,0,0
MGGT.L,D,19880920,000000,65.9930,65.9930,65.9930,65.9930,0,0
MGGT.L,D,19880921,000000,65.9930,65.9930,65.9930,65.9930,0,0
MGGT.L,D,19880922,000000,65.9930,65.9930,65.9930,65.9930,0,0
MGGT.L,D,19880923,000000,65.6330,65.6330,65.6330,65.6330,0,0
MGGT.L,D,19880926,000000,65.8130,65.8130,65.8130,65.8130,0,0
MGGT.L,D,19880927,000000,66.3540,66.3540,66.3540,66.3540,0,0
MGGT.L,D,19880928,000000,66.3540,66.3540,66.3540,66.3540,0,0
MGGT.L,D,19880929,000000,67.4360,67.4360,67.4360,67.4360,0,0
MGGT.L,D,19880930,000000,67.7960,67.7960,67.7960,67.7960,0,0
MGGT.L,D,19881003,000000,66.7140,66.7140,66.7140,66.7140,0,0
MGGT.L,D,19881004,000000,67.0750,67.0750,67.0750,67.0750,0,0
MGGT.L,D,19881005,000000,67.4360,67.4360,67.4360,67.4360,0,0
MGGT.L,D,19881006,000000,69.5990,69.5990,69.5990,69.5990,0,0
MGGT.L,D,19881007,000000,69.5990,69.5990,69.5990,69.5990,0,0
MGGT.L,D,19881010,000000,70.3210,70.3210,70.3210,70.3210,0,0
MGGT.L,D,19881011,000000,70.3210,70.3210,70.3210,70.3210,0,0
MGGT.L,D,19881012,000000,69.9600,69.9600,69.9600,69.9600,0,0
MGGT.L,D,19881013,000000,69.9600,69.9600,69.9600,69.9600,0,0
MGGT.L,D,19881014,000000,69.9600,69.9600,69.9600,69.9600,0,0
MGGT.L,D,19881017,000000,69.9600,69.9600,69.9600,69.9600,0,0
MGGT.L,D,19881018,000000,69.5990,69.5990,69.5990,69.5990,0,0
MGGT.L,D,19881019,000000,70.3210,70.3210,70.3210,70.3210,0,0
MGGT.L,D,19881020,000000,69.9600,69.9600,69.9600,69.9600,0,0
MGGT.L,D,19881021,000000,69.9600,69.9600,69.9600,69.9600,0,0
MGGT.L,D,19881024,000000,69.9600,69.9600,69.9600,69.9600,0,0
MGGT.L,D,19881025,000000,69.9600,69.9600,69.9600,69.9600,0,0
MGGT.L,D,19881026,000000,69.9600,69.9600,69.9600,69.9600,0,0
MGGT.L,D,19881027,000000,69.9600,69.9600,69.9600,69.9600,0,0
MGGT.L,D,19881028,000000,71.0420,71.0420,71.0420,71.0420,0,0
MGGT.L,D,19881031,000000,70.3210,70.3210,70.3210,70.3210,0,0
MGGT.L,D,19881101,000000,71.0420,71.0420,71.0420,71.0420,0,0
MGGT.L,D,19881102,000000,71.0420,71.0420,71.0420,71.0420,0,0
MGGT.L,D,19881103,000000,71.0420,71.0420,71.0420,71.0420,0,0
MGGT.L,D,19881104,000000,71.0420,71.0420,71.0420,71.0420,0,0
MGGT.L,D,19881107,000000,71.0420,71.0420,71.0420,71.0420,0,0
MGGT.L,D,19881108,000000,71.0420,71.0420,71.0420,71.0420,0,0
MGGT.L,D,19881109,000000,70.3210,70.3210,70.3210,70.3210,0,0
MGGT.L,D,19881110,000000,69.7800,69.7800,69.7800,69.7800,0,0
MGGT.L,D,19881111,000000,69.5990,69.5990,69.5990,69.5990,0,0
MGGT.L,D,19881114,000000,68.5180,68.5180,68.5180,68.5180,0,0
MGGT.L,D,19881115,000000,67.0750,67.0750,67.0750,67.0750,0,0
MGGT.L,D,19881116,000000,65.9930,65.9930,65.9930,65.9930,0,0
MGGT.L,D,19881117,000000,66.7140,66.7140,66.7140,66.7140,0,0
MGGT.L,D,19881118,000000,67.4360,67.4360,67.4360,67.4360,0,0
MGGT.L,D,19881121,000000,65.9930,65.9930,65.9930,65.9930,0,0
MGGT.L,D,19881122,000000,65.6330,65.6330,65.6330,65.6330,0,0
MGGT.L,D,19881123,000000,65.6330,65.6330,65.6330,65.6330,0,0
MGGT.L,D,19881124,000000,65.9930,65.9930,65.9930,65.9930,0,0
MGGT.L,D,19881125,000000,64.1900,64.1900,64.1900,64.1900,0,0
MGGT.L,D,19881128,000000,61.3050,61.3050,61.3050,61.3050,0,0
MGGT.L,D,19881129,000000,62.7480,62.7480,62.7480,62.7480,0,0
MGGT.L,D,19881130,000000,63.1080,63.1080,63.1080,63.1080,0,0
MGGT.L,D,19881201,000000,61.3050,61.3050,61.3050,61.3050,0,0
MGGT.L,D,19881202,000000,62.3870,62.3870,62.3870,62.3870,0,0
MGGT.L,D,19881205,000000,63.1080,63.1080,63.1080,63.1080,0,0
MGGT.L,D,19881206,000000,64.1900,64.1900,64.1900,64.1900,0,0
MGGT.L,D,19881207,000000,64.9110,64.9110,64.9110,64.9110,0,0
MGGT.L,D,19881208,000000,64.5510,64.5510,64.5510,64.5510,0,0
MGGT.L,D,19881209,000000,64.9110,64.9110,64.9110,64.9110,0,0
MGGT.L,D,19881212,000000,65.2720,65.2720,65.2720,65.2720,0,0
MGGT.L,D,19881213,000000,65.2720,65.2720,65.2720,65.2720,0,0
MGGT.L,D,19881214,000000,65.9930,65.9930,65.9930,65.9930,0,0
MGGT.L,D,19881215,000000,66.3540,66.3540,66.3540,66.3540,0,0
MGGT.L,D,19881216,000000,66.7140,66.7140,66.7140,66.7140,0,0
MGGT.L,D,19881219,000000,66.3540,66.3540,66.3540,66.3540,0,0
MGGT.L,D,19881220,000000,66.3540,66.3540,66.3540,66.3540,0,0
MGGT.L,D,19881221,000000,66.3540,66.3540,66.3540,66.3540,0,0
MGGT.L,D,19881222,000000,66.3540,66.3540,66.3540,66.3540,0,0
MGGT.L,D,19881223,000000,66.3540,66.3540,66.3540,66.3540,0,0
MGGT.L,D,19881226,000000,66.3540,66.3540,66.3540,66.3540,0,0
MGGT.L,D,19881227,000000,66.3540,66.3540,66.3540,66.3540,0,0
MGGT.L,D,19881228,000000,66.3540,66.3540,66.3540,66.3540,0,0
MGGT.L,D,19881229,000000,66.3540,66.3540,66.3540,66.3540,0,0
MGGT.L,D,19881230,000000,65.6330,65.6330,65.6330,65.6330,0,0
MGGT.L,D,19890102,000000,65.6330,65.6330,65.6330,65.6330,0,0
MGGT.L,D,19890103,000000,64.1900,64.1900,64.1900,64.1900,0,0
MGGT.L,D,19890104,000000,67.0750,67.0750,67.0750,67.0750,0,0
MGGT.L,D,19890105,000000,67.4360,67.4360,67.4360,67.4360,0,0
MGGT.L,D,19890106,000000,70.6810,70.6810,70.6810,70.6810,0,0
MGGT.L,D,19890109,000000,69.9600,69.9600,69.9600,69.9600,0,0
MGGT.L,D,19890110,000000,70.6810,70.6810,70.6810,70.6810,0,0
MGGT.L,D,19890111,000000,69.2390,69.2390,69.2390,69.2390,0,0
MGGT.L,D,19890112,000000,69.9600,69.9600,69.9600,69.9600,0,0
MGGT.L,D,19890113,000000,73.2060,73.2060,73.2060,73.2060,0,0
MGGT.L,D,19890116,000000,72.4840,72.4840,72.4840,72.4840,0,0
MGGT.L,D,19890117,000000,71.4030,71.4030,71.4030,71.4030,0,0
MGGT.L,D,19890118,000000,71.7630,71.7630,71.7630,71.7630,0,0
MGGT.L,D,19890119,000000,72.1240,72.1240,72.1240,72.1240,0,0
MGGT.L,D,19890120,000000,72.1240,72.1240,72.1240,72.1240,0,0
MGGT.L,D,19890123,000000,72.4840,72.4840,72.4840,72.4840,0,0
MGGT.L,D,19890124,000000,72.1240,72.1240,72.1240,72.1240,0,0
MGGT.L,D,19890125,000000,72.1240,72.1240,72.1240,72.1240,0,0
MGGT.L,D,19890126,000000,71.4030,71.4030,71.4030,71.4030,0,0
MGGT.L,D,19890127,000000,71.7630,71.7630,71.7630,71.7630,0,0
MGGT.L,D,19890130,000000,73.5660,73.5660,73.5660,73.5660,0,0
MGGT.L,D,19890131,000000,76.4510,76.4510,76.4510,76.4510,0,0
MGGT.L,D,19890201,000000,79.3360,79.3360,79.3360,79.3360,0,0
MGGT.L,D,19890202,000000,80.7790,80.7790,80.7790,80.7790,0,0
MGGT.L,D,19890203,000000,80.0570,80.0570,80.0570,80.0570,0,0
MGGT.L,D,19890206,000000,79.3360,79.3360,79.3360,79.3360,0,0
MGGT.L,D,19890207,000000,80.0570,80.0570,80.0570,80.0570,0,0
MGGT.L,D,19890208,000000,82.9420,82.9420,82.9420,82.9420,0,0
MGGT.L,D,19890209,000000,80.7790,80.7790,80.7790,80.7790,0,0
MGGT.L,D,19890210,000000,78.6150,78.6150,78.6150,78.6150,0,0
MGGT.L,D,19890213,000000,77.8940,77.8940,77.8940,77.8940,0,0
MGGT.L,D,19890214,000000,77.8940,77.8940,77.8940,77.8940,0,0
MGGT.L,D,19890215,000000,77.1720,77.1720,77.1720,77.1720,0,0
MGGT.L,D,19890216,000000,77.1720,77.1720,77.1720,77.1720,0,0
MGGT.L,D,19890217,000000,76.4510,76.4510,76.4510,76.4510,0,0
MGGT.L,D,19890220,000000,76.4510,76.4510,76.4510,76.4510,0,0
MGGT.L,D,19890221,000000,78.6150,78.6150,78.6150,78.6150,0,0
MGGT.L,D,19890222,000000,77.8940,77.8940,77.8940,77.8940,0,0
MGGT.L,D,19890223,000000,77.1720,77.1720,77.1720,77.1720,0,0
MGGT.L,D,19890224,000000,77.1720,77.1720,77.1720,77.1720,0,0
MGGT.L,D,19890227,000000,76.4510,76.4510,76.4510,76.4510,0,0
MGGT.L,D,19890228,000000,76.4510,76.4510,76.4510,76.4510,0,0
MGGT.L,D,19890301,000000,77.1720,77.1720,77.1720,77.1720,0,0
MGGT.L,D,19890302,000000,77.1720,77.1720,77.1720,77.1720,0,0
MGGT.L,D,19890303,000000,80.0570,80.0570,80.0570,80.0570,0,0
MGGT.L,D,19890306,000000,80.7790,80.7790,80.7790,80.7790,0,0
MGGT.L,D,19890307,000000,80.0570,80.0570,80.0570,80.0570,0,0
MGGT.L,D,19890308,000000,79.3360,79.3360,79.3360,79.3360,0,0
MGGT.L,D,19890309,000000,80.0570,80.0570,80.0570,80.0570,0,0
MGGT.L,D,19890310,000000,81.5000,81.5000,81.5000,81.5000,0,0
MGGT.L,D,19890313,000000,81.5000,81.5000,81.5000,81.5000,0,0
MGGT.L,D,19890314,000000,82.9420,82.9420,82.9420,82.9420,0,0
MGGT.L,D,19890315,000000,82.9420,82.9420,82.9420,82.9420,0,0
MGGT.L,D,19890316,000000,82.2210,82.2210,82.2210,82.2210,0,0
MGGT.L,D,19890317,000000,80.7790,80.7790,80.7790,80.7790,0,0
MGGT.L,D,19890320,000000,79.3360,79.3360,79.3360,79.3360,0,0
MGGT.L,D,19890321,000000,79.3360,79.3360,79.3360,79.3360,0,0
MGGT.L,D,19890322,000000,77.1720,77.1720,77.1720,77.1720,0,0
MGGT.L,D,19890323,000000,77.8940,77.8940,77.8940,77.8940,0,0
MGGT.L,D,19890324,000000,77.8940,77.8940,77.8940,77.8940,0,0
MGGT.L,D,19890327,000000,77.8940,77.8940,77.8940,77.8940,0,0
MGGT.L,D,19890328,000000,77.8940,77.8940,77.8940,77.8940,0,0
MGGT.L,D,19890329,000000,77.1720,77.1720,77.1720,77.1720,0,0
MGGT.L,D,19890330,000000,76.4510,76.4510,76.4510,76.4510,0,0
MGGT.L,D,19890331,000000,76.4510,76.4510,76.4510,76.4510,0,0
MGGT.L,D,19890403,000000,77.1720,77.1720,77.1720,77.1720,0,0
MGGT.L,D,19890404,000000,84.3850,84.3850,84.3850,84.3850,0,0
MGGT.L,D,19890405,000000,84.3850,84.3850,84.3850,84.3850,0,0
MGGT.L,D,19890406,000000,83.6640,83.6640,83.6640,83.6640,0,0
MGGT.L,D,19890407,000000,82.9420,82.9420,82.9420,82.9420,0,0
MGGT.L,D,19890410,000000,82.9420,82.9420,82.9420,82.9420,0,0
MGGT.L,D,19890411,000000,85.1060,85.1060,85.1060,85.1060,0,0
MGGT.L,D,19890412,000000,84.3850,84.3850,84.3850,84.3850,0,0
MGGT.L,D,19890413,000000,85.8270,85.8270,85.8270,85.8270,0,0
MGGT.L,D,19890414,000000,85.8270,85.8270,85.8270,85.8270,0,0
MGGT.L,D,19890417,000000,83.6640,83.6640,83.6640,83.6640,0,0
MGGT.L,D,19890418,000000,84.3850,84.3850,84.3850,84.3850,0,0
MGGT.L,D,19890419,000000,86.5490,86.5490,86.5490,86.5490,0,0
MGGT.L,D,19890420,000000,86.5490,86.5490,86.5490,86.5490,0,0
MGGT.L,D,19890421,000000,87.2700,87.2700,87.2700,87.2700,0,0
MGGT.L,D,19890424,000000,87.2700,87.2700,87.2700,87.2700,0,0
MGGT.L,D,19890425,000000,87.9910,87.9910,87.9910,87.9910,0,0
MGGT.L,D,19890426,000000,88.7120,88.7120,88.7120,88.7120,0,0
MGGT.L,D,19890427,000000,91.5970,91.5970,91.5970,91.5970,0,0
MGGT.L,D,19890428,000000,90.8760,90.8760,90.8760,90.8760,0,0
MGGT.L,D,19890501,000000,90.8760,90.8760,90.8760,90.8760,0,0
MGGT.L,D,19890502,000000,90.8760,90.8760,90.8760,90.8760,0,0
MGGT.L,D,19890503,000000,90.1550,90.1550,90.1550,90.1550,0,0
MGGT.L,D,19890504,000000,90.8760,90.8760,90.8760,90.8760,0,0
MGGT.L,D,19890505,000000,90.8760,90.8760,90.8760,90.8760,0,0
MGGT.L,D,19890508,000000,91.5970,91.5970,91.5970,91.5970,0,0
MGGT.L,D,19890509,000000,90.8760,90.8760,90.8760,90.8760,0,0
MGGT.L,D,19890510,000000,90.8760,90.8760,90.8760,90.8760,0,0
MGGT.L,D,19890511,000000,90.8760,90.8760,90.8760,90.8760,0,0
MGGT.L,D,19890512,000000,92.3180,92.3180,92.3180,92.3180,0,0
MGGT.L,D,19890515,000000,93.0400,93.0400,93.0400,93.0400,0,0
