<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MRW.L,D,19880701,000000,265.0000,265.0000,265.0000,265.0000,0,0
MRW.L,D,19880704,000000,265.0000,265.0000,265.0000,265.0000,0,0
MRW.L,D,19880705,000000,265.0000,265.0000,265.0000,265.0000,0,0
MRW.L,D,19880706,000000,266.0000,266.0000,266.0000,266.0000,0,0
MRW.L,D,19880707,000000,266.0000,266.0000,266.0000,266.0000,0,0
MRW.L,D,19880708,000000,266.0000,266.0000,266.0000,266.0000,0,0
MRW.L,D,19880711,000000,266.0000,266.0000,266.0000,266.0000,0,0
MRW.L,D,19880712,000000,266.0000,266.0000,266.0000,266.0000,0,0
MRW.L,D,19880713,000000,266.0000,266.0000,266.0000,266.0000,0,0
MRW.L,D,19880714,000000,268.0000,268.0000,268.0000,268.0000,0,0
MRW.L,D,19880715,000000,267.0000,267.0000,267.0000,267.0000,0,0
MRW.L,D,19880718,000000,267.0000,267.0000,267.0000,267.0000,0,0
MRW.L,D,19880719,000000,266.0000,266.0000,266.0000,266.0000,0,0
MRW.L,D,19880720,000000,266.0000,266.0000,266.0000,266.0000,0,0
MRW.L,D,19880721,000000,263.0000,263.0000,263.0000,263.0000,0,0
MRW.L,D,19880722,000000,264.0000,264.0000,264.0000,264.0000,0,0
MRW.L,D,19880725,000000,262.0000,262.0000,262.0000,262.0000,0,0
MRW.L,D,19880726,000000,262.0000,262.0000,262.0000,262.0000,0,0
MRW.L,D,19880727,000000,262.0000,262.0000,262.0000,262.0000,0,0
MRW.L,D,19880728,000000,262.0000,262.0000,262.0000,262.0000,0,0
MRW.L,D,19880729,000000,262.0000,262.0000,262.0000,262.0000,0,0
MRW.L,D,19880801,000000,262.0000,262.0000,262.0000,262.0000,0,0
MRW.L,D,19880802,000000,262.0000,262.0000,262.0000,262.0000,0,0
MRW.L,D,19880803,000000,264.0000,264.0000,264.0000,264.0000,0,0
MRW.L,D,19880804,000000,264.0000,264.0000,264.0000,264.0000,0,0
MRW.L,D,19880805,000000,265.0000,265.0000,265.0000,265.0000,0,0
MRW.L,D,19880808,000000,265.0000,265.0000,265.0000,265.0000,0,0
MRW.L,D,19880809,000000,264.0000,264.0000,264.0000,264.0000,0,0
MRW.L,D,19880810,000000,263.0000,263.0000,263.0000,263.0000,0,0
MRW.L,D,19880811,000000,262.0000,262.0000,262.0000,262.0000,0,0
MRW.L,D,19880812,000000,262.0000,262.0000,262.0000,262.0000,0,0
MRW.L,D,19880815,000000,260.0000,260.0000,260.0000,260.0000,0,0
MRW.L,D,19880816,000000,260.0000,260.0000,260.0000,260.0000,0,0
MRW.L,D,19880817,000000,260.0000,260.0000,260.0000,260.0000,0,0
MRW.L,D,19880818,000000,260.0000,260.0000,260.0000,260.0000,0,0
MRW.L,D,19880819,000000,260.0000,260.0000,260.0000,260.0000,0,0
MRW.L,D,19880822,000000,260.0000,260.0000,260.0000,260.0000,0,0
MRW.L,D,19880823,000000,259.0000,259.0000,259.0000,259.0000,0,0
MRW.L,D,19880824,000000,263.0000,263.0000,263.0000,263.0000,0,0
MRW.L,D,19880825,000000,262.0000,262.0000,262.0000,262.0000,0,0
MRW.L,D,19880826,000000,262.0000,262.0000,262.0000,262.0000,0,0
MRW.L,D,19880829,000000,262.0000,262.0000,262.0000,262.0000,0,0
MRW.L,D,19880830,000000,261.0000,261.0000,261.0000,261.0000,0,0
MRW.L,D,19880831,000000,261.0000,261.0000,261.0000,261.0000,0,0
MRW.L,D,19880901,000000,256.0000,256.0000,256.0000,256.0000,0,0
MRW.L,D,19880902,000000,257.0000,257.0000,257.0000,257.0000,0,0
MRW.L,D,19880905,000000,257.0000,257.0000,257.0000,257.0000,0,0
MRW.L,D,19880906,000000,257.0000,257.0000,257.0000,257.0000,0,0
MRW.L,D,19880907,000000,257.0000,257.0000,257.0000,257.0000,0,0
MRW.L,D,19880908,000000,255.0000,255.0000,255.0000,255.0000,0,0
MRW.L,D,19880909,000000,253.0000,253.0000,253.0000,253.0000,0,0
MRW.L,D,19880912,000000,253.0000,253.0000,253.0000,253.0000,0,0
MRW.L,D,19880913,000000,256.0000,256.0000,256.0000,256.0000,0,0
MRW.L,D,19880914,000000,256.0000,256.0000,256.0000,256.0000,0,0
MRW.L,D,19880915,000000,260.0000,260.0000,260.0000,260.0000,0,0
MRW.L,D,19880916,000000,259.0000,259.0000,259.0000,259.0000,0,0
MRW.L,D,19880919,000000,259.0000,259.0000,259.0000,259.0000,0,0
MRW.L,D,19880920,000000,259.0000,259.0000,259.0000,259.0000,0,0
MRW.L,D,19880921,000000,259.0000,259.0000,259.0000,259.0000,0,0
