<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NG.L,D,19951211,000000,117.9770,117.9770,117.9770,117.9770,65534500,0
NG.L,D,19951212,000000,118.8220,118.8220,118.8220,118.8220,13855400,0
NG.L,D,19951213,000000,117.9770,117.9770,117.9770,117.9770,20684400,0
NG.L,D,19951214,000000,115.1620,115.1620,115.1620,115.1620,17442100,0
NG.L,D,19951215,000000,114.3160,114.3160,114.3160,114.3160,23654500,0
NG.L,D,19951218,000000,112.6270,112.6270,112.6270,112.6270,9828500,0
NG.L,D,19951219,000000,112.0640,112.0640,112.0640,112.0640,59969200,0
NG.L,D,19951220,000000,112.9090,112.9090,112.9090,112.9090,17912400,0
NG.L,D,19951221,000000,112.0640,112.0640,112.0640,112.0640,5176700,0
NG.L,D,19951222,000000,112.0640,112.0640,112.0640,112.0640,3426100,0
NG.L,D,19951225,000000,112.0640,112.0640,112.0640,112.0640,0,0
NG.L,D,19951226,000000,112.0640,112.0640,112.0640,112.0640,0,0
NG.L,D,19951227,000000,112.3460,112.3460,112.3460,112.3460,11942600,0
NG.L,D,19951228,000000,112.3460,112.3460,112.3460,112.3460,9145100,0
NG.L,D,19951229,000000,112.3460,112.3460,112.3460,112.3460,4092800,0
NG.L,D,19960101,000000,112.3460,112.3460,112.3460,112.3460,0,0
NG.L,D,19960102,000000,112.3460,112.3460,112.3460,112.3460,5708100,0
NG.L,D,19960103,000000,113.1900,113.1900,113.1900,113.1900,53455600,0
NG.L,D,19960104,000000,112.3460,112.3460,112.3460,112.3460,6005600,0
NG.L,D,19960105,000000,111.5010,111.5010,111.5010,111.5010,55651100,0
NG.L,D,19960108,000000,111.5010,111.5010,111.5010,111.5010,3904900,0
NG.L,D,19960109,000000,110.0930,110.0930,110.0930,110.0930,11634800,0
NG.L,D,19960110,000000,110.6560,110.6560,110.6560,110.6560,5167000,0
NG.L,D,19960111,000000,110.6560,110.6560,110.6560,110.6560,10250300,0
NG.L,D,19960112,000000,110.3750,110.3750,110.3750,110.3750,3830500,0
NG.L,D,19960115,000000,110.3750,110.3750,110.3750,110.3750,13068900,0
NG.L,D,19960116,000000,110.0930,110.0930,110.0930,110.0930,8555400,0
NG.L,D,19960117,000000,110.3750,110.3750,110.3750,110.3750,6040400,0
NG.L,D,19960118,000000,111.5010,111.5010,111.5010,111.5010,29511900,0
NG.L,D,19960119,000000,110.3750,110.3750,110.3750,110.3750,10778100,0
NG.L,D,19960122,000000,110.9380,110.9380,110.9380,110.9380,2862000,0
NG.L,D,19960123,000000,109.8120,109.8120,109.8120,109.8120,5829600,0
NG.L,D,19960124,000000,108.1220,108.1220,108.1220,108.1220,14921900,0
NG.L,D,19960125,000000,108.4040,108.4040,108.4040,108.4040,18490700,0
NG.L,D,19960126,000000,108.9670,108.9670,108.9670,108.9670,14168500,0
NG.L,D,19960129,000000,108.9670,108.9670,108.9670,108.9670,7228800,0
NG.L,D,19960130,000000,115.7250,115.7250,115.7250,115.7250,51184400,0
NG.L,D,19960131,000000,113.1900,113.1900,113.1900,113.1900,17476900,0
NG.L,D,19960201,000000,114.8800,114.8800,114.8800,114.8800,13773600,0
NG.L,D,19960202,000000,114.3160,114.3160,114.3160,114.3160,75517696,0
NG.L,D,19960205,000000,113.1900,113.1900,113.1900,113.1900,3035600,0
NG.L,D,19960206,000000,112.3460,112.3460,112.3460,112.3460,5390000,0
