<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OML.L,D,19990712,000000,137.5000,137.5000,137.5000,137.5000,49368700,0
OML.L,D,19990713,000000,134.0000,134.0000,134.0000,134.0000,63348500,0
OML.L,D,19990714,000000,136.2500,136.2500,136.2500,136.2500,0,0
OML.L,D,19990715,000000,139.0000,139.0000,139.0000,139.0000,0,0
OML.L,D,19990716,000000,136.0000,136.0000,136.0000,136.0000,0,0
OML.L,D,19990719,000000,133.5000,133.5000,133.5000,133.5000,0,0
OML.L,D,19990720,000000,131.5000,131.5000,131.5000,131.5000,0,0
OML.L,D,19990721,000000,133.0000,133.0000,133.0000,133.0000,0,0
OML.L,D,19990722,000000,130.0000,130.0000,130.0000,130.0000,0,0
OML.L,D,19990723,000000,128.0000,128.0000,128.0000,128.0000,0,0
OML.L,D,19990726,000000,125.5000,125.5000,125.5000,125.5000,0,0
OML.L,D,19990727,000000,127.0000,127.0000,127.0000,127.0000,0,0
OML.L,D,19990728,000000,126.5000,126.5000,126.5000,126.5000,0,0
OML.L,D,19990729,000000,125.2500,125.2500,125.2500,125.2500,0,0
OML.L,D,19990730,000000,126.5000,126.5000,126.5000,126.5000,0,0
OML.L,D,19990802,000000,129.0000,129.0000,129.0000,129.0000,0,0
OML.L,D,19990803,000000,129.0000,129.0000,129.0000,129.0000,0,0
OML.L,D,19990804,000000,128.0000,128.0000,128.0000,128.0000,0,0
OML.L,D,19990805,000000,126.0000,126.0000,126.0000,126.0000,0,0
OML.L,D,19990806,000000,125.5000,125.5000,125.5000,125.5000,0,0
OML.L,D,19990809,000000,128.0000,128.0000,128.0000,128.0000,0,0
OML.L,D,19990810,000000,127.2500,127.2500,127.2500,127.2500,0,0
OML.L,D,19990811,000000,127.2500,127.2500,127.2500,127.2500,0,0
OML.L,D,19990812,000000,126.0000,126.0000,126.0000,126.0000,0,0
OML.L,D,19990813,000000,126.0000,126.0000,126.0000,126.0000,6872200,0
OML.L,D,19990816,000000,125.5000,125.5000,125.5000,125.5000,0,0
OML.L,D,19990817,000000,125.0000,125.0000,125.0000,125.0000,0,0
OML.L,D,19990818,000000,125.0000,125.0000,125.0000,125.0000,8041700,0
OML.L,D,19990819,000000,124.0000,124.0000,124.0000,124.0000,0,0
OML.L,D,19990820,000000,124.2500,124.2500,124.2500,124.2500,12454700,0
OML.L,D,19990823,000000,128.0000,128.0000,128.0000,128.0000,0,0
OML.L,D,19990824,000000,130.0000,130.0000,130.0000,130.0000,0,0
OML.L,D,19990825,000000,131.5000,131.5000,131.5000,131.5000,0,0
OML.L,D,19990826,000000,134.0000,134.0000,134.0000,134.0000,0,0
OML.L,D,19990827,000000,133.2500,133.2500,133.2500,133.2500,0,0
OML.L,D,19990830,000000,133.2500,133.2500,133.2500,133.2500,0,0
OML.L,D,19990831,000000,132.5000,132.5000,132.5000,132.5000,0,0
OML.L,D,19990901,000000,131.7500,131.7500,131.7500,131.7500,0,0
OML.L,D,19990902,000000,132.2500,132.2500,132.2500,132.2500,0,0
OML.L,D,19990903,000000,139.0000,139.0000,139.0000,139.0000,0,0
OML.L,D,19990906,000000,139.7500,139.7500,139.7500,139.7500,0,0
OML.L,D,19990907,000000,138.2500,138.2500,138.2500,138.2500,0,0
OML.L,D,19990908,000000,132.2500,132.2500,132.2500,132.2500,0,0
OML.L,D,19990909,000000,130.7500,130.7500,130.7500,130.7500,0,0
OML.L,D,19990910,000000,125.5000,125.5000,125.5000,125.5000,0,0
OML.L,D,19990913,000000,126.5000,126.5000,126.5000,126.5000,0,0
OML.L,D,19990914,000000,128.0000,128.0000,128.0000,128.0000,17210800,0
OML.L,D,19990915,000000,131.0000,131.0000,131.0000,131.0000,0,0
OML.L,D,19990916,000000,128.7500,128.7500,128.7500,128.7500,0,0
OML.L,D,19990917,000000,134.2500,134.2500,134.2500,134.2500,0,0
OML.L,D,19990920,000000,128.7500,128.7500,128.7500,128.7500,0,0
OML.L,D,19990921,000000,128.0000,128.0000,128.0000,128.0000,0,0
OML.L,D,19990922,000000,125.5000,125.5000,125.5000,125.5000,0,0
OML.L,D,19990923,000000,124.2500,124.2500,124.2500,124.2500,0,0
OML.L,D,19990924,000000,123.5000,123.5000,123.5000,123.5000,0,0
OML.L,D,19990927,000000,126.5000,126.5000,126.5000,126.5000,0,0
OML.L,D,19990928,000000,126.0000,126.0000,126.0000,126.0000,0,0
OML.L,D,19990929,000000,130.5000,130.5000,130.5000,130.5000,0,0
OML.L,D,19990930,000000,129.5000,129.5000,129.5000,129.5000,0,0
OML.L,D,19991001,000000,129.7500,129.7500,129.7500,129.7500,0,0
OML.L,D,19991004,000000,135.5000,135.5000,135.5000,135.5000,0,0
OML.L,D,19991005,000000,135.0000,135.0000,135.0000,135.0000,9026200,0
