<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PNN.L,D,19891211,000000,1943.0410,1943.0410,1943.0410,1943.0410,0,0
PNN.L,D,19891212,000000,2323.5549,2323.5549,2323.5549,2323.5549,0,0
PNN.L,D,19891213,000000,2343.7949,2343.7949,2343.7949,2343.7949,0,0
PNN.L,D,19891214,000000,2323.5549,2323.5549,2323.5549,2323.5549,0,0
PNN.L,D,19891215,000000,2315.4580,2315.4580,2315.4580,2315.4580,0,0
PNN.L,D,19891218,000000,2388.3240,2388.3240,2388.3240,2388.3240,0,0
PNN.L,D,19891219,000000,2388.3240,2388.3240,2388.3240,2388.3240,0,0
PNN.L,D,19891220,000000,2404.5161,2404.5161,2404.5161,2404.5161,0,0
PNN.L,D,19891221,000000,2404.5161,2404.5161,2404.5161,2404.5161,0,0
PNN.L,D,19891222,000000,2404.5161,2404.5161,2404.5161,2404.5161,0,0
PNN.L,D,19891225,000000,2404.5161,2404.5161,2404.5161,2404.5161,0,0
PNN.L,D,19891226,000000,2404.5161,2404.5161,2404.5161,2404.5161,0,0
PNN.L,D,19891227,000000,2461.1880,2461.1880,2461.1880,2461.1880,0,0
PNN.L,D,19891228,000000,2501.6680,2501.6680,2501.6680,2501.6680,0,0
PNN.L,D,19891229,000000,2542.1479,2542.1479,2542.1479,2542.1479,0,0
PNN.L,D,19900101,000000,2542.1479,2542.1479,2542.1479,2542.1479,0,0
PNN.L,D,19900102,000000,2566.4341,2566.4341,2566.4341,2566.4341,0,0
PNN.L,D,19900103,000000,2542.1479,2542.1479,2542.1479,2542.1479,0,0
PNN.L,D,19900104,000000,2542.1479,2542.1479,2542.1479,2542.1479,0,0
PNN.L,D,19900105,000000,2497.6189,2497.6189,2497.6189,2497.6189,0,0
PNN.L,D,19900108,000000,2501.6680,2501.6680,2501.6680,2501.6680,0,0
PNN.L,D,19900109,000000,2509.7620,2509.7620,2509.7620,2509.7620,0,0
PNN.L,D,19900110,000000,2513.8110,2513.8110,2513.8110,2513.8110,0,0
PNN.L,D,19900111,000000,2550.2419,2550.2419,2550.2419,2550.2419,0,0
PNN.L,D,19900112,000000,2534.0510,2534.0510,2534.0510,2534.0510,0,0
PNN.L,D,19900115,000000,2534.0510,2534.0510,2534.0510,2534.0510,0,0
PNN.L,D,19900116,000000,2517.8589,2517.8589,2517.8589,2517.8589,0,0
PNN.L,D,19900117,000000,2534.0510,2534.0510,2534.0510,2534.0510,0,0
PNN.L,D,19900118,000000,2501.6680,2501.6680,2501.6680,2501.6680,0,0
PNN.L,D,19900119,000000,2501.6680,2501.6680,2501.6680,2501.6680,0,0
PNN.L,D,19900122,000000,2485.4761,2485.4761,2485.4761,2485.4761,0,0
PNN.L,D,19900123,000000,2574.5310,2574.5310,2574.5310,2574.5310,0,0
PNN.L,D,19900124,000000,2590.7229,2590.7229,2590.7229,2590.7229,0,0
PNN.L,D,19900125,000000,2542.1479,2542.1479,2542.1479,2542.1479,0,0
PNN.L,D,19900126,000000,2558.3401,2558.3401,2558.3401,2558.3401,0,0
PNN.L,D,19900129,000000,2590.7229,2590.7229,2590.7229,2590.7229,0,0
PNN.L,D,19900130,000000,2606.9141,2606.9141,2606.9141,2606.9141,0,0
PNN.L,D,19900131,000000,2631.2029,2631.2029,2631.2029,2631.2029,0,0
PNN.L,D,19900201,000000,2627.1541,2627.1541,2627.1541,2627.1541,0,0
PNN.L,D,19900202,000000,2655.4919,2655.4919,2655.4919,2655.4919,0,0
PNN.L,D,19900205,000000,2671.6831,2671.6831,2671.6831,2671.6831,0,0
PNN.L,D,19900206,000000,2655.4919,2655.4919,2655.4919,2655.4919,0,0
PNN.L,D,19900207,000000,2647.3950,2647.3950,2647.3950,2647.3950,0,0
PNN.L,D,19900208,000000,2655.4919,2655.4919,2655.4919,2655.4919,0,0
PNN.L,D,19900209,000000,2631.2029,2631.2029,2631.2029,2631.2029,0,0
PNN.L,D,19900212,000000,2623.1089,2623.1089,2623.1089,2623.1089,0,0
PNN.L,D,19900213,000000,2655.4919,2655.4919,2655.4919,2655.4919,0,0
PNN.L,D,19900214,000000,2679.7800,2679.7800,2679.7800,2679.7800,0,0
PNN.L,D,19900215,000000,2752.6440,2752.6440,2752.6440,2752.6440,0,0
PNN.L,D,19900216,000000,2768.8350,2768.8350,2768.8350,2768.8350,0,0
PNN.L,D,19900219,000000,2744.5471,2744.5471,2744.5471,2744.5471,0,0
PNN.L,D,19900220,000000,2687.8750,2687.8750,2687.8750,2687.8750,0,0
PNN.L,D,19900221,000000,2663.5859,2663.5859,2663.5859,2663.5859,0,0
PNN.L,D,19900222,000000,2663.5859,2663.5859,2663.5859,2663.5859,0,0
PNN.L,D,19900223,000000,2655.4919,2655.4919,2655.4919,2655.4919,0,0
PNN.L,D,19900226,000000,2671.6831,2671.6831,2671.6831,2671.6831,0,0
PNN.L,D,19900227,000000,2679.7800,2679.7800,2679.7800,2679.7800,0,0
PNN.L,D,19900228,000000,2663.5859,2663.5859,2663.5859,2663.5859,0,0
