<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
POLY.L,D,20111028,000000,920.0000,975.0000,915.0000,920.0000,9864600,0
POLY.L,D,20111031,000000,920.0000,923.5000,918.0000,920.0000,5002700,0
POLY.L,D,20111101,000000,917.0000,919.0000,875.0000,877.0000,1697900,0
POLY.L,D,20111102,000000,900.0000,930.0000,885.0000,930.0000,3411100,0
POLY.L,D,20111103,000000,923.0000,925.0000,916.5000,917.0000,2976000,0
POLY.L,D,20111104,000000,920.0000,930.0000,915.0000,924.0000,570900,0
POLY.L,D,20111107,000000,925.0000,925.0000,914.0000,915.0000,1113500,0
POLY.L,D,20111108,000000,920.0000,925.5000,919.0000,925.0000,1085000,0
POLY.L,D,20111109,000000,940.0000,940.0000,916.0830,916.5000,819300,0
POLY.L,D,20111110,000000,929.5000,929.5000,910.0000,925.0000,1061900,0
POLY.L,D,20111111,000000,920.5000,958.0000,920.0790,958.0000,3297900,0
POLY.L,D,20111114,000000,960.5000,997.0000,948.0000,995.0000,1971100,0
POLY.L,D,20111115,000000,1020.0000,1020.0000,970.5000,989.0000,922700,0
POLY.L,D,20111116,000000,995.0000,1008.0000,983.0000,1005.0000,947000,0
POLY.L,D,20111117,000000,1000.0000,1022.0000,971.0000,978.0000,517500,0
POLY.L,D,20111118,000000,1025.0000,980.5350,960.5000,971.0000,816200,0
POLY.L,D,20111121,000000,975.0000,985.0000,922.0000,922.0000,1078600,0
POLY.L,D,20111122,000000,922.0000,958.5000,922.0000,934.5000,443000,0
POLY.L,D,20111123,000000,925.0000,945.5000,925.0000,939.0000,662900,0
POLY.L,D,20111124,000000,943.5000,943.5000,937.0000,939.5000,270000,0
POLY.L,D,20111125,000000,954.0000,960.0000,920.0000,945.0000,444700,0
POLY.L,D,20111128,000000,945.0000,970.0000,945.0000,970.0000,99100,0
POLY.L,D,20111129,000000,980.0000,980.0000,960.0000,968.0000,591400,0
POLY.L,D,20111130,000000,960.0000,980.0000,960.0000,975.0000,670800,0
POLY.L,D,20111201,000000,970.0000,999.0000,970.0000,994.5000,353500,0
POLY.L,D,20111202,000000,991.0000,1020.0000,991.0000,1000.0000,504700,0
POLY.L,D,20111205,000000,1011.0000,1013.0000,1001.0000,1010.0000,769300,0
POLY.L,D,20111206,000000,1007.0000,1015.0000,986.0000,1015.0000,974800,0
POLY.L,D,20111207,000000,1032.0000,1040.0000,995.0000,1015.0000,1083400,0
POLY.L,D,20111208,000000,1022.0000,1024.0000,997.5000,1015.0000,1221900,0
POLY.L,D,20111209,000000,1000.0000,1025.0000,994.0000,1020.0000,831800,0
POLY.L,D,20111212,000000,1030.0000,1030.0000,998.5000,1024.0000,1398800,0
POLY.L,D,20111213,000000,1040.0000,1040.0000,1008.0000,1026.0000,1262700,0
POLY.L,D,20111214,000000,1020.0000,1026.0000,985.0000,997.5000,1948500,0
POLY.L,D,20111215,000000,995.0000,1030.0000,992.0000,1017.0000,2431500,0
POLY.L,D,20111216,000000,1019.0000,1040.0000,996.0000,1040.0000,20463800,0
POLY.L,D,20111219,000000,1038.0000,1045.0000,1024.0000,1035.0000,1177800,0
POLY.L,D,20111220,000000,1038.0000,1060.0000,1035.0000,1056.0000,1311300,0
POLY.L,D,20111221,000000,1055.0000,1080.0000,1050.0000,1078.0000,1357300,0
POLY.L,D,20111222,000000,1077.0000,1117.0000,1071.0000,1109.0000,1400800,0
POLY.L,D,20111223,000000,1122.0000,1130.0000,1107.0000,1130.0000,478800,0
POLY.L,D,20111226,000000,1130.0000,1130.0000,1130.0000,1130.0000,0,0
POLY.L,D,20111227,000000,1130.0000,1130.0000,1130.0000,1130.0000,0,0
POLY.L,D,20111228,000000,1130.0000,1130.0000,1097.0000,1109.0000,434500,0
POLY.L,D,20111229,000000,1107.0000,1120.0000,1086.0000,1092.0000,142300,0
POLY.L,D,20111230,000000,1101.0000,1128.0000,1093.0000,1094.0000,265100,0
