<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PRU.L,D,19880701,000000,145.7500,145.7500,145.7500,145.7500,0,0
PRU.L,D,19880704,000000,146.6150,146.6150,146.6150,146.6150,0,0
PRU.L,D,19880705,000000,146.0380,146.0380,146.0380,146.0380,0,0
PRU.L,D,19880706,000000,151.0370,151.0370,151.0370,151.0370,0,0
PRU.L,D,19880707,000000,149.3070,149.3070,149.3070,149.3070,0,0
PRU.L,D,19880708,000000,151.0370,151.0370,151.0370,151.0370,0,0
PRU.L,D,19880711,000000,148.4420,148.4420,148.4420,148.4420,0,0
PRU.L,D,19880712,000000,150.1720,150.1720,150.1720,150.1720,0,0
PRU.L,D,19880713,000000,151.0370,151.0370,151.0370,151.0370,0,0
PRU.L,D,19880714,000000,150.1720,150.1720,150.1720,150.1720,0,0
PRU.L,D,19880715,000000,148.4420,148.4420,148.4420,148.4420,0,0
PRU.L,D,19880718,000000,147.0960,147.0960,147.0960,147.0960,0,0
PRU.L,D,19880719,000000,146.1340,146.1340,146.1340,146.1340,0,0
PRU.L,D,19880720,000000,149.3070,149.3070,149.3070,149.3070,0,0
PRU.L,D,19880721,000000,147.4800,147.4800,147.4800,147.4800,0,0
PRU.L,D,19880722,000000,145.7500,145.7500,145.7500,145.7500,0,0
PRU.L,D,19880725,000000,147.4800,147.4800,147.4800,147.4800,0,0
PRU.L,D,19880726,000000,147.9610,147.9610,147.9610,147.9610,0,0
PRU.L,D,19880727,000000,147.4800,147.4800,147.4800,147.4800,0,0
PRU.L,D,19880728,000000,148.4420,148.4420,148.4420,148.4420,0,0
PRU.L,D,19880729,000000,148.4420,148.4420,148.4420,148.4420,0,0
PRU.L,D,19880801,000000,150.6530,150.6530,150.6530,150.6530,0,0
PRU.L,D,19880802,000000,150.1720,150.1720,150.1720,150.1720,0,0
PRU.L,D,19880803,000000,149.6910,149.6910,149.6910,149.6910,0,0
PRU.L,D,19880804,000000,150.1720,150.1720,150.1720,150.1720,0,0
PRU.L,D,19880805,000000,151.0370,151.0370,151.0370,151.0370,0,0
PRU.L,D,19880808,000000,150.6530,150.6530,150.6530,150.6530,0,0
PRU.L,D,19880809,000000,150.1720,150.1720,150.1720,150.1720,0,0
PRU.L,D,19880810,000000,143.9230,143.9230,143.9230,143.9230,0,0
PRU.L,D,19880811,000000,142.1920,142.1920,142.1920,142.1920,0,0
PRU.L,D,19880812,000000,142.1920,142.1920,142.1920,142.1920,0,0
PRU.L,D,19880815,000000,141.3270,141.3270,141.3270,141.3270,0,0
PRU.L,D,19880816,000000,142.1920,142.1920,142.1920,142.1920,0,0
PRU.L,D,19880817,000000,143.9230,143.9230,143.9230,143.9230,0,0
PRU.L,D,19880818,000000,146.6150,146.6150,146.6150,146.6150,0,0
PRU.L,D,19880819,000000,144.8840,144.8840,144.8840,144.8840,0,0
PRU.L,D,19880822,000000,143.0580,143.0580,143.0580,143.0580,0,0
PRU.L,D,19880823,000000,143.0580,143.0580,143.0580,143.0580,0,0
PRU.L,D,19880824,000000,143.9230,143.9230,143.9230,143.9230,0,0
PRU.L,D,19880825,000000,137.2890,137.2890,137.2890,137.2890,0,0
PRU.L,D,19880826,000000,137.2890,137.2890,137.2890,137.2890,0,0
PRU.L,D,19880829,000000,137.2890,137.2890,137.2890,137.2890,0,0
PRU.L,D,19880830,000000,136.8090,136.8090,136.8090,136.8090,0,0
PRU.L,D,19880831,000000,135.9430,135.9430,135.9430,135.9430,0,0
PRU.L,D,19880901,000000,132.0010,132.0010,132.0010,132.0010,0,0
PRU.L,D,19880902,000000,134.2130,134.2130,134.2130,134.2130,0,0
PRU.L,D,19880905,000000,136.8090,136.8090,136.8090,136.8090,0,0
PRU.L,D,19880906,000000,135.9430,135.9430,135.9430,135.9430,0,0
PRU.L,D,19880907,000000,133.2510,133.2510,133.2510,133.2510,0,0
PRU.L,D,19880908,000000,134.5970,134.5970,134.5970,134.5970,0,0
PRU.L,D,19880909,000000,137.7700,137.7700,137.7700,137.7700,0,0
PRU.L,D,19880912,000000,138.6350,138.6350,138.6350,138.6350,0,0
PRU.L,D,19880913,000000,139.1160,139.1160,139.1160,139.1160,0,0
PRU.L,D,19880914,000000,136.8090,136.8090,136.8090,136.8090,0,0
PRU.L,D,19880915,000000,136.8090,136.8090,136.8090,136.8090,0,0
PRU.L,D,19880916,000000,136.8090,136.8090,136.8090,136.8090,0,0
PRU.L,D,19880919,000000,133.7320,133.7320,133.7320,133.7320,0,0
PRU.L,D,19880920,000000,135.5590,135.5590,135.5590,135.5590,0,0
PRU.L,D,19880921,000000,133.2510,133.2510,133.2510,133.2510,0,0
PRU.L,D,19880922,000000,134.2130,134.2130,134.2130,134.2130,0,0
PRU.L,D,19880923,000000,134.2130,134.2130,134.2130,134.2130,0,0
PRU.L,D,19880926,000000,134.2130,134.2130,134.2130,134.2130,0,0
PRU.L,D,19880927,000000,135.9430,135.9430,135.9430,135.9430,0,0
PRU.L,D,19880928,000000,138.1540,138.1540,138.1540,138.1540,0,0
PRU.L,D,19880929,000000,138.6350,138.6350,138.6350,138.6350,0,0
PRU.L,D,19880930,000000,138.6350,138.6350,138.6350,138.6350,0,0
PRU.L,D,19881003,000000,138.6350,138.6350,138.6350,138.6350,0,0
PRU.L,D,19881004,000000,138.6350,138.6350,138.6350,138.6350,0,0
