<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PSON.L,D,19880701,000000,620.4000,620.4000,620.4000,620.4000,0,0
PSON.L,D,19880704,000000,616.8750,616.8750,616.8750,616.8750,0,0
PSON.L,D,19880705,000000,614.2310,614.2310,614.2310,614.2310,0,0
PSON.L,D,19880706,000000,619.5190,619.5190,619.5190,619.5190,0,0
PSON.L,D,19880707,000000,636.2650,636.2650,636.2650,636.2650,0,0
PSON.L,D,19880708,000000,630.9770,630.9770,630.9770,630.9770,0,0
PSON.L,D,19880711,000000,630.0950,630.0950,630.0950,630.0950,0,0
PSON.L,D,19880712,000000,630.0950,630.0950,630.0950,630.0950,0,0
PSON.L,D,19880713,000000,634.5020,634.5020,634.5020,634.5020,0,0
PSON.L,D,19880714,000000,646.8420,646.8420,646.8420,646.8420,0,0
PSON.L,D,19880715,000000,643.3160,643.3160,643.3160,643.3160,0,0
PSON.L,D,19880718,000000,643.3160,643.3160,643.3160,643.3160,0,0
PSON.L,D,19880719,000000,645.0790,645.0790,645.0790,645.0790,0,0
PSON.L,D,19880720,000000,651.2480,651.2480,651.2480,651.2480,0,0
PSON.L,D,19880721,000000,649.4860,649.4860,649.4860,649.4860,0,0
PSON.L,D,19880722,000000,649.4860,649.4860,649.4860,649.4860,0,0
PSON.L,D,19880725,000000,649.4860,649.4860,649.4860,649.4860,0,0
PSON.L,D,19880726,000000,653.0110,653.0110,653.0110,653.0110,0,0
PSON.L,D,19880727,000000,653.8930,653.8930,653.8930,653.8930,0,0
PSON.L,D,19880728,000000,682.0970,682.0970,682.0970,682.0970,0,0
PSON.L,D,19880729,000000,682.9780,682.9780,682.9780,682.9780,0,0
PSON.L,D,19880801,000000,686.5030,686.5030,686.5030,686.5030,0,0
PSON.L,D,19880802,000000,686.5030,686.5030,686.5030,686.5030,0,0
PSON.L,D,19880803,000000,686.5030,686.5030,686.5030,686.5030,0,0
PSON.L,D,19880804,000000,686.5030,686.5030,686.5030,686.5030,0,0
PSON.L,D,19880805,000000,692.6730,692.6730,692.6730,692.6730,0,0
PSON.L,D,19880808,000000,696.1990,696.1990,696.1990,696.1990,0,0
PSON.L,D,19880809,000000,684.7410,684.7410,684.7410,684.7410,0,0
PSON.L,D,19880810,000000,674.1640,674.1640,674.1640,674.1640,0,0
PSON.L,D,19880811,000000,666.2320,666.2320,666.2320,666.2320,0,0
PSON.L,D,19880812,000000,667.9950,667.9950,667.9950,667.9950,0,0
PSON.L,D,19880815,000000,664.4690,664.4690,664.4690,664.4690,0,0
PSON.L,D,19880816,000000,658.2990,658.2990,658.2990,658.2990,0,0
PSON.L,D,19880817,000000,660.9440,660.9440,660.9440,660.9440,0,0
PSON.L,D,19880818,000000,660.9440,660.9440,660.9440,660.9440,0,0
PSON.L,D,19880819,000000,663.5880,663.5880,663.5880,663.5880,0,0
PSON.L,D,19880822,000000,661.8250,661.8250,661.8250,661.8250,0,0
PSON.L,D,19880823,000000,657.4180,657.4180,657.4180,657.4180,0,0
PSON.L,D,19880824,000000,657.4180,657.4180,657.4180,657.4180,0,0
PSON.L,D,19880825,000000,644.1970,644.1970,644.1970,644.1970,0,0
PSON.L,D,19880826,000000,629.2140,629.2140,629.2140,629.2140,0,0
PSON.L,D,19880829,000000,629.2140,629.2140,629.2140,629.2140,0,0
PSON.L,D,19880830,000000,614.2310,614.2310,614.2310,614.2310,0,0
PSON.L,D,19880831,000000,624.8070,624.8070,624.8070,624.8070,0,0
PSON.L,D,19880901,000000,621.2820,621.2820,621.2820,621.2820,0,0
PSON.L,D,19880902,000000,629.2140,629.2140,629.2140,629.2140,0,0
PSON.L,D,19880905,000000,633.6210,633.6210,633.6210,633.6210,0,0
PSON.L,D,19880906,000000,633.6210,633.6210,633.6210,633.6210,0,0
PSON.L,D,19880907,000000,629.2140,629.2140,629.2140,629.2140,0,0
PSON.L,D,19880908,000000,624.8070,624.8070,624.8070,624.8070,0,0
PSON.L,D,19880909,000000,619.5190,619.5190,619.5190,619.5190,0,0
PSON.L,D,19880912,000000,617.7560,617.7560,617.7560,617.7560,0,0
PSON.L,D,19880913,000000,620.4000,620.4000,620.4000,620.4000,0,0
PSON.L,D,19880914,000000,598.3660,598.3660,598.3660,598.3660,0,0
PSON.L,D,19880915,000000,606.2980,606.2980,606.2980,606.2980,0,0
PSON.L,D,19880916,000000,607.1800,607.1800,607.1800,607.1800,0,0
PSON.L,D,19880919,000000,647.7230,647.7230,647.7230,647.7230,0,0
PSON.L,D,19880920,000000,630.9770,630.9770,630.9770,630.9770,0,0
PSON.L,D,19880921,000000,651.2480,651.2480,651.2480,651.2480,0,0
PSON.L,D,19880922,000000,660.9440,660.9440,660.9440,660.9440,0,0
PSON.L,D,19880923,000000,660.9440,660.9440,660.9440,660.9440,0,0
PSON.L,D,19880926,000000,661.8250,661.8250,661.8250,661.8250,0,0
PSON.L,D,19880927,000000,667.1130,667.1130,667.1130,667.1130,0,0
PSON.L,D,19880928,000000,674.1640,674.1640,674.1640,674.1640,0,0
PSON.L,D,19880929,000000,678.5710,678.5710,678.5710,678.5710,0,0
PSON.L,D,19880930,000000,665.3500,665.3500,665.3500,665.3500,0,0
PSON.L,D,19881003,000000,662.7060,662.7060,662.7060,662.7060,0,0
PSON.L,D,19881004,000000,662.7060,662.7060,662.7060,662.7060,0,0
PSON.L,D,19881005,000000,669.7570,669.7570,669.7570,669.7570,0,0
PSON.L,D,19881006,000000,669.7570,669.7570,669.7570,669.7570,0,0
PSON.L,D,19881007,000000,669.7570,669.7570,669.7570,669.7570,0,0
PSON.L,D,19881010,000000,666.2320,666.2320,666.2320,666.2320,0,0
PSON.L,D,19881011,000000,664.4690,664.4690,664.4690,664.4690,0,0
PSON.L,D,19881012,000000,650.3670,650.3670,650.3670,650.3670,0,0
PSON.L,D,19881013,000000,643.3160,643.3160,643.3160,643.3160,0,0
PSON.L,D,19881014,000000,640.6720,640.6720,640.6720,640.6720,0,0
PSON.L,D,19881017,000000,647.7230,647.7230,647.7230,647.7230,0,0
PSON.L,D,19881018,000000,648.6040,648.6040,648.6040,648.6040,0,0
PSON.L,D,19881019,000000,652.1300,652.1300,652.1300,652.1300,0,0
PSON.L,D,19881020,000000,647.7230,647.7230,647.7230,647.7230,0,0
PSON.L,D,19881021,000000,643.3160,643.3160,643.3160,643.3160,0,0
PSON.L,D,19881024,000000,630.0950,630.0950,630.0950,630.0950,0,0
PSON.L,D,19881025,000000,627.4510,627.4510,627.4510,627.4510,0,0
PSON.L,D,19881026,000000,624.8070,624.8070,624.8070,624.8070,0,0
PSON.L,D,19881027,000000,631.8580,631.8580,631.8580,631.8580,0,0
PSON.L,D,19881028,000000,644.1970,644.1970,644.1970,644.1970,0,0
PSON.L,D,19881031,000000,638.0280,638.0280,638.0280,638.0280,0,0
PSON.L,D,19881101,000000,638.0280,638.0280,638.0280,638.0280,0,0
PSON.L,D,19881102,000000,629.2140,629.2140,629.2140,629.2140,0,0
PSON.L,D,19881103,000000,629.2140,629.2140,629.2140,629.2140,0,0
PSON.L,D,19881104,000000,629.2140,629.2140,629.2140,629.2140,0,0
PSON.L,D,19881107,000000,623.9260,623.9260,623.9260,623.9260,0,0
PSON.L,D,19881108,000000,624.8070,624.8070,624.8070,624.8070,0,0
PSON.L,D,19881109,000000,616.8750,616.8750,616.8750,616.8750,0,0
PSON.L,D,19881110,000000,616.8750,616.8750,616.8750,616.8750,0,0
PSON.L,D,19881111,000000,619.5190,619.5190,619.5190,619.5190,0,0
PSON.L,D,19881114,000000,620.4000,620.4000,620.4000,620.4000,0,0
PSON.L,D,19881115,000000,623.9260,623.9260,623.9260,623.9260,0,0
PSON.L,D,19881116,000000,623.0440,623.0440,623.0440,623.0440,0,0
PSON.L,D,19881117,000000,621.2820,621.2820,621.2820,621.2820,0,0
PSON.L,D,19881118,000000,622.1630,622.1630,622.1630,622.1630,0,0
PSON.L,D,19881121,000000,618.6380,618.6380,618.6380,618.6380,0,0
PSON.L,D,19881122,000000,619.5190,619.5190,619.5190,619.5190,0,0
PSON.L,D,19881123,000000,622.1630,622.1630,622.1630,622.1630,0,0
PSON.L,D,19881124,000000,620.4000,620.4000,620.4000,620.4000,0,0
PSON.L,D,19881125,000000,598.3660,598.3660,598.3660,598.3660,0,0
PSON.L,D,19881128,000000,589.5520,589.5520,589.5520,589.5520,0,0
PSON.L,D,19881129,000000,589.5520,589.5520,589.5520,589.5520,0,0
PSON.L,D,19881130,000000,597.4850,597.4850,597.4850,597.4850,0,0
PSON.L,D,19881201,000000,590.4340,590.4340,590.4340,590.4340,0,0
PSON.L,D,19881202,000000,582.5010,582.5010,582.5010,582.5010,0,0
PSON.L,D,19881205,000000,580.7380,580.7380,580.7380,580.7380,0,0
PSON.L,D,19881206,000000,578.0940,578.0940,578.0940,578.0940,0,0
PSON.L,D,19881207,000000,567.5180,567.5180,567.5180,567.5180,0,0
PSON.L,D,19881208,000000,563.1110,563.1110,563.1110,563.1110,0,0
PSON.L,D,19881209,000000,552.5340,552.5340,552.5340,552.5340,0,0
PSON.L,D,19881212,000000,551.6530,551.6530,551.6530,551.6530,0,0
PSON.L,D,19881213,000000,556.0600,556.0600,556.0600,556.0600,0,0
PSON.L,D,19881214,000000,553.4160,553.4160,553.4160,553.4160,0,0
PSON.L,D,19881215,000000,556.0600,556.0600,556.0600,556.0600,0,0
PSON.L,D,19881216,000000,563.1110,563.1110,563.1110,563.1110,0,0
PSON.L,D,19881219,000000,563.1110,563.1110,563.1110,563.1110,0,0
PSON.L,D,19881220,000000,563.1110,563.1110,563.1110,563.1110,0,0
PSON.L,D,19881221,000000,563.9920,563.9920,563.9920,563.9920,0,0
PSON.L,D,19881222,000000,557.8230,557.8230,557.8230,557.8230,0,0
PSON.L,D,19881223,000000,557.8230,557.8230,557.8230,557.8230,0,0
PSON.L,D,19881226,000000,557.8230,557.8230,557.8230,557.8230,0,0
PSON.L,D,19881227,000000,557.8230,557.8230,557.8230,557.8230,0,0
PSON.L,D,19881228,000000,562.2300,562.2300,562.2300,562.2300,0,0
PSON.L,D,19881229,000000,569.2810,569.2810,569.2810,569.2810,0,0
PSON.L,D,19881230,000000,569.2810,569.2810,569.2810,569.2810,0,0
PSON.L,D,19890102,000000,569.2810,569.2810,569.2810,569.2810,0,0
PSON.L,D,19890103,000000,565.7550,565.7550,565.7550,565.7550,0,0
PSON.L,D,19890104,000000,563.1110,563.1110,563.1110,563.1110,0,0
PSON.L,D,19890105,000000,566.6360,566.6360,566.6360,566.6360,0,0
PSON.L,D,19890106,000000,580.7380,580.7380,580.7380,580.7380,0,0
PSON.L,D,19890109,000000,586.9080,586.9080,586.9080,586.9080,0,0
PSON.L,D,19890110,000000,583.3830,583.3830,583.3830,583.3830,0,0
PSON.L,D,19890111,000000,586.9080,586.9080,586.9080,586.9080,0,0
PSON.L,D,19890112,000000,589.5520,589.5520,589.5520,589.5520,0,0
PSON.L,D,19890113,000000,599.2470,599.2470,599.2470,599.2470,0,0
PSON.L,D,19890116,000000,589.5520,589.5520,589.5520,589.5520,0,0
PSON.L,D,19890117,000000,584.2640,584.2640,584.2640,584.2640,0,0
PSON.L,D,19890118,000000,589.5520,589.5520,589.5520,589.5520,0,0
PSON.L,D,19890119,000000,593.0780,593.0780,593.0780,593.0780,0,0
PSON.L,D,19890120,000000,589.5520,589.5520,589.5520,589.5520,0,0
PSON.L,D,19890123,000000,590.4340,590.4340,590.4340,590.4340,0,0
PSON.L,D,19890124,000000,592.1960,592.1960,592.1960,592.1960,0,0
PSON.L,D,19890125,000000,601.8910,601.8910,601.8910,601.8910,0,0
PSON.L,D,19890126,000000,610.7050,610.7050,610.7050,610.7050,0,0
PSON.L,D,19890127,000000,633.6210,633.6210,633.6210,633.6210,0,0
PSON.L,D,19890130,000000,630.0950,630.0950,630.0950,630.0950,0,0
PSON.L,D,19890131,000000,642.4350,642.4350,642.4350,642.4350,0,0
PSON.L,D,19890201,000000,638.9090,638.9090,638.9090,638.9090,0,0
PSON.L,D,19890202,000000,645.0790,645.0790,645.0790,645.0790,0,0
PSON.L,D,19890203,000000,651.2480,651.2480,651.2480,651.2480,0,0
PSON.L,D,19890206,000000,643.3160,643.3160,643.3160,643.3160,0,0
PSON.L,D,19890207,000000,662.7060,662.7060,662.7060,662.7060,0,0
PSON.L,D,19890208,000000,654.7740,654.7740,654.7740,654.7740,0,0
PSON.L,D,19890209,000000,629.2140,629.2140,629.2140,629.2140,0,0
PSON.L,D,19890210,000000,616.8750,616.8750,616.8750,616.8750,0,0
PSON.L,D,19890213,000000,615.9930,615.9930,615.9930,615.9930,0,0
PSON.L,D,19890214,000000,616.8750,616.8750,616.8750,616.8750,0,0
PSON.L,D,19890215,000000,617.7560,617.7560,617.7560,617.7560,0,0
PSON.L,D,19890216,000000,615.9930,615.9930,615.9930,615.9930,0,0
PSON.L,D,19890217,000000,617.7560,617.7560,617.7560,617.7560,0,0
PSON.L,D,19890220,000000,629.2140,629.2140,629.2140,629.2140,0,0
PSON.L,D,19890221,000000,617.7560,617.7560,617.7560,617.7560,0,0
PSON.L,D,19890222,000000,617.7560,617.7560,617.7560,617.7560,0,0
PSON.L,D,19890223,000000,617.7560,617.7560,617.7560,617.7560,0,0
PSON.L,D,19890224,000000,615.1120,615.1120,615.1120,615.1120,0,0
PSON.L,D,19890227,000000,611.5870,611.5870,611.5870,611.5870,0,0
PSON.L,D,19890228,000000,613.3490,613.3490,613.3490,613.3490,0,0
PSON.L,D,19890301,000000,612.4680,612.4680,612.4680,612.4680,0,0
PSON.L,D,19890302,000000,632.7400,632.7400,632.7400,632.7400,0,0
PSON.L,D,19890303,000000,629.2140,629.2140,629.2140,629.2140,0,0
PSON.L,D,19890306,000000,625.6890,625.6890,625.6890,625.6890,0,0
PSON.L,D,19890307,000000,630.0950,630.0950,630.0950,630.0950,0,0
PSON.L,D,19890308,000000,629.2140,629.2140,629.2140,629.2140,0,0
PSON.L,D,19890309,000000,623.9260,623.9260,623.9260,623.9260,0,0
PSON.L,D,19890310,000000,621.2820,621.2820,621.2820,621.2820,0,0
