<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RDSA.L,D,20050715,000000,1840.0000,1840.0000,1817.0000,1835.0000,331400,0
RDSA.L,D,20050718,000000,1828.0000,1845.0000,1817.0000,1829.5000,821700,0
RDSA.L,D,20050719,000000,1834.0000,1839.0000,1824.5000,1824.5000,0,0
RDSA.L,D,20050720,000000,1846.0000,1872.0000,1806.5000,1806.5000,45680600,0
RDSA.L,D,20050721,000000,1822.5000,1845.6801,1766.2900,1798.5000,21549000,0
RDSA.L,D,20050722,000000,1790.0000,1843.8400,1767.1200,1795.0000,19618300,0
RDSA.L,D,20050725,000000,1811.0000,2061.0000,1793.7900,1798.0000,20530800,0
RDSA.L,D,20050726,000000,1794.0000,1816.0000,1782.3900,1794.0000,17777300,0
RDSA.L,D,20050727,000000,1795.0000,1799.0000,1782.0000,1790.0000,21887500,0
RDSA.L,D,20050728,000000,1717.0000,1790.0000,1701.0000,1708.0000,0,0
RDSA.L,D,20050729,000000,1765.0000,1820.0000,1762.0000,1806.0000,23611400,0
RDSA.L,D,20050801,000000,1806.0000,1840.0000,1760.0000,1835.0000,10049200,0
RDSA.L,D,20050802,000000,1840.0000,1863.0000,1840.0000,1853.0000,15561500,0
RDSA.L,D,20050803,000000,1784.0000,1864.9000,1771.0000,1800.0000,0,0
RDSA.L,D,20050804,000000,1792.0000,1793.0000,1790.0000,1790.0000,0,0
RDSA.L,D,20050805,000000,1840.0000,1861.0000,1839.0000,1855.0000,7451600,0
RDSA.L,D,20050808,000000,1865.0000,1871.0000,1855.0000,1868.0000,9099800,0
RDSA.L,D,20050809,000000,1866.0000,1921.0000,1800.6000,1909.0000,16848300,0
RDSA.L,D,20050810,000000,1909.0000,1947.0000,1909.0000,1936.0000,11467500,0
RDSA.L,D,20050811,000000,1957.0000,1978.8900,1945.0000,1945.0000,10660200,0
RDSA.L,D,20050812,000000,1943.0000,1948.0000,1922.0000,1923.0000,6268500,0
RDSA.L,D,20050815,000000,1928.0000,1932.0000,1914.0000,1920.0000,4559600,0
RDSA.L,D,20050816,000000,1851.0000,1940.5601,1821.0000,1823.0000,0,0
RDSA.L,D,20050817,000000,1890.0000,1890.9000,1873.0000,1883.0000,8836300,0
RDSA.L,D,20050818,000000,1865.0000,1875.0000,1838.0000,1840.0000,9778700,0
RDSA.L,D,20050819,000000,1845.0000,1872.3600,1834.0000,1866.0000,7958100,0
RDSA.L,D,20050822,000000,1874.0000,1879.0000,1857.0000,1859.0000,5510900,0
RDSA.L,D,20050823,000000,1784.0000,1863.7900,1772.0000,1773.0000,0,0
RDSA.L,D,20050824,000000,1835.0000,1845.0000,1821.0000,1831.0000,11658300,0
RDSA.L,D,20050825,000000,1831.0000,1847.0000,1826.0000,1826.0000,4012000,0
RDSA.L,D,20050826,000000,1766.0000,1849.0000,1758.0000,1764.0000,0,0
RDSA.L,D,20050829,000000,1824.0000,1824.0000,1824.0000,1824.0000,0,0
RDSA.L,D,20050830,000000,1816.0000,1842.0000,1816.0000,1842.0000,4512600,0
RDSA.L,D,20050831,000000,1847.0000,1889.0000,1840.0000,1881.0000,11038900,0
RDSA.L,D,20050901,000000,1883.0000,1905.0000,1853.0000,1897.0000,10277900,0
RDSA.L,D,20050902,000000,1826.0000,1827.0000,1807.0000,1807.0000,0,0
RDSA.L,D,20050905,000000,1873.0000,1887.0000,1866.0000,1879.0000,3686400,0
RDSA.L,D,20050906,000000,1876.0000,1886.0000,874.4300,1870.0000,3832900,0
RDSA.L,D,20050907,000000,1810.0000,1810.0000,1776.0000,1776.0000,0,0
RDSA.L,D,20050908,000000,1844.0000,1844.0000,1817.0000,1818.0000,7117900,0
RDSA.L,D,20050909,000000,1823.0000,1838.6400,1818.0000,1834.0000,7372500,0
RDSA.L,D,20050912,000000,1838.0000,1843.0000,1828.0000,1831.0000,8284200,0
RDSA.L,D,20050913,000000,1830.0000,1816.0000,1804.1899,1816.0000,7220100,0
RDSA.L,D,20050914,000000,1811.0000,1820.0000,1805.5000,1820.0000,10997600,0
RDSA.L,D,20050915,000000,1764.0000,1891.0000,1759.0000,1803.0000,0,0
RDSA.L,D,20050916,000000,1799.0000,1824.0000,1818.0000,1818.0000,0,0
RDSA.L,D,20050919,000000,1885.0000,1920.0000,1872.0000,1916.0000,5534700,0
RDSA.L,D,20050920,000000,1919.0000,1943.8199,1915.0000,1915.0000,13748000,0
RDSA.L,D,20050921,000000,1907.0000,1931.0000,1907.0000,1914.0000,9463700,0
RDSA.L,D,20050922,000000,1911.0000,1944.0000,1904.0000,1933.0000,7670600,0
RDSA.L,D,20050923,000000,1927.0000,1931.0000,1904.0000,1914.0000,5650400,0
RDSA.L,D,20050926,000000,1823.0000,1915.0000,1809.0000,1830.0000,0,0
RDSA.L,D,20050927,000000,1933.0000,1953.0000,1913.0000,1915.0000,12324800,0
RDSA.L,D,20050928,000000,1842.0000,1860.0000,1859.0000,1859.0000,0,0
RDSA.L,D,20050929,000000,1864.0000,1959.0000,1860.0000,1872.0000,0,0
RDSA.L,D,20050930,000000,1961.0000,1978.0000,1948.0000,1958.0000,9059000,0
RDSA.L,D,20051003,000000,1957.0000,1881.0000,1864.0000,1875.0000,0,0
RDSA.L,D,20051004,000000,1951.0000,1959.0000,1910.0000,1919.0000,13012400,0
RDSA.L,D,20051005,000000,1888.0000,1933.0601,1869.4100,1890.0000,11638800,0
RDSA.L,D,20051006,000000,1787.0000,1791.0000,1782.0000,1782.0000,0,0
RDSA.L,D,20051007,000000,1775.0000,1804.0000,1790.0000,1790.0000,0,0
RDSA.L,D,20051010,000000,1875.0000,1889.0000,1862.0000,1865.0000,7072600,0
RDSA.L,D,20051011,000000,1870.0000,1886.0000,1857.0000,1862.0000,14440000,0
RDSA.L,D,20051012,000000,1873.0000,1873.0000,1840.0000,1840.0000,9907400,0
