<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
REL.L,D,19880701,000000,355.5030,355.5030,355.5030,355.5030,0,0
REL.L,D,19880704,000000,349.4680,349.4680,349.4680,349.4680,0,0
REL.L,D,19880705,000000,360.3130,360.3130,360.3130,360.3130,0,0
REL.L,D,19880706,000000,361.1870,361.1870,361.1870,361.1870,0,0
REL.L,D,19880707,000000,358.5640,358.5640,358.5640,358.5640,0,0
REL.L,D,19880708,000000,366.4350,366.4350,366.4350,366.4350,0,0
REL.L,D,19880711,000000,363.8100,363.8100,363.8100,363.8100,0,0
REL.L,D,19880712,000000,355.9390,355.9390,355.9390,355.9390,0,0
REL.L,D,19880713,000000,361.1870,361.1870,361.1870,361.1870,0,0
REL.L,D,19880714,000000,361.1870,361.1870,361.1870,361.1870,0,0
REL.L,D,19880715,000000,356.8140,356.8140,356.8140,356.8140,0,0
REL.L,D,19880718,000000,354.1910,354.1910,354.1910,354.1910,0,0
REL.L,D,19880719,000000,354.1910,354.1910,354.1910,354.1910,0,0
REL.L,D,19880720,000000,370.8060,370.8060,370.8060,370.8060,0,0
REL.L,D,19880721,000000,367.3090,367.3090,367.3090,367.3090,0,0
REL.L,D,19880722,000000,375.1800,375.1800,375.1800,375.1800,0,0
REL.L,D,19880725,000000,376.0540,376.0540,376.0540,376.0540,0,0
REL.L,D,19880726,000000,375.1800,375.1800,375.1800,375.1800,0,0
REL.L,D,19880727,000000,387.4240,387.4240,387.4240,387.4240,0,0
REL.L,D,19880728,000000,404.9140,404.9140,404.9140,404.9140,0,0
REL.L,D,19880729,000000,409.2870,409.2870,409.2870,409.2870,0,0
REL.L,D,19880801,000000,409.2870,409.2870,409.2870,409.2870,0,0
REL.L,D,19880802,000000,402.2910,402.2910,402.2910,402.2910,0,0
REL.L,D,19880803,000000,397.0430,397.0430,397.0430,397.0430,0,0
REL.L,D,19880804,000000,396.1690,396.1690,396.1690,396.1690,0,0
REL.L,D,19880805,000000,397.0430,397.0430,397.0430,397.0430,0,0
REL.L,D,19880808,000000,397.0430,397.0430,397.0430,397.0430,0,0
REL.L,D,19880809,000000,390.0470,390.0470,390.0470,390.0470,0,0
REL.L,D,19880810,000000,381.3020,381.3020,381.3020,381.3020,0,0
REL.L,D,19880811,000000,378.6790,378.6790,378.6790,378.6790,0,0
REL.L,D,19880812,000000,382.1760,382.1760,382.1760,382.1760,0,0
REL.L,D,19880815,000000,376.9280,376.9280,376.9280,376.9280,0,0
REL.L,D,19880816,000000,380.4270,380.4270,380.4270,380.4270,0,0
REL.L,D,19880817,000000,380.4270,380.4270,380.4270,380.4270,0,0
REL.L,D,19880818,000000,380.4270,380.4270,380.4270,380.4270,0,0
REL.L,D,19880819,000000,388.2980,388.2980,388.2980,388.2980,0,0
REL.L,D,19880822,000000,384.7990,384.7990,384.7990,384.7990,0,0
REL.L,D,19880823,000000,381.3020,381.3020,381.3020,381.3020,0,0
REL.L,D,19880824,000000,375.1800,375.1800,375.1800,375.1800,0,0
REL.L,D,19880825,000000,368.1830,368.1830,368.1830,368.1830,0,0
REL.L,D,19880826,000000,360.3130,360.3130,360.3130,360.3130,0,0
REL.L,D,19880829,000000,360.3130,360.3130,360.3130,360.3130,0,0
REL.L,D,19880830,000000,350.6930,350.6930,350.6930,350.6930,0,0
REL.L,D,19880831,000000,351.5680,351.5680,351.5680,351.5680,0,0
REL.L,D,19880901,000000,343.6970,343.6970,343.6970,343.6970,0,0
REL.L,D,19880902,000000,351.5680,351.5680,351.5680,351.5680,0,0
REL.L,D,19880905,000000,354.1910,354.1910,354.1910,354.1910,0,0
REL.L,D,19880906,000000,357.6900,357.6900,357.6900,357.6900,0,0
REL.L,D,19880907,000000,352.4420,352.4420,352.4420,352.4420,0,0
REL.L,D,19880908,000000,349.8170,349.8170,349.8170,349.8170,0,0
REL.L,D,19880909,000000,347.1940,347.1940,347.1940,347.1940,0,0
REL.L,D,19880912,000000,348.9430,348.9430,348.9430,348.9430,0,0
REL.L,D,19880913,000000,351.5680,351.5680,351.5680,351.5680,0,0
REL.L,D,19880914,000000,358.5640,358.5640,358.5640,358.5640,0,0
REL.L,D,19880915,000000,359.4380,359.4380,359.4380,359.4380,0,0
REL.L,D,19880916,000000,355.9390,355.9390,355.9390,355.9390,0,0
REL.L,D,19880919,000000,349.8170,349.8170,349.8170,349.8170,0,0
REL.L,D,19880920,000000,355.9390,355.9390,355.9390,355.9390,0,0
REL.L,D,19880921,000000,354.1910,354.1910,354.1910,354.1910,0,0
REL.L,D,19880922,000000,351.5680,351.5680,351.5680,351.5680,0,0
REL.L,D,19880923,000000,348.9430,348.9430,348.9430,348.9430,0,0
REL.L,D,19880926,000000,348.9430,348.9430,348.9430,348.9430,0,0
REL.L,D,19880927,000000,352.4420,352.4420,352.4420,352.4420,0,0
REL.L,D,19880928,000000,365.1220,365.1220,365.1220,365.1220,0,0
REL.L,D,19880929,000000,370.8060,370.8060,370.8060,370.8060,0,0
REL.L,D,19880930,000000,366.4350,366.4350,366.4350,366.4350,0,0
REL.L,D,19881003,000000,362.0610,362.0610,362.0610,362.0610,0,0
REL.L,D,19881004,000000,358.5640,358.5640,358.5640,358.5640,0,0
REL.L,D,19881005,000000,361.1870,361.1870,361.1870,361.1870,0,0
REL.L,D,19881006,000000,362.9360,362.9360,362.9360,362.9360,0,0
REL.L,D,19881007,000000,366.4350,366.4350,366.4350,366.4350,0,0
REL.L,D,19881010,000000,362.9360,362.9360,362.9360,362.9360,0,0
REL.L,D,19881011,000000,358.5640,358.5640,358.5640,358.5640,0,0
REL.L,D,19881012,000000,353.3160,353.3160,353.3160,353.3160,0,0
REL.L,D,19881013,000000,352.4420,352.4420,352.4420,352.4420,0,0
REL.L,D,19881014,000000,355.9390,355.9390,355.9390,355.9390,0,0
REL.L,D,19881017,000000,364.6860,364.6860,364.6860,364.6860,0,0
REL.L,D,19881018,000000,363.8100,363.8100,363.8100,363.8100,0,0
REL.L,D,19881019,000000,362.0610,362.0610,362.0610,362.0610,0,0
REL.L,D,19881020,000000,359.4380,359.4380,359.4380,359.4380,0,0
REL.L,D,19881021,000000,355.9390,355.9390,355.9390,355.9390,0,0
REL.L,D,19881024,000000,355.9390,355.9390,355.9390,355.9390,0,0
REL.L,D,19881025,000000,360.3130,360.3130,360.3130,360.3130,0,0
REL.L,D,19881026,000000,362.9360,362.9360,362.9360,362.9360,0,0
REL.L,D,19881027,000000,361.1870,361.1870,361.1870,361.1870,0,0
REL.L,D,19881028,000000,365.5600,365.5600,365.5600,365.5600,0,0
