<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RNK.L,D,19880701,000000,549.1910,549.1910,549.1910,549.1910,0,0
RNK.L,D,19880704,000000,552.9280,552.9280,552.9280,552.9280,0,0
RNK.L,D,19880705,000000,549.9360,549.9360,549.9360,549.9360,0,0
RNK.L,D,19880706,000000,554.4220,554.4220,554.4220,554.4220,0,0
RNK.L,D,19880707,000000,547.6970,547.6970,547.6970,547.6970,0,0
RNK.L,D,19880708,000000,547.6970,547.6970,547.6970,547.6970,0,0
RNK.L,D,19880711,000000,545.4540,545.4540,545.4540,545.4540,0,0
RNK.L,D,19880712,000000,547.6970,547.6970,547.6970,547.6970,0,0
RNK.L,D,19880713,000000,550.6850,550.6850,550.6850,550.6850,0,0
RNK.L,D,19880714,000000,549.1910,549.1910,549.1910,549.1910,0,0
RNK.L,D,19880715,000000,540.9720,540.9720,540.9720,540.9720,0,0
RNK.L,D,19880718,000000,536.4860,536.4860,536.4860,536.4860,0,0
RNK.L,D,19880719,000000,534.2470,534.2470,534.2470,534.2470,0,0
RNK.L,D,19880720,000000,542.4660,542.4660,542.4660,542.4660,0,0
RNK.L,D,19880721,000000,540.2230,540.2230,540.2230,540.2230,0,0
RNK.L,D,19880722,000000,534.2470,534.2470,534.2470,534.2470,0,0
RNK.L,D,19880725,000000,532.7530,532.7530,532.7530,532.7530,0,0
RNK.L,D,19880726,000000,527.5220,527.5220,527.5220,527.5220,0,0
RNK.L,D,19880727,000000,526.0280,526.0280,526.0280,526.0280,0,0
RNK.L,D,19880728,000000,529.7620,529.7620,529.7620,529.7620,0,0
RNK.L,D,19880729,000000,529.7620,529.7620,529.7620,529.7620,0,0
RNK.L,D,19880801,000000,536.4860,536.4860,536.4860,536.4860,0,0
RNK.L,D,19880802,000000,536.4860,536.4860,536.4860,536.4860,0,0
RNK.L,D,19880803,000000,538.7290,538.7290,538.7290,538.7290,0,0
RNK.L,D,19880804,000000,540.9720,540.9720,540.9720,540.9720,0,0
RNK.L,D,19880805,000000,543.9600,543.9600,543.9600,543.9600,0,0
RNK.L,D,19880808,000000,540.9720,540.9720,540.9720,540.9720,0,0
RNK.L,D,19880809,000000,540.9720,540.9720,540.9720,540.9720,0,0
RNK.L,D,19880810,000000,536.4860,536.4860,536.4860,536.4860,0,0
RNK.L,D,19880811,000000,532.0040,532.0040,532.0040,532.0040,0,0
RNK.L,D,19880812,000000,532.0040,532.0040,532.0040,532.0040,0,0
RNK.L,D,19880815,000000,523.7860,523.7860,523.7860,523.7860,0,0
RNK.L,D,19880816,000000,532.7530,532.7530,532.7530,532.7530,0,0
RNK.L,D,19880817,000000,534.9920,534.9920,534.9920,534.9920,0,0
RNK.L,D,19880818,000000,532.7530,532.7530,532.7530,532.7530,0,0
RNK.L,D,19880819,000000,531.2590,531.2590,531.2590,531.2590,0,0
RNK.L,D,19880822,000000,529.7620,529.7620,529.7620,529.7620,0,0
RNK.L,D,19880823,000000,526.7740,526.7740,526.7740,526.7740,0,0
RNK.L,D,19880824,000000,528.2680,528.2680,528.2680,528.2680,0,0
RNK.L,D,19880825,000000,523.0400,523.0400,523.0400,523.0400,0,0
RNK.L,D,19880826,000000,522.2920,522.2920,522.2920,522.2920,0,0
RNK.L,D,19880829,000000,522.2920,522.2920,522.2920,522.2920,0,0
RNK.L,D,19880830,000000,511.0850,511.0850,511.0850,511.0850,0,0
RNK.L,D,19880831,000000,505.1050,505.1050,505.1050,505.1050,0,0
RNK.L,D,19880901,000000,489.4160,489.4160,489.4160,489.4160,0,0
RNK.L,D,19880902,000000,487.1740,487.1740,487.1740,487.1740,0,0
RNK.L,D,19880905,000000,487.9190,487.9190,487.9190,487.9190,0,0
RNK.L,D,19880906,000000,491.6560,491.6560,491.6560,491.6560,0,0
RNK.L,D,19880907,000000,487.9190,487.9190,487.9190,487.9190,0,0
RNK.L,D,19880908,000000,476.7120,476.7120,476.7120,476.7120,0,0
RNK.L,D,19880909,000000,466.2500,466.2500,466.2500,466.2500,0,0
RNK.L,D,19880912,000000,467.7440,467.7440,467.7440,467.7440,0,0
RNK.L,D,19880913,000000,472.2300,472.2300,472.2300,472.2300,0,0
RNK.L,D,19880914,000000,479.7000,479.7000,479.7000,479.7000,0,0
RNK.L,D,19880915,000000,486.4250,486.4250,486.4250,486.4250,0,0
RNK.L,D,19880916,000000,485.6800,485.6800,485.6800,485.6800,0,0
RNK.L,D,19880919,000000,484.1860,484.1860,484.1860,484.1860,0,0
RNK.L,D,19880920,000000,487.9190,487.9190,487.9190,487.9190,0,0
RNK.L,D,19880921,000000,503.6110,503.6110,503.6110,503.6110,0,0
RNK.L,D,19880922,000000,501.3680,501.3680,501.3680,501.3680,0,0
RNK.L,D,19880923,000000,499.8740,499.8740,499.8740,499.8740,0,0
RNK.L,D,19880926,000000,504.3600,504.3600,504.3600,504.3600,0,0
RNK.L,D,19880927,000000,515.5670,515.5670,515.5670,515.5670,0,0
RNK.L,D,19880928,000000,520.7980,520.7980,520.7980,520.7980,0,0
RNK.L,D,19880929,000000,525.2800,525.2800,525.2800,525.2800,0,0
RNK.L,D,19880930,000000,530.5100,530.5100,530.5100,530.5100,0,0
RNK.L,D,19881003,000000,523.7860,523.7860,523.7860,523.7860,0,0
RNK.L,D,19881004,000000,527.5220,527.5220,527.5220,527.5220,0,0
RNK.L,D,19881005,000000,529.7620,529.7620,529.7620,529.7620,0,0
RNK.L,D,19881006,000000,536.4860,536.4860,536.4860,536.4860,0,0
RNK.L,D,19881007,000000,537.9840,537.9840,537.9840,537.9840,0,0
RNK.L,D,19881010,000000,537.2350,537.2350,537.2350,537.2350,0,0
RNK.L,D,19881011,000000,538.7290,538.7290,538.7290,538.7290,0,0
RNK.L,D,19881012,000000,533.4980,533.4980,533.4980,533.4980,0,0
RNK.L,D,19881013,000000,537.2350,537.2350,537.2350,537.2350,0,0
RNK.L,D,19881014,000000,537.2350,537.2350,537.2350,537.2350,0,0
RNK.L,D,19881017,000000,539.4780,539.4780,539.4780,539.4780,0,0
RNK.L,D,19881018,000000,539.4780,539.4780,539.4780,539.4780,0,0
RNK.L,D,19881019,000000,540.2230,540.2230,540.2230,540.2230,0,0
RNK.L,D,19881020,000000,539.4780,539.4780,539.4780,539.4780,0,0
RNK.L,D,19881021,000000,541.7170,541.7170,541.7170,541.7170,0,0
RNK.L,D,19881024,000000,540.2230,540.2230,540.2230,540.2230,0,0
RNK.L,D,19881025,000000,537.9840,537.9840,537.9840,537.9840,0,0
RNK.L,D,19881026,000000,544.7090,544.7090,544.7090,544.7090,0,0
RNK.L,D,19881027,000000,546.2030,546.2030,546.2030,546.2030,0,0
RNK.L,D,19881028,000000,549.1910,549.1910,549.1910,549.1910,0,0
RNK.L,D,19881031,000000,550.6850,550.6850,550.6850,550.6850,0,0
RNK.L,D,19881101,000000,557.4100,557.4100,557.4100,557.4100,0,0
RNK.L,D,19881102,000000,557.4100,557.4100,557.4100,557.4100,0,0
RNK.L,D,19881103,000000,551.4340,551.4340,551.4340,551.4340,0,0
RNK.L,D,19881104,000000,551.4340,551.4340,551.4340,551.4340,0,0
RNK.L,D,19881107,000000,551.4340,551.4340,551.4340,551.4340,0,0
RNK.L,D,19881108,000000,551.4340,551.4340,551.4340,551.4340,0,0
RNK.L,D,19881109,000000,549.1910,549.1910,549.1910,549.1910,0,0
RNK.L,D,19881110,000000,549.1910,549.1910,549.1910,549.1910,0,0
RNK.L,D,19881111,000000,545.4540,545.4540,545.4540,545.4540,0,0
RNK.L,D,19881114,000000,541.7170,541.7170,541.7170,541.7170,0,0
RNK.L,D,19881115,000000,541.7170,541.7170,541.7170,541.7170,0,0
RNK.L,D,19881116,000000,540.2230,540.2230,540.2230,540.2230,0,0
RNK.L,D,19881117,000000,542.4660,542.4660,542.4660,542.4660,0,0
RNK.L,D,19881118,000000,545.4540,545.4540,545.4540,545.4540,0,0
RNK.L,D,19881121,000000,542.4660,542.4660,542.4660,542.4660,0,0
RNK.L,D,19881122,000000,543.9600,543.9600,543.9600,543.9600,0,0
RNK.L,D,19881123,000000,547.6970,547.6970,547.6970,547.6970,0,0
RNK.L,D,19881124,000000,546.2030,546.2030,546.2030,546.2030,0,0
RNK.L,D,19881125,000000,534.9920,534.9920,534.9920,534.9920,0,0
RNK.L,D,19881128,000000,526.7740,526.7740,526.7740,526.7740,0,0
RNK.L,D,19881129,000000,523.0400,523.0400,523.0400,523.0400,0,0
RNK.L,D,19881130,000000,517.0610,517.0610,517.0610,517.0610,0,0
RNK.L,D,19881201,000000,511.8300,511.8300,511.8300,511.8300,0,0
RNK.L,D,19881202,000000,509.5910,509.5910,509.5910,509.5910,0,0
RNK.L,D,19881205,000000,510.3360,510.3360,510.3360,510.3360,0,0
RNK.L,D,19881206,000000,514.0730,514.0730,514.0730,514.0730,0,0
RNK.L,D,19881207,000000,514.8180,514.8180,514.8180,514.8180,0,0
RNK.L,D,19881208,000000,505.1050,505.1050,505.1050,505.1050,0,0
RNK.L,D,19881209,000000,494.6440,494.6440,494.6440,494.6440,0,0
RNK.L,D,19881212,000000,495.3920,495.3920,495.3920,495.3920,0,0
RNK.L,D,19881213,000000,500.6230,500.6230,500.6230,500.6230,0,0
RNK.L,D,19881214,000000,499.8740,499.8740,499.8740,499.8740,0,0
RNK.L,D,19881215,000000,508.0930,508.0930,508.0930,508.0930,0,0
RNK.L,D,19881216,000000,518.5550,518.5550,518.5550,518.5550,0,0
RNK.L,D,19881219,000000,525.2800,525.2800,525.2800,525.2800,0,0
RNK.L,D,19881220,000000,533.4980,533.4980,533.4980,533.4980,0,0
RNK.L,D,19881221,000000,534.9920,534.9920,534.9920,534.9920,0,0
RNK.L,D,19881222,000000,534.9920,534.9920,534.9920,534.9920,0,0
RNK.L,D,19881223,000000,537.9840,537.9840,537.9840,537.9840,0,0
RNK.L,D,19881226,000000,537.9840,537.9840,537.9840,537.9840,0,0
RNK.L,D,19881227,000000,537.9840,537.9840,537.9840,537.9840,0,0
RNK.L,D,19881228,000000,542.4660,542.4660,542.4660,542.4660,0,0
RNK.L,D,19881229,000000,551.4340,551.4340,551.4340,551.4340,0,0
RNK.L,D,19881230,000000,550.6850,550.6850,550.6850,550.6850,0,0
RNK.L,D,19890102,000000,550.6850,550.6850,550.6850,550.6850,0,0
RNK.L,D,19890103,000000,546.9480,546.9480,546.9480,546.9480,0,0
RNK.L,D,19890104,000000,549.1910,549.1910,549.1910,549.1910,0,0
RNK.L,D,19890105,000000,548.4420,548.4420,548.4420,548.4420,0,0
