<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SHI.L,D,19890517,000000,122.3210,122.3210,122.3210,122.3210,0,0
SHI.L,D,19890518,000000,146.7850,146.7850,146.7850,146.7850,0,0
SHI.L,D,19890519,000000,145.8070,145.8070,145.8070,145.8070,0,0
SHI.L,D,19890522,000000,144.8280,144.8280,144.8280,144.8280,0,0
SHI.L,D,19890523,000000,144.8280,144.8280,144.8280,144.8280,0,0
SHI.L,D,19890524,000000,141.8930,141.8930,141.8930,141.8930,0,0
SHI.L,D,19890525,000000,140.9140,140.9140,140.9140,140.9140,0,0
SHI.L,D,19890526,000000,141.8930,141.8930,141.8930,141.8930,0,0
SHI.L,D,19890529,000000,141.8930,141.8930,141.8930,141.8930,0,0
SHI.L,D,19890530,000000,142.8710,142.8710,142.8710,142.8710,0,0
SHI.L,D,19890531,000000,137.9780,137.9780,137.9780,137.9780,0,0
SHI.L,D,19890601,000000,137.9780,137.9780,137.9780,137.9780,0,0
SHI.L,D,19890602,000000,140.9140,140.9140,140.9140,140.9140,0,0
SHI.L,D,19890605,000000,138.9570,138.9570,138.9570,138.9570,0,0
SHI.L,D,19890606,000000,139.9350,139.9350,139.9350,139.9350,0,0
SHI.L,D,19890607,000000,139.9350,139.9350,139.9350,139.9350,0,0
SHI.L,D,19890608,000000,137.9780,137.9780,137.9780,137.9780,0,0
SHI.L,D,19890609,000000,137.0000,137.0000,137.0000,137.0000,0,0
SHI.L,D,19890612,000000,135.0430,135.0430,135.0430,135.0430,0,0
SHI.L,D,19890613,000000,134.0640,134.0640,134.0640,134.0640,0,0
SHI.L,D,19890614,000000,133.0850,133.0850,133.0850,133.0850,0,0
SHI.L,D,19890615,000000,132.1070,132.1070,132.1070,132.1070,0,0
SHI.L,D,19890616,000000,134.0640,134.0640,134.0640,134.0640,0,0
SHI.L,D,19890619,000000,135.0430,135.0430,135.0430,135.0430,0,0
SHI.L,D,19890620,000000,136.0210,136.0210,136.0210,136.0210,0,0
SHI.L,D,19890621,000000,136.0210,136.0210,136.0210,136.0210,0,0
SHI.L,D,19890622,000000,139.9350,139.9350,139.9350,139.9350,0,0
SHI.L,D,19890623,000000,144.8280,144.8280,144.8280,144.8280,0,0
SHI.L,D,19890626,000000,144.8280,144.8280,144.8280,144.8280,0,0
SHI.L,D,19890627,000000,144.8280,144.8280,144.8280,144.8280,0,0
SHI.L,D,19890628,000000,146.7850,146.7850,146.7850,146.7850,0,0
SHI.L,D,19890629,000000,147.7640,147.7640,147.7640,147.7640,0,0
SHI.L,D,19890630,000000,146.7850,146.7850,146.7850,146.7850,0,0
SHI.L,D,19890703,000000,147.7640,147.7640,147.7640,147.7640,0,0
SHI.L,D,19890704,000000,146.7850,146.7850,146.7850,146.7850,0,0
SHI.L,D,19890705,000000,146.7850,146.7850,146.7850,146.7850,0,0
SHI.L,D,19890706,000000,146.7850,146.7850,146.7850,146.7850,0,0
SHI.L,D,19890707,000000,147.7640,147.7640,147.7640,147.7640,0,0
SHI.L,D,19890710,000000,146.7850,146.7850,146.7850,146.7850,0,0
SHI.L,D,19890711,000000,147.7640,147.7640,147.7640,147.7640,0,0
SHI.L,D,19890712,000000,147.7640,147.7640,147.7640,147.7640,0,0
SHI.L,D,19890713,000000,142.8710,142.8710,142.8710,142.8710,0,0
SHI.L,D,19890714,000000,142.8710,142.8710,142.8710,142.8710,0,0
SHI.L,D,19890717,000000,141.8930,141.8930,141.8930,141.8930,0,0
SHI.L,D,19890718,000000,142.8710,142.8710,142.8710,142.8710,0,0
SHI.L,D,19890719,000000,141.8930,141.8930,141.8930,141.8930,0,0
SHI.L,D,19890720,000000,142.8710,142.8710,142.8710,142.8710,0,0
SHI.L,D,19890721,000000,139.9350,139.9350,139.9350,139.9350,0,0
SHI.L,D,19890724,000000,138.9570,138.9570,138.9570,138.9570,0,0
SHI.L,D,19890725,000000,137.9780,137.9780,137.9780,137.9780,0,0
SHI.L,D,19890726,000000,137.9780,137.9780,137.9780,137.9780,0,0
SHI.L,D,19890727,000000,138.9570,138.9570,138.9570,138.9570,0,0
SHI.L,D,19890728,000000,138.9570,138.9570,138.9570,138.9570,0,0
SHI.L,D,19890731,000000,138.9570,138.9570,138.9570,138.9570,0,0
SHI.L,D,19890801,000000,137.9780,137.9780,137.9780,137.9780,0,0
SHI.L,D,19890802,000000,137.9780,137.9780,137.9780,137.9780,0,0
SHI.L,D,19890803,000000,137.9780,137.9780,137.9780,137.9780,0,0
SHI.L,D,19890804,000000,137.0000,137.0000,137.0000,137.0000,0,0
SHI.L,D,19890807,000000,137.0000,137.0000,137.0000,137.0000,0,0
SHI.L,D,19890808,000000,137.9780,137.9780,137.9780,137.9780,0,0
SHI.L,D,19890809,000000,137.0000,137.0000,137.0000,137.0000,0,0
SHI.L,D,19890810,000000,137.0000,137.0000,137.0000,137.0000,0,0
SHI.L,D,19890811,000000,135.0430,135.0430,135.0430,135.0430,0,0
SHI.L,D,19890814,000000,133.0850,133.0850,133.0850,133.0850,0,0
SHI.L,D,19890815,000000,133.0850,133.0850,133.0850,133.0850,0,0
SHI.L,D,19890816,000000,133.0850,133.0850,133.0850,133.0850,0,0
SHI.L,D,19890817,000000,133.0850,133.0850,133.0850,133.0850,0,0
SHI.L,D,19890818,000000,133.0850,133.0850,133.0850,133.0850,0,0
SHI.L,D,19890821,000000,133.0850,133.0850,133.0850,133.0850,0,0
SHI.L,D,19890822,000000,133.0850,133.0850,133.0850,133.0850,0,0
SHI.L,D,19890823,000000,128.1930,128.1930,128.1930,128.1930,0,0
SHI.L,D,19890824,000000,128.1930,128.1930,128.1930,128.1930,0,0
SHI.L,D,19890825,000000,128.1930,128.1930,128.1930,128.1930,0,0
SHI.L,D,19890828,000000,128.1930,128.1930,128.1930,128.1930,0,0
SHI.L,D,19890829,000000,128.1930,128.1930,128.1930,128.1930,0,0
SHI.L,D,19890830,000000,128.1930,128.1930,128.1930,128.1930,0,0
SHI.L,D,19890831,000000,128.1930,128.1930,128.1930,128.1930,0,0
SHI.L,D,19890901,000000,129.1710,129.1710,129.1710,129.1710,0,0
SHI.L,D,19890904,000000,130.1500,130.1500,130.1500,130.1500,0,0
SHI.L,D,19890905,000000,130.1500,130.1500,130.1500,130.1500,0,0
SHI.L,D,19890906,000000,129.1710,129.1710,129.1710,129.1710,0,0
SHI.L,D,19890907,000000,130.1500,130.1500,130.1500,130.1500,0,0
SHI.L,D,19890908,000000,130.1500,130.1500,130.1500,130.1500,0,0
SHI.L,D,19890911,000000,130.1500,130.1500,130.1500,130.1500,0,0
SHI.L,D,19890912,000000,130.1500,130.1500,130.1500,130.1500,0,0
SHI.L,D,19890913,000000,129.1710,129.1710,129.1710,129.1710,0,0
SHI.L,D,19890914,000000,129.1710,129.1710,129.1710,129.1710,0,0
SHI.L,D,19890915,000000,129.1710,129.1710,129.1710,129.1710,0,0
SHI.L,D,19890918,000000,129.1710,129.1710,129.1710,129.1710,0,0
SHI.L,D,19890919,000000,129.1710,129.1710,129.1710,129.1710,0,0
SHI.L,D,19890920,000000,129.1710,129.1710,129.1710,129.1710,0,0
SHI.L,D,19890921,000000,129.1710,129.1710,129.1710,129.1710,0,0
SHI.L,D,19890922,000000,129.1710,129.1710,129.1710,129.1710,0,0
SHI.L,D,19890925,000000,130.1500,130.1500,130.1500,130.1500,0,0
SHI.L,D,19890926,000000,131.1280,131.1280,131.1280,131.1280,0,0
SHI.L,D,19890927,000000,133.0850,133.0850,133.0850,133.0850,0,0
SHI.L,D,19890928,000000,132.1070,132.1070,132.1070,132.1070,0,0
SHI.L,D,19890929,000000,132.1070,132.1070,132.1070,132.1070,0,0
SHI.L,D,19891002,000000,132.1070,132.1070,132.1070,132.1070,0,0
SHI.L,D,19891003,000000,132.1070,132.1070,132.1070,132.1070,0,0
SHI.L,D,19891004,000000,134.0640,134.0640,134.0640,134.0640,0,0
SHI.L,D,19891005,000000,133.0850,133.0850,133.0850,133.0850,0,0
SHI.L,D,19891006,000000,132.1070,132.1070,132.1070,132.1070,0,0
SHI.L,D,19891009,000000,130.1500,130.1500,130.1500,130.1500,0,0
SHI.L,D,19891010,000000,129.1710,129.1710,129.1710,129.1710,0,0
SHI.L,D,19891011,000000,126.2350,126.2350,126.2350,126.2350,0,0
SHI.L,D,19891012,000000,126.2350,126.2350,126.2350,126.2350,0,0
SHI.L,D,19891013,000000,125.2570,125.2570,125.2570,125.2570,0,0
SHI.L,D,19891016,000000,114.4930,114.4930,114.4930,114.4930,0,0
SHI.L,D,19891017,000000,118.4070,118.4070,118.4070,118.4070,0,0
SHI.L,D,19891018,000000,123.3000,123.3000,123.3000,123.3000,0,0
SHI.L,D,19891019,000000,124.2780,124.2780,124.2780,124.2780,0,0
