<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SHP.L,D,19960215,000000,218.0000,218.0000,218.0000,218.0000,6946200,0
SHP.L,D,19960216,000000,222.0000,222.0000,222.0000,222.0000,1617200,0
SHP.L,D,19960219,000000,221.0000,221.0000,221.0000,221.0000,233600,0
SHP.L,D,19960220,000000,211.0000,211.0000,211.0000,211.0000,486900,0
SHP.L,D,19960221,000000,209.0000,209.0000,209.0000,209.0000,83700,0
SHP.L,D,19960222,000000,206.0000,206.0000,206.0000,206.0000,1619100,0
SHP.L,D,19960223,000000,203.0000,203.0000,203.0000,203.0000,126300,0
SHP.L,D,19960226,000000,202.0000,202.0000,202.0000,202.0000,221600,0
SHP.L,D,19960227,000000,201.0000,201.0000,201.0000,201.0000,314800,0
SHP.L,D,19960228,000000,201.0000,201.0000,201.0000,201.0000,281700,0
SHP.L,D,19960229,000000,205.0000,205.0000,205.0000,205.0000,391900,0
SHP.L,D,19960301,000000,202.0000,202.0000,202.0000,202.0000,278800,0
SHP.L,D,19960304,000000,204.0000,204.0000,204.0000,204.0000,223700,0
SHP.L,D,19960305,000000,206.0000,206.0000,206.0000,206.0000,663900,0
SHP.L,D,19960306,000000,205.0000,205.0000,205.0000,205.0000,71400,0
SHP.L,D,19960307,000000,205.0000,205.0000,205.0000,205.0000,45100,0
SHP.L,D,19960308,000000,202.0000,202.0000,202.0000,202.0000,99400,0
SHP.L,D,19960311,000000,197.0000,197.0000,197.0000,197.0000,226800,0
SHP.L,D,19960312,000000,200.0000,200.0000,200.0000,200.0000,459200,0
SHP.L,D,19960313,000000,200.0000,200.0000,200.0000,200.0000,311100,0
SHP.L,D,19960314,000000,200.0000,200.0000,200.0000,200.0000,167700,0
SHP.L,D,19960315,000000,198.0000,198.0000,198.0000,198.0000,332000,0
SHP.L,D,19960318,000000,196.0000,196.0000,196.0000,196.0000,67500,0
SHP.L,D,19960319,000000,191.0000,191.0000,191.0000,191.0000,229300,0
SHP.L,D,19960320,000000,183.0000,183.0000,183.0000,183.0000,257400,0
SHP.L,D,19960321,000000,188.0000,188.0000,188.0000,188.0000,115600,0
SHP.L,D,19960322,000000,185.0000,185.0000,185.0000,185.0000,48200,0
SHP.L,D,19960325,000000,197.0000,197.0000,197.0000,197.0000,260600,0
SHP.L,D,19960326,000000,193.0000,193.0000,193.0000,193.0000,174100,0
SHP.L,D,19960327,000000,196.0000,196.0000,196.0000,196.0000,191300,0
SHP.L,D,19960328,000000,196.0000,196.0000,196.0000,196.0000,65700,0
SHP.L,D,19960329,000000,196.0000,196.0000,196.0000,196.0000,144100,0
SHP.L,D,19960401,000000,196.0000,196.0000,196.0000,196.0000,58500,0
SHP.L,D,19960402,000000,198.0000,198.0000,198.0000,198.0000,65000,0
SHP.L,D,19960403,000000,200.0000,200.0000,200.0000,200.0000,117700,0
SHP.L,D,19960404,000000,200.0000,200.0000,200.0000,200.0000,61600,0
SHP.L,D,19960405,000000,200.0000,200.0000,200.0000,200.0000,0,0
SHP.L,D,19960408,000000,200.0000,200.0000,200.0000,200.0000,0,0
SHP.L,D,19960409,000000,198.0000,198.0000,198.0000,198.0000,32800,0
SHP.L,D,19960410,000000,198.0000,198.0000,198.0000,198.0000,242800,0
SHP.L,D,19960411,000000,198.0000,198.0000,198.0000,198.0000,53400,0
SHP.L,D,19960412,000000,197.0000,197.0000,197.0000,197.0000,362400,0
SHP.L,D,19960415,000000,201.0000,201.0000,201.0000,201.0000,45300,0
SHP.L,D,19960416,000000,202.0000,202.0000,202.0000,202.0000,51400,0
SHP.L,D,19960417,000000,206.0000,206.0000,206.0000,206.0000,118800,0
SHP.L,D,19960418,000000,206.0000,206.0000,206.0000,206.0000,431300,0
SHP.L,D,19960419,000000,206.0000,206.0000,206.0000,206.0000,18800,0
SHP.L,D,19960422,000000,206.0000,206.0000,206.0000,206.0000,11600,0
SHP.L,D,19960423,000000,207.0000,207.0000,207.0000,207.0000,38000,0
SHP.L,D,19960424,000000,206.0000,206.0000,206.0000,206.0000,446200,0
SHP.L,D,19960425,000000,207.0000,207.0000,207.0000,207.0000,13600,0
SHP.L,D,19960426,000000,210.0000,210.0000,210.0000,210.0000,210500,0
SHP.L,D,19960429,000000,209.0000,209.0000,209.0000,209.0000,45000,0
SHP.L,D,19960430,000000,208.0000,208.0000,208.0000,208.0000,635900,0
SHP.L,D,19960501,000000,207.0000,207.0000,207.0000,207.0000,368500,0
SHP.L,D,19960502,000000,206.0000,206.0000,206.0000,206.0000,134900,0
SHP.L,D,19960503,000000,200.0000,200.0000,200.0000,200.0000,65500,0
SHP.L,D,19960506,000000,200.0000,200.0000,200.0000,200.0000,0,0
SHP.L,D,19960507,000000,198.0000,198.0000,198.0000,198.0000,110800,0
SHP.L,D,19960508,000000,193.0000,193.0000,193.0000,193.0000,127300,0
SHP.L,D,19960509,000000,188.0000,188.0000,188.0000,188.0000,32100,0
SHP.L,D,19960510,000000,188.0000,188.0000,188.0000,188.0000,12500,0
SHP.L,D,19960513,000000,200.0000,200.0000,200.0000,200.0000,274200,0
SHP.L,D,19960514,000000,200.0000,200.0000,200.0000,200.0000,17700,0
SHP.L,D,19960515,000000,200.0000,200.0000,200.0000,200.0000,68600,0
SHP.L,D,19960516,000000,206.0000,206.0000,206.0000,206.0000,108700,0
SHP.L,D,19960517,000000,203.0000,203.0000,203.0000,203.0000,45800,0
SHP.L,D,19960520,000000,201.0000,201.0000,201.0000,201.0000,310000,0
SHP.L,D,19960521,000000,221.0000,221.0000,221.0000,221.0000,1473400,0
