<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SMIN.L,D,19880701,000000,167.6990,167.6990,167.6990,167.6990,0,0
SMIN.L,D,19880704,000000,169.3110,169.3110,169.3110,169.3110,0,0
SMIN.L,D,19880705,000000,170.9230,170.9230,170.9230,170.9230,0,0
SMIN.L,D,19880706,000000,169.3110,169.3110,169.3110,169.3110,0,0
SMIN.L,D,19880707,000000,167.0530,167.0530,167.0530,167.0530,0,0
SMIN.L,D,19880708,000000,174.1490,174.1490,174.1490,174.1490,0,0
SMIN.L,D,19880711,000000,173.5030,173.5030,173.5030,173.5030,0,0
SMIN.L,D,19880712,000000,175.4390,175.4390,175.4390,175.4390,0,0
SMIN.L,D,19880713,000000,176.7290,176.7290,176.7290,176.7290,0,0
SMIN.L,D,19880714,000000,178.0190,178.0190,178.0190,178.0190,0,0
SMIN.L,D,19880715,000000,176.7290,176.7290,176.7290,176.7290,0,0
SMIN.L,D,19880718,000000,174.7930,174.7930,174.7930,174.7930,0,0
SMIN.L,D,19880719,000000,174.1490,174.1490,174.1490,174.1490,0,0
SMIN.L,D,19880720,000000,174.1490,174.1490,174.1490,174.1490,0,0
SMIN.L,D,19880721,000000,174.1490,174.1490,174.1490,174.1490,0,0
SMIN.L,D,19880722,000000,170.9230,170.9230,170.9230,170.9230,0,0
SMIN.L,D,19880725,000000,167.0530,167.0530,167.0530,167.0530,0,0
SMIN.L,D,19880726,000000,165.1190,165.1190,165.1190,165.1190,0,0
SMIN.L,D,19880727,000000,161.8940,161.8940,161.8940,161.8940,0,0
SMIN.L,D,19880728,000000,162.5390,162.5390,162.5390,162.5390,0,0
SMIN.L,D,19880729,000000,163.1840,163.1840,163.1840,163.1840,0,0
SMIN.L,D,19880801,000000,165.1190,165.1190,165.1190,165.1190,0,0
SMIN.L,D,19880802,000000,168.9890,168.9890,168.9890,168.9890,0,0
SMIN.L,D,19880803,000000,172.2130,172.2130,172.2130,172.2130,0,0
SMIN.L,D,19880804,000000,172.2130,172.2130,172.2130,172.2130,0,0
SMIN.L,D,19880805,000000,175.4390,175.4390,175.4390,175.4390,0,0
SMIN.L,D,19880808,000000,178.0190,178.0190,178.0190,178.0190,0,0
SMIN.L,D,19880809,000000,174.1490,174.1490,174.1490,174.1490,0,0
SMIN.L,D,19880810,000000,166.4090,166.4090,166.4090,166.4090,0,0
SMIN.L,D,19880811,000000,164.4740,164.4740,164.4740,164.4740,0,0
SMIN.L,D,19880812,000000,164.4740,164.4740,164.4740,164.4740,0,0
SMIN.L,D,19880815,000000,160.6040,160.6040,160.6040,160.6040,0,0
SMIN.L,D,19880816,000000,165.7640,165.7640,165.7640,165.7640,0,0
SMIN.L,D,19880817,000000,165.7640,165.7640,165.7640,165.7640,0,0
SMIN.L,D,19880818,000000,163.1840,163.1840,163.1840,163.1840,0,0
SMIN.L,D,19880819,000000,163.1840,163.1840,163.1840,163.1840,0,0
SMIN.L,D,19880822,000000,159.9590,159.9590,159.9590,159.9590,0,0
SMIN.L,D,19880823,000000,156.7340,156.7340,156.7340,156.7340,0,0
SMIN.L,D,19880824,000000,158.6690,158.6690,158.6690,158.6690,0,0
SMIN.L,D,19880825,000000,151.5740,151.5740,151.5740,151.5740,0,0
SMIN.L,D,19880826,000000,151.2510,151.2510,151.2510,151.2510,0,0
SMIN.L,D,19880829,000000,151.2510,151.2510,151.2510,151.2510,0,0
SMIN.L,D,19880830,000000,147.0590,147.0590,147.0590,147.0590,0,0
SMIN.L,D,19880831,000000,147.0590,147.0590,147.0590,147.0590,0,0
SMIN.L,D,19880901,000000,146.4140,146.4140,146.4140,146.4140,0,0
SMIN.L,D,19880902,000000,148.9940,148.9940,148.9940,148.9940,0,0
SMIN.L,D,19880905,000000,152.2190,152.2190,152.2190,152.2190,0,0
SMIN.L,D,19880906,000000,156.0890,156.0890,156.0890,156.0890,0,0
SMIN.L,D,19880907,000000,155.4440,155.4440,155.4440,155.4440,0,0
SMIN.L,D,19880908,000000,154.1540,154.1540,154.1540,154.1540,0,0
SMIN.L,D,19880909,000000,155.4440,155.4440,155.4440,155.4440,0,0
SMIN.L,D,19880912,000000,154.7990,154.7990,154.7990,154.7990,0,0
SMIN.L,D,19880913,000000,154.7990,154.7990,154.7990,154.7990,0,0
SMIN.L,D,19880914,000000,154.1540,154.1540,154.1540,154.1540,0,0
SMIN.L,D,19880915,000000,153.8310,153.8310,153.8310,153.8310,0,0
SMIN.L,D,19880916,000000,153.5090,153.5090,153.5090,153.5090,0,0
SMIN.L,D,19880919,000000,155.4440,155.4440,155.4440,155.4440,0,0
SMIN.L,D,19880920,000000,157.3790,157.3790,157.3790,157.3790,0,0
SMIN.L,D,19880921,000000,161.8940,161.8940,161.8940,161.8940,0,0
SMIN.L,D,19880922,000000,161.2490,161.2490,161.2490,161.2490,0,0
SMIN.L,D,19880923,000000,160.6040,160.6040,160.6040,160.6040,0,0
SMIN.L,D,19880926,000000,161.8940,161.8940,161.8940,161.8940,0,0
SMIN.L,D,19880927,000000,164.7960,164.7960,164.7960,164.7960,0,0
SMIN.L,D,19880928,000000,167.6990,167.6990,167.6990,167.6990,0,0
