<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
STJ.L,D,19900828,000000,69.0000,69.0000,69.0000,69.0000,0,0
STJ.L,D,19900829,000000,72.0000,72.0000,72.0000,72.0000,0,0
STJ.L,D,19900830,000000,72.0000,72.0000,72.0000,72.0000,0,0
STJ.L,D,19900831,000000,72.0000,72.0000,72.0000,72.0000,0,0
STJ.L,D,19900903,000000,70.0000,70.0000,70.0000,70.0000,0,0
STJ.L,D,19900904,000000,67.0000,67.0000,67.0000,67.0000,0,0
STJ.L,D,19900905,000000,66.0000,66.0000,66.0000,66.0000,0,0
STJ.L,D,19900906,000000,64.0000,64.0000,64.0000,64.0000,0,0
STJ.L,D,19900907,000000,65.0000,65.0000,65.0000,65.0000,0,0
STJ.L,D,19900910,000000,65.0000,65.0000,65.0000,65.0000,0,0
STJ.L,D,19900911,000000,65.0000,65.0000,65.0000,65.0000,0,0
STJ.L,D,19900912,000000,64.0000,64.0000,64.0000,64.0000,0,0
STJ.L,D,19900913,000000,64.0000,64.0000,64.0000,64.0000,0,0
STJ.L,D,19900914,000000,63.0000,63.0000,63.0000,63.0000,0,0
STJ.L,D,19900917,000000,62.0000,62.0000,62.0000,62.0000,0,0
STJ.L,D,19900918,000000,62.0000,62.0000,62.0000,62.0000,0,0
STJ.L,D,19900919,000000,62.0000,62.0000,62.0000,62.0000,0,0
STJ.L,D,19900920,000000,62.0000,62.0000,62.0000,62.0000,0,0
STJ.L,D,19900921,000000,62.0000,62.0000,62.0000,62.0000,0,0
STJ.L,D,19900924,000000,62.0000,62.0000,62.0000,62.0000,0,0
STJ.L,D,19900925,000000,62.5000,62.5000,62.5000,62.5000,0,0
STJ.L,D,19900926,000000,63.0000,63.0000,63.0000,63.0000,0,0
STJ.L,D,19900927,000000,63.0000,63.0000,63.0000,63.0000,0,0
STJ.L,D,19900928,000000,63.0000,63.0000,63.0000,63.0000,0,0
STJ.L,D,19901001,000000,63.0000,63.0000,63.0000,63.0000,0,0
STJ.L,D,19901002,000000,63.0000,63.0000,63.0000,63.0000,0,0
STJ.L,D,19901003,000000,63.0000,63.0000,63.0000,63.0000,0,0
STJ.L,D,19901004,000000,64.0000,64.0000,64.0000,64.0000,0,0
STJ.L,D,19901005,000000,65.0000,65.0000,65.0000,65.0000,0,0
STJ.L,D,19901008,000000,66.0000,66.0000,66.0000,66.0000,0,0
STJ.L,D,19901009,000000,65.0000,65.0000,65.0000,65.0000,0,0
STJ.L,D,19901010,000000,64.0000,64.0000,64.0000,64.0000,0,0
STJ.L,D,19901011,000000,63.0000,63.0000,63.0000,63.0000,0,0
STJ.L,D,19901012,000000,63.0000,63.0000,63.0000,63.0000,0,0
STJ.L,D,19901015,000000,63.0000,63.0000,63.0000,63.0000,0,0
STJ.L,D,19901016,000000,63.0000,63.0000,63.0000,63.0000,0,0
STJ.L,D,19901017,000000,64.0000,64.0000,64.0000,64.0000,0,0
STJ.L,D,19901018,000000,64.0000,64.0000,64.0000,64.0000,0,0
STJ.L,D,19901019,000000,64.0000,64.0000,64.0000,64.0000,0,0
STJ.L,D,19901022,000000,65.0000,65.0000,65.0000,65.0000,0,0
STJ.L,D,19901023,000000,65.0000,65.0000,65.0000,65.0000,0,0
STJ.L,D,19901024,000000,66.0000,66.0000,66.0000,66.0000,0,0
STJ.L,D,19901025,000000,66.0000,66.0000,66.0000,66.0000,0,0
STJ.L,D,19901026,000000,66.0000,66.0000,66.0000,66.0000,0,0
STJ.L,D,19901029,000000,67.0000,67.0000,67.0000,67.0000,0,0
STJ.L,D,19901030,000000,66.0000,66.0000,66.0000,66.0000,0,0
STJ.L,D,19901031,000000,66.0000,66.0000,66.0000,66.0000,0,0
STJ.L,D,19901101,000000,66.0000,66.0000,66.0000,66.0000,0,0
STJ.L,D,19901102,000000,65.0000,65.0000,65.0000,65.0000,0,0
STJ.L,D,19901105,000000,63.0000,63.0000,63.0000,63.0000,0,0
STJ.L,D,19901106,000000,63.0000,63.0000,63.0000,63.0000,0,0
STJ.L,D,19901107,000000,64.0000,64.0000,64.0000,64.0000,0,0
STJ.L,D,19901108,000000,66.0000,66.0000,66.0000,66.0000,0,0
STJ.L,D,19901109,000000,66.0000,66.0000,66.0000,66.0000,0,0
STJ.L,D,19901112,000000,66.0000,66.0000,66.0000,66.0000,0,0
STJ.L,D,19901113,000000,65.0000,65.0000,65.0000,65.0000,0,0
STJ.L,D,19901114,000000,65.0000,65.0000,65.0000,65.0000,0,0
STJ.L,D,19901115,000000,65.0000,65.0000,65.0000,65.0000,0,0
STJ.L,D,19901116,000000,65.0000,65.0000,65.0000,65.0000,0,0
STJ.L,D,19901119,000000,66.0000,66.0000,66.0000,66.0000,0,0
STJ.L,D,19901120,000000,66.0000,66.0000,66.0000,66.0000,0,0
STJ.L,D,19901121,000000,67.0000,67.0000,67.0000,67.0000,0,0
STJ.L,D,19901122,000000,67.0000,67.0000,67.0000,67.0000,0,0
STJ.L,D,19901123,000000,69.0000,69.0000,69.0000,69.0000,0,0
STJ.L,D,19901126,000000,69.0000,69.0000,69.0000,69.0000,0,0
STJ.L,D,19901127,000000,68.0000,68.0000,68.0000,68.0000,0,0
STJ.L,D,19901128,000000,68.0000,68.0000,68.0000,68.0000,0,0
STJ.L,D,19901129,000000,68.0000,68.0000,68.0000,68.0000,0,0
