<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TLW.L,D,19890329,000000,1955.3000,1955.3000,1955.3000,1955.3000,0,0
TLW.L,D,19890411,000000,1857.5000,1857.5000,1857.5000,1857.5000,0,0
TLW.L,D,19890501,000000,1857.5000,1857.5000,1857.5000,1857.5000,0,0
TLW.L,D,19890523,000000,1710.9000,1710.9000,1710.9000,1710.9000,0,0
TLW.L,D,19890529,000000,1710.9000,1710.9000,1710.9000,1710.9000,0,0
TLW.L,D,19890531,000000,1662.0000,1662.0000,1662.0000,1662.0000,0,0
TLW.L,D,19890614,000000,1466.5000,1466.5000,1466.5000,1466.5000,0,0
TLW.L,D,19890620,000000,1564.2000,1564.2000,1564.2000,1564.2000,0,0
TLW.L,D,19890627,000000,1710.9000,1710.9000,1710.9000,1710.9000,0,0
TLW.L,D,19890628,000000,1613.1000,1613.1000,1613.1000,1613.1000,0,0
TLW.L,D,19890825,000000,1808.7000,1808.7000,1808.7000,1808.7000,0,0
TLW.L,D,19890828,000000,1808.7000,1808.7000,1808.7000,1808.7000,0,0
TLW.L,D,19890915,000000,1808.7000,1808.7000,1808.7000,1808.7000,0,0
TLW.L,D,19890918,000000,1808.7000,1808.7000,1808.7000,1808.7000,0,0
TLW.L,D,19890922,000000,1906.4000,1906.4000,1906.4000,1906.4000,0,0
TLW.L,D,19891004,000000,1808.7000,1808.7000,1808.7000,1808.7000,0,0
TLW.L,D,19891005,000000,1710.9000,1710.9000,1710.9000,1710.9000,0,0
TLW.L,D,19891009,000000,1710.9000,1710.9000,1710.9000,1710.9000,0,0
TLW.L,D,19891010,000000,1662.0000,1662.0000,1662.0000,1662.0000,0,0
TLW.L,D,19891011,000000,1710.9000,1710.9000,1710.9000,1710.9000,0,0
TLW.L,D,19891012,000000,1662.0000,1662.0000,1662.0000,1662.0000,0,0
TLW.L,D,19891013,000000,1662.0000,1662.0000,1662.0000,1662.0000,0,0
TLW.L,D,19891016,000000,1515.4000,1515.4000,1515.4000,1515.4000,0,0
TLW.L,D,19891017,000000,1564.2000,1564.2000,1564.2000,1564.2000,0,0
TLW.L,D,19891018,000000,1564.2000,1564.2000,1564.2000,1564.2000,0,0
TLW.L,D,19891019,000000,1564.2000,1564.2000,1564.2000,1564.2000,0,0
TLW.L,D,19891020,000000,1564.2000,1564.2000,1564.2000,1564.2000,0,0
TLW.L,D,19891023,000000,1564.2000,1564.2000,1564.2000,1564.2000,0,0
TLW.L,D,19891024,000000,1564.2000,1564.2000,1564.2000,1564.2000,0,0
TLW.L,D,19891025,000000,1564.2000,1564.2000,1564.2000,1564.2000,0,0
TLW.L,D,19891026,000000,1613.1000,1613.1000,1613.1000,1613.1000,0,0
TLW.L,D,19891027,000000,1515.4000,1515.4000,1515.4000,1515.4000,0,0
TLW.L,D,19891030,000000,1564.2000,1564.2000,1564.2000,1564.2000,0,0
TLW.L,D,19891031,000000,1564.2000,1564.2000,1564.2000,1564.2000,0,0
TLW.L,D,19891101,000000,1613.1000,1613.1000,1613.1000,1613.1000,0,0
TLW.L,D,19891102,000000,1564.2000,1564.2000,1564.2000,1564.2000,0,0
TLW.L,D,19891103,000000,1613.1000,1613.1000,1613.1000,1613.1000,0,0
TLW.L,D,19891106,000000,1613.1000,1613.1000,1613.1000,1613.1000,0,0
TLW.L,D,19891107,000000,1564.2000,1564.2000,1564.2000,1564.2000,0,0
