<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VSVS.L,D,19880701,000000,1561.4100,1561.4100,1561.4100,1561.4100,0,0
VSVS.L,D,19880704,000000,1555.6899,1555.6899,1555.6899,1555.6899,0,0
VSVS.L,D,19880705,000000,1487.0601,1487.0601,1487.0601,1487.0601,0,0
VSVS.L,D,19880706,000000,1572.8500,1572.8500,1572.8500,1572.8500,0,0
VSVS.L,D,19880707,000000,1527.0900,1527.0900,1527.0900,1527.0900,0,0
VSVS.L,D,19880708,000000,1509.9301,1509.9301,1509.9301,1509.9301,0,0
VSVS.L,D,19880711,000000,1544.2500,1544.2500,1544.2500,1544.2500,0,0
VSVS.L,D,19880712,000000,1515.6500,1515.6500,1515.6500,1515.6500,0,0
VSVS.L,D,19880713,000000,1532.8101,1532.8101,1532.8101,1532.8101,0,0
VSVS.L,D,19880714,000000,1498.5000,1498.5000,1498.5000,1498.5000,0,0
VSVS.L,D,19880715,000000,1515.6500,1515.6500,1515.6500,1515.6500,0,0
VSVS.L,D,19880718,000000,1498.5000,1498.5000,1498.5000,1498.5000,0,0
VSVS.L,D,19880719,000000,1475.6200,1475.6200,1475.6200,1475.6200,0,0
VSVS.L,D,19880720,000000,1509.9301,1509.9301,1509.9301,1509.9301,0,0
VSVS.L,D,19880721,000000,1521.3800,1521.3800,1521.3800,1521.3800,0,0
VSVS.L,D,19880722,000000,1509.9301,1509.9301,1509.9301,1509.9301,0,0
VSVS.L,D,19880725,000000,1532.8101,1532.8101,1532.8101,1532.8101,0,0
VSVS.L,D,19880726,000000,1509.9301,1509.9301,1509.9301,1509.9301,0,0
VSVS.L,D,19880727,000000,1527.0900,1527.0900,1527.0900,1527.0900,0,0
VSVS.L,D,19880728,000000,1504.2100,1504.2100,1504.2100,1504.2100,0,0
VSVS.L,D,19880729,000000,1498.5000,1498.5000,1498.5000,1498.5000,0,0
VSVS.L,D,19880801,000000,1509.9301,1509.9301,1509.9301,1509.9301,0,0
VSVS.L,D,19880802,000000,1481.3400,1481.3400,1481.3400,1481.3400,0,0
VSVS.L,D,19880803,000000,1481.3400,1481.3400,1481.3400,1481.3400,0,0
VSVS.L,D,19880804,000000,1464.1801,1464.1801,1464.1801,1464.1801,0,0
VSVS.L,D,19880805,000000,1469.9000,1469.9000,1469.9000,1469.9000,0,0
VSVS.L,D,19880808,000000,1481.3400,1481.3400,1481.3400,1481.3400,0,0
VSVS.L,D,19880809,000000,1452.7400,1452.7400,1452.7400,1452.7400,0,0
VSVS.L,D,19880810,000000,1441.3000,1441.3000,1441.3000,1441.3000,0,0
VSVS.L,D,19880811,000000,1469.9000,1469.9000,1469.9000,1469.9000,0,0
VSVS.L,D,19880812,000000,1487.0601,1487.0601,1487.0601,1487.0601,0,0
VSVS.L,D,19880815,000000,1469.9000,1469.9000,1469.9000,1469.9000,0,0
VSVS.L,D,19880816,000000,1481.3400,1481.3400,1481.3400,1481.3400,0,0
VSVS.L,D,19880817,000000,1475.6200,1475.6200,1475.6200,1475.6200,0,0
VSVS.L,D,19880818,000000,1481.3400,1481.3400,1481.3400,1481.3400,0,0
VSVS.L,D,19880819,000000,1492.7800,1492.7800,1492.7800,1492.7800,0,0
VSVS.L,D,19880822,000000,1469.9000,1469.9000,1469.9000,1469.9000,0,0
VSVS.L,D,19880823,000000,1447.0200,1447.0200,1447.0200,1447.0200,0,0
VSVS.L,D,19880824,000000,1452.7400,1452.7400,1452.7400,1452.7400,0,0
VSVS.L,D,19880825,000000,1395.5500,1395.5500,1395.5500,1395.5500,0,0
VSVS.L,D,19880826,000000,1366.9500,1366.9500,1366.9500,1366.9500,0,0
VSVS.L,D,19880829,000000,1366.9500,1366.9500,1366.9500,1366.9500,0,0
VSVS.L,D,19880830,000000,1361.2300,1361.2300,1361.2300,1361.2300,0,0
VSVS.L,D,19880831,000000,1366.9500,1366.9500,1366.9500,1366.9500,0,0
VSVS.L,D,19880901,000000,1355.5100,1355.5100,1355.5100,1355.5100,0,0
VSVS.L,D,19880902,000000,1384.1000,1384.1000,1384.1000,1384.1000,0,0
VSVS.L,D,19880905,000000,1429.8700,1429.8700,1429.8700,1429.8700,0,0
VSVS.L,D,19880906,000000,1441.3000,1441.3000,1441.3000,1441.3000,0,0
VSVS.L,D,19880907,000000,1441.3000,1441.3000,1441.3000,1441.3000,0,0
VSVS.L,D,19880908,000000,1412.7000,1412.7000,1412.7000,1412.7000,0,0
VSVS.L,D,19880909,000000,1401.2700,1401.2700,1401.2700,1401.2700,0,0
VSVS.L,D,19880912,000000,1395.5500,1395.5500,1395.5500,1395.5500,0,0
VSVS.L,D,19880913,000000,1401.2700,1401.2700,1401.2700,1401.2700,0,0
VSVS.L,D,19880914,000000,1406.9800,1406.9800,1406.9800,1406.9800,0,0
VSVS.L,D,19880915,000000,1406.9800,1406.9800,1406.9800,1406.9800,0,0
VSVS.L,D,19880916,000000,1389.8199,1389.8199,1389.8199,1389.8199,0,0
VSVS.L,D,19880919,000000,1389.8199,1389.8199,1389.8199,1389.8199,0,0
VSVS.L,D,19880920,000000,1406.9800,1406.9800,1406.9800,1406.9800,0,0
VSVS.L,D,19880921,000000,1475.6200,1475.6200,1475.6200,1475.6200,0,0
VSVS.L,D,19880922,000000,1469.9000,1469.9000,1469.9000,1469.9000,0,0
VSVS.L,D,19880923,000000,1464.1801,1464.1801,1464.1801,1464.1801,0,0
VSVS.L,D,19880926,000000,1469.9000,1469.9000,1469.9000,1469.9000,0,0
VSVS.L,D,19880927,000000,1475.6200,1475.6200,1475.6200,1475.6200,0,0
VSVS.L,D,19880928,000000,1487.0601,1487.0601,1487.0601,1487.0601,0,0
VSVS.L,D,19880929,000000,1492.7800,1492.7800,1492.7800,1492.7800,0,0
VSVS.L,D,19880930,000000,1515.6500,1515.6500,1515.6500,1515.6500,0,0
VSVS.L,D,19881003,000000,1472.7600,1472.7600,1472.7600,1472.7600,0,0
VSVS.L,D,19881004,000000,1509.9301,1509.9301,1509.9301,1509.9301,0,0
