<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^FTSE,D,19840103,000000,997.5000,1001.4000,997.5000,997.5000,0,0
^FTSE,D,19840104,000000,997.5000,999.5000,993.3000,998.6000,0,0
^FTSE,D,19840105,000000,1007.1000,1015.8000,1007.1000,1015.8000,0,0
^FTSE,D,19840106,000000,1019.0000,1029.3000,1019.0000,1029.0000,0,0
^FTSE,D,19840109,000000,1030.6000,1035.4000,1030.6000,1034.6000,0,0
^FTSE,D,19840110,000000,1034.6000,1034.9000,1029.9000,1034.3000,0,0
^FTSE,D,19840111,000000,1033.6000,1033.6000,1021.4000,1023.4000,0,0
^FTSE,D,19840112,000000,1023.4000,1031.3000,1020.2000,1031.3000,0,0
^FTSE,D,19840113,000000,1033.1000,1042.7000,1033.1000,1042.7000,0,0
^FTSE,D,19840116,000000,1042.7000,1046.0000,1039.1000,1046.0000,0,0
^FTSE,D,19840117,000000,1044.4000,1044.4000,1036.2000,1041.9000,0,0
^FTSE,D,19840118,000000,1044.4000,1058.7000,1044.4000,1058.7000,0,0
^FTSE,D,19840119,000000,1058.7000,1060.2000,1053.9000,1057.8000,0,0
^FTSE,D,19840120,000000,1057.8000,1060.6000,1056.2000,1059.0000,0,0
^FTSE,D,19840123,000000,1059.0000,1059.0000,1046.3000,1046.8000,0,0
^FTSE,D,19840124,000000,1046.8000,1055.2000,1039.9000,1055.2000,0,0
^FTSE,D,19840125,000000,1058.2000,1073.5000,1058.2000,1073.5000,0,0
^FTSE,D,19840126,000000,1073.5000,1074.8000,1069.0000,1072.1000,0,0
^FTSE,D,19840127,000000,1072.1000,1075.9000,1065.0000,1075.9000,0,0
^FTSE,D,19840130,000000,1075.9000,1082.0000,1068.6000,1068.6000,0,0
^FTSE,D,19840131,000000,1063.5000,1063.5000,1058.0000,1063.0000,0,0
^FTSE,D,19840201,000000,1062.6000,1062.6000,1060.3000,1060.3000,0,0
^FTSE,D,19840202,000000,1055.0000,1055.0000,1046.0000,1050.8000,0,0
^FTSE,D,19840203,000000,1054.4000,1060.2000,1054.4000,1059.8000,0,0
^FTSE,D,19840206,000000,1054.2000,1054.2000,1038.2000,1038.2000,0,0
^FTSE,D,19840207,000000,1026.7000,1026.7000,1019.2000,1021.7000,0,0
^FTSE,D,19840208,000000,1026.7000,1034.5000,1026.7000,1029.7000,0,0
^FTSE,D,19840209,000000,1016.9000,1016.9000,1010.0000,1016.9000,0,0
^FTSE,D,19840210,000000,1016.9000,1020.7000,1012.3000,1018.0000,0,0
^FTSE,D,19840213,000000,1018.3000,1023.0000,1018.3000,1018.3000,0,0
^FTSE,D,19840214,000000,1018.3000,1027.0000,1015.4000,1027.0000,0,0
^FTSE,D,19840215,000000,1031.7000,1036.8000,1031.7000,1033.0000,0,0
^FTSE,D,19840216,000000,1033.0000,1035.6000,1030.4000,1035.0000,0,0
^FTSE,D,19840217,000000,1035.0000,1039.0000,1035.0000,1039.0000,0,0
^FTSE,D,19840220,000000,1038.7000,1038.7000,1034.2000,1035.4000,0,0
^FTSE,D,19840221,000000,1038.4000,1044.7000,1038.4000,1044.4000,0,0
^FTSE,D,19840222,000000,1044.4000,1045.5000,1040.7000,1043.0000,0,0
^FTSE,D,19840223,000000,1042.1000,1042.1000,1031.7000,1031.7000,0,0
^FTSE,D,19840224,000000,1031.7000,1036.9000,1030.8000,1036.9000,0,0
^FTSE,D,19840227,000000,1038.8000,1044.3000,1038.8000,1041.3000,0,0
^FTSE,D,19840228,000000,1039.2000,1039.2000,1039.2000,1039.2000,0,0
^FTSE,D,19840229,000000,1039.2000,1040.6000,1031.2000,1040.3000,0,0
^FTSE,D,19840301,000000,1042.1000,1047.1000,1042.1000,1046.1000,0,0
^FTSE,D,19840302,000000,1048.8000,1060.7000,1048.8000,1060.7000,0,0
^FTSE,D,19840305,000000,1053.7000,1053.7000,1053.7000,1053.7000,0,0
^FTSE,D,19840306,000000,1053.7000,1064.8000,1050.9000,1064.5000,0,0
^FTSE,D,19840307,000000,1063.1000,1063.1000,1055.6000,1055.6000,0,0
